,artist,endTime,sum,week,date
0,Neko Case,2016-09-02 19:59:09,1,1,2016-09-02
1,Neko Case,2016-09-16 19:59:09,1,2,2016-09-16
2,Neko Case,2016-09-30 19:59:09,1,3,2016-09-30
3,Neko Case,2016-10-14 19:59:09,1,4,2016-10-14
4,Neko Case,2016-10-28 19:59:09,1,5,2016-10-28
5,Neko Case,2016-11-11 19:59:09,1,6,2016-11-11
6,Neko Case,2016-11-25 19:59:09,1,7,2016-11-25
7,Neko Case,2016-12-09 19:59:09,1,8,2016-12-09
8,Neko Case,2016-12-23 19:59:09,1,9,2016-12-23
9,Neko Case,2017-01-06 19:59:09,1,10,2017-01-06
10,Neko Case,2017-01-20 19:59:09,1,11,2017-01-20
11,Neko Case,2017-02-03 19:59:09,1,12,2017-02-03
12,Neko Case,2017-02-17 19:59:09,1,13,2017-02-17
13,Neko Case,2017-03-03 19:59:09,1,14,2017-03-03
14,Neko Case,2017-03-17 19:59:09,1,15,2017-03-17
15,Neko Case,2017-03-31 19:59:09,1,16,2017-03-31
16,Neko Case,2017-04-14 19:59:09,1,17,2017-04-14
17,Neko Case,2017-04-28 19:59:09,1,18,2017-04-28
18,Neko Case,2017-05-12 19:59:09,1,19,2017-05-12
19,Neko Case,2017-05-26 19:59:09,1,20,2017-05-26
20,Neko Case,2017-06-09 19:59:09,1,21,2017-06-09
21,Neko Case,2017-06-23 19:59:09,1,22,2017-06-23
22,Neko Case,2017-07-07 19:59:09,1,23,2017-07-07
23,Neko Case,2017-07-21 19:59:09,1,24,2017-07-21
24,Neko Case,2017-08-04 19:59:09,1,25,2017-08-04
25,Neko Case,2017-08-18 19:59:09,1,26,2017-08-18
26,Neko Case,2017-09-01 19:59:09,1,27,2017-09-01
27,Neko Case,2017-09-15 19:59:09,1,28,2017-09-15
28,Neko Case,2017-09-29 19:59:09,1,29,2017-09-29
29,Neko Case,2017-10-13 19:59:09,1,30,2017-10-13
30,Neko Case,2017-10-27 19:59:09,1,31,2017-10-27
31,Neko Case,2017-11-10 19:59:09,1,32,2017-11-10
32,Neko Case,2017-11-24 19:59:09,1,33,2017-11-24
33,Neko Case,2017-12-08 19:59:09,1,34,2017-12-08
34,Neko Case,2017-12-22 19:59:09,1,35,2017-12-22
35,Neko Case,2018-01-05 19:59:09,1,36,2018-01-05
36,Neko Case,2018-01-19 19:59:09,1,37,2018-01-19
37,Neko Case,2018-02-02 19:59:09,1,38,2018-02-02
38,Neko Case,2018-02-16 19:59:09,1,39,2018-02-16
39,Neko Case,2018-03-02 19:59:09,1,40,2018-03-02
40,Neko Case,2018-03-16 19:59:09,1,41,2018-03-16
41,Neko Case,2018-03-30 19:59:09,1,42,2018-03-30
42,Neko Case,2018-04-13 19:59:09,1,43,2018-04-13
43,Neko Case,2018-04-27 19:59:09,1,44,2018-04-27
44,Neko Case,2018-05-11 19:59:09,1,45,2018-05-11
45,Neko Case,2018-05-25 19:59:09,1,46,2018-05-25
46,Neko Case,2018-06-08 19:59:09,1,47,2018-06-08
47,Neko Case,2018-06-22 19:59:09,1,48,2018-06-22
48,Neko Case,2018-07-06 19:59:09,1,49,2018-07-06
49,Neko Case,2018-07-20 19:59:09,1,50,2018-07-20
50,Neko Case,2018-08-03 19:59:09,1,51,2018-08-03
51,Neko Case,2018-08-17 19:59:09,1,52,2018-08-17
52,Neko Case,2018-08-31 19:59:09,1,53,2018-08-31
53,Neko Case,2018-09-14 19:59:09,1,54,2018-09-14
54,Neko Case,2018-09-28 19:59:09,1,55,2018-09-28
55,Neko Case,2018-10-12 19:59:09,1,56,2018-10-12
56,Neko Case,2018-10-26 19:59:09,1,57,2018-10-26
57,Neko Case,2018-11-09 19:59:09,1,58,2018-11-09
58,Neko Case,2018-11-23 19:59:09,1,59,2018-11-23
59,Neko Case,2018-12-07 19:59:09,1,60,2018-12-07
60,Neko Case,2018-12-21 19:59:09,1,61,2018-12-21
61,Neko Case,2019-01-04 19:59:09,1,62,2019-01-04
62,Neko Case,2019-01-18 19:59:09,1,63,2019-01-18
63,Neko Case,2019-02-01 19:59:09,1,64,2019-02-01
64,Neko Case,2019-02-15 19:59:09,1,65,2019-02-15
65,Neko Case,2019-03-01 19:59:09,1,66,2019-03-01
66,Neko Case,2019-03-15 19:59:09,1,67,2019-03-15
67,Neko Case,2019-03-29 19:59:09,1,68,2019-03-29
68,Neko Case,2019-04-12 19:59:09,1,69,2019-04-12
69,Neko Case,2019-04-26 19:59:09,1,70,2019-04-26
70,Neko Case,2019-05-10 19:59:09,1,71,2019-05-10
71,Neko Case,2019-05-24 19:59:09,1,72,2019-05-24
72,Neko Case,2019-06-07 19:59:09,1,73,2019-06-07
73,Neko Case,2019-06-21 19:59:09,1,74,2019-06-21
74,Neko Case,2019-07-05 19:59:09,1,75,2019-07-05
75,Neko Case,2019-07-19 19:59:09,1,76,2019-07-19
76,Neko Case,2019-08-02 19:59:09,1,77,2019-08-02
77,Neko Case,2019-08-16 19:59:09,1,78,2019-08-16
78,Neko Case,2019-08-30 19:59:09,1,79,2019-08-30
79,Neko Case,2019-09-13 19:59:09,1,80,2019-09-13
80,Neko Case,2019-09-27 19:59:09,1,81,2019-09-27
81,Neko Case,2019-10-11 19:59:09,1,82,2019-10-11
82,Neko Case,2019-10-25 19:59:09,1,83,2019-10-25
83,Neko Case,2019-11-08 19:59:09,1,84,2019-11-08
84,Neko Case,2019-11-22 19:59:09,1,85,2019-11-22
85,Neko Case,2019-12-06 19:59:09,1,86,2019-12-06
86,Neko Case,2019-12-20 19:59:09,1,87,2019-12-20
87,Neko Case,2020-01-03 19:59:09,1,88,2020-01-03
88,Neko Case,2020-01-17 19:59:09,1,89,2020-01-17
89,Neko Case,2020-01-31 19:59:09,1,90,2020-01-31
90,Neko Case,2020-02-14 19:59:09,1,91,2020-02-14
91,Neko Case,2020-02-28 19:59:09,1,92,2020-02-28
92,Neko Case,2020-03-13 19:59:09,1,93,2020-03-13
93,Neko Case,2020-03-27 19:59:09,1,94,2020-03-27
94,Neko Case,2020-04-10 19:59:09,1,95,2020-04-10
95,Shovels & Rope,2016-09-02 19:59:09,0,1,2016-09-02
96,Shovels & Rope,2016-09-16 19:59:09,0,2,2016-09-16
97,Shovels & Rope,2016-09-30 19:59:09,0,3,2016-09-30
98,Shovels & Rope,2016-10-14 19:59:09,0,4,2016-10-14
99,Shovels & Rope,2016-10-28 19:59:09,3,5,2016-10-28
100,Shovels & Rope,2016-11-11 19:59:09,3,6,2016-11-11
101,Shovels & Rope,2016-11-25 19:59:09,3,7,2016-11-25
102,Shovels & Rope,2016-12-09 19:59:09,3,8,2016-12-09
103,Shovels & Rope,2016-12-23 19:59:09,3,9,2016-12-23
104,Shovels & Rope,2017-01-06 19:59:09,3,10,2017-01-06
