,artist,endTime,sum,week,date
0,Bibio,2016-08-08 18:08:15,1,1,2016-08-08
1,Bibio,2016-08-22 18:08:15,1,2,2016-08-22
2,Bibio,2016-09-05 18:08:15,1,3,2016-09-05
3,Bibio,2016-09-19 18:08:15,1,4,2016-09-19
4,Bibio,2016-10-03 18:08:15,1,5,2016-10-03
5,Bibio,2016-10-17 18:08:15,1,6,2016-10-17
6,Bibio,2016-10-31 18:08:15,1,7,2016-10-31
7,Bibio,2016-11-14 18:08:15,1,8,2016-11-14
8,Bibio,2016-11-28 18:08:15,1,9,2016-11-28
9,Bibio,2016-12-12 18:08:15,1,10,2016-12-12
10,Bibio,2016-12-26 18:08:15,1,11,2016-12-26
11,Bibio,2017-01-09 18:08:15,7,12,2017-01-09
12,Bibio,2017-01-23 18:08:15,7,13,2017-01-23
13,Bibio,2017-02-06 18:08:15,7,14,2017-02-06
14,Bibio,2017-02-20 18:08:15,7,15,2017-02-20
15,Bibio,2017-03-06 18:08:15,7,16,2017-03-06
16,Bibio,2017-03-20 18:08:15,7,17,2017-03-20
17,Bibio,2017-04-03 18:08:15,7,18,2017-04-03
18,Bibio,2017-04-17 18:08:15,7,19,2017-04-17
19,Bibio,2017-05-01 18:08:15,7,20,2017-05-01
20,Bibio,2017-05-15 18:08:15,7,21,2017-05-15
21,Bibio,2017-05-29 18:08:15,7,22,2017-05-29
22,Bibio,2017-06-12 18:08:15,7,23,2017-06-12
23,Bibio,2017-06-26 18:08:15,7,24,2017-06-26
24,Bibio,2017-07-10 18:08:15,7,25,2017-07-10
25,Bibio,2017-07-24 18:08:15,7,26,2017-07-24
26,Bibio,2017-08-07 18:08:15,7,27,2017-08-07
27,Bibio,2017-08-21 18:08:15,7,28,2017-08-21
28,Bibio,2017-09-04 18:08:15,7,29,2017-09-04
29,Bibio,2017-09-18 18:08:15,7,30,2017-09-18
30,Bibio,2017-10-02 18:08:15,7,31,2017-10-02
31,Bibio,2017-10-16 18:08:15,7,32,2017-10-16
32,Bibio,2017-10-30 18:08:15,7,33,2017-10-30
33,Bibio,2017-11-13 18:08:15,7,34,2017-11-13
34,Bibio,2017-11-27 18:08:15,7,35,2017-11-27
35,Bibio,2017-12-11 18:08:15,7,36,2017-12-11
36,Bibio,2017-12-25 18:08:15,7,37,2017-12-25
37,Bibio,2018-01-08 18:08:15,7,38,2018-01-08
38,Bibio,2018-01-22 18:08:15,7,39,2018-01-22
39,Bibio,2018-02-05 18:08:15,7,40,2018-02-05
40,Bibio,2018-02-19 18:08:15,7,41,2018-02-19
41,Bibio,2018-03-05 18:08:15,7,42,2018-03-05
42,Bibio,2018-03-19 18:08:15,7,43,2018-03-19
43,Bibio,2018-04-02 18:08:15,7,44,2018-04-02
44,Bibio,2018-04-16 18:08:15,7,45,2018-04-16
45,Bibio,2018-04-30 18:08:15,7,46,2018-04-30
46,Bibio,2018-05-14 18:08:15,7,47,2018-05-14
47,Bibio,2018-05-28 18:08:15,7,48,2018-05-28
48,Bibio,2018-06-11 18:08:15,7,49,2018-06-11
49,Bibio,2018-06-25 18:08:15,7,50,2018-06-25
50,Bibio,2018-07-09 18:08:15,7,51,2018-07-09
51,Bibio,2018-07-23 18:08:15,7,52,2018-07-23
52,Bibio,2018-08-06 18:08:15,7,53,2018-08-06
53,Bibio,2018-08-20 18:08:15,7,54,2018-08-20
54,Bibio,2018-09-03 18:08:15,7,55,2018-09-03
55,Bibio,2018-09-17 18:08:15,7,56,2018-09-17
56,Bibio,2018-10-01 18:08:15,7,57,2018-10-01
57,Bibio,2018-10-15 18:08:15,7,58,2018-10-15
58,Bibio,2018-10-29 18:08:15,7,59,2018-10-29
59,Bibio,2018-11-12 18:08:15,7,60,2018-11-12
60,Bibio,2018-11-26 18:08:15,7,61,2018-11-26
61,Bibio,2018-12-10 18:08:15,7,62,2018-12-10
62,Bibio,2018-12-24 18:08:15,7,63,2018-12-24
63,Bibio,2019-01-07 18:08:15,7,64,2019-01-07
64,Bibio,2019-01-21 18:08:15,7,65,2019-01-21
65,Bibio,2019-02-04 18:08:15,7,66,2019-02-04
66,Bibio,2019-02-18 18:08:15,7,67,2019-02-18
67,Bibio,2019-03-04 18:08:15,7,68,2019-03-04
68,Bibio,2019-03-18 18:08:15,7,69,2019-03-18
69,Bibio,2019-04-01 18:08:15,7,70,2019-04-01
70,Bibio,2019-04-15 18:08:15,8,71,2019-04-15
71,Bibio,2019-04-29 18:08:15,8,72,2019-04-29
72,Bibio,2019-05-13 18:08:15,8,73,2019-05-13
73,Bibio,2019-05-27 18:08:15,8,74,2019-05-27
74,Bibio,2019-06-10 18:08:15,8,75,2019-06-10
75,Bibio,2019-06-24 18:08:15,8,76,2019-06-24
76,Bibio,2019-07-08 18:08:15,8,77,2019-07-08
77,Bibio,2019-07-22 18:08:15,8,78,2019-07-22
78,Bibio,2019-08-05 18:08:15,8,79,2019-08-05
79,Bibio,2019-08-19 18:08:15,8,80,2019-08-19
80,Bibio,2019-09-02 18:08:15,8,81,2019-09-02
81,Bibio,2019-09-16 18:08:15,8,82,2019-09-16
82,Bibio,2019-09-30 18:08:15,8,83,2019-09-30
83,Bibio,2019-10-14 18:08:15,8,84,2019-10-14
84,Bibio,2019-10-28 18:08:15,8,85,2019-10-28
85,Bibio,2019-11-11 18:08:15,8,86,2019-11-11
86,Bibio,2019-11-25 18:08:15,8,87,2019-11-25
87,Bibio,2019-12-09 18:08:15,8,88,2019-12-09
88,Bibio,2019-12-23 18:08:15,8,89,2019-12-23
89,Bibio,2020-01-06 18:08:15,8,90,2020-01-06
90,Bibio,2020-01-20 18:08:15,9,91,2020-01-20
91,Bibio,2020-02-03 18:08:15,9,92,2020-02-03
92,Bibio,2020-02-17 18:08:15,9,93,2020-02-17
93,Bibio,2020-03-02 18:08:15,9,94,2020-03-02
94,Bibio,2020-03-16 18:08:15,9,95,2020-03-16
95,Bibio,2020-03-30 18:08:15,9,96,2020-03-30
96,Bibio,2020-04-13 18:08:15,9,97,2020-04-13
97,Hamilton Leithauser + Rostam,2016-08-08 18:08:15,0,1,2016-08-08
98,Hamilton Leithauser + Rostam,2016-08-22 18:08:15,0,2,2016-08-22
99,Hamilton Leithauser + Rostam,2016-09-05 18:08:15,0,3,2016-09-05
100,Hamilton Leithauser + Rostam,2016-09-19 18:08:15,0,4,2016-09-19
101,Hamilton Leithauser + Rostam,2016-10-03 18:08:15,0,5,2016-10-03
102,Hamilton Leithauser + Rostam,2016-10-17 18:08:15,0,6,2016-10-17
103,Hamilton Leithauser + Rostam,2016-10-31 18:08:15,0,7,2016-10-31
104,Hamilton Leithauser + Rostam,2016-11-14 18:08:15,0,8,2016-11-14
105,Hamilton Leithauser + Rostam,2016-11-28 18:08:15,0,9,2016-11-28
106,Hamilton Leithauser + Rostam,2016-12-12 18:08:15,0,10,2016-12-12
107,Hamilton Leithauser + Rostam,2016-12-26 18:08:15,0,11,2016-12-26
108,Hamilton Leithauser + Rostam,2017-01-09 18:08:15,0,12,2017-01-09
109,Hamilton Leithauser + Rostam,2017-01-23 18:08:15,0,13,2017-01-23
110,Hamilton Leithauser + Rostam,2017-02-06 18:08:15,0,14,2017-02-06
111,Hamilton Leithauser + Rostam,2017-02-20 18:08:15,0,15,2017-02-20
112,Hamilton Leithauser + Rostam,2017-03-06 18:08:15,0,16,2017-03-06
113,Hamilton Leithauser + Rostam,2017-03-20 18:08:15,0,17,2017-03-20
114,Hamilton Leithauser + Rostam,2017-04-03 18:08:15,0,18,2017-04-03
115,Hamilton Leithauser + Rostam,2017-04-17 18:08:15,0,19,2017-04-17
116,Hamilton Leithauser + Rostam,2017-05-01 18:08:15,0,20,2017-05-01
117,Hamilton Leithauser + Rostam,2017-05-15 18:08:15,0,21,2017-05-15
118,Hamilton Leithauser + Rostam,2017-05-29 18:08:15,0,22,2017-05-29
119,Hamilton Leithauser + Rostam,2017-06-12 18:08:15,0,23,2017-06-12
120,Hamilton Leithauser + Rostam,2017-06-26 18:08:15,0,24,2017-06-26
121,Hamilton Leithauser + Rostam,2017-07-10 18:08:15,0,25,2017-07-10
122,Hamilton Leithauser + Rostam,2017-07-24 18:08:15,0,26,2017-07-24
123,Hamilton Leithauser + Rostam,2017-08-07 18:08:15,0,27,2017-08-07
124,Hamilton Leithauser + Rostam,2017-08-21 18:08:15,0,28,2017-08-21
125,Hamilton Leithauser + Rostam,2017-09-04 18:08:15,0,29,2017-09-04
126,Hamilton Leithauser + Rostam,2017-09-18 18:08:15,0,30,2017-09-18
127,Hamilton Leithauser + Rostam,2017-10-02 18:08:15,0,31,2017-10-02
128,Hamilton Leithauser + Rostam,2017-10-16 18:08:15,0,32,2017-10-16
129,Hamilton Leithauser + Rostam,2017-10-30 18:08:15,1,33,2017-10-30
130,Hamilton Leithauser + Rostam,2017-11-13 18:08:15,1,34,2017-11-13
131,Hamilton Leithauser + Rostam,2017-11-27 18:08:15,1,35,2017-11-27
132,Hamilton Leithauser + Rostam,2017-12-11 18:08:15,1,36,2017-12-11
133,Hamilton Leithauser + Rostam,2017-12-25 18:08:15,1,37,2017-12-25
134,Hamilton Leithauser + Rostam,2018-01-08 18:08:15,1,38,2018-01-08
135,Hamilton Leithauser + Rostam,2018-01-22 18:08:15,1,39,2018-01-22
136,Hamilton Leithauser + Rostam,2018-02-05 18:08:15,1,40,2018-02-05
137,Hamilton Leithauser + Rostam,2018-02-19 18:08:15,1,41,2018-02-19
138,Hamilton Leithauser + Rostam,2018-03-05 18:08:15,1,42,2018-03-05
139,Hamilton Leithauser + Rostam,2018-03-19 18:08:15,1,43,2018-03-19
140,Hamilton Leithauser + Rostam,2018-04-02 18:08:15,1,44,2018-04-02
141,Hamilton Leithauser + Rostam,2018-04-16 18:08:15,1,45,2018-04-16
142,Hamilton Leithauser + Rostam,2018-04-30 18:08:15,1,46,2018-04-30
143,Hamilton Leithauser + Rostam,2018-05-14 18:08:15,1,47,2018-05-14
144,Hamilton Leithauser + Rostam,2018-05-28 18:08:15,1,48,2018-05-28
145,Hamilton Leithauser + Rostam,2018-06-11 18:08:15,1,49,2018-06-11
146,Hamilton Leithauser + Rostam,2018-06-25 18:08:15,1,50,2018-06-25
147,Hamilton Leithauser + Rostam,2018-07-09 18:08:15,1,51,2018-07-09
148,Hamilton Leithauser + Rostam,2018-07-23 18:08:15,1,52,2018-07-23
149,Hamilton Leithauser + Rostam,2018-08-06 18:08:15,1,53,2018-08-06
150,Hamilton Leithauser + Rostam,2018-08-20 18:08:15,1,54,2018-08-20
151,Hamilton Leithauser + Rostam,2018-09-03 18:08:15,1,55,2018-09-03
152,Hamilton Leithauser + Rostam,2018-09-17 18:08:15,1,56,2018-09-17
153,Hamilton Leithauser + Rostam,2018-10-01 18:08:15,1,57,2018-10-01
154,Hamilton Leithauser + Rostam,2018-10-15 18:08:15,1,58,2018-10-15
155,Hamilton Leithauser + Rostam,2018-10-29 18:08:15,1,59,2018-10-29
156,Hamilton Leithauser + Rostam,2018-11-12 18:08:15,1,60,2018-11-12
157,Hamilton Leithauser + Rostam,2018-11-26 18:08:15,1,61,2018-11-26
158,Hamilton Leithauser + Rostam,2018-12-10 18:08:15,1,62,2018-12-10
159,Hamilton Leithauser + Rostam,2018-12-24 18:08:15,1,63,2018-12-24
160,Hamilton Leithauser + Rostam,2019-01-07 18:08:15,1,64,2019-01-07
161,Hamilton Leithauser + Rostam,2019-01-21 18:08:15,1,65,2019-01-21
162,Hamilton Leithauser + Rostam,2019-02-04 18:08:15,1,66,2019-02-04
163,Hamilton Leithauser + Rostam,2019-02-18 18:08:15,1,67,2019-02-18
164,Hamilton Leithauser + Rostam,2019-03-04 18:08:15,1,68,2019-03-04
165,Hamilton Leithauser + Rostam,2019-03-18 18:08:15,1,69,2019-03-18
166,Hamilton Leithauser + Rostam,2019-04-01 18:08:15,1,70,2019-04-01
167,Hamilton Leithauser + Rostam,2019-04-15 18:08:15,1,71,2019-04-15
168,Hamilton Leithauser + Rostam,2019-04-29 18:08:15,1,72,2019-04-29
169,Hamilton Leithauser + Rostam,2019-05-13 18:08:15,1,73,2019-05-13
170,Hamilton Leithauser + Rostam,2019-05-27 18:08:15,1,74,2019-05-27
171,Hamilton Leithauser + Rostam,2019-06-10 18:08:15,1,75,2019-06-10
172,Hamilton Leithauser + Rostam,2019-06-24 18:08:15,1,76,2019-06-24
173,Hamilton Leithauser + Rostam,2019-07-08 18:08:15,1,77,2019-07-08
174,Hamilton Leithauser + Rostam,2019-07-22 18:08:15,1,78,2019-07-22
175,Hamilton Leithauser + Rostam,2019-08-05 18:08:15,1,79,2019-08-05
176,Hamilton Leithauser + Rostam,2019-08-19 18:08:15,1,80,2019-08-19
177,Hamilton Leithauser + Rostam,2019-09-02 18:08:15,1,81,2019-09-02
