,artist,endTime,sum,week,date
0,Arrested Development,2016-03-20 19:03:48,1,1,2016-03-20
1,Arrested Development,2016-04-03 19:03:48,1,2,2016-04-03
2,Arrested Development,2016-04-17 19:03:48,1,3,2016-04-17
3,Arrested Development,2016-05-01 19:03:48,1,4,2016-05-01
4,Arrested Development,2016-05-15 19:03:48,1,5,2016-05-15
5,Arrested Development,2016-05-29 19:03:48,1,6,2016-05-29
6,Arrested Development,2016-06-12 19:03:48,1,7,2016-06-12
7,Arrested Development,2016-06-26 19:03:48,1,8,2016-06-26
8,Arrested Development,2016-07-10 19:03:48,1,9,2016-07-10
9,Arrested Development,2016-07-24 19:03:48,1,10,2016-07-24
10,Arrested Development,2016-08-07 19:03:48,1,11,2016-08-07
11,Arrested Development,2016-08-21 19:03:48,1,12,2016-08-21
12,Arrested Development,2016-09-04 19:03:48,1,13,2016-09-04
13,Arrested Development,2016-09-18 19:03:48,1,14,2016-09-18
14,Arrested Development,2016-10-02 19:03:48,1,15,2016-10-02
15,Arrested Development,2016-10-16 19:03:48,1,16,2016-10-16
16,Arrested Development,2016-10-30 19:03:48,1,17,2016-10-30
17,Arrested Development,2016-11-13 19:03:48,1,18,2016-11-13
18,Arrested Development,2016-11-27 19:03:48,1,19,2016-11-27
19,Arrested Development,2016-12-11 19:03:48,1,20,2016-12-11
20,Arrested Development,2016-12-25 19:03:48,1,21,2016-12-25
21,Arrested Development,2017-01-08 19:03:48,1,22,2017-01-08
22,Arrested Development,2017-01-22 19:03:48,1,23,2017-01-22
23,Arrested Development,2017-02-05 19:03:48,1,24,2017-02-05
24,Arrested Development,2017-02-19 19:03:48,1,25,2017-02-19
25,Arrested Development,2017-03-05 19:03:48,1,26,2017-03-05
26,Arrested Development,2017-03-19 19:03:48,1,27,2017-03-19
27,Arrested Development,2017-04-02 19:03:48,1,28,2017-04-02
28,Arrested Development,2017-04-16 19:03:48,1,29,2017-04-16
29,Arrested Development,2017-04-30 19:03:48,1,30,2017-04-30
30,Arrested Development,2017-05-14 19:03:48,1,31,2017-05-14
31,Arrested Development,2017-05-28 19:03:48,1,32,2017-05-28
32,Arrested Development,2017-06-11 19:03:48,1,33,2017-06-11
33,Arrested Development,2017-06-25 19:03:48,1,34,2017-06-25
34,Arrested Development,2017-07-09 19:03:48,1,35,2017-07-09
35,Arrested Development,2017-07-23 19:03:48,1,36,2017-07-23
36,Arrested Development,2017-08-06 19:03:48,1,37,2017-08-06
37,Arrested Development,2017-08-20 19:03:48,1,38,2017-08-20
38,Arrested Development,2017-09-03 19:03:48,1,39,2017-09-03
39,Arrested Development,2017-09-17 19:03:48,1,40,2017-09-17
40,Arrested Development,2017-10-01 19:03:48,1,41,2017-10-01
41,Arrested Development,2017-10-15 19:03:48,1,42,2017-10-15
42,Arrested Development,2017-10-29 19:03:48,1,43,2017-10-29
43,Arrested Development,2017-11-12 19:03:48,1,44,2017-11-12
44,Arrested Development,2017-11-26 19:03:48,1,45,2017-11-26
45,Arrested Development,2017-12-10 19:03:48,1,46,2017-12-10
46,Arrested Development,2017-12-24 19:03:48,1,47,2017-12-24
47,Arrested Development,2018-01-07 19:03:48,1,48,2018-01-07
48,Arrested Development,2018-01-21 19:03:48,1,49,2018-01-21
49,Arrested Development,2018-02-04 19:03:48,1,50,2018-02-04
50,Arrested Development,2018-02-18 19:03:48,1,51,2018-02-18
51,Arrested Development,2018-03-04 19:03:48,1,52,2018-03-04
52,Arrested Development,2018-03-18 19:03:48,1,53,2018-03-18
53,Arrested Development,2018-04-01 19:03:48,1,54,2018-04-01
54,Arrested Development,2018-04-15 19:03:48,1,55,2018-04-15
55,Arrested Development,2018-04-29 19:03:48,1,56,2018-04-29
56,Arrested Development,2018-05-13 19:03:48,1,57,2018-05-13
57,Arrested Development,2018-05-27 19:03:48,1,58,2018-05-27
58,Arrested Development,2018-06-10 19:03:48,1,59,2018-06-10
59,Arrested Development,2018-06-24 19:03:48,1,60,2018-06-24
60,Arrested Development,2018-07-08 19:03:48,1,61,2018-07-08
61,Arrested Development,2018-07-22 19:03:48,1,62,2018-07-22
62,Arrested Development,2018-08-05 19:03:48,1,63,2018-08-05
63,Arrested Development,2018-08-19 19:03:48,1,64,2018-08-19
64,Arrested Development,2018-09-02 19:03:48,1,65,2018-09-02
65,Arrested Development,2018-09-16 19:03:48,1,66,2018-09-16
66,Arrested Development,2018-09-30 19:03:48,1,67,2018-09-30
67,Arrested Development,2018-10-14 19:03:48,1,68,2018-10-14
68,Arrested Development,2018-10-28 19:03:48,1,69,2018-10-28
69,Arrested Development,2018-11-11 19:03:48,1,70,2018-11-11
70,Arrested Development,2018-11-25 19:03:48,1,71,2018-11-25
71,Arrested Development,2018-12-09 19:03:48,1,72,2018-12-09
72,Arrested Development,2018-12-23 19:03:48,1,73,2018-12-23
73,Arrested Development,2019-01-06 19:03:48,1,74,2019-01-06
74,Arrested Development,2019-01-20 19:03:48,1,75,2019-01-20
75,Arrested Development,2019-02-03 19:03:48,1,76,2019-02-03
76,Arrested Development,2019-02-17 19:03:48,1,77,2019-02-17
77,Arrested Development,2019-03-03 19:03:48,1,78,2019-03-03
78,Arrested Development,2019-03-17 19:03:48,1,79,2019-03-17
79,Arrested Development,2019-03-31 19:03:48,1,80,2019-03-31
80,Arrested Development,2019-04-14 19:03:48,1,81,2019-04-14
81,Arrested Development,2019-04-28 19:03:48,1,82,2019-04-28
82,Arrested Development,2019-05-12 19:03:48,1,83,2019-05-12
83,Arrested Development,2019-05-26 19:03:48,1,84,2019-05-26
84,Arrested Development,2019-06-09 19:03:48,1,85,2019-06-09
85,Arrested Development,2019-06-23 19:03:48,1,86,2019-06-23
86,Arrested Development,2019-07-07 19:03:48,1,87,2019-07-07
87,Arrested Development,2019-07-21 19:03:48,1,88,2019-07-21
88,Arrested Development,2019-08-04 19:03:48,1,89,2019-08-04
89,Arrested Development,2019-08-18 19:03:48,1,90,2019-08-18
90,Arrested Development,2019-09-01 19:03:48,1,91,2019-09-01
91,Arrested Development,2019-09-15 19:03:48,1,92,2019-09-15
92,Arrested Development,2019-09-29 19:03:48,1,93,2019-09-29
93,Arrested Development,2019-10-13 19:03:48,1,94,2019-10-13
94,Arrested Development,2019-10-27 19:03:48,1,95,2019-10-27
95,Arrested Development,2019-11-10 19:03:48,1,96,2019-11-10
96,Arrested Development,2019-11-24 19:03:48,1,97,2019-11-24
97,Arrested Development,2019-12-08 19:03:48,1,98,2019-12-08
98,Arrested Development,2019-12-22 19:03:48,1,99,2019-12-22
99,Arrested Development,2020-01-05 19:03:48,1,100,2020-01-05
100,Arrested Development,2020-01-19 19:03:48,1,101,2020-01-19
101,Arrested Development,2020-02-02 19:03:48,1,102,2020-02-02
102,Arrested Development,2020-02-16 19:03:48,1,103,2020-02-16
