,artist,endTime,sum,week,date
0,Middle Kids,2017-09-07 22:19:13,1,1,2017-09-07
1,Middle Kids,2017-09-21 22:19:13,1,2,2017-09-21
2,Middle Kids,2017-10-05 22:19:13,1,3,2017-10-05
3,Middle Kids,2017-10-19 22:19:13,1,4,2017-10-19
4,Middle Kids,2017-11-02 22:19:13,1,5,2017-11-02
5,Middle Kids,2017-11-16 22:19:13,1,6,2017-11-16
6,Middle Kids,2017-11-30 22:19:13,1,7,2017-11-30
7,Middle Kids,2017-12-14 22:19:13,1,8,2017-12-14
8,Middle Kids,2017-12-28 22:19:13,1,9,2017-12-28
9,Middle Kids,2018-01-11 22:19:13,1,10,2018-01-11
10,Middle Kids,2018-01-25 22:19:13,1,11,2018-01-25
11,Middle Kids,2018-02-08 22:19:13,1,12,2018-02-08
12,Middle Kids,2018-02-22 22:19:13,1,13,2018-02-22
13,Middle Kids,2018-03-08 22:19:13,1,14,2018-03-08
14,Middle Kids,2018-03-22 22:19:13,1,15,2018-03-22
15,Middle Kids,2018-04-05 22:19:13,1,16,2018-04-05
16,Middle Kids,2018-04-19 22:19:13,1,17,2018-04-19
17,Middle Kids,2018-05-03 22:19:13,1,18,2018-05-03
18,Middle Kids,2018-05-17 22:19:13,1,19,2018-05-17
19,Middle Kids,2018-05-31 22:19:13,1,20,2018-05-31
20,Middle Kids,2018-06-14 22:19:13,1,21,2018-06-14
21,Middle Kids,2018-06-28 22:19:13,1,22,2018-06-28
22,Middle Kids,2018-07-12 22:19:13,1,23,2018-07-12
23,Middle Kids,2018-07-26 22:19:13,1,24,2018-07-26
24,Middle Kids,2018-08-09 22:19:13,1,25,2018-08-09
25,Middle Kids,2018-08-23 22:19:13,1,26,2018-08-23
26,Middle Kids,2018-09-06 22:19:13,1,27,2018-09-06
27,Middle Kids,2018-09-20 22:19:13,1,28,2018-09-20
28,Middle Kids,2018-10-04 22:19:13,1,29,2018-10-04
29,Middle Kids,2018-10-18 22:19:13,1,30,2018-10-18
30,Middle Kids,2018-11-01 22:19:13,1,31,2018-11-01
31,Middle Kids,2018-11-15 22:19:13,1,32,2018-11-15
32,Middle Kids,2018-11-29 22:19:13,1,33,2018-11-29
33,Middle Kids,2018-12-13 22:19:13,1,34,2018-12-13
34,Middle Kids,2018-12-27 22:19:13,1,35,2018-12-27
35,Middle Kids,2019-01-10 22:19:13,1,36,2019-01-10
36,Middle Kids,2019-01-24 22:19:13,1,37,2019-01-24
37,Middle Kids,2019-02-07 22:19:13,1,38,2019-02-07
38,Middle Kids,2019-02-21 22:19:13,1,39,2019-02-21
39,Middle Kids,2019-03-07 22:19:13,1,40,2019-03-07
40,Middle Kids,2019-03-21 22:19:13,1,41,2019-03-21
41,Middle Kids,2019-04-04 22:19:13,1,42,2019-04-04
42,Middle Kids,2019-04-18 22:19:13,1,43,2019-04-18
43,Middle Kids,2019-05-02 22:19:13,1,44,2019-05-02
44,Middle Kids,2019-05-16 22:19:13,1,45,2019-05-16
45,Middle Kids,2019-05-30 22:19:13,1,46,2019-05-30
46,Middle Kids,2019-06-13 22:19:13,1,47,2019-06-13
47,Middle Kids,2019-06-27 22:19:13,1,48,2019-06-27
48,Middle Kids,2019-07-11 22:19:13,1,49,2019-07-11
49,Middle Kids,2019-07-25 22:19:13,1,50,2019-07-25
50,Middle Kids,2019-08-08 22:19:13,1,51,2019-08-08
51,Middle Kids,2019-08-22 22:19:13,1,52,2019-08-22
52,Middle Kids,2019-09-05 22:19:13,1,53,2019-09-05
53,Middle Kids,2019-09-19 22:19:13,1,54,2019-09-19
