,artist,endTime,sum,week,date
0,FISHER,2018-10-06 12:07:53,2,1,2018-10-06
1,FISHER,2018-10-20 12:07:53,2,2,2018-10-20
2,FISHER,2018-11-03 12:07:53,2,3,2018-11-03
3,FISHER,2018-11-17 12:07:53,2,4,2018-11-17
4,FISHER,2018-12-01 12:07:53,2,5,2018-12-01
5,FISHER,2018-12-15 12:07:53,2,6,2018-12-15
6,FISHER,2018-12-29 12:07:53,2,7,2018-12-29
7,FISHER,2019-01-12 12:07:53,2,8,2019-01-12
8,FISHER,2019-01-26 12:07:53,2,9,2019-01-26
9,FISHER,2019-02-09 12:07:53,2,10,2019-02-09
10,FISHER,2019-02-23 12:07:53,2,11,2019-02-23
11,FISHER,2019-03-09 12:07:53,2,12,2019-03-09
12,FISHER,2019-03-23 12:07:53,2,13,2019-03-23
13,FISHER,2019-04-06 12:07:53,2,14,2019-04-06
14,Dom Dolla,2018-10-06 12:07:53,0,1,2018-10-06
15,Dom Dolla,2018-10-20 12:07:53,0,2,2018-10-20
16,Dom Dolla,2018-11-03 12:07:53,0,3,2018-11-03
17,Dom Dolla,2018-11-17 12:07:53,0,4,2018-11-17
18,Dom Dolla,2018-12-01 12:07:53,0,5,2018-12-01
19,Dom Dolla,2018-12-15 12:07:53,0,6,2018-12-15
20,Dom Dolla,2018-12-29 12:07:53,0,7,2018-12-29
21,Dom Dolla,2019-01-12 12:07:53,0,8,2019-01-12
22,Dom Dolla,2019-01-26 12:07:53,0,9,2019-01-26
23,Dom Dolla,2019-02-09 12:07:53,0,10,2019-02-09
24,Dom Dolla,2019-02-23 12:07:53,0,11,2019-02-23
25,Dom Dolla,2019-03-09 12:07:53,0,12,2019-03-09
26,Dom Dolla,2019-03-23 12:07:53,0,13,2019-03-23
27,Dom Dolla,2019-04-06 12:07:53,0,14,2019-04-06
