,artist,endTime,sum,week,date
0,Xavier Rudd,2018-01-26 02:40:32,1,1,2018-01-26
1,Xavier Rudd,2018-02-09 02:40:32,1,2,2018-02-09
2,Xavier Rudd,2018-02-23 02:40:32,1,3,2018-02-23
3,Xavier Rudd,2018-03-09 02:40:32,1,4,2018-03-09
4,Xavier Rudd,2018-03-23 02:40:32,1,5,2018-03-23
5,Xavier Rudd,2018-04-06 02:40:32,1,6,2018-04-06
6,Xavier Rudd,2018-04-20 02:40:32,1,7,2018-04-20
7,Xavier Rudd,2018-05-04 02:40:32,1,8,2018-05-04
8,Xavier Rudd,2018-05-18 02:40:32,1,9,2018-05-18
9,Xavier Rudd,2018-06-01 02:40:32,1,10,2018-06-01
10,Xavier Rudd,2018-06-15 02:40:32,1,11,2018-06-15
11,Xavier Rudd,2018-06-29 02:40:32,1,12,2018-06-29
12,Xavier Rudd,2018-07-13 02:40:32,1,13,2018-07-13
13,Xavier Rudd,2018-07-27 02:40:32,1,14,2018-07-27
14,Xavier Rudd,2018-08-10 02:40:32,1,15,2018-08-10
15,Xavier Rudd,2018-08-24 02:40:32,1,16,2018-08-24
16,Xavier Rudd,2018-09-07 02:40:32,1,17,2018-09-07
17,Xavier Rudd,2018-09-21 02:40:32,1,18,2018-09-21
18,Xavier Rudd,2018-10-05 02:40:32,1,19,2018-10-05
19,Xavier Rudd,2018-10-19 02:40:32,1,20,2018-10-19
20,Xavier Rudd,2018-11-02 02:40:32,1,21,2018-11-02
21,Xavier Rudd,2018-11-16 02:40:32,1,22,2018-11-16
22,Xavier Rudd,2018-11-30 02:40:32,1,23,2018-11-30
23,Xavier Rudd,2018-12-14 02:40:32,1,24,2018-12-14
24,Xavier Rudd,2018-12-28 02:40:32,1,25,2018-12-28
25,Xavier Rudd,2019-01-11 02:40:32,1,26,2019-01-11
26,Xavier Rudd,2019-01-25 02:40:32,1,27,2019-01-25
27,Xavier Rudd,2019-02-08 02:40:32,1,28,2019-02-08
28,Xavier Rudd,2019-02-22 02:40:32,1,29,2019-02-22
29,Xavier Rudd,2019-03-08 02:40:32,1,30,2019-03-08
30,Xavier Rudd,2019-03-22 02:40:32,1,31,2019-03-22
31,Xavier Rudd,2019-04-05 02:40:32,1,32,2019-04-05
32,Xavier Rudd,2019-04-19 02:40:32,1,33,2019-04-19
33,Xavier Rudd,2019-05-03 02:40:32,1,34,2019-05-03
34,Xavier Rudd,2019-05-17 02:40:32,1,35,2019-05-17
35,Xavier Rudd,2019-05-31 02:40:32,1,36,2019-05-31
36,Xavier Rudd,2019-06-14 02:40:32,1,37,2019-06-14
37,Xavier Rudd,2019-06-28 02:40:32,1,38,2019-06-28
38,Xavier Rudd,2019-07-12 02:40:32,1,39,2019-07-12
39,Xavier Rudd,2019-07-26 02:40:32,1,40,2019-07-26
40,Xavier Rudd,2019-08-09 02:40:32,1,41,2019-08-09
41,Xavier Rudd,2019-08-23 02:40:32,1,42,2019-08-23
42,Xavier Rudd,2019-09-06 02:40:32,1,43,2019-09-06
43,Xavier Rudd,2019-09-20 02:40:32,1,44,2019-09-20
44,Xavier Rudd,2019-10-04 02:40:32,1,45,2019-10-04
45,Xavier Rudd,2019-10-18 02:40:32,1,46,2019-10-18
46,Xavier Rudd,2019-11-01 02:40:32,1,47,2019-11-01
47,Angus & Julia Stone,2018-01-26 02:40:32,1,1,2018-01-26
48,Angus & Julia Stone,2018-02-09 02:40:32,1,2,2018-02-09
49,Angus & Julia Stone,2018-02-23 02:40:32,1,3,2018-02-23
50,Angus & Julia Stone,2018-03-09 02:40:32,2,4,2018-03-09
51,Angus & Julia Stone,2018-03-23 02:40:32,3,5,2018-03-23
52,Angus & Julia Stone,2018-04-06 02:40:32,3,6,2018-04-06
53,Angus & Julia Stone,2018-04-20 02:40:32,3,7,2018-04-20
54,Angus & Julia Stone,2018-05-04 02:40:32,3,8,2018-05-04
55,Angus & Julia Stone,2018-05-18 02:40:32,3,9,2018-05-18
56,Angus & Julia Stone,2018-06-01 02:40:32,3,10,2018-06-01
57,Angus & Julia Stone,2018-06-15 02:40:32,3,11,2018-06-15
58,Angus & Julia Stone,2018-06-29 02:40:32,3,12,2018-06-29
59,Angus & Julia Stone,2018-07-13 02:40:32,3,13,2018-07-13
60,Angus & Julia Stone,2018-07-27 02:40:32,3,14,2018-07-27
61,Angus & Julia Stone,2018-08-10 02:40:32,3,15,2018-08-10
62,Angus & Julia Stone,2018-08-24 02:40:32,3,16,2018-08-24
63,Angus & Julia Stone,2018-09-07 02:40:32,3,17,2018-09-07
64,Angus & Julia Stone,2018-09-21 02:40:32,3,18,2018-09-21
65,Angus & Julia Stone,2018-10-05 02:40:32,3,19,2018-10-05
66,Angus & Julia Stone,2018-10-19 02:40:32,3,20,2018-10-19
67,Angus & Julia Stone,2018-11-02 02:40:32,3,21,2018-11-02
68,Angus & Julia Stone,2018-11-16 02:40:32,3,22,2018-11-16
69,Angus & Julia Stone,2018-11-30 02:40:32,3,23,2018-11-30
70,Angus & Julia Stone,2018-12-14 02:40:32,3,24,2018-12-14
71,Angus & Julia Stone,2018-12-28 02:40:32,3,25,2018-12-28
72,Angus & Julia Stone,2019-01-11 02:40:32,3,26,2019-01-11
73,Angus & Julia Stone,2019-01-25 02:40:32,3,27,2019-01-25
74,Angus & Julia Stone,2019-02-08 02:40:32,3,28,2019-02-08
75,Angus & Julia Stone,2019-02-22 02:40:32,3,29,2019-02-22
76,Angus & Julia Stone,2019-03-08 02:40:32,3,30,2019-03-08
77,Angus & Julia Stone,2019-03-22 02:40:32,3,31,2019-03-22
78,Angus & Julia Stone,2019-04-05 02:40:32,3,32,2019-04-05
79,Angus & Julia Stone,2019-04-19 02:40:32,3,33,2019-04-19
80,Angus & Julia Stone,2019-05-03 02:40:32,3,34,2019-05-03
81,Angus & Julia Stone,2019-05-17 02:40:32,3,35,2019-05-17
82,Angus & Julia Stone,2019-05-31 02:40:32,3,36,2019-05-31
83,Angus & Julia Stone,2019-06-14 02:40:32,3,37,2019-06-14
84,Angus & Julia Stone,2019-06-28 02:40:32,3,38,2019-06-28
85,Angus & Julia Stone,2019-07-12 02:40:32,3,39,2019-07-12
86,Angus & Julia Stone,2019-07-26 02:40:32,3,40,2019-07-26
87,Angus & Julia Stone,2019-08-09 02:40:32,3,41,2019-08-09
88,Angus & Julia Stone,2019-08-23 02:40:32,3,42,2019-08-23
89,Angus & Julia Stone,2019-09-06 02:40:32,3,43,2019-09-06
90,Angus & Julia Stone,2019-09-20 02:40:32,3,44,2019-09-20
91,Angus & Julia Stone,2019-10-04 02:40:32,3,45,2019-10-04
92,Angus & Julia Stone,2019-10-18 02:40:32,3,46,2019-10-18
93,Angus & Julia Stone,2019-11-01 02:40:32,3,47,2019-11-01
94,Boy & Bear,2018-01-26 02:40:32,0,1,2018-01-26
95,Boy & Bear,2018-02-09 02:40:32,0,2,2018-02-09
96,Boy & Bear,2018-02-23 02:40:32,0,3,2018-02-23
97,Boy & Bear,2018-03-09 02:40:32,0,4,2018-03-09
98,Boy & Bear,2018-03-23 02:40:32,0,5,2018-03-23
99,Boy & Bear,2018-04-06 02:40:32,0,6,2018-04-06
100,Boy & Bear,2018-04-20 02:40:32,0,7,2018-04-20
101,Boy & Bear,2018-05-04 02:40:32,0,8,2018-05-04
102,Boy & Bear,2018-05-18 02:40:32,0,9,2018-05-18
103,Boy & Bear,2018-06-01 02:40:32,0,10,2018-06-01
104,Boy & Bear,2018-06-15 02:40:32,0,11,2018-06-15
105,Boy & Bear,2018-06-29 02:40:32,0,12,2018-06-29
106,Boy & Bear,2018-07-13 02:40:32,1,13,2018-07-13
107,Boy & Bear,2018-07-27 02:40:32,1,14,2018-07-27
108,Boy & Bear,2018-08-10 02:40:32,1,15,2018-08-10
109,Boy & Bear,2018-08-24 02:40:32,1,16,2018-08-24
110,Boy & Bear,2018-09-07 02:40:32,1,17,2018-09-07
111,Boy & Bear,2018-09-21 02:40:32,1,18,2018-09-21
112,Boy & Bear,2018-10-05 02:40:32,1,19,2018-10-05
113,Boy & Bear,2018-10-19 02:40:32,1,20,2018-10-19
114,Boy & Bear,2018-11-02 02:40:32,1,21,2018-11-02
115,Boy & Bear,2018-11-16 02:40:32,1,22,2018-11-16
116,Boy & Bear,2018-11-30 02:40:32,1,23,2018-11-30
117,Boy & Bear,2018-12-14 02:40:32,1,24,2018-12-14
118,Boy & Bear,2018-12-28 02:40:32,1,25,2018-12-28
119,Boy & Bear,2019-01-11 02:40:32,1,26,2019-01-11
120,Boy & Bear,2019-01-25 02:40:32,1,27,2019-01-25
121,Boy & Bear,2019-02-08 02:40:32,1,28,2019-02-08
122,Boy & Bear,2019-02-22 02:40:32,1,29,2019-02-22
123,Boy & Bear,2019-03-08 02:40:32,1,30,2019-03-08
124,Boy & Bear,2019-03-22 02:40:32,1,31,2019-03-22
