,artist,endTime,sum,week,date
0,Young Monks,2018-01-23 23:05:11,1,1,2018-01-23
1,Young Monks,2018-02-06 23:05:11,1,2,2018-02-06
2,Young Monks,2018-02-20 23:05:11,1,3,2018-02-20
3,Young Monks,2018-03-06 23:05:11,1,4,2018-03-06
4,Young Monks,2018-03-20 23:05:11,1,5,2018-03-20
5,Young Monks,2018-04-03 23:05:11,1,6,2018-04-03
6,Young Monks,2018-04-17 23:05:11,1,7,2018-04-17
7,Young Monks,2018-05-01 23:05:11,1,8,2018-05-01
8,Young Monks,2018-05-15 23:05:11,1,9,2018-05-15
9,Young Monks,2018-05-29 23:05:11,1,10,2018-05-29
10,Young Monks,2018-06-12 23:05:11,1,11,2018-06-12
11,Young Monks,2018-06-26 23:05:11,1,12,2018-06-26
12,Young Monks,2018-07-10 23:05:11,1,13,2018-07-10
13,Young Monks,2018-07-24 23:05:11,1,14,2018-07-24
14,Young Monks,2018-08-07 23:05:11,1,15,2018-08-07
15,Young Monks,2018-08-21 23:05:11,1,16,2018-08-21
16,Young Monks,2018-09-04 23:05:11,1,17,2018-09-04
17,Young Monks,2018-09-18 23:05:11,1,18,2018-09-18
18,Young Monks,2018-10-02 23:05:11,1,19,2018-10-02
19,Young Monks,2018-10-16 23:05:11,1,20,2018-10-16
20,Young Monks,2018-10-30 23:05:11,1,21,2018-10-30
21,Young Monks,2018-11-13 23:05:11,1,22,2018-11-13
22,Young Monks,2018-11-27 23:05:11,1,23,2018-11-27
23,Young Monks,2018-12-11 23:05:11,1,24,2018-12-11
24,Young Monks,2018-12-25 23:05:11,1,25,2018-12-25
25,Young Monks,2019-01-08 23:05:11,1,26,2019-01-08
26,Young Monks,2019-01-22 23:05:11,1,27,2019-01-22
27,Young Monks,2019-02-05 23:05:11,1,28,2019-02-05
28,Young Monks,2019-02-19 23:05:11,1,29,2019-02-19
29,Young Monks,2019-03-05 23:05:11,1,30,2019-03-05
30,Young Monks,2019-03-19 23:05:11,1,31,2019-03-19
31,Young Monks,2019-04-02 23:05:11,1,32,2019-04-02
32,Young Monks,2019-04-16 23:05:11,1,33,2019-04-16
33,Young Monks,2019-04-30 23:05:11,1,34,2019-04-30
34,Young Monks,2019-05-14 23:05:11,1,35,2019-05-14
35,Young Monks,2019-05-28 23:05:11,1,36,2019-05-28
36,Young Monks,2019-06-11 23:05:11,1,37,2019-06-11
37,Young Monks,2019-06-25 23:05:11,1,38,2019-06-25
38,Young Monks,2019-07-09 23:05:11,1,39,2019-07-09
39,Young Monks,2019-07-23 23:05:11,1,40,2019-07-23
40,Young Monks,2019-08-06 23:05:11,1,41,2019-08-06
41,Young Monks,2019-08-20 23:05:11,1,42,2019-08-20
42,Young Monks,2019-09-03 23:05:11,1,43,2019-09-03
43,Young Monks,2019-09-17 23:05:11,1,44,2019-09-17
44,Young Monks,2019-10-01 23:05:11,1,45,2019-10-01
45,Young Monks,2019-10-15 23:05:11,1,46,2019-10-15
46,Young Monks,2019-10-29 23:05:11,1,47,2019-10-29
47,Young Monks,2019-11-12 23:05:11,1,48,2019-11-12
48,Young Monks,2019-11-26 23:05:11,1,49,2019-11-26
49,Young Monks,2019-12-10 23:05:11,1,50,2019-12-10
50,Young Monks,2019-12-24 23:05:11,1,51,2019-12-24
51,Young Monks,2020-01-07 23:05:11,1,52,2020-01-07
52,Young Monks,2020-01-21 23:05:11,1,53,2020-01-21
53,Young Monks,2020-02-04 23:05:11,1,54,2020-02-04
54,Young Monks,2020-02-18 23:05:11,1,55,2020-02-18
55,Young Monks,2020-03-03 23:05:11,1,56,2020-03-03
56,Young Monks,2020-03-17 23:05:11,1,57,2020-03-17
57,Cloud Control,2018-01-23 23:05:11,0,1,2018-01-23
58,Cloud Control,2018-02-06 23:05:11,0,2,2018-02-06
59,Cloud Control,2018-02-20 23:05:11,0,3,2018-02-20
60,Cloud Control,2018-03-06 23:05:11,0,4,2018-03-06
61,Cloud Control,2018-03-20 23:05:11,0,5,2018-03-20
62,Cloud Control,2018-04-03 23:05:11,0,6,2018-04-03
63,Cloud Control,2018-04-17 23:05:11,0,7,2018-04-17
64,Cloud Control,2018-05-01 23:05:11,0,8,2018-05-01
65,Cloud Control,2018-05-15 23:05:11,0,9,2018-05-15
66,Cloud Control,2018-05-29 23:05:11,0,10,2018-05-29
67,Cloud Control,2018-06-12 23:05:11,0,11,2018-06-12
68,Cloud Control,2018-06-26 23:05:11,0,12,2018-06-26
69,Cloud Control,2018-07-10 23:05:11,0,13,2018-07-10
70,Cloud Control,2018-07-24 23:05:11,0,14,2018-07-24
71,Cloud Control,2018-08-07 23:05:11,0,15,2018-08-07
72,Cloud Control,2018-08-21 23:05:11,0,16,2018-08-21
73,Cloud Control,2018-09-04 23:05:11,0,17,2018-09-04
74,Cloud Control,2018-09-18 23:05:11,0,18,2018-09-18
75,Cloud Control,2018-10-02 23:05:11,0,19,2018-10-02
76,Cloud Control,2018-10-16 23:05:11,0,20,2018-10-16
77,Cloud Control,2018-10-30 23:05:11,0,21,2018-10-30
78,Cloud Control,2018-11-13 23:05:11,0,22,2018-11-13
79,Cloud Control,2018-11-27 23:05:11,0,23,2018-11-27
80,Cloud Control,2018-12-11 23:05:11,0,24,2018-12-11
81,Cloud Control,2018-12-25 23:05:11,0,25,2018-12-25
82,Cloud Control,2019-01-08 23:05:11,0,26,2019-01-08
83,Cloud Control,2019-01-22 23:05:11,0,27,2019-01-22
84,Cloud Control,2019-02-05 23:05:11,0,28,2019-02-05
85,Cloud Control,2019-02-19 23:05:11,0,29,2019-02-19
86,Cloud Control,2019-03-05 23:05:11,0,30,2019-03-05
87,Cloud Control,2019-03-19 23:05:11,0,31,2019-03-19
88,Cloud Control,2019-04-02 23:05:11,0,32,2019-04-02
89,Cloud Control,2019-04-16 23:05:11,0,33,2019-04-16
90,Cloud Control,2019-04-30 23:05:11,0,34,2019-04-30
91,Cloud Control,2019-05-14 23:05:11,0,35,2019-05-14
92,Cloud Control,2019-05-28 23:05:11,0,36,2019-05-28
93,Cloud Control,2019-06-11 23:05:11,0,37,2019-06-11
94,Cloud Control,2019-06-25 23:05:11,0,38,2019-06-25
95,Cloud Control,2019-07-09 23:05:11,0,39,2019-07-09
96,Cloud Control,2019-07-23 23:05:11,0,40,2019-07-23
97,Cloud Control,2019-08-06 23:05:11,0,41,2019-08-06
98,Cloud Control,2019-08-20 23:05:11,0,42,2019-08-20
99,Cloud Control,2019-09-03 23:05:11,0,43,2019-09-03
100,Cloud Control,2019-09-17 23:05:11,0,44,2019-09-17
101,Cloud Control,2019-10-01 23:05:11,0,45,2019-10-01
102,Cloud Control,2019-10-15 23:05:11,0,46,2019-10-15
103,Cloud Control,2019-10-29 23:05:11,0,47,2019-10-29
104,Cloud Control,2019-11-12 23:05:11,1,48,2019-11-12
105,Cloud Control,2019-11-26 23:05:11,1,49,2019-11-26
106,Cloud Control,2019-12-10 23:05:11,1,50,2019-12-10
107,Cloud Control,2019-12-24 23:05:11,1,51,2019-12-24
108,Cloud Control,2020-01-07 23:05:11,1,52,2020-01-07
109,Cloud Control,2020-01-21 23:05:11,1,53,2020-01-21
110,Cloud Control,2020-02-04 23:05:11,1,54,2020-02-04
111,Cloud Control,2020-02-18 23:05:11,1,55,2020-02-18
