,artist,endTime,sum,week,date
0,Charles Lloyd,2016-11-24 19:53:30,1,1,2016-11-24
1,Charles Lloyd,2016-12-08 19:53:30,1,2,2016-12-08
2,Charles Lloyd,2016-12-22 19:53:30,1,3,2016-12-22
3,Charles Lloyd,2017-01-05 19:53:30,1,4,2017-01-05
4,Charles Lloyd,2017-01-19 19:53:30,1,5,2017-01-19
5,Charles Lloyd,2017-02-02 19:53:30,1,6,2017-02-02
6,Charles Lloyd,2017-02-16 19:53:30,1,7,2017-02-16
7,Charles Lloyd,2017-03-02 19:53:30,1,8,2017-03-02
8,Charles Lloyd,2017-03-16 19:53:30,1,9,2017-03-16
9,Charles Lloyd,2017-03-30 19:53:30,1,10,2017-03-30
10,Charles Lloyd,2017-04-13 19:53:30,1,11,2017-04-13
11,Charles Lloyd,2017-04-27 19:53:30,1,12,2017-04-27
12,Charles Lloyd,2017-05-11 19:53:30,1,13,2017-05-11
13,Charles Lloyd,2017-05-25 19:53:30,1,14,2017-05-25
14,Charles Lloyd,2017-06-08 19:53:30,1,15,2017-06-08
15,Charles Lloyd,2017-06-22 19:53:30,1,16,2017-06-22
16,Charles Lloyd,2017-07-06 19:53:30,1,17,2017-07-06
17,Charles Lloyd,2017-07-20 19:53:30,1,18,2017-07-20
18,Charles Lloyd,2017-08-03 19:53:30,1,19,2017-08-03
19,Charles Lloyd,2017-08-17 19:53:30,1,20,2017-08-17
20,Charles Lloyd,2017-08-31 19:53:30,1,21,2017-08-31
21,Charles Lloyd,2017-09-14 19:53:30,1,22,2017-09-14
22,Charles Lloyd,2017-09-28 19:53:30,1,23,2017-09-28
23,Charles Mingus,2016-11-24 19:53:30,0,1,2016-11-24
24,Charles Mingus,2016-12-08 19:53:30,0,2,2016-12-08
25,Charles Mingus,2016-12-22 19:53:30,0,3,2016-12-22
26,Charles Mingus,2017-01-05 19:53:30,0,4,2017-01-05
27,Charles Mingus,2017-01-19 19:53:30,0,5,2017-01-19
28,Charles Mingus,2017-02-02 19:53:30,0,6,2017-02-02
29,Charles Mingus,2017-02-16 19:53:30,0,7,2017-02-16
30,Charles Mingus,2017-03-02 19:53:30,0,8,2017-03-02
31,Charles Mingus,2017-03-16 19:53:30,0,9,2017-03-16
32,Charles Mingus,2017-03-30 19:53:30,1,10,2017-03-30
33,Charles Mingus,2017-04-13 19:53:30,2,11,2017-04-13
34,Charles Mingus,2017-04-27 19:53:30,2,12,2017-04-27
35,Charles Mingus,2017-05-11 19:53:30,2,13,2017-05-11
36,Charles Mingus,2017-05-25 19:53:30,2,14,2017-05-25
37,Charles Mingus,2017-06-08 19:53:30,2,15,2017-06-08
38,Charles Mingus,2017-06-22 19:53:30,2,16,2017-06-22
39,Charles Mingus,2017-07-06 19:53:30,2,17,2017-07-06
40,Charles Mingus,2017-07-20 19:53:30,2,18,2017-07-20
41,Charles Mingus,2017-08-03 19:53:30,2,19,2017-08-03
42,Charles Mingus,2017-08-17 19:53:30,2,20,2017-08-17
43,Charles Mingus,2017-08-31 19:53:30,2,21,2017-08-31
44,Charles Mingus,2017-09-14 19:53:30,2,22,2017-09-14
45,Charles Mingus,2017-09-28 19:53:30,2,23,2017-09-28
46,McCoy Tyner,2016-11-24 19:53:30,0,1,2016-11-24
47,McCoy Tyner,2016-12-08 19:53:30,0,2,2016-12-08
48,McCoy Tyner,2016-12-22 19:53:30,0,3,2016-12-22
49,McCoy Tyner,2017-01-05 19:53:30,0,4,2017-01-05
50,McCoy Tyner,2017-01-19 19:53:30,0,5,2017-01-19
51,McCoy Tyner,2017-02-02 19:53:30,0,6,2017-02-02
52,McCoy Tyner,2017-02-16 19:53:30,0,7,2017-02-16
53,McCoy Tyner,2017-03-02 19:53:30,0,8,2017-03-02
54,McCoy Tyner,2017-03-16 19:53:30,0,9,2017-03-16
55,McCoy Tyner,2017-03-30 19:53:30,0,10,2017-03-30
56,McCoy Tyner,2017-04-13 19:53:30,0,11,2017-04-13
57,McCoy Tyner,2017-04-27 19:53:30,0,12,2017-04-27
58,McCoy Tyner,2017-05-11 19:53:30,0,13,2017-05-11
59,McCoy Tyner,2017-05-25 19:53:30,0,14,2017-05-25
60,McCoy Tyner,2017-06-08 19:53:30,0,15,2017-06-08
61,McCoy Tyner,2017-06-22 19:53:30,0,16,2017-06-22
62,McCoy Tyner,2017-07-06 19:53:30,0,17,2017-07-06
63,McCoy Tyner,2017-07-20 19:53:30,0,18,2017-07-20
64,McCoy Tyner,2017-08-03 19:53:30,0,19,2017-08-03
65,McCoy Tyner,2017-08-17 19:53:30,0,20,2017-08-17
66,McCoy Tyner,2017-08-31 19:53:30,0,21,2017-08-31
67,McCoy Tyner,2017-09-14 19:53:30,0,22,2017-09-14
68,McCoy Tyner,2017-09-28 19:53:30,0,23,2017-09-28
