,artist,endTime,sum,week,date
0,Frankie Cosmos,2017-07-01 23:36:10,4,1,2017-07-01
1,Frankie Cosmos,2017-07-15 23:36:10,4,2,2017-07-15
2,Frankie Cosmos,2017-07-29 23:36:10,4,3,2017-07-29
3,Frankie Cosmos,2017-08-12 23:36:10,5,4,2017-08-12
4,Frankie Cosmos,2017-08-26 23:36:10,6,5,2017-08-26
5,Frankie Cosmos,2017-09-09 23:36:10,6,6,2017-09-09
6,Frankie Cosmos,2017-09-23 23:36:10,7,7,2017-09-23
7,Frankie Cosmos,2017-10-07 23:36:10,7,8,2017-10-07
8,Frankie Cosmos,2017-10-21 23:36:10,7,9,2017-10-21
9,Frankie Cosmos,2017-11-04 23:36:10,7,10,2017-11-04
10,Frankie Cosmos,2017-11-18 23:36:10,7,11,2017-11-18
11,Frankie Cosmos,2017-12-02 23:36:10,7,12,2017-12-02
12,Frankie Cosmos,2017-12-16 23:36:10,8,13,2017-12-16
13,Frankie Cosmos,2017-12-30 23:36:10,8,14,2017-12-30
14,Frankie Cosmos,2018-01-13 23:36:10,10,15,2018-01-13
15,Frankie Cosmos,2018-01-27 23:36:10,10,16,2018-01-27
16,Frankie Cosmos,2018-02-10 23:36:10,10,17,2018-02-10
17,Frankie Cosmos,2018-02-24 23:36:10,10,18,2018-02-24
18,Frankie Cosmos,2018-03-10 23:36:10,11,19,2018-03-10
19,Frankie Cosmos,2018-03-24 23:36:10,12,20,2018-03-24
20,Frankie Cosmos,2018-04-07 23:36:10,12,21,2018-04-07
21,Frankie Cosmos,2018-04-21 23:36:10,12,22,2018-04-21
22,Frankie Cosmos,2018-05-05 23:36:10,13,23,2018-05-05
23,Frankie Cosmos,2018-05-19 23:36:10,13,24,2018-05-19
24,Frankie Cosmos,2018-06-02 23:36:10,13,25,2018-06-02
25,Frankie Cosmos,2018-06-16 23:36:10,13,26,2018-06-16
26,Frankie Cosmos,2018-06-30 23:36:10,13,27,2018-06-30
27,Frankie Cosmos,2018-07-14 23:36:10,13,28,2018-07-14
28,Frankie Cosmos,2018-07-28 23:36:10,13,29,2018-07-28
29,Frankie Cosmos,2018-08-11 23:36:10,17,30,2018-08-11
30,Frankie Cosmos,2018-08-25 23:36:10,17,31,2018-08-25
31,Frankie Cosmos,2018-09-08 23:36:10,17,32,2018-09-08
32,Frankie Cosmos,2018-09-22 23:36:10,18,33,2018-09-22
33,Frankie Cosmos,2018-10-06 23:36:10,18,34,2018-10-06
34,Frankie Cosmos,2018-10-20 23:36:10,18,35,2018-10-20
35,Frankie Cosmos,2018-11-03 23:36:10,18,36,2018-11-03
36,Frankie Cosmos,2018-11-17 23:36:10,20,37,2018-11-17
37,Frankie Cosmos,2018-12-01 23:36:10,20,38,2018-12-01
38,Frankie Cosmos,2018-12-15 23:36:10,20,39,2018-12-15
39,Frankie Cosmos,2018-12-29 23:36:10,20,40,2018-12-29
40,Frankie Cosmos,2019-01-12 23:36:10,20,41,2019-01-12
41,Frankie Cosmos,2019-01-26 23:36:10,20,42,2019-01-26
42,Frankie Cosmos,2019-02-09 23:36:10,20,43,2019-02-09
43,Frankie Cosmos,2019-02-23 23:36:10,20,44,2019-02-23
44,Frankie Cosmos,2019-03-09 23:36:10,20,45,2019-03-09
45,Frankie Cosmos,2019-03-23 23:36:10,20,46,2019-03-23
46,Frankie Cosmos,2019-04-06 23:36:10,20,47,2019-04-06
47,Frankie Cosmos,2019-04-20 23:36:10,20,48,2019-04-20
48,Frankie Cosmos,2019-05-04 23:36:10,20,49,2019-05-04
49,Frankie Cosmos,2019-05-18 23:36:10,20,50,2019-05-18
50,Frankie Cosmos,2019-06-01 23:36:10,20,51,2019-06-01
51,Frankie Cosmos,2019-06-15 23:36:10,23,52,2019-06-15
52,Frankie Cosmos,2019-06-29 23:36:10,23,53,2019-06-29
53,Frankie Cosmos,2019-07-13 23:36:10,23,54,2019-07-13
54,Frankie Cosmos,2019-07-27 23:36:10,23,55,2019-07-27
55,Frankie Cosmos,2019-08-10 23:36:10,23,56,2019-08-10
56,Frankie Cosmos,2019-08-24 23:36:10,23,57,2019-08-24
57,Frankie Cosmos,2019-09-07 23:36:10,23,58,2019-09-07
58,Frankie Cosmos,2019-09-21 23:36:10,23,59,2019-09-21
59,Frankie Cosmos,2019-10-05 23:36:10,23,60,2019-10-05
60,Frankie Cosmos,2019-10-19 23:36:10,23,61,2019-10-19
61,Frankie Cosmos,2019-11-02 23:36:10,24,62,2019-11-02
62,Frankie Cosmos,2019-11-16 23:36:10,24,63,2019-11-16
63,Frankie Cosmos,2019-11-30 23:36:10,24,64,2019-11-30
64,Frankie Cosmos,2019-12-14 23:36:10,24,65,2019-12-14
65,Frankie Cosmos,2019-12-28 23:36:10,24,66,2019-12-28
66,Frankie Cosmos,2020-01-11 23:36:10,25,67,2020-01-11
67,Frankie Cosmos,2020-01-25 23:36:10,25,68,2020-01-25
68,Frankie Cosmos,2020-02-08 23:36:10,27,69,2020-02-08
69,Frankie Cosmos,2020-02-22 23:36:10,27,70,2020-02-22
70,Frankie Cosmos,2020-03-07 23:36:10,27,71,2020-03-07
71,Frankie Cosmos,2020-03-21 23:36:10,28,72,2020-03-21
