,artist,endTime,sum,week,date
0,Manwolves,2017-07-11 12:14:45,2,1,2017-07-11
1,Manwolves,2017-07-25 12:14:45,2,2,2017-07-25
2,Manwolves,2017-08-08 12:14:45,2,3,2017-08-08
3,Manwolves,2017-08-22 12:14:45,2,4,2017-08-22
4,Manwolves,2017-09-05 12:14:45,2,5,2017-09-05
5,Manwolves,2017-09-19 12:14:45,2,6,2017-09-19
6,Manwolves,2017-10-03 12:14:45,2,7,2017-10-03
7,Manwolves,2017-10-17 12:14:45,2,8,2017-10-17
8,Manwolves,2017-10-31 12:14:45,2,9,2017-10-31
9,Manwolves,2017-11-14 12:14:45,2,10,2017-11-14
10,Manwolves,2017-11-28 12:14:45,2,11,2017-11-28
11,Manwolves,2017-12-12 12:14:45,2,12,2017-12-12
12,Manwolves,2017-12-26 12:14:45,2,13,2017-12-26
13,Manwolves,2018-01-09 12:14:45,2,14,2018-01-09
14,Manwolves,2018-01-23 12:14:45,2,15,2018-01-23
15,Manwolves,2018-02-06 12:14:45,2,16,2018-02-06
16,Manwolves,2018-02-20 12:14:45,2,17,2018-02-20
17,Manwolves,2018-03-06 12:14:45,2,18,2018-03-06
18,Manwolves,2018-03-20 12:14:45,2,19,2018-03-20
19,Manwolves,2018-04-03 12:14:45,2,20,2018-04-03
20,Manwolves,2018-04-17 12:14:45,2,21,2018-04-17
21,Manwolves,2018-05-01 12:14:45,2,22,2018-05-01
22,Manwolves,2018-05-15 12:14:45,2,23,2018-05-15
23,Manwolves,2018-05-29 12:14:45,2,24,2018-05-29
24,Manwolves,2018-06-12 12:14:45,2,25,2018-06-12
25,Manwolves,2018-06-26 12:14:45,2,26,2018-06-26
26,Manwolves,2018-07-10 12:14:45,2,27,2018-07-10
27,Manwolves,2018-07-24 12:14:45,2,28,2018-07-24
28,Manwolves,2018-08-07 12:14:45,2,29,2018-08-07
29,Manwolves,2018-08-21 12:14:45,2,30,2018-08-21
30,Manwolves,2018-09-04 12:14:45,2,31,2018-09-04
31,Manwolves,2018-09-18 12:14:45,2,32,2018-09-18
32,Manwolves,2018-10-02 12:14:45,2,33,2018-10-02
33,Manwolves,2018-10-16 12:14:45,2,34,2018-10-16
34,Manwolves,2018-10-30 12:14:45,2,35,2018-10-30
35,Manwolves,2018-11-13 12:14:45,2,36,2018-11-13
36,Manwolves,2018-11-27 12:14:45,2,37,2018-11-27
37,Manwolves,2018-12-11 12:14:45,2,38,2018-12-11
38,Manwolves,2018-12-25 12:14:45,2,39,2018-12-25
39,Manwolves,2019-01-08 12:14:45,2,40,2019-01-08
40,Manwolves,2019-01-22 12:14:45,2,41,2019-01-22
41,Manwolves,2019-02-05 12:14:45,2,42,2019-02-05
42,Manwolves,2019-02-19 12:14:45,2,43,2019-02-19
43,Manwolves,2019-03-05 12:14:45,2,44,2019-03-05
44,Manwolves,2019-03-19 12:14:45,2,45,2019-03-19
45,Manwolves,2019-04-02 12:14:45,2,46,2019-04-02
46,Manwolves,2019-04-16 12:14:45,2,47,2019-04-16
47,Manwolves,2019-04-30 12:14:45,2,48,2019-04-30
48,Manwolves,2019-05-14 12:14:45,2,49,2019-05-14
49,Manwolves,2019-05-28 12:14:45,2,50,2019-05-28
50,Manwolves,2019-06-11 12:14:45,2,51,2019-06-11
51,Manwolves,2019-06-25 12:14:45,2,52,2019-06-25
52,Manwolves,2019-07-09 12:14:45,2,53,2019-07-09
53,Manwolves,2019-07-23 12:14:45,2,54,2019-07-23
54,Manwolves,2019-08-06 12:14:45,2,55,2019-08-06
55,Manwolves,2019-08-20 12:14:45,2,56,2019-08-20
56,Manwolves,2019-09-03 12:14:45,2,57,2019-09-03
57,Manwolves,2019-09-17 12:14:45,2,58,2019-09-17
58,Manwolves,2019-10-01 12:14:45,2,59,2019-10-01
59,Manwolves,2019-10-15 12:14:45,2,60,2019-10-15
60,Manwolves,2019-10-29 12:14:45,2,61,2019-10-29
61,Manwolves,2019-11-12 12:14:45,2,62,2019-11-12
62,Manwolves,2019-11-26 12:14:45,2,63,2019-11-26
63,Manwolves,2019-12-10 12:14:45,2,64,2019-12-10
64,Manwolves,2019-12-24 12:14:45,2,65,2019-12-24
65,Manwolves,2020-01-07 12:14:45,2,66,2020-01-07
66,Manwolves,2020-01-21 12:14:45,2,67,2020-01-21
67,Manwolves,2020-02-04 12:14:45,3,68,2020-02-04
68,Manwolves,2020-02-18 12:14:45,3,69,2020-02-18
69,Manwolves,2020-03-03 12:14:45,3,70,2020-03-03
70,Manwolves,2020-03-17 12:14:45,3,71,2020-03-17
71,Manwolves,2020-03-31 12:14:45,3,72,2020-03-31
72,Manwolves,2020-04-14 12:14:45,3,73,2020-04-14
73,Billy Uomo,2017-07-11 12:14:45,0,1,2017-07-11
74,Billy Uomo,2017-07-25 12:14:45,0,2,2017-07-25
75,Billy Uomo,2017-08-08 12:14:45,0,3,2017-08-08
76,Billy Uomo,2017-08-22 12:14:45,0,4,2017-08-22
77,Billy Uomo,2017-09-05 12:14:45,0,5,2017-09-05
78,Billy Uomo,2017-09-19 12:14:45,0,6,2017-09-19
79,Billy Uomo,2017-10-03 12:14:45,0,7,2017-10-03
80,Billy Uomo,2017-10-17 12:14:45,0,8,2017-10-17
81,Billy Uomo,2017-10-31 12:14:45,0,9,2017-10-31
82,Billy Uomo,2017-11-14 12:14:45,0,10,2017-11-14
83,Billy Uomo,2017-11-28 12:14:45,0,11,2017-11-28
84,Billy Uomo,2017-12-12 12:14:45,0,12,2017-12-12
85,Billy Uomo,2017-12-26 12:14:45,0,13,2017-12-26
86,Billy Uomo,2018-01-09 12:14:45,0,14,2018-01-09
87,Billy Uomo,2018-01-23 12:14:45,0,15,2018-01-23
88,Billy Uomo,2018-02-06 12:14:45,0,16,2018-02-06
89,Billy Uomo,2018-02-20 12:14:45,0,17,2018-02-20
90,Billy Uomo,2018-03-06 12:14:45,0,18,2018-03-06
91,Billy Uomo,2018-03-20 12:14:45,0,19,2018-03-20
92,Billy Uomo,2018-04-03 12:14:45,0,20,2018-04-03
93,Billy Uomo,2018-04-17 12:14:45,0,21,2018-04-17
94,Billy Uomo,2018-05-01 12:14:45,0,22,2018-05-01
95,Billy Uomo,2018-05-15 12:14:45,0,23,2018-05-15
96,Billy Uomo,2018-05-29 12:14:45,0,24,2018-05-29
97,Billy Uomo,2018-06-12 12:14:45,0,25,2018-06-12
98,Billy Uomo,2018-06-26 12:14:45,0,26,2018-06-26
99,Billy Uomo,2018-07-10 12:14:45,0,27,2018-07-10
100,Billy Uomo,2018-07-24 12:14:45,0,28,2018-07-24
101,Billy Uomo,2018-08-07 12:14:45,0,29,2018-08-07
102,Billy Uomo,2018-08-21 12:14:45,0,30,2018-08-21
103,Billy Uomo,2018-09-04 12:14:45,1,31,2018-09-04
104,Billy Uomo,2018-09-18 12:14:45,1,32,2018-09-18
105,Billy Uomo,2018-10-02 12:14:45,1,33,2018-10-02
106,Billy Uomo,2018-10-16 12:14:45,1,34,2018-10-16
107,Billy Uomo,2018-10-30 12:14:45,1,35,2018-10-30
108,Billy Uomo,2018-11-13 12:14:45,1,36,2018-11-13
109,Billy Uomo,2018-11-27 12:14:45,1,37,2018-11-27
110,Billy Uomo,2018-12-11 12:14:45,1,38,2018-12-11
111,Billy Uomo,2018-12-25 12:14:45,1,39,2018-12-25
112,Billy Uomo,2019-01-08 12:14:45,1,40,2019-01-08
113,Billy Uomo,2019-01-22 12:14:45,1,41,2019-01-22
114,Billy Uomo,2019-02-05 12:14:45,1,42,2019-02-05
115,Billy Uomo,2019-02-19 12:14:45,1,43,2019-02-19
116,Billy Uomo,2019-03-05 12:14:45,1,44,2019-03-05
117,Billy Uomo,2019-03-19 12:14:45,1,45,2019-03-19
118,Billy Uomo,2019-04-02 12:14:45,1,46,2019-04-02
119,Billy Uomo,2019-04-16 12:14:45,1,47,2019-04-16
120,Billy Uomo,2019-04-30 12:14:45,1,48,2019-04-30
121,Billy Uomo,2019-05-14 12:14:45,1,49,2019-05-14
122,Billy Uomo,2019-05-28 12:14:45,1,50,2019-05-28
123,Billy Uomo,2019-06-11 12:14:45,1,51,2019-06-11
124,Billy Uomo,2019-06-25 12:14:45,1,52,2019-06-25
125,Billy Uomo,2019-07-09 12:14:45,1,53,2019-07-09
126,Billy Uomo,2019-07-23 12:14:45,1,54,2019-07-23
127,Billy Uomo,2019-08-06 12:14:45,1,55,2019-08-06
128,Billy Uomo,2019-08-20 12:14:45,1,56,2019-08-20
129,Billy Uomo,2019-09-03 12:14:45,1,57,2019-09-03
130,Billy Uomo,2019-09-17 12:14:45,1,58,2019-09-17
131,Billy Uomo,2019-10-01 12:14:45,1,59,2019-10-01
132,Billy Uomo,2019-10-15 12:14:45,1,60,2019-10-15
133,Billy Uomo,2019-10-29 12:14:45,1,61,2019-10-29
134,Billy Uomo,2019-11-12 12:14:45,1,62,2019-11-12
135,Billy Uomo,2019-11-26 12:14:45,1,63,2019-11-26
136,Billy Uomo,2019-12-10 12:14:45,1,64,2019-12-10
137,Billy Uomo,2019-12-24 12:14:45,1,65,2019-12-24
138,Billy Uomo,2020-01-07 12:14:45,1,66,2020-01-07
139,Billy Uomo,2020-01-21 12:14:45,1,67,2020-01-21
140,Billy Uomo,2020-02-04 12:14:45,1,68,2020-02-04
141,Billy Uomo,2020-02-18 12:14:45,1,69,2020-02-18
142,Billy Uomo,2020-03-03 12:14:45,1,70,2020-03-03
143,Billy Uomo,2020-03-17 12:14:45,1,71,2020-03-17
144,Billy Uomo,2020-03-31 12:14:45,1,72,2020-03-31
145,Billy Uomo,2020-04-14 12:14:45,1,73,2020-04-14
146,Charlie Burg,2017-07-11 12:14:45,0,1,2017-07-11
147,Charlie Burg,2017-07-25 12:14:45,0,2,2017-07-25
148,Charlie Burg,2017-08-08 12:14:45,0,3,2017-08-08
149,Charlie Burg,2017-08-22 12:14:45,0,4,2017-08-22
150,Charlie Burg,2017-09-05 12:14:45,0,5,2017-09-05
151,Charlie Burg,2017-09-19 12:14:45,0,6,2017-09-19
152,Charlie Burg,2017-10-03 12:14:45,0,7,2017-10-03
153,Charlie Burg,2017-10-17 12:14:45,0,8,2017-10-17
154,Charlie Burg,2017-10-31 12:14:45,0,9,2017-10-31
155,Charlie Burg,2017-11-14 12:14:45,0,10,2017-11-14
156,Charlie Burg,2017-11-28 12:14:45,0,11,2017-11-28
157,Charlie Burg,2017-12-12 12:14:45,0,12,2017-12-12
158,Charlie Burg,2017-12-26 12:14:45,0,13,2017-12-26
159,Charlie Burg,2018-01-09 12:14:45,0,14,2018-01-09
160,Charlie Burg,2018-01-23 12:14:45,0,15,2018-01-23
161,Charlie Burg,2018-02-06 12:14:45,0,16,2018-02-06
162,Charlie Burg,2018-02-20 12:14:45,0,17,2018-02-20
163,Charlie Burg,2018-03-06 12:14:45,0,18,2018-03-06
164,Charlie Burg,2018-03-20 12:14:45,0,19,2018-03-20
165,Charlie Burg,2018-04-03 12:14:45,0,20,2018-04-03
166,Charlie Burg,2018-04-17 12:14:45,0,21,2018-04-17
167,Charlie Burg,2018-05-01 12:14:45,0,22,2018-05-01
168,Charlie Burg,2018-05-15 12:14:45,0,23,2018-05-15
169,Charlie Burg,2018-05-29 12:14:45,0,24,2018-05-29
170,Charlie Burg,2018-06-12 12:14:45,0,25,2018-06-12
171,Charlie Burg,2018-06-26 12:14:45,0,26,2018-06-26
172,Charlie Burg,2018-07-10 12:14:45,0,27,2018-07-10
173,Charlie Burg,2018-07-24 12:14:45,0,28,2018-07-24
174,Charlie Burg,2018-08-07 12:14:45,0,29,2018-08-07
175,Charlie Burg,2018-08-21 12:14:45,0,30,2018-08-21
176,Charlie Burg,2018-09-04 12:14:45,1,31,2018-09-04
177,Charlie Burg,2018-09-18 12:14:45,1,32,2018-09-18
178,Charlie Burg,2018-10-02 12:14:45,1,33,2018-10-02
