,artist,endTime,sum,week,date
0,Traffic,2018-03-31 22:03:24,1,1,2018-03-31
1,Traffic,2018-04-14 22:03:24,1,2,2018-04-14
2,Traffic,2018-04-28 22:03:24,1,3,2018-04-28
3,Traffic,2018-05-12 22:03:24,1,4,2018-05-12
4,Traffic,2018-05-26 22:03:24,1,5,2018-05-26
5,Traffic,2018-06-09 22:03:24,1,6,2018-06-09
6,Traffic,2018-06-23 22:03:24,1,7,2018-06-23
7,Traffic,2018-07-07 22:03:24,2,8,2018-07-07
8,Traffic,2018-07-21 22:03:24,2,9,2018-07-21
9,Traffic,2018-08-04 22:03:24,2,10,2018-08-04
10,Traffic,2018-08-18 22:03:24,2,11,2018-08-18
11,Traffic,2018-09-01 22:03:24,2,12,2018-09-01
12,Traffic,2018-09-15 22:03:24,2,13,2018-09-15
13,Traffic,2018-09-29 22:03:24,2,14,2018-09-29
14,Traffic,2018-10-13 22:03:24,2,15,2018-10-13
15,Traffic,2018-10-27 22:03:24,2,16,2018-10-27
16,Traffic,2018-11-10 22:03:24,2,17,2018-11-10
17,Traffic,2018-11-24 22:03:24,2,18,2018-11-24
18,Traffic,2018-12-08 22:03:24,2,19,2018-12-08
19,Traffic,2018-12-22 22:03:24,2,20,2018-12-22
20,Traffic,2019-01-05 22:03:24,2,21,2019-01-05
21,Traffic,2019-01-19 22:03:24,2,22,2019-01-19
22,Traffic,2019-02-02 22:03:24,2,23,2019-02-02
23,Traffic,2019-02-16 22:03:24,2,24,2019-02-16
24,Traffic,2019-03-02 22:03:24,2,25,2019-03-02
25,Traffic,2019-03-16 22:03:24,2,26,2019-03-16
26,Traffic,2019-03-30 22:03:24,2,27,2019-03-30
27,Traffic,2019-04-13 22:03:24,2,28,2019-04-13
28,Traffic,2019-04-27 22:03:24,2,29,2019-04-27
29,Traffic,2019-05-11 22:03:24,2,30,2019-05-11
30,Traffic,2019-05-25 22:03:24,2,31,2019-05-25
31,Traffic,2019-06-08 22:03:24,2,32,2019-06-08
32,Traffic,2019-06-22 22:03:24,2,33,2019-06-22
33,Traffic,2019-07-06 22:03:24,2,34,2019-07-06
34,Traffic,2019-07-20 22:03:24,2,35,2019-07-20
35,Traffic,2019-08-03 22:03:24,2,36,2019-08-03
36,Traffic,2019-08-17 22:03:24,2,37,2019-08-17
37,Traffic,2019-08-31 22:03:24,2,38,2019-08-31
38,Traffic,2019-09-14 22:03:24,2,39,2019-09-14
39,Traffic,2019-09-28 22:03:24,2,40,2019-09-28
40,Ten Years After,2018-03-31 22:03:24,1,1,2018-03-31
41,Ten Years After,2018-04-14 22:03:24,1,2,2018-04-14
42,Ten Years After,2018-04-28 22:03:24,1,3,2018-04-28
43,Ten Years After,2018-05-12 22:03:24,1,4,2018-05-12
44,Ten Years After,2018-05-26 22:03:24,1,5,2018-05-26
45,Ten Years After,2018-06-09 22:03:24,1,6,2018-06-09
46,Ten Years After,2018-06-23 22:03:24,1,7,2018-06-23
47,Ten Years After,2018-07-07 22:03:24,1,8,2018-07-07
48,Ten Years After,2018-07-21 22:03:24,1,9,2018-07-21
49,Ten Years After,2018-08-04 22:03:24,1,10,2018-08-04
50,Ten Years After,2018-08-18 22:03:24,1,11,2018-08-18
51,Ten Years After,2018-09-01 22:03:24,1,12,2018-09-01
52,Ten Years After,2018-09-15 22:03:24,1,13,2018-09-15
53,Ten Years After,2018-09-29 22:03:24,1,14,2018-09-29
54,Ten Years After,2018-10-13 22:03:24,1,15,2018-10-13
55,Ten Years After,2018-10-27 22:03:24,1,16,2018-10-27
56,Ten Years After,2018-11-10 22:03:24,1,17,2018-11-10
57,Ten Years After,2018-11-24 22:03:24,1,18,2018-11-24
58,Ten Years After,2018-12-08 22:03:24,1,19,2018-12-08
