,artist,endTime,sum,week,date
0,Nick Drake,2017-01-02 18:33:11,2,1,2017-01-02
1,Nick Drake,2017-01-16 18:33:11,2,2,2017-01-16
2,Nick Drake,2017-01-30 18:33:11,2,3,2017-01-30
3,Nick Drake,2017-02-13 18:33:11,2,4,2017-02-13
4,Nick Drake,2017-02-27 18:33:11,2,5,2017-02-27
5,Nick Drake,2017-03-13 18:33:11,2,6,2017-03-13
6,Nick Drake,2017-03-27 18:33:11,3,7,2017-03-27
7,Nick Drake,2017-04-10 18:33:11,3,8,2017-04-10
8,Nick Drake,2017-04-24 18:33:11,3,9,2017-04-24
9,Nick Drake,2017-05-08 18:33:11,3,10,2017-05-08
10,Nick Drake,2017-05-22 18:33:11,3,11,2017-05-22
11,Nick Drake,2017-06-05 18:33:11,3,12,2017-06-05
12,Nick Drake,2017-06-19 18:33:11,3,13,2017-06-19
13,Nick Drake,2017-07-03 18:33:11,3,14,2017-07-03
14,Nick Drake,2017-07-17 18:33:11,3,15,2017-07-17
15,Nick Drake,2017-07-31 18:33:11,3,16,2017-07-31
16,Nick Drake,2017-08-14 18:33:11,3,17,2017-08-14
17,Nick Drake,2017-08-28 18:33:11,3,18,2017-08-28
18,Nick Drake,2017-09-11 18:33:11,3,19,2017-09-11
19,Nick Drake,2017-09-25 18:33:11,3,20,2017-09-25
20,Nick Drake,2017-10-09 18:33:11,3,21,2017-10-09
21,Nick Drake,2017-10-23 18:33:11,3,22,2017-10-23
22,Nick Drake,2017-11-06 18:33:11,3,23,2017-11-06
23,Nick Drake,2017-11-20 18:33:11,3,24,2017-11-20
24,Nick Drake,2017-12-04 18:33:11,3,25,2017-12-04
25,Nick Drake,2017-12-18 18:33:11,3,26,2017-12-18
26,Nick Drake,2018-01-01 18:33:11,3,27,2018-01-01
27,Nick Drake,2018-01-15 18:33:11,4,28,2018-01-15
28,Nick Drake,2018-01-29 18:33:11,4,29,2018-01-29
29,Nick Drake,2018-02-12 18:33:11,4,30,2018-02-12
30,Nick Drake,2018-02-26 18:33:11,4,31,2018-02-26
31,Nick Drake,2018-03-12 18:33:11,4,32,2018-03-12
32,Nick Drake,2018-03-26 18:33:11,4,33,2018-03-26
33,Nick Drake,2018-04-09 18:33:11,4,34,2018-04-09
34,Nick Drake,2018-04-23 18:33:11,4,35,2018-04-23
35,Nick Drake,2018-05-07 18:33:11,4,36,2018-05-07
36,Nick Drake,2018-05-21 18:33:11,4,37,2018-05-21
37,Nick Drake,2018-06-04 18:33:11,4,38,2018-06-04
38,Nick Drake,2018-06-18 18:33:11,4,39,2018-06-18
39,Nick Drake,2018-07-02 18:33:11,5,40,2018-07-02
40,Nick Drake,2018-07-16 18:33:11,5,41,2018-07-16
41,Nick Drake,2018-07-30 18:33:11,5,42,2018-07-30
42,Nick Drake,2018-08-13 18:33:11,5,43,2018-08-13
43,Nick Drake,2018-08-27 18:33:11,5,44,2018-08-27
44,Nick Drake,2018-09-10 18:33:11,5,45,2018-09-10
45,Nick Drake,2018-09-24 18:33:11,5,46,2018-09-24
46,Nick Drake,2018-10-08 18:33:11,5,47,2018-10-08
47,Nick Drake,2018-10-22 18:33:11,5,48,2018-10-22
48,Nick Drake,2018-11-05 18:33:11,5,49,2018-11-05
49,Nick Drake,2018-11-19 18:33:11,5,50,2018-11-19
50,Nick Drake,2018-12-03 18:33:11,5,51,2018-12-03
51,Nick Drake,2018-12-17 18:33:11,5,52,2018-12-17
52,Nick Drake,2018-12-31 18:33:11,5,53,2018-12-31
53,Nick Drake,2019-01-14 18:33:11,5,54,2019-01-14
54,Nick Drake,2019-01-28 18:33:11,5,55,2019-01-28
55,Nick Drake,2019-02-11 18:33:11,5,56,2019-02-11
56,Nick Drake,2019-02-25 18:33:11,5,57,2019-02-25
57,Nick Drake,2019-03-11 18:33:11,5,58,2019-03-11
58,Nick Drake,2019-03-25 18:33:11,5,59,2019-03-25
59,Nick Drake,2019-04-08 18:33:11,5,60,2019-04-08
60,Nick Drake,2019-04-22 18:33:11,5,61,2019-04-22
61,Nick Drake,2019-05-06 18:33:11,5,62,2019-05-06
62,Nick Drake,2019-05-20 18:33:11,5,63,2019-05-20
63,Nick Drake,2019-06-03 18:33:11,5,64,2019-06-03
64,Nick Drake,2019-06-17 18:33:11,5,65,2019-06-17
65,Nick Drake,2019-07-01 18:33:11,5,66,2019-07-01
66,Nick Drake,2019-07-15 18:33:11,5,67,2019-07-15
67,Nick Drake,2019-07-29 18:33:11,5,68,2019-07-29
68,Nick Drake,2019-08-12 18:33:11,5,69,2019-08-12
69,Nick Drake,2019-08-26 18:33:11,5,70,2019-08-26
70,Nick Drake,2019-09-09 18:33:11,5,71,2019-09-09
71,Cat Stevens,2017-01-02 18:33:11,2,1,2017-01-02
72,Cat Stevens,2017-01-16 18:33:11,2,2,2017-01-16
73,Cat Stevens,2017-01-30 18:33:11,2,3,2017-01-30
74,Cat Stevens,2017-02-13 18:33:11,2,4,2017-02-13
75,Cat Stevens,2017-02-27 18:33:11,2,5,2017-02-27
76,Cat Stevens,2017-03-13 18:33:11,2,6,2017-03-13
77,Cat Stevens,2017-03-27 18:33:11,2,7,2017-03-27
78,Cat Stevens,2017-04-10 18:33:11,2,8,2017-04-10
79,Cat Stevens,2017-04-24 18:33:11,2,9,2017-04-24
80,Cat Stevens,2017-05-08 18:33:11,2,10,2017-05-08
81,Cat Stevens,2017-05-22 18:33:11,2,11,2017-05-22
82,Cat Stevens,2017-06-05 18:33:11,2,12,2017-06-05
83,Cat Stevens,2017-06-19 18:33:11,2,13,2017-06-19
84,Cat Stevens,2017-07-03 18:33:11,2,14,2017-07-03
85,Cat Stevens,2017-07-17 18:33:11,2,15,2017-07-17
86,Cat Stevens,2017-07-31 18:33:11,2,16,2017-07-31
87,Cat Stevens,2017-08-14 18:33:11,2,17,2017-08-14
88,Cat Stevens,2017-08-28 18:33:11,2,18,2017-08-28
89,Cat Stevens,2017-09-11 18:33:11,2,19,2017-09-11
90,Cat Stevens,2017-09-25 18:33:11,2,20,2017-09-25
91,Cat Stevens,2017-10-09 18:33:11,2,21,2017-10-09
92,Cat Stevens,2017-10-23 18:33:11,2,22,2017-10-23
93,Cat Stevens,2017-11-06 18:33:11,2,23,2017-11-06
94,Cat Stevens,2017-11-20 18:33:11,2,24,2017-11-20
95,Cat Stevens,2017-12-04 18:33:11,2,25,2017-12-04
96,Cat Stevens,2017-12-18 18:33:11,2,26,2017-12-18
97,Cat Stevens,2018-01-01 18:33:11,2,27,2018-01-01
98,Cat Stevens,2018-01-15 18:33:11,2,28,2018-01-15
99,Cat Stevens,2018-01-29 18:33:11,2,29,2018-01-29
100,Cat Stevens,2018-02-12 18:33:11,2,30,2018-02-12
101,Cat Stevens,2018-02-26 18:33:11,2,31,2018-02-26
102,Cat Stevens,2018-03-12 18:33:11,2,32,2018-03-12
103,Cat Stevens,2018-03-26 18:33:11,4,33,2018-03-26
104,Cat Stevens,2018-04-09 18:33:11,4,34,2018-04-09
105,Cat Stevens,2018-04-23 18:33:11,4,35,2018-04-23
106,Cat Stevens,2018-05-07 18:33:11,4,36,2018-05-07
107,Cat Stevens,2018-05-21 18:33:11,4,37,2018-05-21
108,Cat Stevens,2018-06-04 18:33:11,4,38,2018-06-04
109,Cat Stevens,2018-06-18 18:33:11,4,39,2018-06-18
110,Cat Stevens,2018-07-02 18:33:11,4,40,2018-07-02
111,Cat Stevens,2018-07-16 18:33:11,4,41,2018-07-16
112,Cat Stevens,2018-07-30 18:33:11,4,42,2018-07-30
113,Cat Stevens,2018-08-13 18:33:11,4,43,2018-08-13
114,Cat Stevens,2018-08-27 18:33:11,4,44,2018-08-27
115,Cat Stevens,2018-09-10 18:33:11,4,45,2018-09-10
116,Cat Stevens,2018-09-24 18:33:11,4,46,2018-09-24
117,Cat Stevens,2018-10-08 18:33:11,4,47,2018-10-08
118,Cat Stevens,2018-10-22 18:33:11,4,48,2018-10-22
119,Cat Stevens,2018-11-05 18:33:11,4,49,2018-11-05
120,Cat Stevens,2018-11-19 18:33:11,4,50,2018-11-19
121,Cat Stevens,2018-12-03 18:33:11,4,51,2018-12-03
122,Cat Stevens,2018-12-17 18:33:11,4,52,2018-12-17
123,Cat Stevens,2018-12-31 18:33:11,4,53,2018-12-31
124,Cat Stevens,2019-01-14 18:33:11,4,54,2019-01-14
125,Cat Stevens,2019-01-28 18:33:11,4,55,2019-01-28
126,Cat Stevens,2019-02-11 18:33:11,4,56,2019-02-11
127,Cat Stevens,2019-02-25 18:33:11,4,57,2019-02-25
128,Cat Stevens,2019-03-11 18:33:11,4,58,2019-03-11
