,artist,endTime,sum,week,date
0,Lianne La Havas,2016-11-10 16:37:33,1,1,2016-11-10
1,Lianne La Havas,2016-11-24 16:37:33,1,2,2016-11-24
2,Lianne La Havas,2016-12-08 16:37:33,1,3,2016-12-08
3,Lianne La Havas,2016-12-22 16:37:33,1,4,2016-12-22
4,Lianne La Havas,2017-01-05 16:37:33,1,5,2017-01-05
5,Lianne La Havas,2017-01-19 16:37:33,1,6,2017-01-19
6,Lianne La Havas,2017-02-02 16:37:33,1,7,2017-02-02
7,Lianne La Havas,2017-02-16 16:37:33,1,8,2017-02-16
8,Lianne La Havas,2017-03-02 16:37:33,1,9,2017-03-02
9,Lianne La Havas,2017-03-16 16:37:33,1,10,2017-03-16
10,Lianne La Havas,2017-03-30 16:37:33,1,11,2017-03-30
11,Lianne La Havas,2017-04-13 16:37:33,1,12,2017-04-13
12,Lianne La Havas,2017-04-27 16:37:33,1,13,2017-04-27
13,Lianne La Havas,2017-05-11 16:37:33,1,14,2017-05-11
14,Lianne La Havas,2017-05-25 16:37:33,1,15,2017-05-25
15,Lianne La Havas,2017-06-08 16:37:33,1,16,2017-06-08
16,Lianne La Havas,2017-06-22 16:37:33,1,17,2017-06-22
17,Lianne La Havas,2017-07-06 16:37:33,1,18,2017-07-06
18,Lianne La Havas,2017-07-20 16:37:33,1,19,2017-07-20
19,Lianne La Havas,2017-08-03 16:37:33,1,20,2017-08-03
20,Lianne La Havas,2017-08-17 16:37:33,1,21,2017-08-17
21,Lianne La Havas,2017-08-31 16:37:33,1,22,2017-08-31
22,Lianne La Havas,2017-09-14 16:37:33,1,23,2017-09-14
23,Lianne La Havas,2017-09-28 16:37:33,1,24,2017-09-28
24,Lianne La Havas,2017-10-12 16:37:33,1,25,2017-10-12
25,Lianne La Havas,2017-10-26 16:37:33,1,26,2017-10-26
26,Lianne La Havas,2017-11-09 16:37:33,1,27,2017-11-09
27,Lianne La Havas,2017-11-23 16:37:33,1,28,2017-11-23
28,Lianne La Havas,2017-12-07 16:37:33,1,29,2017-12-07
29,Lianne La Havas,2017-12-21 16:37:33,1,30,2017-12-21
30,Lianne La Havas,2018-01-04 16:37:33,1,31,2018-01-04
31,Lianne La Havas,2018-01-18 16:37:33,1,32,2018-01-18
32,Lianne La Havas,2018-02-01 16:37:33,1,33,2018-02-01
33,Lianne La Havas,2018-02-15 16:37:33,1,34,2018-02-15
34,Lianne La Havas,2018-03-01 16:37:33,1,35,2018-03-01
35,Lianne La Havas,2018-03-15 16:37:33,1,36,2018-03-15
36,Lianne La Havas,2018-03-29 16:37:33,1,37,2018-03-29
37,Lianne La Havas,2018-04-12 16:37:33,1,38,2018-04-12
38,Lianne La Havas,2018-04-26 16:37:33,1,39,2018-04-26
39,Lianne La Havas,2018-05-10 16:37:33,1,40,2018-05-10
40,Lianne La Havas,2018-05-24 16:37:33,1,41,2018-05-24
