,artist,endTime,sum,week,date
0,The Archies,2016-08-27 15:57:39,2,1,2016-08-27
1,The Archies,2016-09-10 15:57:39,2,2,2016-09-10
2,The Archies,2016-09-24 15:57:39,2,3,2016-09-24
3,The Archies,2016-10-08 15:57:39,2,4,2016-10-08
4,The Archies,2016-10-22 15:57:39,2,5,2016-10-22
5,The Archies,2016-11-05 15:57:39,2,6,2016-11-05
6,The Archies,2016-11-19 15:57:39,2,7,2016-11-19
7,The Archies,2016-12-03 15:57:39,2,8,2016-12-03
8,The Archies,2016-12-17 15:57:39,2,9,2016-12-17
9,The Archies,2016-12-31 15:57:39,2,10,2016-12-31
10,The Archies,2017-01-14 15:57:39,2,11,2017-01-14
11,The Archies,2017-01-28 15:57:39,2,12,2017-01-28
12,The Archies,2017-02-11 15:57:39,2,13,2017-02-11
13,The Archies,2017-02-25 15:57:39,2,14,2017-02-25
14,The Archies,2017-03-11 15:57:39,2,15,2017-03-11
15,The Archies,2017-03-25 15:57:39,2,16,2017-03-25
16,The Archies,2017-04-08 15:57:39,2,17,2017-04-08
17,The Archies,2017-04-22 15:57:39,2,18,2017-04-22
18,The Archies,2017-05-06 15:57:39,2,19,2017-05-06
19,The Archies,2017-05-20 15:57:39,2,20,2017-05-20
20,The Archies,2017-06-03 15:57:39,2,21,2017-06-03
21,The Archies,2017-06-17 15:57:39,2,22,2017-06-17
22,The Archies,2017-07-01 15:57:39,2,23,2017-07-01
23,The Archies,2017-07-15 15:57:39,2,24,2017-07-15
24,The Archies,2017-07-29 15:57:39,2,25,2017-07-29
25,The Archies,2017-08-12 15:57:39,2,26,2017-08-12
26,The Archies,2017-08-26 15:57:39,2,27,2017-08-26
27,The Archies,2017-09-09 15:57:39,2,28,2017-09-09
28,The Archies,2017-09-23 15:57:39,2,29,2017-09-23
29,The Archies,2017-10-07 15:57:39,2,30,2017-10-07
30,The Archies,2017-10-21 15:57:39,2,31,2017-10-21
31,The Archies,2017-11-04 15:57:39,2,32,2017-11-04
32,The Archies,2017-11-18 15:57:39,2,33,2017-11-18
33,The Archies,2017-12-02 15:57:39,2,34,2017-12-02
34,The Archies,2017-12-16 15:57:39,2,35,2017-12-16
35,The Archies,2017-12-30 15:57:39,2,36,2017-12-30
36,The Archies,2018-01-13 15:57:39,2,37,2018-01-13
37,The Archies,2018-01-27 15:57:39,2,38,2018-01-27
38,The Archies,2018-02-10 15:57:39,2,39,2018-02-10
39,The Archies,2018-02-24 15:57:39,2,40,2018-02-24
40,The Archies,2018-03-10 15:57:39,2,41,2018-03-10
41,The Archies,2018-03-24 15:57:39,2,42,2018-03-24
42,The Archies,2018-04-07 15:57:39,2,43,2018-04-07
43,The Archies,2018-04-21 15:57:39,2,44,2018-04-21
44,The Archies,2018-05-05 15:57:39,2,45,2018-05-05
45,The Archies,2018-05-19 15:57:39,2,46,2018-05-19
46,The Archies,2018-06-02 15:57:39,2,47,2018-06-02
47,The Archies,2018-06-16 15:57:39,2,48,2018-06-16
48,The Archies,2018-06-30 15:57:39,2,49,2018-06-30
49,The Archies,2018-07-14 15:57:39,2,50,2018-07-14
50,The Archies,2018-07-28 15:57:39,2,51,2018-07-28
51,The Archies,2018-08-11 15:57:39,2,52,2018-08-11
52,The Archies,2018-08-25 15:57:39,2,53,2018-08-25
53,The Archies,2018-09-08 15:57:39,2,54,2018-09-08
54,The Archies,2018-09-22 15:57:39,2,55,2018-09-22
55,The Archies,2018-10-06 15:57:39,2,56,2018-10-06
56,The Archies,2018-10-20 15:57:39,2,57,2018-10-20
57,The Archies,2018-11-03 15:57:39,2,58,2018-11-03
58,The Archies,2018-11-17 15:57:39,2,59,2018-11-17
59,The Archies,2018-12-01 15:57:39,2,60,2018-12-01
60,The Archies,2018-12-15 15:57:39,2,61,2018-12-15
61,The Archies,2018-12-29 15:57:39,2,62,2018-12-29
62,The Archies,2019-01-12 15:57:39,2,63,2019-01-12
63,The Archies,2019-01-26 15:57:39,2,64,2019-01-26
64,The Archies,2019-02-09 15:57:39,2,65,2019-02-09
65,The Archies,2019-02-23 15:57:39,2,66,2019-02-23
66,The Archies,2019-03-09 15:57:39,2,67,2019-03-09
