,artist,endTime,sum,week,date
0,DOM KENNEDY,2016-03-23 22:16:31,1,1,2016-03-23
1,DOM KENNEDY,2016-04-06 22:16:31,1,2,2016-04-06
2,DOM KENNEDY,2016-04-20 22:16:31,1,3,2016-04-20
3,DOM KENNEDY,2016-05-04 22:16:31,1,4,2016-05-04
4,DOM KENNEDY,2016-05-18 22:16:31,1,5,2016-05-18
5,DOM KENNEDY,2016-06-01 22:16:31,1,6,2016-06-01
6,DOM KENNEDY,2016-06-15 22:16:31,1,7,2016-06-15
7,DOM KENNEDY,2016-06-29 22:16:31,1,8,2016-06-29
8,DOM KENNEDY,2016-07-13 22:16:31,1,9,2016-07-13
9,DOM KENNEDY,2016-07-27 22:16:31,1,10,2016-07-27
10,DOM KENNEDY,2016-08-10 22:16:31,1,11,2016-08-10
11,DOM KENNEDY,2016-08-24 22:16:31,1,12,2016-08-24
12,DOM KENNEDY,2016-09-07 22:16:31,1,13,2016-09-07
13,DOM KENNEDY,2016-09-21 22:16:31,1,14,2016-09-21
14,DOM KENNEDY,2016-10-05 22:16:31,1,15,2016-10-05
15,DOM KENNEDY,2016-10-19 22:16:31,1,16,2016-10-19
16,DOM KENNEDY,2016-11-02 22:16:31,1,17,2016-11-02
17,DOM KENNEDY,2016-11-16 22:16:31,1,18,2016-11-16
18,DOM KENNEDY,2016-11-30 22:16:31,1,19,2016-11-30
19,DOM KENNEDY,2016-12-14 22:16:31,1,20,2016-12-14
20,DOM KENNEDY,2016-12-28 22:16:31,1,21,2016-12-28
21,DOM KENNEDY,2017-01-11 22:16:31,1,22,2017-01-11
22,DOM KENNEDY,2017-01-25 22:16:31,1,23,2017-01-25
23,DOM KENNEDY,2017-02-08 22:16:31,1,24,2017-02-08
24,DOM KENNEDY,2017-02-22 22:16:31,1,25,2017-02-22
25,DOM KENNEDY,2017-03-08 22:16:31,1,26,2017-03-08
26,DOM KENNEDY,2017-03-22 22:16:31,1,27,2017-03-22
27,DOM KENNEDY,2017-04-05 22:16:31,1,28,2017-04-05
28,DOM KENNEDY,2017-04-19 22:16:31,1,29,2017-04-19
