,artist,endTime,sum,week,date
0,Daniel Caesar,2017-09-22 18:25:43,9,1,2017-09-22
1,Daniel Caesar,2017-10-06 18:25:43,9,2,2017-10-06
2,Daniel Caesar,2017-10-20 18:25:43,9,3,2017-10-20
3,Daniel Caesar,2017-11-03 18:25:43,9,4,2017-11-03
4,Daniel Caesar,2017-11-17 18:25:43,9,5,2017-11-17
5,Daniel Caesar,2017-12-01 18:25:43,9,6,2017-12-01
6,Daniel Caesar,2017-12-15 18:25:43,10,7,2017-12-15
7,Daniel Caesar,2017-12-29 18:25:43,10,8,2017-12-29
8,Daniel Caesar,2018-01-12 18:25:43,10,9,2018-01-12
9,Daniel Caesar,2018-01-26 18:25:43,11,10,2018-01-26
10,Daniel Caesar,2018-02-09 18:25:43,11,11,2018-02-09
11,Daniel Caesar,2018-02-23 18:25:43,11,12,2018-02-23
12,Daniel Caesar,2018-03-09 18:25:43,11,13,2018-03-09
13,Daniel Caesar,2018-03-23 18:25:43,11,14,2018-03-23
14,Daniel Caesar,2018-04-06 18:25:43,12,15,2018-04-06
15,Daniel Caesar,2018-04-20 18:25:43,12,16,2018-04-20
16,Daniel Caesar,2018-05-04 18:25:43,12,17,2018-05-04
17,Daniel Caesar,2018-05-18 18:25:43,12,18,2018-05-18
18,Daniel Caesar,2018-06-01 18:25:43,23,19,2018-06-01
19,Daniel Caesar,2018-06-15 18:25:43,23,20,2018-06-15
20,Daniel Caesar,2018-06-29 18:25:43,23,21,2018-06-29
21,Daniel Caesar,2018-07-13 18:25:43,23,22,2018-07-13
22,Daniel Caesar,2018-07-27 18:25:43,23,23,2018-07-27
23,Daniel Caesar,2018-08-10 18:25:43,23,24,2018-08-10
24,Daniel Caesar,2018-08-24 18:25:43,23,25,2018-08-24
25,Daniel Caesar,2018-09-07 18:25:43,23,26,2018-09-07
26,Daniel Caesar,2018-09-21 18:25:43,23,27,2018-09-21
27,Daniel Caesar,2018-10-05 18:25:43,23,28,2018-10-05
28,Daniel Caesar,2018-10-19 18:25:43,23,29,2018-10-19
29,Daniel Caesar,2018-11-02 18:25:43,23,30,2018-11-02
30,Daniel Caesar,2018-11-16 18:25:43,23,31,2018-11-16
31,Daniel Caesar,2018-11-30 18:25:43,23,32,2018-11-30
32,Daniel Caesar,2018-12-14 18:25:43,23,33,2018-12-14
33,Daniel Caesar,2018-12-28 18:25:43,23,34,2018-12-28
34,Daniel Caesar,2019-01-11 18:25:43,23,35,2019-01-11
35,Daniel Caesar,2019-01-25 18:25:43,23,36,2019-01-25
36,Daniel Caesar,2019-02-08 18:25:43,23,37,2019-02-08
37,Daniel Caesar,2019-02-22 18:25:43,24,38,2019-02-22
38,Daniel Caesar,2019-03-08 18:25:43,24,39,2019-03-08
39,Daniel Caesar,2019-03-22 18:25:43,27,40,2019-03-22
40,Daniel Caesar,2019-04-05 18:25:43,27,41,2019-04-05
41,Daniel Caesar,2019-04-19 18:25:43,27,42,2019-04-19
42,Daniel Caesar,2019-05-03 18:25:43,27,43,2019-05-03
43,Daniel Caesar,2019-05-17 18:25:43,27,44,2019-05-17
44,Daniel Caesar,2019-05-31 18:25:43,27,45,2019-05-31
45,Daniel Caesar,2019-06-14 18:25:43,27,46,2019-06-14
46,Daniel Caesar,2019-06-28 18:25:43,27,47,2019-06-28
47,Daniel Caesar,2019-07-12 18:25:43,27,48,2019-07-12
48,Daniel Caesar,2019-07-26 18:25:43,27,49,2019-07-26
49,Daniel Caesar,2019-08-09 18:25:43,27,50,2019-08-09
50,Daniel Caesar,2019-08-23 18:25:43,27,51,2019-08-23
51,Daniel Caesar,2019-09-06 18:25:43,27,52,2019-09-06
52,Daniel Caesar,2019-09-20 18:25:43,27,53,2019-09-20
53,Daniel Caesar,2019-10-04 18:25:43,27,54,2019-10-04
54,Daniel Caesar,2019-10-18 18:25:43,27,55,2019-10-18
55,Daniel Caesar,2019-11-01 18:25:43,28,56,2019-11-01
56,Daniel Caesar,2019-11-15 18:25:43,28,57,2019-11-15
57,Daniel Caesar,2019-11-29 18:25:43,28,58,2019-11-29
58,Daniel Caesar,2019-12-13 18:25:43,28,59,2019-12-13
59,Daniel Caesar,2019-12-27 18:25:43,29,60,2019-12-27
60,Daniel Caesar,2020-01-10 18:25:43,29,61,2020-01-10
61,Daniel Caesar,2020-01-24 18:25:43,29,62,2020-01-24
62,Daniel Caesar,2020-02-07 18:25:43,29,63,2020-02-07
63,Daniel Caesar,2020-02-21 18:25:43,29,64,2020-02-21
64,The Weeknd,2017-09-22 18:25:43,0,1,2017-09-22
65,The Weeknd,2017-10-06 18:25:43,0,2,2017-10-06
66,The Weeknd,2017-10-20 18:25:43,0,3,2017-10-20
67,The Weeknd,2017-11-03 18:25:43,0,4,2017-11-03
68,The Weeknd,2017-11-17 18:25:43,0,5,2017-11-17
69,The Weeknd,2017-12-01 18:25:43,0,6,2017-12-01
70,The Weeknd,2017-12-15 18:25:43,0,7,2017-12-15
71,The Weeknd,2017-12-29 18:25:43,0,8,2017-12-29
72,The Weeknd,2018-01-12 18:25:43,0,9,2018-01-12
73,The Weeknd,2018-01-26 18:25:43,0,10,2018-01-26
74,The Weeknd,2018-02-09 18:25:43,2,11,2018-02-09
75,The Weeknd,2018-02-23 18:25:43,2,12,2018-02-23
76,The Weeknd,2018-03-09 18:25:43,2,13,2018-03-09
77,The Weeknd,2018-03-23 18:25:43,2,14,2018-03-23
78,The Weeknd,2018-04-06 18:25:43,2,15,2018-04-06
79,The Weeknd,2018-04-20 18:25:43,2,16,2018-04-20
80,The Weeknd,2018-05-04 18:25:43,2,17,2018-05-04
81,The Weeknd,2018-05-18 18:25:43,2,18,2018-05-18
82,The Weeknd,2018-06-01 18:25:43,2,19,2018-06-01
83,The Weeknd,2018-06-15 18:25:43,2,20,2018-06-15
84,The Weeknd,2018-06-29 18:25:43,2,21,2018-06-29
85,The Weeknd,2018-07-13 18:25:43,2,22,2018-07-13
