,artist,endTime,sum,week,date
0,Gordon Lightfoot,2016-09-10 17:05:07,1,1,2016-09-10
1,Gordon Lightfoot,2016-09-24 17:05:07,1,2,2016-09-24
2,Gordon Lightfoot,2016-10-08 17:05:07,1,3,2016-10-08
3,Gordon Lightfoot,2016-10-22 17:05:07,1,4,2016-10-22
4,Gordon Lightfoot,2016-11-05 17:05:07,1,5,2016-11-05
5,Gordon Lightfoot,2016-11-19 17:05:07,1,6,2016-11-19
6,Gordon Lightfoot,2016-12-03 17:05:07,1,7,2016-12-03
7,Gordon Lightfoot,2016-12-17 17:05:07,1,8,2016-12-17
8,Gordon Lightfoot,2016-12-31 17:05:07,1,9,2016-12-31
9,Gordon Lightfoot,2017-01-14 17:05:07,1,10,2017-01-14
10,Gordon Lightfoot,2017-01-28 17:05:07,1,11,2017-01-28
11,Gordon Lightfoot,2017-02-11 17:05:07,1,12,2017-02-11
12,Gordon Lightfoot,2017-02-25 17:05:07,1,13,2017-02-25
13,Gordon Lightfoot,2017-03-11 17:05:07,1,14,2017-03-11
14,Gordon Lightfoot,2017-03-25 17:05:07,1,15,2017-03-25
15,Gordon Lightfoot,2017-04-08 17:05:07,1,16,2017-04-08
16,Gordon Lightfoot,2017-04-22 17:05:07,1,17,2017-04-22
17,Gordon Lightfoot,2017-05-06 17:05:07,1,18,2017-05-06
18,Gordon Lightfoot,2017-05-20 17:05:07,1,19,2017-05-20
19,Gordon Lightfoot,2017-06-03 17:05:07,1,20,2017-06-03
20,Gordon Lightfoot,2017-06-17 17:05:07,1,21,2017-06-17
21,Gordon Lightfoot,2017-07-01 17:05:07,1,22,2017-07-01
22,Gordon Lightfoot,2017-07-15 17:05:07,1,23,2017-07-15
23,Gordon Lightfoot,2017-07-29 17:05:07,1,24,2017-07-29
24,Gordon Lightfoot,2017-08-12 17:05:07,1,25,2017-08-12
25,Gordon Lightfoot,2017-08-26 17:05:07,1,26,2017-08-26
26,Gordon Lightfoot,2017-09-09 17:05:07,1,27,2017-09-09
27,Gordon Lightfoot,2017-09-23 17:05:07,1,28,2017-09-23
28,Gordon Lightfoot,2017-10-07 17:05:07,1,29,2017-10-07
29,Gordon Lightfoot,2017-10-21 17:05:07,1,30,2017-10-21
30,Gordon Lightfoot,2017-11-04 17:05:07,1,31,2017-11-04
31,Gordon Lightfoot,2017-11-18 17:05:07,1,32,2017-11-18
32,Gordon Lightfoot,2017-12-02 17:05:07,1,33,2017-12-02
33,Gordon Lightfoot,2017-12-16 17:05:07,1,34,2017-12-16
34,Gordon Lightfoot,2017-12-30 17:05:07,1,35,2017-12-30
35,Gordon Lightfoot,2018-01-13 17:05:07,1,36,2018-01-13
36,Gordon Lightfoot,2018-01-27 17:05:07,1,37,2018-01-27
37,Gordon Lightfoot,2018-02-10 17:05:07,1,38,2018-02-10
38,Gordon Lightfoot,2018-02-24 17:05:07,1,39,2018-02-24
39,Gordon Lightfoot,2018-03-10 17:05:07,1,40,2018-03-10
40,Gordon Lightfoot,2018-03-24 17:05:07,1,41,2018-03-24
41,Gordon Lightfoot,2018-04-07 17:05:07,1,42,2018-04-07
42,Gordon Lightfoot,2018-04-21 17:05:07,1,43,2018-04-21
43,Gordon Lightfoot,2018-05-05 17:05:07,1,44,2018-05-05
44,Gordon Lightfoot,2018-05-19 17:05:07,1,45,2018-05-19
45,Gordon Lightfoot,2018-06-02 17:05:07,1,46,2018-06-02
46,Gordon Lightfoot,2018-06-16 17:05:07,1,47,2018-06-16
47,Gordon Lightfoot,2018-06-30 17:05:07,1,48,2018-06-30
48,Gordon Lightfoot,2018-07-14 17:05:07,1,49,2018-07-14
49,Gordon Lightfoot,2018-07-28 17:05:07,1,50,2018-07-28
50,Gordon Lightfoot,2018-08-11 17:05:07,1,51,2018-08-11
51,Gordon Lightfoot,2018-08-25 17:05:07,1,52,2018-08-25
52,Gordon Lightfoot,2018-09-08 17:05:07,1,53,2018-09-08
53,Gordon Lightfoot,2018-09-22 17:05:07,1,54,2018-09-22
54,Gordon Lightfoot,2018-10-06 17:05:07,1,55,2018-10-06
55,Gordon Lightfoot,2018-10-20 17:05:07,1,56,2018-10-20
56,Gordon Lightfoot,2018-11-03 17:05:07,1,57,2018-11-03
57,Gordon Lightfoot,2018-11-17 17:05:07,1,58,2018-11-17
58,Gordon Lightfoot,2018-12-01 17:05:07,1,59,2018-12-01
59,Gordon Lightfoot,2018-12-15 17:05:07,1,60,2018-12-15
60,Gordon Lightfoot,2018-12-29 17:05:07,1,61,2018-12-29
61,Gordon Lightfoot,2019-01-12 17:05:07,1,62,2019-01-12
62,Gordon Lightfoot,2019-01-26 17:05:07,1,63,2019-01-26
63,Gordon Lightfoot,2019-02-09 17:05:07,1,64,2019-02-09
64,Gordon Lightfoot,2019-02-23 17:05:07,1,65,2019-02-23
65,Gordon Lightfoot,2019-03-09 17:05:07,1,66,2019-03-09
66,Gordon Lightfoot,2019-03-23 17:05:07,1,67,2019-03-23
67,Gordon Lightfoot,2019-04-06 17:05:07,1,68,2019-04-06
68,Gordon Lightfoot,2019-04-20 17:05:07,1,69,2019-04-20
69,Gordon Lightfoot,2019-05-04 17:05:07,1,70,2019-05-04
70,Gordon Lightfoot,2019-05-18 17:05:07,1,71,2019-05-18
71,Gordon Lightfoot,2019-06-01 17:05:07,1,72,2019-06-01
72,Gordon Lightfoot,2019-06-15 17:05:07,1,73,2019-06-15
73,Gordon Lightfoot,2019-06-29 17:05:07,1,74,2019-06-29
74,Gordon Lightfoot,2019-07-13 17:05:07,1,75,2019-07-13
75,Gordon Lightfoot,2019-07-27 17:05:07,1,76,2019-07-27
76,Gordon Lightfoot,2019-08-10 17:05:07,1,77,2019-08-10
77,Gordon Lightfoot,2019-08-24 17:05:07,1,78,2019-08-24
78,Gordon Lightfoot,2019-09-07 17:05:07,1,79,2019-09-07
79,Gordon Lightfoot,2019-09-21 17:05:07,1,80,2019-09-21
80,Gordon Lightfoot,2019-10-05 17:05:07,1,81,2019-10-05
81,Gordon Lightfoot,2019-10-19 17:05:07,1,82,2019-10-19
82,Gordon Lightfoot,2019-11-02 17:05:07,1,83,2019-11-02
83,Gordon Lightfoot,2019-11-16 17:05:07,1,84,2019-11-16
84,Gordon Lightfoot,2019-11-30 17:05:07,1,85,2019-11-30
85,Gordon Lightfoot,2019-12-14 17:05:07,1,86,2019-12-14
86,Gordon Lightfoot,2019-12-28 17:05:07,1,87,2019-12-28
87,Gordon Lightfoot,2020-01-11 17:05:07,1,88,2020-01-11
88,Gordon Lightfoot,2020-01-25 17:05:07,1,89,2020-01-25
89,Gordon Lightfoot,2020-02-08 17:05:07,1,90,2020-02-08
90,Gordon Lightfoot,2020-02-22 17:05:07,1,91,2020-02-22
91,Leonard Cohen,2016-09-10 17:05:07,0,1,2016-09-10
92,Leonard Cohen,2016-09-24 17:05:07,0,2,2016-09-24
93,Leonard Cohen,2016-10-08 17:05:07,0,3,2016-10-08
94,Leonard Cohen,2016-10-22 17:05:07,0,4,2016-10-22
95,Leonard Cohen,2016-11-05 17:05:07,0,5,2016-11-05
96,Leonard Cohen,2016-11-19 17:05:07,0,6,2016-11-19
97,Leonard Cohen,2016-12-03 17:05:07,0,7,2016-12-03
98,Leonard Cohen,2016-12-17 17:05:07,0,8,2016-12-17
99,Leonard Cohen,2016-12-31 17:05:07,1,9,2016-12-31
100,Leonard Cohen,2017-01-14 17:05:07,1,10,2017-01-14
101,Leonard Cohen,2017-01-28 17:05:07,1,11,2017-01-28
102,Leonard Cohen,2017-02-11 17:05:07,1,12,2017-02-11
103,Leonard Cohen,2017-02-25 17:05:07,2,13,2017-02-25
104,Leonard Cohen,2017-03-11 17:05:07,2,14,2017-03-11
105,Leonard Cohen,2017-03-25 17:05:07,2,15,2017-03-25
106,Leonard Cohen,2017-04-08 17:05:07,2,16,2017-04-08
107,Leonard Cohen,2017-04-22 17:05:07,2,17,2017-04-22
