,artist,endTime,sum,week,date
0,Great Lake Swimmers,2017-01-06 16:57:34,1,1,2017-01-06
1,Great Lake Swimmers,2017-01-20 16:57:34,1,2,2017-01-20
2,Great Lake Swimmers,2017-02-03 16:57:34,1,3,2017-02-03
3,Great Lake Swimmers,2017-02-17 16:57:34,1,4,2017-02-17
4,Great Lake Swimmers,2017-03-03 16:57:34,1,5,2017-03-03
5,Great Lake Swimmers,2017-03-17 16:57:34,1,6,2017-03-17
6,Great Lake Swimmers,2017-03-31 16:57:34,1,7,2017-03-31
7,Great Lake Swimmers,2017-04-14 16:57:34,1,8,2017-04-14
8,Great Lake Swimmers,2017-04-28 16:57:34,1,9,2017-04-28
9,Great Lake Swimmers,2017-05-12 16:57:34,1,10,2017-05-12
10,Great Lake Swimmers,2017-05-26 16:57:34,1,11,2017-05-26
11,Great Lake Swimmers,2017-06-09 16:57:34,1,12,2017-06-09
12,Great Lake Swimmers,2017-06-23 16:57:34,1,13,2017-06-23
13,Great Lake Swimmers,2017-07-07 16:57:34,1,14,2017-07-07
14,Great Lake Swimmers,2017-07-21 16:57:34,1,15,2017-07-21
15,Great Lake Swimmers,2017-08-04 16:57:34,1,16,2017-08-04
16,Great Lake Swimmers,2017-08-18 16:57:34,1,17,2017-08-18
17,Great Lake Swimmers,2017-09-01 16:57:34,1,18,2017-09-01
18,Great Lake Swimmers,2017-09-15 16:57:34,1,19,2017-09-15
19,Great Lake Swimmers,2017-09-29 16:57:34,1,20,2017-09-29
20,Great Lake Swimmers,2017-10-13 16:57:34,1,21,2017-10-13
21,Great Lake Swimmers,2017-10-27 16:57:34,1,22,2017-10-27
22,Great Lake Swimmers,2017-11-10 16:57:34,1,23,2017-11-10
23,Great Lake Swimmers,2017-11-24 16:57:34,1,24,2017-11-24
24,Great Lake Swimmers,2017-12-08 16:57:34,1,25,2017-12-08
25,Great Lake Swimmers,2017-12-22 16:57:34,1,26,2017-12-22
26,Great Lake Swimmers,2018-01-05 16:57:34,1,27,2018-01-05
27,Great Lake Swimmers,2018-01-19 16:57:34,1,28,2018-01-19
28,Great Lake Swimmers,2018-02-02 16:57:34,1,29,2018-02-02
29,Great Lake Swimmers,2018-02-16 16:57:34,1,30,2018-02-16
30,Great Lake Swimmers,2018-03-02 16:57:34,1,31,2018-03-02
31,Great Lake Swimmers,2018-03-16 16:57:34,1,32,2018-03-16
32,Great Lake Swimmers,2018-03-30 16:57:34,1,33,2018-03-30
33,Great Lake Swimmers,2018-04-13 16:57:34,1,34,2018-04-13
34,Great Lake Swimmers,2018-04-27 16:57:34,1,35,2018-04-27
35,Great Lake Swimmers,2018-05-11 16:57:34,1,36,2018-05-11
36,Great Lake Swimmers,2018-05-25 16:57:34,1,37,2018-05-25
37,Great Lake Swimmers,2018-06-08 16:57:34,1,38,2018-06-08
38,Great Lake Swimmers,2018-06-22 16:57:34,1,39,2018-06-22
39,Great Lake Swimmers,2018-07-06 16:57:34,1,40,2018-07-06
40,Great Lake Swimmers,2018-07-20 16:57:34,1,41,2018-07-20
41,Great Lake Swimmers,2018-08-03 16:57:34,1,42,2018-08-03
42,Great Lake Swimmers,2018-08-17 16:57:34,1,43,2018-08-17
43,Great Lake Swimmers,2018-08-31 16:57:34,1,44,2018-08-31
44,Great Lake Swimmers,2018-09-14 16:57:34,1,45,2018-09-14
45,Great Lake Swimmers,2018-09-28 16:57:34,1,46,2018-09-28
46,Great Lake Swimmers,2018-10-12 16:57:34,1,47,2018-10-12
47,Great Lake Swimmers,2018-10-26 16:57:34,1,48,2018-10-26
48,Great Lake Swimmers,2018-11-09 16:57:34,1,49,2018-11-09
49,Great Lake Swimmers,2018-11-23 16:57:34,1,50,2018-11-23
50,Great Lake Swimmers,2018-12-07 16:57:34,1,51,2018-12-07
51,Great Lake Swimmers,2018-12-21 16:57:34,1,52,2018-12-21
52,Great Lake Swimmers,2019-01-04 16:57:34,1,53,2019-01-04
53,Great Lake Swimmers,2019-01-18 16:57:34,1,54,2019-01-18
54,Great Lake Swimmers,2019-02-01 16:57:34,1,55,2019-02-01
55,Great Lake Swimmers,2019-02-15 16:57:34,1,56,2019-02-15
56,Great Lake Swimmers,2019-03-01 16:57:34,1,57,2019-03-01
57,Great Lake Swimmers,2019-03-15 16:57:34,1,58,2019-03-15
58,Great Lake Swimmers,2019-03-29 16:57:34,1,59,2019-03-29
59,Great Lake Swimmers,2019-04-12 16:57:34,1,60,2019-04-12
60,Great Lake Swimmers,2019-04-26 16:57:34,1,61,2019-04-26
61,Great Lake Swimmers,2019-05-10 16:57:34,1,62,2019-05-10
62,Great Lake Swimmers,2019-05-24 16:57:34,1,63,2019-05-24
63,Great Lake Swimmers,2019-06-07 16:57:34,1,64,2019-06-07
64,Great Lake Swimmers,2019-06-21 16:57:34,1,65,2019-06-21
65,Great Lake Swimmers,2019-07-05 16:57:34,1,66,2019-07-05
66,Great Lake Swimmers,2019-07-19 16:57:34,1,67,2019-07-19
67,Great Lake Swimmers,2019-08-02 16:57:34,1,68,2019-08-02
68,Great Lake Swimmers,2019-08-16 16:57:34,1,69,2019-08-16
69,Great Lake Swimmers,2019-08-30 16:57:34,1,70,2019-08-30
70,Great Lake Swimmers,2019-09-13 16:57:34,1,71,2019-09-13
71,Great Lake Swimmers,2019-09-27 16:57:34,1,72,2019-09-27
72,Great Lake Swimmers,2019-10-11 16:57:34,1,73,2019-10-11
73,Great Lake Swimmers,2019-10-25 16:57:34,1,74,2019-10-25
74,Great Lake Swimmers,2019-11-08 16:57:34,1,75,2019-11-08
75,Great Lake Swimmers,2019-11-22 16:57:34,1,76,2019-11-22
76,Great Lake Swimmers,2019-12-06 16:57:34,1,77,2019-12-06
77,Great Lake Swimmers,2019-12-20 16:57:34,1,78,2019-12-20
78,Great Lake Swimmers,2020-01-03 16:57:34,1,79,2020-01-03
79,Great Lake Swimmers,2020-01-17 16:57:34,1,80,2020-01-17
80,Great Lake Swimmers,2020-01-31 16:57:34,1,81,2020-01-31
81,Great Lake Swimmers,2020-02-14 16:57:34,1,82,2020-02-14
82,Great Lake Swimmers,2020-02-28 16:57:34,1,83,2020-02-28
83,Andy Shauf,2017-01-06 16:57:34,0,1,2017-01-06
84,Andy Shauf,2017-01-20 16:57:34,0,2,2017-01-20
85,Andy Shauf,2017-02-03 16:57:34,0,3,2017-02-03
86,Andy Shauf,2017-02-17 16:57:34,0,4,2017-02-17
87,Andy Shauf,2017-03-03 16:57:34,0,5,2017-03-03
88,Andy Shauf,2017-03-17 16:57:34,0,6,2017-03-17
89,Andy Shauf,2017-03-31 16:57:34,0,7,2017-03-31
90,Andy Shauf,2017-04-14 16:57:34,0,8,2017-04-14
91,Andy Shauf,2017-04-28 16:57:34,0,9,2017-04-28
92,Andy Shauf,2017-05-12 16:57:34,0,10,2017-05-12
93,Andy Shauf,2017-05-26 16:57:34,0,11,2017-05-26
94,Andy Shauf,2017-06-09 16:57:34,0,12,2017-06-09
95,Andy Shauf,2017-06-23 16:57:34,0,13,2017-06-23
96,Andy Shauf,2017-07-07 16:57:34,0,14,2017-07-07
97,Andy Shauf,2017-07-21 16:57:34,0,15,2017-07-21
98,Andy Shauf,2017-08-04 16:57:34,0,16,2017-08-04
99,Andy Shauf,2017-08-18 16:57:34,0,17,2017-08-18
100,Andy Shauf,2017-09-01 16:57:34,0,18,2017-09-01
101,Andy Shauf,2017-09-15 16:57:34,0,19,2017-09-15
102,Andy Shauf,2017-09-29 16:57:34,0,20,2017-09-29
103,Andy Shauf,2017-10-13 16:57:34,0,21,2017-10-13
104,Andy Shauf,2017-10-27 16:57:34,0,22,2017-10-27
105,Andy Shauf,2017-11-10 16:57:34,0,23,2017-11-10
106,Andy Shauf,2017-11-24 16:57:34,0,24,2017-11-24
107,Andy Shauf,2017-12-08 16:57:34,0,25,2017-12-08
108,Andy Shauf,2017-12-22 16:57:34,0,26,2017-12-22
109,Andy Shauf,2018-01-05 16:57:34,0,27,2018-01-05
110,Andy Shauf,2018-01-19 16:57:34,0,28,2018-01-19
111,Andy Shauf,2018-02-02 16:57:34,0,29,2018-02-02
112,Andy Shauf,2018-02-16 16:57:34,0,30,2018-02-16
113,Andy Shauf,2018-03-02 16:57:34,0,31,2018-03-02
114,Andy Shauf,2018-03-16 16:57:34,0,32,2018-03-16
115,Andy Shauf,2018-03-30 16:57:34,0,33,2018-03-30
116,Andy Shauf,2018-04-13 16:57:34,0,34,2018-04-13
117,Andy Shauf,2018-04-27 16:57:34,0,35,2018-04-27
118,Andy Shauf,2018-05-11 16:57:34,0,36,2018-05-11
119,Andy Shauf,2018-05-25 16:57:34,0,37,2018-05-25
120,Andy Shauf,2018-06-08 16:57:34,0,38,2018-06-08
121,Andy Shauf,2018-06-22 16:57:34,0,39,2018-06-22
122,Andy Shauf,2018-07-06 16:57:34,0,40,2018-07-06
123,Andy Shauf,2018-07-20 16:57:34,0,41,2018-07-20
124,Andy Shauf,2018-08-03 16:57:34,0,42,2018-08-03
125,Andy Shauf,2018-08-17 16:57:34,0,43,2018-08-17
126,Andy Shauf,2018-08-31 16:57:34,0,44,2018-08-31
127,Andy Shauf,2018-09-14 16:57:34,0,45,2018-09-14
128,Andy Shauf,2018-09-28 16:57:34,0,46,2018-09-28
129,Andy Shauf,2018-10-12 16:57:34,0,47,2018-10-12
130,Andy Shauf,2018-10-26 16:57:34,0,48,2018-10-26
131,Andy Shauf,2018-11-09 16:57:34,0,49,2018-11-09
132,Andy Shauf,2018-11-23 16:57:34,0,50,2018-11-23
133,Andy Shauf,2018-12-07 16:57:34,0,51,2018-12-07
134,Andy Shauf,2018-12-21 16:57:34,0,52,2018-12-21
135,Andy Shauf,2019-01-04 16:57:34,0,53,2019-01-04
136,Andy Shauf,2019-01-18 16:57:34,0,54,2019-01-18
137,Andy Shauf,2019-02-01 16:57:34,0,55,2019-02-01
138,Andy Shauf,2019-02-15 16:57:34,0,56,2019-02-15
139,Andy Shauf,2019-03-01 16:57:34,0,57,2019-03-01
140,Andy Shauf,2019-03-15 16:57:34,0,58,2019-03-15
141,Andy Shauf,2019-03-29 16:57:34,0,59,2019-03-29
142,Andy Shauf,2019-04-12 16:57:34,0,60,2019-04-12
143,Andy Shauf,2019-04-26 16:57:34,0,61,2019-04-26
144,Andy Shauf,2019-05-10 16:57:34,0,62,2019-05-10
145,Andy Shauf,2019-05-24 16:57:34,0,63,2019-05-24
146,Andy Shauf,2019-06-07 16:57:34,0,64,2019-06-07
147,Andy Shauf,2019-06-21 16:57:34,0,65,2019-06-21
148,Andy Shauf,2019-07-05 16:57:34,0,66,2019-07-05
149,Andy Shauf,2019-07-19 16:57:34,0,67,2019-07-19
150,Andy Shauf,2019-08-02 16:57:34,0,68,2019-08-02
151,Andy Shauf,2019-08-16 16:57:34,0,69,2019-08-16
152,Andy Shauf,2019-08-30 16:57:34,0,70,2019-08-30
153,Andy Shauf,2019-09-13 16:57:34,0,71,2019-09-13
154,Andy Shauf,2019-09-27 16:57:34,0,72,2019-09-27
155,Andy Shauf,2019-10-11 16:57:34,0,73,2019-10-11
156,Andy Shauf,2019-10-25 16:57:34,0,74,2019-10-25
157,Andy Shauf,2019-11-08 16:57:34,0,75,2019-11-08
158,Andy Shauf,2019-11-22 16:57:34,0,76,2019-11-22
159,Andy Shauf,2019-12-06 16:57:34,0,77,2019-12-06
160,Andy Shauf,2019-12-20 16:57:34,0,78,2019-12-20
161,Andy Shauf,2020-01-03 16:57:34,0,79,2020-01-03
162,Andy Shauf,2020-01-17 16:57:34,0,80,2020-01-17
163,Andy Shauf,2020-01-31 16:57:34,9,81,2020-01-31
164,Andy Shauf,2020-02-14 16:57:34,9,82,2020-02-14
165,Andy Shauf,2020-02-28 16:57:34,10,83,2020-02-28
