,artist,endTime,sum,week,date
0,Little May,2016-02-17 18:02:14,1,1,2016-02-17
1,Little May,2016-03-02 18:02:14,1,2,2016-03-02
2,Little May,2016-03-16 18:02:14,1,3,2016-03-16
3,Little May,2016-03-30 18:02:14,1,4,2016-03-30
4,Little May,2016-04-13 18:02:14,1,5,2016-04-13
5,Little May,2016-04-27 18:02:14,1,6,2016-04-27
6,Little May,2016-05-11 18:02:14,1,7,2016-05-11
7,Little May,2016-05-25 18:02:14,1,8,2016-05-25
8,Little May,2016-06-08 18:02:14,1,9,2016-06-08
9,Little May,2016-06-22 18:02:14,1,10,2016-06-22
10,Little May,2016-07-06 18:02:14,1,11,2016-07-06
11,Little May,2016-07-20 18:02:14,1,12,2016-07-20
12,Little May,2016-08-03 18:02:14,1,13,2016-08-03
13,Little May,2016-08-17 18:02:14,1,14,2016-08-17
14,Little May,2016-08-31 18:02:14,1,15,2016-08-31
15,Little May,2016-09-14 18:02:14,1,16,2016-09-14
16,Little May,2016-09-28 18:02:14,1,17,2016-09-28
17,Little May,2016-10-12 18:02:14,1,18,2016-10-12
18,Little May,2016-10-26 18:02:14,1,19,2016-10-26
19,Little May,2016-11-09 18:02:14,1,20,2016-11-09
20,Little May,2016-11-23 18:02:14,1,21,2016-11-23
21,Little May,2016-12-07 18:02:14,1,22,2016-12-07
22,Little May,2016-12-21 18:02:14,1,23,2016-12-21
23,Little May,2017-01-04 18:02:14,1,24,2017-01-04
24,Little May,2017-01-18 18:02:14,1,25,2017-01-18
25,Little May,2017-02-01 18:02:14,1,26,2017-02-01
26,Little May,2017-02-15 18:02:14,1,27,2017-02-15
27,Little May,2017-03-01 18:02:14,1,28,2017-03-01
28,Little May,2017-03-15 18:02:14,1,29,2017-03-15
29,Little May,2017-03-29 18:02:14,1,30,2017-03-29
30,Little May,2017-04-12 18:02:14,1,31,2017-04-12
31,Little May,2017-04-26 18:02:14,1,32,2017-04-26
32,Little May,2017-05-10 18:02:14,1,33,2017-05-10
33,Little May,2017-05-24 18:02:14,1,34,2017-05-24
34,Little May,2017-06-07 18:02:14,1,35,2017-06-07
35,Little May,2017-06-21 18:02:14,1,36,2017-06-21
36,Little May,2017-07-05 18:02:14,1,37,2017-07-05
37,Little May,2017-07-19 18:02:14,1,38,2017-07-19
38,Little May,2017-08-02 18:02:14,1,39,2017-08-02
39,Little May,2017-08-16 18:02:14,1,40,2017-08-16
40,Little May,2017-08-30 18:02:14,1,41,2017-08-30
41,Little May,2017-09-13 18:02:14,1,42,2017-09-13
42,Little May,2017-09-27 18:02:14,1,43,2017-09-27
43,Little May,2017-10-11 18:02:14,1,44,2017-10-11
44,Little May,2017-10-25 18:02:14,1,45,2017-10-25
45,Little May,2017-11-08 18:02:14,1,46,2017-11-08
46,Little May,2017-11-22 18:02:14,1,47,2017-11-22
47,Little May,2017-12-06 18:02:14,1,48,2017-12-06
48,Little May,2017-12-20 18:02:14,1,49,2017-12-20
49,Little May,2018-01-03 18:02:14,1,50,2018-01-03
50,Little May,2018-01-17 18:02:14,1,51,2018-01-17
51,Little May,2018-01-31 18:02:14,1,52,2018-01-31
52,Little May,2018-02-14 18:02:14,1,53,2018-02-14
53,Little May,2018-02-28 18:02:14,1,54,2018-02-28
54,Little May,2018-03-14 18:02:14,1,55,2018-03-14
