,artist,endTime,sum,week,date
0,Otis Spann,2016-09-06 14:12:09,2,1,2016-09-06
1,Otis Spann,2016-09-20 14:12:09,2,2,2016-09-20
2,Otis Spann,2016-10-04 14:12:09,2,3,2016-10-04
3,Otis Spann,2016-10-18 14:12:09,2,4,2016-10-18
4,Otis Spann,2016-11-01 14:12:09,2,5,2016-11-01
5,Otis Spann,2016-11-15 14:12:09,2,6,2016-11-15
6,Otis Spann,2016-11-29 14:12:09,2,7,2016-11-29
7,Otis Spann,2016-12-13 14:12:09,2,8,2016-12-13
8,Otis Spann,2016-12-27 14:12:09,2,9,2016-12-27
9,Otis Spann,2017-01-10 14:12:09,2,10,2017-01-10
10,Otis Spann,2017-01-24 14:12:09,2,11,2017-01-24
11,Otis Spann,2017-02-07 14:12:09,2,12,2017-02-07
12,Big Walter Horton,2016-09-06 14:12:09,0,1,2016-09-06
13,Big Walter Horton,2016-09-20 14:12:09,0,2,2016-09-20
14,Big Walter Horton,2016-10-04 14:12:09,0,3,2016-10-04
15,Big Walter Horton,2016-10-18 14:12:09,0,4,2016-10-18
16,Big Walter Horton,2016-11-01 14:12:09,2,5,2016-11-01
17,Big Walter Horton,2016-11-15 14:12:09,2,6,2016-11-15
18,Big Walter Horton,2016-11-29 14:12:09,2,7,2016-11-29
19,Big Walter Horton,2016-12-13 14:12:09,2,8,2016-12-13
20,Big Walter Horton,2016-12-27 14:12:09,2,9,2016-12-27
21,Big Walter Horton,2017-01-10 14:12:09,2,10,2017-01-10
22,Big Walter Horton,2017-01-24 14:12:09,2,11,2017-01-24
23,Big Walter Horton,2017-02-07 14:12:09,2,12,2017-02-07
24,Muddy Waters,2016-09-06 14:12:09,0,1,2016-09-06
25,Muddy Waters,2016-09-20 14:12:09,0,2,2016-09-20
26,Muddy Waters,2016-10-04 14:12:09,0,3,2016-10-04
27,Muddy Waters,2016-10-18 14:12:09,0,4,2016-10-18
28,Muddy Waters,2016-11-01 14:12:09,0,5,2016-11-01
29,Muddy Waters,2016-11-15 14:12:09,0,6,2016-11-15
30,Muddy Waters,2016-11-29 14:12:09,0,7,2016-11-29
31,Muddy Waters,2016-12-13 14:12:09,0,8,2016-12-13
32,Muddy Waters,2016-12-27 14:12:09,0,9,2016-12-27
33,Muddy Waters,2017-01-10 14:12:09,0,10,2017-01-10
34,Muddy Waters,2017-01-24 14:12:09,0,11,2017-01-24
35,Muddy Waters,2017-02-07 14:12:09,0,12,2017-02-07
