,artist,endTime,sum,week,date
0,Kaskade,2018-04-16 01:25:31,1,1,2018-04-16
1,Kaskade,2018-04-30 01:25:31,1,2,2018-04-30
2,Kaskade,2018-05-14 01:25:31,1,3,2018-05-14
3,Kaskade,2018-05-28 01:25:31,1,4,2018-05-28
4,Kaskade,2018-06-11 01:25:31,1,5,2018-06-11
5,Kaskade,2018-06-25 01:25:31,1,6,2018-06-25
6,Kaskade,2018-07-09 01:25:31,1,7,2018-07-09
7,Kaskade,2018-07-23 01:25:31,1,8,2018-07-23
8,Kaskade,2018-08-06 01:25:31,1,9,2018-08-06
9,Kaskade,2018-08-20 01:25:31,1,10,2018-08-20
10,Kaskade,2018-09-03 01:25:31,1,11,2018-09-03
11,Kaskade,2018-09-17 01:25:31,1,12,2018-09-17
12,Kaskade,2018-10-01 01:25:31,1,13,2018-10-01
13,Kaskade,2018-10-15 01:25:31,1,14,2018-10-15
14,Kaskade,2018-10-29 01:25:31,1,15,2018-10-29
15,Kaskade,2018-11-12 01:25:31,1,16,2018-11-12
16,Kaskade,2018-11-26 01:25:31,1,17,2018-11-26
17,Kaskade,2018-12-10 01:25:31,1,18,2018-12-10
18,Kaskade,2018-12-24 01:25:31,1,19,2018-12-24
19,Kaskade,2019-01-07 01:25:31,1,20,2019-01-07
20,Kaskade,2019-01-21 01:25:31,1,21,2019-01-21
21,Kaskade,2019-02-04 01:25:31,1,22,2019-02-04
22,Kaskade,2019-02-18 01:25:31,1,23,2019-02-18
23,Kaskade,2019-03-04 01:25:31,1,24,2019-03-04
24,Kaskade,2019-03-18 01:25:31,1,25,2019-03-18
25,Kaskade,2019-04-01 01:25:31,1,26,2019-04-01
26,Kaskade,2019-04-15 01:25:31,1,27,2019-04-15
27,Kaskade,2019-04-29 01:25:31,1,28,2019-04-29
28,Kaskade,2019-05-13 01:25:31,1,29,2019-05-13
29,Kaskade,2019-05-27 01:25:31,1,30,2019-05-27
30,Kaskade,2019-06-10 01:25:31,1,31,2019-06-10
31,Kaskade,2019-06-24 01:25:31,1,32,2019-06-24
32,Kaskade,2019-07-08 01:25:31,1,33,2019-07-08
33,Kaskade,2019-07-22 01:25:31,1,34,2019-07-22
34,Kaskade,2019-08-05 01:25:31,1,35,2019-08-05
35,Kaskade,2019-08-19 01:25:31,1,36,2019-08-19
36,Kaskade,2019-09-02 01:25:31,1,37,2019-09-02
