,artist,endTime,sum,week,date
0,Kanye West,2016-03-20 20:43:33,1,1,2016-03-20
1,Kanye West,2016-04-03 20:43:33,1,2,2016-04-03
2,Kanye West,2016-04-17 20:43:33,1,3,2016-04-17
3,Kanye West,2016-05-01 20:43:33,1,4,2016-05-01
4,Kanye West,2016-05-15 20:43:33,1,5,2016-05-15
5,Kanye West,2016-05-29 20:43:33,1,6,2016-05-29
6,Kanye West,2016-06-12 20:43:33,1,7,2016-06-12
7,Kanye West,2016-06-26 20:43:33,1,8,2016-06-26
8,Kanye West,2016-07-10 20:43:33,1,9,2016-07-10
9,Kanye West,2016-07-24 20:43:33,1,10,2016-07-24
10,Kanye West,2016-08-07 20:43:33,1,11,2016-08-07
11,Kanye West,2016-08-21 20:43:33,46,12,2016-08-21
12,Kanye West,2016-09-04 20:43:33,68,13,2016-09-04
13,Kanye West,2016-09-18 20:43:33,68,14,2016-09-18
14,Kanye West,2016-10-02 20:43:33,68,15,2016-10-02
15,Kanye West,2016-10-16 20:43:33,68,16,2016-10-16
16,Kanye West,2016-10-30 20:43:33,74,17,2016-10-30
17,Kanye West,2016-11-13 20:43:33,75,18,2016-11-13
18,Kanye West,2016-11-27 20:43:33,98,19,2016-11-27
19,Kanye West,2016-12-11 20:43:33,113,20,2016-12-11
20,Kanye West,2016-12-25 20:43:33,123,21,2016-12-25
21,Kanye West,2017-01-08 20:43:33,123,22,2017-01-08
22,Kanye West,2017-01-22 20:43:33,134,23,2017-01-22
23,Kanye West,2017-02-05 20:43:33,134,24,2017-02-05
24,Kanye West,2017-02-19 20:43:33,135,25,2017-02-19
25,Kanye West,2017-03-05 20:43:33,135,26,2017-03-05
26,Kanye West,2017-03-19 20:43:33,135,27,2017-03-19
27,Kanye West,2017-04-02 20:43:33,135,28,2017-04-02
28,Kanye West,2017-04-16 20:43:33,135,29,2017-04-16
29,Kanye West,2017-04-30 20:43:33,135,30,2017-04-30
30,Kanye West,2017-05-14 20:43:33,135,31,2017-05-14
31,Kanye West,2017-05-28 20:43:33,149,32,2017-05-28
32,Kanye West,2017-06-11 20:43:33,157,33,2017-06-11
33,Kanye West,2017-06-25 20:43:33,157,34,2017-06-25
34,Kanye West,2017-07-09 20:43:33,157,35,2017-07-09
35,Kanye West,2017-07-23 20:43:33,157,36,2017-07-23
36,Kanye West,2017-08-06 20:43:33,157,37,2017-08-06
37,Kanye West,2017-08-20 20:43:33,157,38,2017-08-20
38,Kanye West,2017-09-03 20:43:33,157,39,2017-09-03
39,Kanye West,2017-09-17 20:43:33,157,40,2017-09-17
40,Kanye West,2017-10-01 20:43:33,157,41,2017-10-01
41,Kanye West,2017-10-15 20:43:33,157,42,2017-10-15
42,Kanye West,2017-10-29 20:43:33,157,43,2017-10-29
43,Kanye West,2017-11-12 20:43:33,157,44,2017-11-12
44,Kanye West,2017-11-26 20:43:33,157,45,2017-11-26
45,Kanye West,2017-12-10 20:43:33,159,46,2017-12-10
46,Kanye West,2017-12-24 20:43:33,159,47,2017-12-24
47,Kanye West,2018-01-07 20:43:33,159,48,2018-01-07
48,Kanye West,2018-01-21 20:43:33,160,49,2018-01-21
49,Kanye West,2018-02-04 20:43:33,160,50,2018-02-04
50,Kanye West,2018-02-18 20:43:33,160,51,2018-02-18
51,Kanye West,2018-03-04 20:43:33,168,52,2018-03-04
52,Kanye West,2018-03-18 20:43:33,168,53,2018-03-18
53,Kanye West,2018-04-01 20:43:33,169,54,2018-04-01
54,Kanye West,2018-04-15 20:43:33,169,55,2018-04-15
55,Kanye West,2018-04-29 20:43:33,175,56,2018-04-29
56,Kanye West,2018-05-13 20:43:33,200,57,2018-05-13
57,Kanye West,2018-05-27 20:43:33,200,58,2018-05-27
58,Kanye West,2018-06-10 20:43:33,238,59,2018-06-10
59,Kanye West,2018-06-24 20:43:33,254,60,2018-06-24
