,artist,endTime,sum,week,date
0,The Dells,2016-08-27 16:12:27,1,1,2016-08-27
1,The Dells,2016-09-10 16:12:27,1,2,2016-09-10
2,The Dells,2016-09-24 16:12:27,1,3,2016-09-24
3,The Dells,2016-10-08 16:12:27,1,4,2016-10-08
4,The Dells,2016-10-22 16:12:27,1,5,2016-10-22
5,The Dells,2016-11-05 16:12:27,1,6,2016-11-05
6,The Dells,2016-11-19 16:12:27,1,7,2016-11-19
7,The Dells,2016-12-03 16:12:27,1,8,2016-12-03
8,The Dells,2016-12-17 16:12:27,1,9,2016-12-17
9,The Dells,2016-12-31 16:12:27,1,10,2016-12-31
10,The Dells,2017-01-14 16:12:27,1,11,2017-01-14
11,The Dells,2017-01-28 16:12:27,1,12,2017-01-28
12,The Dells,2017-02-11 16:12:27,1,13,2017-02-11
13,The Dells,2017-02-25 16:12:27,1,14,2017-02-25
14,The Dells,2017-03-11 16:12:27,1,15,2017-03-11
15,The Dells,2017-03-25 16:12:27,1,16,2017-03-25
16,The Dells,2017-04-08 16:12:27,1,17,2017-04-08
17,The Dells,2017-04-22 16:12:27,1,18,2017-04-22
18,The Dells,2017-05-06 16:12:27,1,19,2017-05-06
19,The Dells,2017-05-20 16:12:27,1,20,2017-05-20
20,The Dells,2017-06-03 16:12:27,1,21,2017-06-03
21,The Dells,2017-06-17 16:12:27,1,22,2017-06-17
22,The Dells,2017-07-01 16:12:27,1,23,2017-07-01
23,The Dells,2017-07-15 16:12:27,1,24,2017-07-15
24,The Dells,2017-07-29 16:12:27,1,25,2017-07-29
25,The Dells,2017-08-12 16:12:27,1,26,2017-08-12
26,The Dells,2017-08-26 16:12:27,1,27,2017-08-26
27,The Dells,2017-09-09 16:12:27,1,28,2017-09-09
28,The Dells,2017-09-23 16:12:27,1,29,2017-09-23
29,The Dells,2017-10-07 16:12:27,1,30,2017-10-07
30,The Dells,2017-10-21 16:12:27,1,31,2017-10-21
31,The Dells,2017-11-04 16:12:27,1,32,2017-11-04
32,The Dells,2017-11-18 16:12:27,1,33,2017-11-18
33,The Dells,2017-12-02 16:12:27,1,34,2017-12-02
34,The Dells,2017-12-16 16:12:27,1,35,2017-12-16
35,The Dells,2017-12-30 16:12:27,1,36,2017-12-30
36,The Dells,2018-01-13 16:12:27,1,37,2018-01-13
37,The Dells,2018-01-27 16:12:27,1,38,2018-01-27
38,The Dells,2018-02-10 16:12:27,1,39,2018-02-10
39,The Dells,2018-02-24 16:12:27,1,40,2018-02-24
40,The Dells,2018-03-10 16:12:27,1,41,2018-03-10
41,The Dells,2018-03-24 16:12:27,1,42,2018-03-24
42,The Dells,2018-04-07 16:12:27,1,43,2018-04-07
43,The Dells,2018-04-21 16:12:27,1,44,2018-04-21
44,The Dells,2018-05-05 16:12:27,1,45,2018-05-05
45,The Dells,2018-05-19 16:12:27,1,46,2018-05-19
46,The Dells,2018-06-02 16:12:27,1,47,2018-06-02
47,The Dells,2018-06-16 16:12:27,1,48,2018-06-16
48,The Dells,2018-06-30 16:12:27,1,49,2018-06-30
49,The Dells,2018-07-14 16:12:27,1,50,2018-07-14
50,The Dells,2018-07-28 16:12:27,1,51,2018-07-28
51,The Dells,2018-08-11 16:12:27,1,52,2018-08-11
52,The Dells,2018-08-25 16:12:27,1,53,2018-08-25
53,The Dells,2018-09-08 16:12:27,1,54,2018-09-08
54,The Dells,2018-09-22 16:12:27,1,55,2018-09-22
55,The Dells,2018-10-06 16:12:27,1,56,2018-10-06
56,The Dells,2018-10-20 16:12:27,1,57,2018-10-20
57,The Dells,2018-11-03 16:12:27,1,58,2018-11-03
58,The Dells,2018-11-17 16:12:27,1,59,2018-11-17
59,The Dells,2018-12-01 16:12:27,1,60,2018-12-01
60,The Dells,2018-12-15 16:12:27,1,61,2018-12-15
61,The Dells,2018-12-29 16:12:27,1,62,2018-12-29
62,The Dells,2019-01-12 16:12:27,1,63,2019-01-12
63,The Dells,2019-01-26 16:12:27,1,64,2019-01-26
64,The Dells,2019-02-09 16:12:27,1,65,2019-02-09
65,The Dells,2019-02-23 16:12:27,1,66,2019-02-23
66,The Dells,2019-03-09 16:12:27,1,67,2019-03-09
67,The Dells,2019-03-23 16:12:27,1,68,2019-03-23
68,The Dells,2019-04-06 16:12:27,1,69,2019-04-06
69,The Dells,2019-04-20 16:12:27,1,70,2019-04-20
70,The Dells,2019-05-04 16:12:27,1,71,2019-05-04
71,The Dells,2019-05-18 16:12:27,1,72,2019-05-18
72,The Dells,2019-06-01 16:12:27,1,73,2019-06-01
73,The Dells,2019-06-15 16:12:27,1,74,2019-06-15
74,The Dells,2019-06-29 16:12:27,1,75,2019-06-29
75,The Dells,2019-07-13 16:12:27,1,76,2019-07-13
76,The Dells,2019-07-27 16:12:27,1,77,2019-07-27
77,The Dells,2019-08-10 16:12:27,1,78,2019-08-10
78,The Dells,2019-08-24 16:12:27,1,79,2019-08-24
79,The Dells,2019-09-07 16:12:27,1,80,2019-09-07
80,The Dells,2019-09-21 16:12:27,1,81,2019-09-21
81,The Dells,2019-10-05 16:12:27,1,82,2019-10-05
82,The Dells,2019-10-19 16:12:27,1,83,2019-10-19
83,The Dells,2019-11-02 16:12:27,1,84,2019-11-02
84,The Dells,2019-11-16 16:12:27,1,85,2019-11-16
85,The Impressions,2016-08-27 16:12:27,0,1,2016-08-27
86,The Impressions,2016-09-10 16:12:27,0,2,2016-09-10
87,The Impressions,2016-09-24 16:12:27,0,3,2016-09-24
88,The Impressions,2016-10-08 16:12:27,0,4,2016-10-08
89,The Impressions,2016-10-22 16:12:27,0,5,2016-10-22
90,The Impressions,2016-11-05 16:12:27,0,6,2016-11-05
91,The Impressions,2016-11-19 16:12:27,0,7,2016-11-19
92,The Impressions,2016-12-03 16:12:27,0,8,2016-12-03
93,The Impressions,2016-12-17 16:12:27,0,9,2016-12-17
94,The Impressions,2016-12-31 16:12:27,0,10,2016-12-31
95,The Impressions,2017-01-14 16:12:27,1,11,2017-01-14
96,The Impressions,2017-01-28 16:12:27,4,12,2017-01-28
97,The Impressions,2017-02-11 16:12:27,4,13,2017-02-11
98,The Impressions,2017-02-25 16:12:27,6,14,2017-02-25
99,The Impressions,2017-03-11 16:12:27,7,15,2017-03-11
100,The Impressions,2017-03-25 16:12:27,7,16,2017-03-25
101,The Impressions,2017-04-08 16:12:27,8,17,2017-04-08
102,The Impressions,2017-04-22 16:12:27,8,18,2017-04-22
103,The Impressions,2017-05-06 16:12:27,15,19,2017-05-06
104,The Impressions,2017-05-20 16:12:27,19,20,2017-05-20
105,The Impressions,2017-06-03 16:12:27,19,21,2017-06-03
106,The Impressions,2017-06-17 16:12:27,19,22,2017-06-17
107,The Impressions,2017-07-01 16:12:27,19,23,2017-07-01
108,The Impressions,2017-07-15 16:12:27,19,24,2017-07-15
109,The Impressions,2017-07-29 16:12:27,19,25,2017-07-29
110,The Impressions,2017-08-12 16:12:27,19,26,2017-08-12
111,The Impressions,2017-08-26 16:12:27,19,27,2017-08-26
112,The Impressions,2017-09-09 16:12:27,19,28,2017-09-09
113,The Impressions,2017-09-23 16:12:27,20,29,2017-09-23
114,The Impressions,2017-10-07 16:12:27,20,30,2017-10-07
115,The Impressions,2017-10-21 16:12:27,20,31,2017-10-21
116,The Impressions,2017-11-04 16:12:27,20,32,2017-11-04
117,The Impressions,2017-11-18 16:12:27,20,33,2017-11-18
118,The Impressions,2017-12-02 16:12:27,20,34,2017-12-02
119,The Impressions,2017-12-16 16:12:27,20,35,2017-12-16
120,The Impressions,2017-12-30 16:12:27,20,36,2017-12-30
121,The Impressions,2018-01-13 16:12:27,20,37,2018-01-13
122,The Impressions,2018-01-27 16:12:27,20,38,2018-01-27
123,The Impressions,2018-02-10 16:12:27,20,39,2018-02-10
124,The Impressions,2018-02-24 16:12:27,20,40,2018-02-24
125,The Impressions,2018-03-10 16:12:27,20,41,2018-03-10
126,The Impressions,2018-03-24 16:12:27,20,42,2018-03-24
127,The Impressions,2018-04-07 16:12:27,20,43,2018-04-07
128,The Impressions,2018-04-21 16:12:27,20,44,2018-04-21
129,The Impressions,2018-05-05 16:12:27,20,45,2018-05-05
130,The Impressions,2018-05-19 16:12:27,20,46,2018-05-19
131,The Impressions,2018-06-02 16:12:27,20,47,2018-06-02
132,The Impressions,2018-06-16 16:12:27,20,48,2018-06-16
133,The Impressions,2018-06-30 16:12:27,20,49,2018-06-30
134,The Impressions,2018-07-14 16:12:27,20,50,2018-07-14
135,The Impressions,2018-07-28 16:12:27,20,51,2018-07-28
136,The Impressions,2018-08-11 16:12:27,20,52,2018-08-11
137,The Impressions,2018-08-25 16:12:27,20,53,2018-08-25
138,The Impressions,2018-09-08 16:12:27,20,54,2018-09-08
139,The Impressions,2018-09-22 16:12:27,20,55,2018-09-22
140,The Impressions,2018-10-06 16:12:27,20,56,2018-10-06
141,The Impressions,2018-10-20 16:12:27,21,57,2018-10-20
142,The Impressions,2018-11-03 16:12:27,21,58,2018-11-03
143,The Impressions,2018-11-17 16:12:27,21,59,2018-11-17
144,The Impressions,2018-12-01 16:12:27,21,60,2018-12-01
145,The Impressions,2018-12-15 16:12:27,21,61,2018-12-15
146,The Impressions,2018-12-29 16:12:27,21,62,2018-12-29
147,The Impressions,2019-01-12 16:12:27,21,63,2019-01-12
148,The Impressions,2019-01-26 16:12:27,21,64,2019-01-26
149,The Impressions,2019-02-09 16:12:27,23,65,2019-02-09
150,The Impressions,2019-02-23 16:12:27,24,66,2019-02-23
