,artist,endTime,sum,week,date
0,Switchfoot,2018-11-02 19:16:25,1,1,2018-11-02
1,Switchfoot,2018-11-16 19:16:25,1,2,2018-11-16
2,Switchfoot,2018-11-30 19:16:25,1,3,2018-11-30
3,Switchfoot,2018-12-14 19:16:25,1,4,2018-12-14
4,Switchfoot,2018-12-28 19:16:25,1,5,2018-12-28
5,Switchfoot,2019-01-11 19:16:25,1,6,2019-01-11
6,Switchfoot,2019-01-25 19:16:25,1,7,2019-01-25
7,Switchfoot,2019-02-08 19:16:25,1,8,2019-02-08
8,Switchfoot,2019-02-22 19:16:25,1,9,2019-02-22
9,Switchfoot,2019-03-08 19:16:25,1,10,2019-03-08
10,Switchfoot,2019-03-22 19:16:25,1,11,2019-03-22
11,Switchfoot,2019-04-05 19:16:25,1,12,2019-04-05
12,Switchfoot,2019-04-19 19:16:25,1,13,2019-04-19
13,Switchfoot,2019-05-03 19:16:25,1,14,2019-05-03
14,Switchfoot,2019-05-17 19:16:25,1,15,2019-05-17
15,Switchfoot,2019-05-31 19:16:25,1,16,2019-05-31
16,Switchfoot,2019-06-14 19:16:25,1,17,2019-06-14
17,Switchfoot,2019-06-28 19:16:25,1,18,2019-06-28
18,Switchfoot,2019-07-12 19:16:25,1,19,2019-07-12
19,Switchfoot,2019-07-26 19:16:25,1,20,2019-07-26
20,Switchfoot,2019-08-09 19:16:25,1,21,2019-08-09
21,Switchfoot,2019-08-23 19:16:25,1,22,2019-08-23
22,Switchfoot,2019-09-06 19:16:25,1,23,2019-09-06
23,Switchfoot,2019-09-20 19:16:25,1,24,2019-09-20
24,Switchfoot,2019-10-04 19:16:25,1,25,2019-10-04
25,Switchfoot,2019-10-18 19:16:25,1,26,2019-10-18
26,Switchfoot,2019-11-01 19:16:25,1,27,2019-11-01
27,Switchfoot,2019-11-15 19:16:25,1,28,2019-11-15
28,Switchfoot,2019-11-29 19:16:25,1,29,2019-11-29
29,Switchfoot,2019-12-13 19:16:25,1,30,2019-12-13
30,Francesca Battistelli,2018-11-02 19:16:25,0,1,2018-11-02
31,Francesca Battistelli,2018-11-16 19:16:25,0,2,2018-11-16
32,Francesca Battistelli,2018-11-30 19:16:25,0,3,2018-11-30
33,Francesca Battistelli,2018-12-14 19:16:25,0,4,2018-12-14
34,Francesca Battistelli,2018-12-28 19:16:25,0,5,2018-12-28
35,Francesca Battistelli,2019-01-11 19:16:25,0,6,2019-01-11
36,Francesca Battistelli,2019-01-25 19:16:25,0,7,2019-01-25
37,Francesca Battistelli,2019-02-08 19:16:25,0,8,2019-02-08
38,Francesca Battistelli,2019-02-22 19:16:25,0,9,2019-02-22
39,Francesca Battistelli,2019-03-08 19:16:25,0,10,2019-03-08
40,Francesca Battistelli,2019-03-22 19:16:25,0,11,2019-03-22
41,Francesca Battistelli,2019-04-05 19:16:25,0,12,2019-04-05
42,Francesca Battistelli,2019-04-19 19:16:25,0,13,2019-04-19
43,Francesca Battistelli,2019-05-03 19:16:25,0,14,2019-05-03
44,Francesca Battistelli,2019-05-17 19:16:25,0,15,2019-05-17
45,Francesca Battistelli,2019-05-31 19:16:25,0,16,2019-05-31
46,Francesca Battistelli,2019-06-14 19:16:25,0,17,2019-06-14
47,Francesca Battistelli,2019-06-28 19:16:25,0,18,2019-06-28
48,Francesca Battistelli,2019-07-12 19:16:25,0,19,2019-07-12
49,Francesca Battistelli,2019-07-26 19:16:25,0,20,2019-07-26
50,Francesca Battistelli,2019-08-09 19:16:25,0,21,2019-08-09
51,Francesca Battistelli,2019-08-23 19:16:25,0,22,2019-08-23
52,Francesca Battistelli,2019-09-06 19:16:25,0,23,2019-09-06
53,Francesca Battistelli,2019-09-20 19:16:25,0,24,2019-09-20
54,Francesca Battistelli,2019-10-04 19:16:25,0,25,2019-10-04
55,Francesca Battistelli,2019-10-18 19:16:25,0,26,2019-10-18
56,Francesca Battistelli,2019-11-01 19:16:25,0,27,2019-11-01
57,Francesca Battistelli,2019-11-15 19:16:25,0,28,2019-11-15
58,Francesca Battistelli,2019-11-29 19:16:25,0,29,2019-11-29
59,Francesca Battistelli,2019-12-13 19:16:25,0,30,2019-12-13
