,artist,endTime,sum,week,date
0,John Lee Hooker,2016-03-20 22:34:39,1,1,2016-03-20
1,John Lee Hooker,2016-04-03 22:34:39,1,2,2016-04-03
2,John Lee Hooker,2016-04-17 22:34:39,1,3,2016-04-17
3,John Lee Hooker,2016-05-01 22:34:39,1,4,2016-05-01
4,John Lee Hooker,2016-05-15 22:34:39,1,5,2016-05-15
5,John Lee Hooker,2016-05-29 22:34:39,1,6,2016-05-29
6,John Lee Hooker,2016-06-12 22:34:39,1,7,2016-06-12
7,John Lee Hooker,2016-06-26 22:34:39,1,8,2016-06-26
8,John Lee Hooker,2016-07-10 22:34:39,1,9,2016-07-10
9,John Lee Hooker,2016-07-24 22:34:39,1,10,2016-07-24
10,John Lee Hooker,2016-08-07 22:34:39,1,11,2016-08-07
11,John Lee Hooker,2016-08-21 22:34:39,1,12,2016-08-21
12,John Lee Hooker,2016-09-04 22:34:39,1,13,2016-09-04
13,John Lee Hooker,2016-09-18 22:34:39,1,14,2016-09-18
14,John Lee Hooker,2016-10-02 22:34:39,1,15,2016-10-02
15,John Lee Hooker,2016-10-16 22:34:39,1,16,2016-10-16
16,John Lee Hooker,2016-10-30 22:34:39,1,17,2016-10-30
17,John Lee Hooker,2016-11-13 22:34:39,1,18,2016-11-13
18,John Lee Hooker,2016-11-27 22:34:39,1,19,2016-11-27
19,John Lee Hooker,2016-12-11 22:34:39,1,20,2016-12-11
20,John Lee Hooker,2016-12-25 22:34:39,1,21,2016-12-25
21,John Lee Hooker,2017-01-08 22:34:39,1,22,2017-01-08
22,John Lee Hooker,2017-01-22 22:34:39,1,23,2017-01-22
23,John Lee Hooker,2017-02-05 22:34:39,1,24,2017-02-05
24,John Lee Hooker,2017-02-19 22:34:39,1,25,2017-02-19
25,John Lee Hooker,2017-03-05 22:34:39,1,26,2017-03-05
26,John Lee Hooker,2017-03-19 22:34:39,1,27,2017-03-19
27,John Lee Hooker,2017-04-02 22:34:39,1,28,2017-04-02
28,John Lee Hooker,2017-04-16 22:34:39,1,29,2017-04-16
29,John Lee Hooker,2017-04-30 22:34:39,1,30,2017-04-30
30,John Lee Hooker,2017-05-14 22:34:39,1,31,2017-05-14
31,John Lee Hooker,2017-05-28 22:34:39,1,32,2017-05-28
32,John Lee Hooker,2017-06-11 22:34:39,1,33,2017-06-11
33,John Lee Hooker,2017-06-25 22:34:39,1,34,2017-06-25
34,John Lee Hooker,2017-07-09 22:34:39,1,35,2017-07-09
35,John Lee Hooker,2017-07-23 22:34:39,1,36,2017-07-23
36,John Lee Hooker,2017-08-06 22:34:39,1,37,2017-08-06
37,John Lee Hooker,2017-08-20 22:34:39,1,38,2017-08-20
38,John Lee Hooker,2017-09-03 22:34:39,1,39,2017-09-03
39,John Lee Hooker,2017-09-17 22:34:39,1,40,2017-09-17
40,John Lee Hooker,2017-10-01 22:34:39,1,41,2017-10-01
41,John Lee Hooker,2017-10-15 22:34:39,1,42,2017-10-15
42,John Lee Hooker,2017-10-29 22:34:39,1,43,2017-10-29
43,John Lee Hooker,2017-11-12 22:34:39,1,44,2017-11-12
44,John Lee Hooker,2017-11-26 22:34:39,1,45,2017-11-26
45,John Lee Hooker,2017-12-10 22:34:39,1,46,2017-12-10
46,John Lee Hooker,2017-12-24 22:34:39,1,47,2017-12-24
47,John Lee Hooker,2018-01-07 22:34:39,1,48,2018-01-07
48,John Lee Hooker,2018-01-21 22:34:39,1,49,2018-01-21
49,John Lee Hooker,2018-02-04 22:34:39,1,50,2018-02-04
50,John Lee Hooker,2018-02-18 22:34:39,1,51,2018-02-18
51,John Lee Hooker,2018-03-04 22:34:39,1,52,2018-03-04
52,John Lee Hooker,2018-03-18 22:34:39,1,53,2018-03-18
53,John Lee Hooker,2018-04-01 22:34:39,1,54,2018-04-01
54,John Lee Hooker,2018-04-15 22:34:39,1,55,2018-04-15
55,John Lee Hooker,2018-04-29 22:34:39,1,56,2018-04-29
56,John Lee Hooker,2018-05-13 22:34:39,1,57,2018-05-13
57,John Lee Hooker,2018-05-27 22:34:39,1,58,2018-05-27
58,John Lee Hooker,2018-06-10 22:34:39,1,59,2018-06-10
59,John Lee Hooker,2018-06-24 22:34:39,1,60,2018-06-24
60,John Lee Hooker,2018-07-08 22:34:39,1,61,2018-07-08
61,John Lee Hooker,2018-07-22 22:34:39,1,62,2018-07-22
62,John Lee Hooker,2018-08-05 22:34:39,1,63,2018-08-05
63,John Lee Hooker,2018-08-19 22:34:39,1,64,2018-08-19
64,John Lee Hooker,2018-09-02 22:34:39,1,65,2018-09-02
65,John Lee Hooker,2018-09-16 22:34:39,1,66,2018-09-16
66,John Lee Hooker,2018-09-30 22:34:39,1,67,2018-09-30
67,John Lee Hooker,2018-10-14 22:34:39,1,68,2018-10-14
68,John Lee Hooker,2018-10-28 22:34:39,1,69,2018-10-28
69,John Lee Hooker,2018-11-11 22:34:39,1,70,2018-11-11
70,John Lee Hooker,2018-11-25 22:34:39,1,71,2018-11-25
71,John Lee Hooker,2018-12-09 22:34:39,1,72,2018-12-09
72,John Lee Hooker,2018-12-23 22:34:39,1,73,2018-12-23
73,John Lee Hooker,2019-01-06 22:34:39,1,74,2019-01-06
74,John Lee Hooker,2019-01-20 22:34:39,1,75,2019-01-20
75,John Lee Hooker,2019-02-03 22:34:39,1,76,2019-02-03
76,John Lee Hooker,2019-02-17 22:34:39,1,77,2019-02-17
77,John Lee Hooker,2019-03-03 22:34:39,1,78,2019-03-03
78,John Lee Hooker,2019-03-17 22:34:39,1,79,2019-03-17
79,John Lee Hooker,2019-03-31 22:34:39,1,80,2019-03-31
80,John Lee Hooker,2019-04-14 22:34:39,1,81,2019-04-14
81,John Lee Hooker,2019-04-28 22:34:39,1,82,2019-04-28
82,John Lee Hooker,2019-05-12 22:34:39,1,83,2019-05-12
83,John Lee Hooker,2019-05-26 22:34:39,1,84,2019-05-26
84,John Lee Hooker,2019-06-09 22:34:39,1,85,2019-06-09
85,John Lee Hooker,2019-06-23 22:34:39,1,86,2019-06-23
86,John Lee Hooker,2019-07-07 22:34:39,1,87,2019-07-07
87,John Lee Hooker,2019-07-21 22:34:39,1,88,2019-07-21
88,John Lee Hooker,2019-08-04 22:34:39,1,89,2019-08-04
89,John Lee Hooker,2019-08-18 22:34:39,1,90,2019-08-18
90,John Lee Hooker,2019-09-01 22:34:39,1,91,2019-09-01
91,John Lee Hooker,2019-09-15 22:34:39,1,92,2019-09-15
