,artist,endTime,sum,week,date
0,Ice Cube,2016-01-29 04:21:25,1,1,2016-01-29
1,Ice Cube,2016-02-12 04:21:25,1,2,2016-02-12
2,Ice Cube,2016-02-26 04:21:25,1,3,2016-02-26
3,Ice Cube,2016-03-11 04:21:25,1,4,2016-03-11
4,Ice Cube,2016-03-25 04:21:25,1,5,2016-03-25
5,Ice Cube,2016-04-08 04:21:25,1,6,2016-04-08
6,Ice Cube,2016-04-22 04:21:25,1,7,2016-04-22
7,Ice Cube,2016-05-06 04:21:25,1,8,2016-05-06
8,Ice Cube,2016-05-20 04:21:25,1,9,2016-05-20
9,Ice Cube,2016-06-03 04:21:25,1,10,2016-06-03
10,Ice Cube,2016-06-17 04:21:25,1,11,2016-06-17
11,Ice Cube,2016-07-01 04:21:25,1,12,2016-07-01
12,Ice Cube,2016-07-15 04:21:25,1,13,2016-07-15
13,Ice Cube,2016-07-29 04:21:25,1,14,2016-07-29
14,Ice Cube,2016-08-12 04:21:25,1,15,2016-08-12
15,Ice Cube,2016-08-26 04:21:25,2,16,2016-08-26
16,Ice Cube,2016-09-09 04:21:25,2,17,2016-09-09
17,Ice Cube,2016-09-23 04:21:25,2,18,2016-09-23
18,Ice Cube,2016-10-07 04:21:25,2,19,2016-10-07
19,Ice Cube,2016-10-21 04:21:25,2,20,2016-10-21
20,Ice Cube,2016-11-04 04:21:25,2,21,2016-11-04
21,Ice Cube,2016-11-18 04:21:25,2,22,2016-11-18
22,Ice Cube,2016-12-02 04:21:25,2,23,2016-12-02
23,Ice Cube,2016-12-16 04:21:25,2,24,2016-12-16
24,Ice Cube,2016-12-30 04:21:25,2,25,2016-12-30
25,Ice Cube,2017-01-13 04:21:25,2,26,2017-01-13
26,Ice Cube,2017-01-27 04:21:25,2,27,2017-01-27
27,Ice Cube,2017-02-10 04:21:25,2,28,2017-02-10
28,Ice Cube,2017-02-24 04:21:25,2,29,2017-02-24
29,Ice Cube,2017-03-10 04:21:25,2,30,2017-03-10
30,Ice Cube,2017-03-24 04:21:25,2,31,2017-03-24
31,Ice Cube,2017-04-07 04:21:25,2,32,2017-04-07
32,Ice Cube,2017-04-21 04:21:25,2,33,2017-04-21
33,Ice Cube,2017-05-05 04:21:25,2,34,2017-05-05
34,Ice Cube,2017-05-19 04:21:25,2,35,2017-05-19
35,Ice Cube,2017-06-02 04:21:25,2,36,2017-06-02
36,Ice Cube,2017-06-16 04:21:25,2,37,2017-06-16
37,Ice Cube,2017-06-30 04:21:25,2,38,2017-06-30
38,Ice Cube,2017-07-14 04:21:25,2,39,2017-07-14
39,Ice Cube,2017-07-28 04:21:25,2,40,2017-07-28
40,Ice Cube,2017-08-11 04:21:25,2,41,2017-08-11
41,Ice Cube,2017-08-25 04:21:25,2,42,2017-08-25
42,Ice Cube,2017-09-08 04:21:25,2,43,2017-09-08
43,Ice Cube,2017-09-22 04:21:25,2,44,2017-09-22
44,Ice Cube,2017-10-06 04:21:25,2,45,2017-10-06
