,artist,endTime,sum,week,date
0,Norah Jones,2019-09-14 19:20:58,1,1,2019-09-14
1,Norah Jones,2019-09-28 19:20:58,1,2,2019-09-28
2,Norah Jones,2019-10-12 19:20:58,1,3,2019-10-12
3,Norah Jones,2019-10-26 19:20:58,1,4,2019-10-26
4,Norah Jones,2019-11-09 19:20:58,1,5,2019-11-09
5,Norah Jones,2019-11-23 19:20:58,1,6,2019-11-23
6,Norah Jones,2019-12-07 19:20:58,1,7,2019-12-07
7,Norah Jones,2019-12-21 19:20:58,1,8,2019-12-21
8,Norah Jones,2020-01-04 19:20:58,1,9,2020-01-04
9,Norah Jones,2020-01-18 19:20:58,1,10,2020-01-18
10,Cassandra Wilson,2019-09-14 19:20:58,0,1,2019-09-14
11,Cassandra Wilson,2019-09-28 19:20:58,0,2,2019-09-28
12,Cassandra Wilson,2019-10-12 19:20:58,0,3,2019-10-12
13,Cassandra Wilson,2019-10-26 19:20:58,0,4,2019-10-26
14,Cassandra Wilson,2019-11-09 19:20:58,0,5,2019-11-09
15,Cassandra Wilson,2019-11-23 19:20:58,0,6,2019-11-23
16,Cassandra Wilson,2019-12-07 19:20:58,0,7,2019-12-07
17,Cassandra Wilson,2019-12-21 19:20:58,0,8,2019-12-21
18,Cassandra Wilson,2020-01-04 19:20:58,0,9,2020-01-04
19,Cassandra Wilson,2020-01-18 19:20:58,1,10,2020-01-18
