,artist,endTime,sum,week,date
0,Duke Ellington,2016-11-05 00:03:23,3,1,2016-11-05
1,Duke Ellington,2016-11-19 00:03:23,3,2,2016-11-19
2,Duke Ellington,2016-12-03 00:03:23,3,3,2016-12-03
3,Duke Ellington,2016-12-17 00:03:23,3,4,2016-12-17
4,Duke Ellington,2016-12-31 00:03:23,3,5,2016-12-31
5,Duke Ellington,2017-01-14 00:03:23,3,6,2017-01-14
6,Duke Ellington,2017-01-28 00:03:23,3,7,2017-01-28
7,Duke Ellington,2017-02-11 00:03:23,3,8,2017-02-11
8,Duke Ellington,2017-02-25 00:03:23,3,9,2017-02-25
9,Duke Ellington,2017-03-11 00:03:23,3,10,2017-03-11
10,Duke Ellington,2017-03-25 00:03:23,3,11,2017-03-25
11,Duke Ellington,2017-04-08 00:03:23,3,12,2017-04-08
12,Duke Ellington,2017-04-22 00:03:23,3,13,2017-04-22
13,Duke Ellington,2017-05-06 00:03:23,3,14,2017-05-06
14,Duke Ellington,2017-05-20 00:03:23,3,15,2017-05-20
15,Duke Ellington,2017-06-03 00:03:23,3,16,2017-06-03
16,Duke Ellington,2017-06-17 00:03:23,3,17,2017-06-17
17,Duke Ellington,2017-07-01 00:03:23,3,18,2017-07-01
18,Duke Ellington,2017-07-15 00:03:23,3,19,2017-07-15
19,Duke Ellington,2017-07-29 00:03:23,3,20,2017-07-29
20,Duke Ellington,2017-08-12 00:03:23,3,21,2017-08-12
21,Duke Ellington,2017-08-26 00:03:23,3,22,2017-08-26
22,Duke Ellington,2017-09-09 00:03:23,3,23,2017-09-09
23,Duke Ellington,2017-09-23 00:03:23,3,24,2017-09-23
24,Duke Ellington,2017-10-07 00:03:23,4,25,2017-10-07
25,Duke Ellington,2017-10-21 00:03:23,4,26,2017-10-21
26,Duke Ellington,2017-11-04 00:03:23,4,27,2017-11-04
27,Duke Ellington,2017-11-18 00:03:23,4,28,2017-11-18
28,Duke Ellington,2017-12-02 00:03:23,4,29,2017-12-02
29,Duke Ellington,2017-12-16 00:03:23,4,30,2017-12-16
30,Duke Ellington,2017-12-30 00:03:23,5,31,2017-12-30
31,Duke Ellington,2018-01-13 00:03:23,5,32,2018-01-13
32,Duke Ellington,2018-01-27 00:03:23,5,33,2018-01-27
33,Duke Ellington,2018-02-10 00:03:23,5,34,2018-02-10
34,Duke Ellington,2018-02-24 00:03:23,5,35,2018-02-24
35,Duke Ellington,2018-03-10 00:03:23,5,36,2018-03-10
36,Duke Ellington,2018-03-24 00:03:23,5,37,2018-03-24
37,Duke Ellington,2018-04-07 00:03:23,5,38,2018-04-07
38,Duke Ellington,2018-04-21 00:03:23,5,39,2018-04-21
39,Duke Ellington,2018-05-05 00:03:23,5,40,2018-05-05
40,Duke Ellington,2018-05-19 00:03:23,5,41,2018-05-19
41,Duke Ellington,2018-06-02 00:03:23,5,42,2018-06-02
42,Duke Ellington,2018-06-16 00:03:23,5,43,2018-06-16
43,Duke Ellington,2018-06-30 00:03:23,5,44,2018-06-30
44,Duke Ellington,2018-07-14 00:03:23,5,45,2018-07-14
45,Duke Ellington,2018-07-28 00:03:23,5,46,2018-07-28
46,Duke Ellington,2018-08-11 00:03:23,5,47,2018-08-11
47,Duke Ellington,2018-08-25 00:03:23,5,48,2018-08-25
