,artist,endTime,sum,week,date
0,Dixie Chicks,2018-02-16 02:55:38,1,1,2018-02-16
1,Dixie Chicks,2018-03-02 02:55:38,1,2,2018-03-02
2,Dixie Chicks,2018-03-16 02:55:38,1,3,2018-03-16
3,Dixie Chicks,2018-03-30 02:55:38,1,4,2018-03-30
4,Dixie Chicks,2018-04-13 02:55:38,1,5,2018-04-13
5,Dixie Chicks,2018-04-27 02:55:38,1,6,2018-04-27
6,Dixie Chicks,2018-05-11 02:55:38,1,7,2018-05-11
7,Dixie Chicks,2018-05-25 02:55:38,1,8,2018-05-25
8,Dixie Chicks,2018-06-08 02:55:38,1,9,2018-06-08
9,Dixie Chicks,2018-06-22 02:55:38,1,10,2018-06-22
10,Dixie Chicks,2018-07-06 02:55:38,1,11,2018-07-06
11,Dixie Chicks,2018-07-20 02:55:38,1,12,2018-07-20
12,Dixie Chicks,2018-08-03 02:55:38,1,13,2018-08-03
13,Dixie Chicks,2018-08-17 02:55:38,1,14,2018-08-17
14,Dixie Chicks,2018-08-31 02:55:38,1,15,2018-08-31
15,Dixie Chicks,2018-09-14 02:55:38,1,16,2018-09-14
16,Dixie Chicks,2018-09-28 02:55:38,1,17,2018-09-28
17,Dixie Chicks,2018-10-12 02:55:38,1,18,2018-10-12
18,Dixie Chicks,2018-10-26 02:55:38,1,19,2018-10-26
19,Dixie Chicks,2018-11-09 02:55:38,1,20,2018-11-09
20,Dixie Chicks,2018-11-23 02:55:38,1,21,2018-11-23
21,Dixie Chicks,2018-12-07 02:55:38,1,22,2018-12-07
22,Dixie Chicks,2018-12-21 02:55:38,1,23,2018-12-21
23,Dixie Chicks,2019-01-04 02:55:38,1,24,2019-01-04
24,Dixie Chicks,2019-01-18 02:55:38,1,25,2019-01-18
25,Dixie Chicks,2019-02-01 02:55:38,1,26,2019-02-01
26,Dixie Chicks,2019-02-15 02:55:38,1,27,2019-02-15
27,Dixie Chicks,2019-03-01 02:55:38,1,28,2019-03-01
28,Dixie Chicks,2019-03-15 02:55:38,1,29,2019-03-15
29,Dixie Chicks,2019-03-29 02:55:38,1,30,2019-03-29
30,Dixie Chicks,2019-04-12 02:55:38,1,31,2019-04-12
31,Dixie Chicks,2019-04-26 02:55:38,1,32,2019-04-26
32,Dixie Chicks,2019-05-10 02:55:38,1,33,2019-05-10
33,Dixie Chicks,2019-05-24 02:55:38,1,34,2019-05-24
34,Dixie Chicks,2019-06-07 02:55:38,1,35,2019-06-07
35,Dixie Chicks,2019-06-21 02:55:38,1,36,2019-06-21
36,Dixie Chicks,2019-07-05 02:55:38,1,37,2019-07-05
37,Dixie Chicks,2019-07-19 02:55:38,1,38,2019-07-19
38,Dixie Chicks,2019-08-02 02:55:38,1,39,2019-08-02
39,Dixie Chicks,2019-08-16 02:55:38,1,40,2019-08-16
40,Dixie Chicks,2019-08-30 02:55:38,1,41,2019-08-30
41,Dixie Chicks,2019-09-13 02:55:38,1,42,2019-09-13
42,Dixie Chicks,2019-09-27 02:55:38,1,43,2019-09-27
43,Dixie Chicks,2019-10-11 02:55:38,1,44,2019-10-11
44,Dixie Chicks,2019-10-25 02:55:38,1,45,2019-10-25
45,Kacey Musgraves,2018-02-16 02:55:38,0,1,2018-02-16
46,Kacey Musgraves,2018-03-02 02:55:38,0,2,2018-03-02
47,Kacey Musgraves,2018-03-16 02:55:38,0,3,2018-03-16
48,Kacey Musgraves,2018-03-30 02:55:38,0,4,2018-03-30
49,Kacey Musgraves,2018-04-13 02:55:38,0,5,2018-04-13
50,Kacey Musgraves,2018-04-27 02:55:38,0,6,2018-04-27
51,Kacey Musgraves,2018-05-11 02:55:38,0,7,2018-05-11
52,Kacey Musgraves,2018-05-25 02:55:38,0,8,2018-05-25
53,Kacey Musgraves,2018-06-08 02:55:38,0,9,2018-06-08
54,Kacey Musgraves,2018-06-22 02:55:38,0,10,2018-06-22
55,Kacey Musgraves,2018-07-06 02:55:38,0,11,2018-07-06
56,Kacey Musgraves,2018-07-20 02:55:38,0,12,2018-07-20
57,Kacey Musgraves,2018-08-03 02:55:38,0,13,2018-08-03
58,Kacey Musgraves,2018-08-17 02:55:38,0,14,2018-08-17
59,Kacey Musgraves,2018-08-31 02:55:38,0,15,2018-08-31
60,Kacey Musgraves,2018-09-14 02:55:38,0,16,2018-09-14
61,Kacey Musgraves,2018-09-28 02:55:38,0,17,2018-09-28
62,Kacey Musgraves,2018-10-12 02:55:38,0,18,2018-10-12
63,Kacey Musgraves,2018-10-26 02:55:38,0,19,2018-10-26
64,Kacey Musgraves,2018-11-09 02:55:38,0,20,2018-11-09
65,Kacey Musgraves,2018-11-23 02:55:38,0,21,2018-11-23
66,Kacey Musgraves,2018-12-07 02:55:38,0,22,2018-12-07
67,Kacey Musgraves,2018-12-21 02:55:38,0,23,2018-12-21
68,Kacey Musgraves,2019-01-04 02:55:38,0,24,2019-01-04
69,Kacey Musgraves,2019-01-18 02:55:38,0,25,2019-01-18
70,Kacey Musgraves,2019-02-01 02:55:38,0,26,2019-02-01
71,Kacey Musgraves,2019-02-15 02:55:38,0,27,2019-02-15
72,Kacey Musgraves,2019-03-01 02:55:38,0,28,2019-03-01
73,Kacey Musgraves,2019-03-15 02:55:38,4,29,2019-03-15
74,Kacey Musgraves,2019-03-29 02:55:38,5,30,2019-03-29
75,Kacey Musgraves,2019-04-12 02:55:38,5,31,2019-04-12
76,Kacey Musgraves,2019-04-26 02:55:38,5,32,2019-04-26
77,Kacey Musgraves,2019-05-10 02:55:38,5,33,2019-05-10
78,Kacey Musgraves,2019-05-24 02:55:38,5,34,2019-05-24
79,Kacey Musgraves,2019-06-07 02:55:38,5,35,2019-06-07
80,Kacey Musgraves,2019-06-21 02:55:38,5,36,2019-06-21
81,Kacey Musgraves,2019-07-05 02:55:38,5,37,2019-07-05
82,Kacey Musgraves,2019-07-19 02:55:38,5,38,2019-07-19
83,Kacey Musgraves,2019-08-02 02:55:38,5,39,2019-08-02
84,Kacey Musgraves,2019-08-16 02:55:38,6,40,2019-08-16
85,Kacey Musgraves,2019-08-30 02:55:38,6,41,2019-08-30
86,Kacey Musgraves,2019-09-13 02:55:38,6,42,2019-09-13
87,Kacey Musgraves,2019-09-27 02:55:38,6,43,2019-09-27
88,Kacey Musgraves,2019-10-11 02:55:38,6,44,2019-10-11
89,Kacey Musgraves,2019-10-25 02:55:38,6,45,2019-10-25
90,Dolly Parton,2018-02-16 02:55:38,0,1,2018-02-16
91,Dolly Parton,2018-03-02 02:55:38,0,2,2018-03-02
92,Dolly Parton,2018-03-16 02:55:38,0,3,2018-03-16
93,Dolly Parton,2018-03-30 02:55:38,0,4,2018-03-30
94,Dolly Parton,2018-04-13 02:55:38,0,5,2018-04-13
95,Dolly Parton,2018-04-27 02:55:38,0,6,2018-04-27
96,Dolly Parton,2018-05-11 02:55:38,0,7,2018-05-11
