,artist,endTime,sum,week,date
0,The Kinks,2016-06-11 15:41:00,1,1,2016-06-11
1,The Kinks,2016-06-25 15:41:00,1,2,2016-06-25
2,The Kinks,2016-07-09 15:41:00,1,3,2016-07-09
3,The Kinks,2016-07-23 15:41:00,1,4,2016-07-23
4,The Kinks,2016-08-06 15:41:00,1,5,2016-08-06
5,The Kinks,2016-08-20 15:41:00,1,6,2016-08-20
6,The Kinks,2016-09-03 15:41:00,1,7,2016-09-03
7,The Kinks,2016-09-17 15:41:00,1,8,2016-09-17
8,The Kinks,2016-10-01 15:41:00,1,9,2016-10-01
9,The Kinks,2016-10-15 15:41:00,1,10,2016-10-15
10,The Kinks,2016-10-29 15:41:00,1,11,2016-10-29
11,The Kinks,2016-11-12 15:41:00,1,12,2016-11-12
12,The Kinks,2016-11-26 15:41:00,2,13,2016-11-26
13,The Kinks,2016-12-10 15:41:00,2,14,2016-12-10
14,The Kinks,2016-12-24 15:41:00,2,15,2016-12-24
15,The Kinks,2017-01-07 15:41:00,2,16,2017-01-07
16,The Kinks,2017-01-21 15:41:00,2,17,2017-01-21
17,The Kinks,2017-02-04 15:41:00,2,18,2017-02-04
18,The Kinks,2017-02-18 15:41:00,2,19,2017-02-18
19,The Kinks,2017-03-04 15:41:00,2,20,2017-03-04
20,The Kinks,2017-03-18 15:41:00,2,21,2017-03-18
21,The Kinks,2017-04-01 15:41:00,2,22,2017-04-01
22,The Kinks,2017-04-15 15:41:00,2,23,2017-04-15
23,The Kinks,2017-04-29 15:41:00,2,24,2017-04-29
24,The Kinks,2017-05-13 15:41:00,2,25,2017-05-13
25,The Kinks,2017-05-27 15:41:00,3,26,2017-05-27
26,The Kinks,2017-06-10 15:41:00,3,27,2017-06-10
27,The Kinks,2017-06-24 15:41:00,3,28,2017-06-24
28,The Kinks,2017-07-08 15:41:00,3,29,2017-07-08
29,The Kinks,2017-07-22 15:41:00,3,30,2017-07-22
30,The Kinks,2017-08-05 15:41:00,3,31,2017-08-05
31,The Kinks,2017-08-19 15:41:00,3,32,2017-08-19
32,The Kinks,2017-09-02 15:41:00,3,33,2017-09-02
33,The Kinks,2017-09-16 15:41:00,3,34,2017-09-16
34,The Kinks,2017-09-30 15:41:00,3,35,2017-09-30
35,The Kinks,2017-10-14 15:41:00,3,36,2017-10-14
36,The Kinks,2017-10-28 15:41:00,3,37,2017-10-28
37,The Kinks,2017-11-11 15:41:00,3,38,2017-11-11
38,The Kinks,2017-11-25 15:41:00,3,39,2017-11-25
39,The Kinks,2017-12-09 15:41:00,3,40,2017-12-09
40,The Kinks,2017-12-23 15:41:00,3,41,2017-12-23
41,The Kinks,2018-01-06 15:41:00,3,42,2018-01-06
42,The Kinks,2018-01-20 15:41:00,3,43,2018-01-20
43,The Kinks,2018-02-03 15:41:00,5,44,2018-02-03
44,The Kinks,2018-02-17 15:41:00,5,45,2018-02-17
45,The Kinks,2018-03-03 15:41:00,5,46,2018-03-03
46,The Kinks,2018-03-17 15:41:00,5,47,2018-03-17
47,The Kinks,2018-03-31 15:41:00,5,48,2018-03-31
48,The Kinks,2018-04-14 15:41:00,5,49,2018-04-14
49,The Kinks,2018-04-28 15:41:00,5,50,2018-04-28
50,The Kinks,2018-05-12 15:41:00,5,51,2018-05-12
51,The Kinks,2018-05-26 15:41:00,5,52,2018-05-26
52,The Kinks,2018-06-09 15:41:00,5,53,2018-06-09
