,artist,endTime,sum,week,date
0,Tchami,2018-04-14 19:47:54,1,1,2018-04-14
1,Tchami,2018-04-28 19:47:54,1,2,2018-04-28
2,Tchami,2018-05-12 19:47:54,1,3,2018-05-12
3,Tchami,2018-05-26 19:47:54,1,4,2018-05-26
4,Tchami,2018-06-09 19:47:54,1,5,2018-06-09
5,Tchami,2018-06-23 19:47:54,1,6,2018-06-23
6,Tchami,2018-07-07 19:47:54,1,7,2018-07-07
7,Tchami,2018-07-21 19:47:54,1,8,2018-07-21
8,Tchami,2018-08-04 19:47:54,1,9,2018-08-04
9,Tchami,2018-08-18 19:47:54,1,10,2018-08-18
10,Tchami,2018-09-01 19:47:54,1,11,2018-09-01
11,Tchami,2018-09-15 19:47:54,1,12,2018-09-15
12,Tchami,2018-09-29 19:47:54,1,13,2018-09-29
13,Tchami,2018-10-13 19:47:54,1,14,2018-10-13
14,Tchami,2018-10-27 19:47:54,1,15,2018-10-27
15,Tchami,2018-11-10 19:47:54,1,16,2018-11-10
16,Tchami,2018-11-24 19:47:54,1,17,2018-11-24
17,Tchami,2018-12-08 19:47:54,1,18,2018-12-08
18,Tchami,2018-12-22 19:47:54,1,19,2018-12-22
19,Tchami,2019-01-05 19:47:54,1,20,2019-01-05
20,Tchami,2019-01-19 19:47:54,1,21,2019-01-19
21,Tchami,2019-02-02 19:47:54,1,22,2019-02-02
22,Tchami,2019-02-16 19:47:54,1,23,2019-02-16
23,Tchami,2019-03-02 19:47:54,1,24,2019-03-02
24,Tchami,2019-03-16 19:47:54,1,25,2019-03-16
25,Tchami,2019-03-30 19:47:54,1,26,2019-03-30
26,Tchami,2019-04-13 19:47:54,1,27,2019-04-13
27,Chris Lake,2018-04-14 19:47:54,0,1,2018-04-14
28,Chris Lake,2018-04-28 19:47:54,0,2,2018-04-28
29,Chris Lake,2018-05-12 19:47:54,0,3,2018-05-12
30,Chris Lake,2018-05-26 19:47:54,0,4,2018-05-26
31,Chris Lake,2018-06-09 19:47:54,0,5,2018-06-09
32,Chris Lake,2018-06-23 19:47:54,0,6,2018-06-23
33,Chris Lake,2018-07-07 19:47:54,0,7,2018-07-07
34,Chris Lake,2018-07-21 19:47:54,0,8,2018-07-21
35,Chris Lake,2018-08-04 19:47:54,0,9,2018-08-04
36,Chris Lake,2018-08-18 19:47:54,0,10,2018-08-18
37,Chris Lake,2018-09-01 19:47:54,0,11,2018-09-01
38,Chris Lake,2018-09-15 19:47:54,0,12,2018-09-15
39,Chris Lake,2018-09-29 19:47:54,1,13,2018-09-29
40,Chris Lake,2018-10-13 19:47:54,1,14,2018-10-13
41,Chris Lake,2018-10-27 19:47:54,1,15,2018-10-27
42,Chris Lake,2018-11-10 19:47:54,1,16,2018-11-10
43,Chris Lake,2018-11-24 19:47:54,1,17,2018-11-24
44,Chris Lake,2018-12-08 19:47:54,1,18,2018-12-08
45,Chris Lake,2018-12-22 19:47:54,1,19,2018-12-22
46,Chris Lake,2019-01-05 19:47:54,1,20,2019-01-05
47,Chris Lake,2019-01-19 19:47:54,1,21,2019-01-19
48,Chris Lake,2019-02-02 19:47:54,1,22,2019-02-02
49,Chris Lake,2019-02-16 19:47:54,1,23,2019-02-16
50,Chris Lake,2019-03-02 19:47:54,1,24,2019-03-02
51,Chris Lake,2019-03-16 19:47:54,1,25,2019-03-16
52,Chris Lake,2019-03-30 19:47:54,1,26,2019-03-30
53,Chris Lake,2019-04-13 19:47:54,1,27,2019-04-13
54,Dom Dolla,2018-04-14 19:47:54,0,1,2018-04-14
55,Dom Dolla,2018-04-28 19:47:54,0,2,2018-04-28
56,Dom Dolla,2018-05-12 19:47:54,0,3,2018-05-12
57,Dom Dolla,2018-05-26 19:47:54,0,4,2018-05-26
58,Dom Dolla,2018-06-09 19:47:54,0,5,2018-06-09
59,Dom Dolla,2018-06-23 19:47:54,0,6,2018-06-23
60,Dom Dolla,2018-07-07 19:47:54,0,7,2018-07-07
61,Dom Dolla,2018-07-21 19:47:54,0,8,2018-07-21
62,Dom Dolla,2018-08-04 19:47:54,0,9,2018-08-04
63,Dom Dolla,2018-08-18 19:47:54,0,10,2018-08-18
64,Dom Dolla,2018-09-01 19:47:54,0,11,2018-09-01
65,Dom Dolla,2018-09-15 19:47:54,0,12,2018-09-15
66,Dom Dolla,2018-09-29 19:47:54,0,13,2018-09-29
67,Dom Dolla,2018-10-13 19:47:54,0,14,2018-10-13
68,Dom Dolla,2018-10-27 19:47:54,0,15,2018-10-27
69,Dom Dolla,2018-11-10 19:47:54,0,16,2018-11-10
70,Dom Dolla,2018-11-24 19:47:54,0,17,2018-11-24
71,Dom Dolla,2018-12-08 19:47:54,0,18,2018-12-08
72,Dom Dolla,2018-12-22 19:47:54,0,19,2018-12-22
73,Dom Dolla,2019-01-05 19:47:54,0,20,2019-01-05
74,Dom Dolla,2019-01-19 19:47:54,0,21,2019-01-19
75,Dom Dolla,2019-02-02 19:47:54,0,22,2019-02-02
76,Dom Dolla,2019-02-16 19:47:54,0,23,2019-02-16
77,Dom Dolla,2019-03-02 19:47:54,0,24,2019-03-02
78,Dom Dolla,2019-03-16 19:47:54,0,25,2019-03-16
79,Dom Dolla,2019-03-30 19:47:54,0,26,2019-03-30
80,Dom Dolla,2019-04-13 19:47:54,0,27,2019-04-13
