,artist,endTime,sum,week,date
0,Romare,2017-03-22 17:08:26,1,1,2017-03-22
1,Romare,2017-04-05 17:08:26,1,2,2017-04-05
2,Romare,2017-04-19 17:08:26,1,3,2017-04-19
3,Romare,2017-05-03 17:08:26,1,4,2017-05-03
4,Romare,2017-05-17 17:08:26,1,5,2017-05-17
5,Romare,2017-05-31 17:08:26,1,6,2017-05-31
6,Romare,2017-06-14 17:08:26,1,7,2017-06-14
7,Romare,2017-06-28 17:08:26,1,8,2017-06-28
8,Romare,2017-07-12 17:08:26,1,9,2017-07-12
9,Romare,2017-07-26 17:08:26,1,10,2017-07-26
10,Romare,2017-08-09 17:08:26,1,11,2017-08-09
11,Romare,2017-08-23 17:08:26,1,12,2017-08-23
12,Romare,2017-09-06 17:08:26,1,13,2017-09-06
13,Romare,2017-09-20 17:08:26,1,14,2017-09-20
14,Romare,2017-10-04 17:08:26,1,15,2017-10-04
15,Romare,2017-10-18 17:08:26,1,16,2017-10-18
16,Romare,2017-11-01 17:08:26,1,17,2017-11-01
17,Romare,2017-11-15 17:08:26,1,18,2017-11-15
18,Romare,2017-11-29 17:08:26,1,19,2017-11-29
19,Romare,2017-12-13 17:08:26,1,20,2017-12-13
20,Romare,2017-12-27 17:08:26,1,21,2017-12-27
21,Romare,2018-01-10 17:08:26,1,22,2018-01-10
22,Romare,2018-01-24 17:08:26,1,23,2018-01-24
23,Romare,2018-02-07 17:08:26,1,24,2018-02-07
24,Romare,2018-02-21 17:08:26,1,25,2018-02-21
25,Romare,2018-03-07 17:08:26,1,26,2018-03-07
26,Romare,2018-03-21 17:08:26,1,27,2018-03-21
27,Romare,2018-04-04 17:08:26,1,28,2018-04-04
28,Romare,2018-04-18 17:08:26,1,29,2018-04-18
29,Romare,2018-05-02 17:08:26,1,30,2018-05-02
30,Romare,2018-05-16 17:08:26,1,31,2018-05-16
31,Romare,2018-05-30 17:08:26,1,32,2018-05-30
32,Romare,2018-06-13 17:08:26,1,33,2018-06-13
33,Romare,2018-06-27 17:08:26,1,34,2018-06-27
34,Romare,2018-07-11 17:08:26,1,35,2018-07-11
35,Romare,2018-07-25 17:08:26,1,36,2018-07-25
36,Romare,2018-08-08 17:08:26,1,37,2018-08-08
37,Romare,2018-08-22 17:08:26,1,38,2018-08-22
38,Romare,2018-09-05 17:08:26,1,39,2018-09-05
39,Romare,2018-09-19 17:08:26,1,40,2018-09-19
40,Romare,2018-10-03 17:08:26,1,41,2018-10-03
41,Romare,2018-10-17 17:08:26,1,42,2018-10-17
42,Romare,2018-10-31 17:08:26,1,43,2018-10-31
43,Romare,2018-11-14 17:08:26,1,44,2018-11-14
44,Romare,2018-11-28 17:08:26,1,45,2018-11-28
45,Romare,2018-12-12 17:08:26,1,46,2018-12-12
46,Romare,2018-12-26 17:08:26,1,47,2018-12-26
47,Romare,2019-01-09 17:08:26,1,48,2019-01-09
48,Romare,2019-01-23 17:08:26,1,49,2019-01-23
49,Romare,2019-02-06 17:08:26,1,50,2019-02-06
50,Romare,2019-02-20 17:08:26,1,51,2019-02-20
51,Romare,2019-03-06 17:08:26,1,52,2019-03-06
52,Romare,2019-03-20 17:08:26,1,53,2019-03-20
53,Romare,2019-04-03 17:08:26,1,54,2019-04-03
54,Romare,2019-04-17 17:08:26,1,55,2019-04-17
55,Romare,2019-05-01 17:08:26,1,56,2019-05-01
56,Romare,2019-05-15 17:08:26,1,57,2019-05-15
57,Romare,2019-05-29 17:08:26,1,58,2019-05-29
58,Romare,2019-06-12 17:08:26,1,59,2019-06-12
59,Romare,2019-06-26 17:08:26,1,60,2019-06-26
60,Romare,2019-07-10 17:08:26,1,61,2019-07-10
61,Romare,2019-07-24 17:08:26,1,62,2019-07-24
62,Romare,2019-08-07 17:08:26,1,63,2019-08-07
63,Romare,2019-08-21 17:08:26,1,64,2019-08-21
64,Romare,2019-09-04 17:08:26,1,65,2019-09-04
65,Romare,2019-09-18 17:08:26,1,66,2019-09-18
66,Romare,2019-10-02 17:08:26,2,67,2019-10-02
67,Romare,2019-10-16 17:08:26,2,68,2019-10-16
68,Romare,2019-10-30 17:08:26,2,69,2019-10-30
69,Romare,2019-11-13 17:08:26,2,70,2019-11-13
70,Romare,2019-11-27 17:08:26,2,71,2019-11-27
71,Romare,2019-12-11 17:08:26,2,72,2019-12-11
72,Romare,2019-12-25 17:08:26,2,73,2019-12-25
73,Romare,2020-01-08 17:08:26,2,74,2020-01-08
74,Romare,2020-01-22 17:08:26,2,75,2020-01-22
75,Romare,2020-02-05 17:08:26,2,76,2020-02-05
76,Romare,2020-02-19 17:08:26,2,77,2020-02-19
77,Romare,2020-03-04 17:08:26,2,78,2020-03-04
78,Romare,2020-03-18 17:08:26,2,79,2020-03-18
79,Romare,2020-04-01 17:08:26,2,80,2020-04-01
80,Romare,2020-04-15 17:08:26,2,81,2020-04-15
81,Ross From Friends,2017-03-22 17:08:26,0,1,2017-03-22
82,Ross From Friends,2017-04-05 17:08:26,0,2,2017-04-05
83,Ross From Friends,2017-04-19 17:08:26,0,3,2017-04-19
84,Ross From Friends,2017-05-03 17:08:26,0,4,2017-05-03
85,Ross From Friends,2017-05-17 17:08:26,0,5,2017-05-17
86,Ross From Friends,2017-05-31 17:08:26,0,6,2017-05-31
87,Ross From Friends,2017-06-14 17:08:26,0,7,2017-06-14
88,Ross From Friends,2017-06-28 17:08:26,0,8,2017-06-28
89,Ross From Friends,2017-07-12 17:08:26,0,9,2017-07-12
90,Ross From Friends,2017-07-26 17:08:26,0,10,2017-07-26
91,Ross From Friends,2017-08-09 17:08:26,0,11,2017-08-09
92,Ross From Friends,2017-08-23 17:08:26,0,12,2017-08-23
