,artist,endTime,sum,week,date
0,Martin Solveig,2018-02-16 03:03:35,1,1,2018-02-16
1,Martin Solveig,2018-03-02 03:03:35,3,2,2018-03-02
2,Martin Solveig,2018-03-16 03:03:35,3,3,2018-03-16
3,Martin Solveig,2018-03-30 03:03:35,3,4,2018-03-30
4,Martin Solveig,2018-04-13 03:03:35,4,5,2018-04-13
5,Martin Solveig,2018-04-27 03:03:35,4,6,2018-04-27
6,Martin Solveig,2018-05-11 03:03:35,4,7,2018-05-11
7,Martin Solveig,2018-05-25 03:03:35,4,8,2018-05-25
8,Martin Solveig,2018-06-08 03:03:35,4,9,2018-06-08
9,Martin Solveig,2018-06-22 03:03:35,4,10,2018-06-22
10,Martin Solveig,2018-07-06 03:03:35,5,11,2018-07-06
11,Martin Solveig,2018-07-20 03:03:35,5,12,2018-07-20
12,Martin Solveig,2018-08-03 03:03:35,5,13,2018-08-03
13,Martin Solveig,2018-08-17 03:03:35,5,14,2018-08-17
14,Martin Solveig,2018-08-31 03:03:35,5,15,2018-08-31
15,Martin Solveig,2018-09-14 03:03:35,5,16,2018-09-14
16,Martin Solveig,2018-09-28 03:03:35,5,17,2018-09-28
17,Martin Solveig,2018-10-12 03:03:35,5,18,2018-10-12
18,Martin Solveig,2018-10-26 03:03:35,5,19,2018-10-26
19,Martin Solveig,2018-11-09 03:03:35,5,20,2018-11-09
20,Martin Solveig,2018-11-23 03:03:35,5,21,2018-11-23
21,Martin Solveig,2018-12-07 03:03:35,5,22,2018-12-07
22,Martin Solveig,2018-12-21 03:03:35,5,23,2018-12-21
23,Martin Solveig,2019-01-04 03:03:35,5,24,2019-01-04
24,Martin Solveig,2019-01-18 03:03:35,5,25,2019-01-18
25,Martin Solveig,2019-02-01 03:03:35,5,26,2019-02-01
26,Martin Solveig,2019-02-15 03:03:35,5,27,2019-02-15
27,Martin Solveig,2019-03-01 03:03:35,5,28,2019-03-01
28,Martin Solveig,2019-03-15 03:03:35,5,29,2019-03-15
29,Martin Solveig,2019-03-29 03:03:35,5,30,2019-03-29
30,Martin Solveig,2019-04-12 03:03:35,5,31,2019-04-12
31,Martin Solveig,2019-04-26 03:03:35,5,32,2019-04-26
32,Martin Solveig,2019-05-10 03:03:35,5,33,2019-05-10
33,Martin Solveig,2019-05-24 03:03:35,5,34,2019-05-24
34,Martin Solveig,2019-06-07 03:03:35,5,35,2019-06-07
35,Martin Solveig,2019-06-21 03:03:35,5,36,2019-06-21
36,Martin Solveig,2019-07-05 03:03:35,5,37,2019-07-05
37,Martin Solveig,2019-07-19 03:03:35,5,38,2019-07-19
38,Martin Solveig,2019-08-02 03:03:35,5,39,2019-08-02
39,Martin Solveig,2019-08-16 03:03:35,5,40,2019-08-16
40,Martin Solveig,2019-08-30 03:03:35,5,41,2019-08-30
41,Martin Solveig,2019-09-13 03:03:35,5,42,2019-09-13
42,Martin Solveig,2019-09-27 03:03:35,5,43,2019-09-27
43,Martin Solveig,2019-10-11 03:03:35,5,44,2019-10-11
44,Martin Solveig,2019-10-25 03:03:35,5,45,2019-10-25
45,Martin Solveig,2019-11-08 03:03:35,5,46,2019-11-08
46,Martin Solveig,2019-11-22 03:03:35,5,47,2019-11-22
47,Martin Solveig,2019-12-06 03:03:35,5,48,2019-12-06
48,Martin Solveig,2019-12-20 03:03:35,5,49,2019-12-20
49,Martin Solveig,2020-01-03 03:03:35,5,50,2020-01-03
50,Martin Solveig,2020-01-17 03:03:35,5,51,2020-01-17
51,Martin Solveig,2020-01-31 03:03:35,5,52,2020-01-31
