,artist,endTime,sum,week,date
0,Hardwell,2018-02-02 01:41:55,1,1,2018-02-02
1,Hardwell,2018-02-16 01:41:55,1,2,2018-02-16
2,Hardwell,2018-03-02 01:41:55,1,3,2018-03-02
3,Hardwell,2018-03-16 01:41:55,1,4,2018-03-16
4,Hardwell,2018-03-30 01:41:55,1,5,2018-03-30
5,Hardwell,2018-04-13 01:41:55,2,6,2018-04-13
6,Afrojack,2018-02-02 01:41:55,1,1,2018-02-02
7,Afrojack,2018-02-16 01:41:55,1,2,2018-02-16
8,Afrojack,2018-03-02 01:41:55,1,3,2018-03-02
9,Afrojack,2018-03-16 01:41:55,1,4,2018-03-16
10,Afrojack,2018-03-30 01:41:55,1,5,2018-03-30
11,Afrojack,2018-04-13 01:41:55,1,6,2018-04-13
12,R3HAB,2018-02-02 01:41:55,0,1,2018-02-02
13,R3HAB,2018-02-16 01:41:55,0,2,2018-02-16
14,R3HAB,2018-03-02 01:41:55,1,3,2018-03-02
15,R3HAB,2018-03-16 01:41:55,1,4,2018-03-16
16,R3HAB,2018-03-30 01:41:55,1,5,2018-03-30
17,R3HAB,2018-04-13 01:41:55,1,6,2018-04-13
18,R3hab,2018-02-02 01:41:55,0,1,2018-02-02
19,R3hab,2018-02-16 01:41:55,0,2,2018-02-16
20,R3hab,2018-03-02 01:41:55,0,3,2018-03-02
21,R3hab,2018-03-16 01:41:55,0,4,2018-03-16
22,R3hab,2018-03-30 01:41:55,0,5,2018-03-30
23,R3hab,2018-04-13 01:41:55,0,6,2018-04-13
