,artist,endTime,sum,week,date
0,Mac Demarco,2016-11-22 14:37:03,2,1,2016-11-22
1,Mac Demarco,2016-12-06 14:37:03,2,2,2016-12-06
2,Mac Demarco,2016-12-20 14:37:03,2,3,2016-12-20
3,Mac Demarco,2017-01-03 14:37:03,2,4,2017-01-03
4,Mac Demarco,2017-01-17 14:37:03,2,5,2017-01-17
5,Mac Demarco,2017-01-31 14:37:03,2,6,2017-01-31
6,Mac Demarco,2017-02-14 14:37:03,2,7,2017-02-14
7,Mac Demarco,2017-02-28 14:37:03,2,8,2017-02-28
8,Mac Demarco,2017-03-14 14:37:03,2,9,2017-03-14
9,Mac Demarco,2017-03-28 14:37:03,2,10,2017-03-28
10,Mac Demarco,2017-04-11 14:37:03,2,11,2017-04-11
11,Mac Demarco,2017-04-25 14:37:03,2,12,2017-04-25
12,Mac Demarco,2017-05-09 14:37:03,2,13,2017-05-09
13,Mac Demarco,2017-05-23 14:37:03,2,14,2017-05-23
14,Mac Demarco,2017-06-06 14:37:03,3,15,2017-06-06
15,Mac Demarco,2017-06-20 14:37:03,4,16,2017-06-20
16,Mac Demarco,2017-07-04 14:37:03,4,17,2017-07-04
17,Mac Demarco,2017-07-18 14:37:03,4,18,2017-07-18
18,Mac Demarco,2017-08-01 14:37:03,4,19,2017-08-01
19,Mac Demarco,2017-08-15 14:37:03,4,20,2017-08-15
20,Mac Demarco,2017-08-29 14:37:03,6,21,2017-08-29
21,Mac Demarco,2017-09-12 14:37:03,6,22,2017-09-12
22,Mac Demarco,2017-09-26 14:37:03,6,23,2017-09-26
23,Mac Demarco,2017-10-10 14:37:03,7,24,2017-10-10
24,Mac Demarco,2017-10-24 14:37:03,12,25,2017-10-24
25,Mac Demarco,2017-11-07 14:37:03,12,26,2017-11-07
26,Mac Demarco,2017-11-21 14:37:03,12,27,2017-11-21
27,Mac Demarco,2017-12-05 14:37:03,12,28,2017-12-05
28,Mac Demarco,2017-12-19 14:37:03,19,29,2017-12-19
29,Mac Demarco,2018-01-02 14:37:03,19,30,2018-01-02
30,Mac Demarco,2018-01-16 14:37:03,19,31,2018-01-16
31,Mac Demarco,2018-01-30 14:37:03,19,32,2018-01-30
32,Mac Demarco,2018-02-13 14:37:03,19,33,2018-02-13
33,Mac Demarco,2018-02-27 14:37:03,22,34,2018-02-27
34,Mac Demarco,2018-03-13 14:37:03,22,35,2018-03-13
35,Mac Demarco,2018-03-27 14:37:03,22,36,2018-03-27
36,Mac Demarco,2018-04-10 14:37:03,23,37,2018-04-10
37,Mac Demarco,2018-04-24 14:37:03,23,38,2018-04-24
38,Mac Demarco,2018-05-08 14:37:03,23,39,2018-05-08
39,Mac Demarco,2018-05-22 14:37:03,23,40,2018-05-22
40,Mac Demarco,2018-06-05 14:37:03,23,41,2018-06-05
41,Mac Demarco,2018-06-19 14:37:03,23,42,2018-06-19
42,Mac Demarco,2018-07-03 14:37:03,24,43,2018-07-03
43,Mac Demarco,2018-07-17 14:37:03,25,44,2018-07-17
44,Mac Demarco,2018-07-31 14:37:03,25,45,2018-07-31
45,Mac Demarco,2018-08-14 14:37:03,25,46,2018-08-14
46,Mac Demarco,2018-08-28 14:37:03,25,47,2018-08-28
47,Mac Demarco,2018-09-11 14:37:03,25,48,2018-09-11
48,Mac Demarco,2018-09-25 14:37:03,26,49,2018-09-25
49,Mac Demarco,2018-10-09 14:37:03,26,50,2018-10-09
50,Mac Demarco,2018-10-23 14:37:03,26,51,2018-10-23
51,Mac Demarco,2018-11-06 14:37:03,26,52,2018-11-06
52,Mac Demarco,2018-11-20 14:37:03,26,53,2018-11-20
53,Mac Demarco,2018-12-04 14:37:03,26,54,2018-12-04
54,Mac Demarco,2018-12-18 14:37:03,26,55,2018-12-18
55,Mac Demarco,2019-01-01 14:37:03,26,56,2019-01-01
56,Mac Demarco,2019-01-15 14:37:03,26,57,2019-01-15
57,Mac Demarco,2019-01-29 14:37:03,35,58,2019-01-29
58,Mac Demarco,2019-02-12 14:37:03,37,59,2019-02-12
59,Mac Demarco,2019-02-26 14:37:03,37,60,2019-02-26
60,Mac Demarco,2019-03-12 14:37:03,37,61,2019-03-12
61,Mac Demarco,2019-03-26 14:37:03,37,62,2019-03-26
62,Mac Demarco,2019-04-09 14:37:03,37,63,2019-04-09
63,Mac Demarco,2019-04-23 14:37:03,37,64,2019-04-23
64,Mac Demarco,2019-05-07 14:37:03,37,65,2019-05-07
65,Mac Demarco,2019-05-21 14:37:03,37,66,2019-05-21
66,Mac Demarco,2019-06-04 14:37:03,37,67,2019-06-04
67,Mac Demarco,2019-06-18 14:37:03,37,68,2019-06-18
68,Mac Demarco,2019-07-02 14:37:03,37,69,2019-07-02
69,Mac Demarco,2019-07-16 14:37:03,37,70,2019-07-16
70,Mac Demarco,2019-07-30 14:37:03,37,71,2019-07-30
71,Mac Demarco,2019-08-13 14:37:03,37,72,2019-08-13
72,Mac Demarco,2019-08-27 14:37:03,38,73,2019-08-27
73,Mac Demarco,2019-09-10 14:37:03,38,74,2019-09-10
74,Mac Demarco,2019-09-24 14:37:03,38,75,2019-09-24
75,Mac Demarco,2019-10-08 14:37:03,38,76,2019-10-08
76,Mac Demarco,2019-10-22 14:37:03,39,77,2019-10-22
77,Mac Demarco,2019-11-05 14:37:03,39,78,2019-11-05
78,Mac Demarco,2019-11-19 14:37:03,39,79,2019-11-19
79,Mac Demarco,2019-12-03 14:37:03,39,80,2019-12-03
80,Mac Demarco,2019-12-17 14:37:03,39,81,2019-12-17
81,Mac Demarco,2019-12-31 14:37:03,39,82,2019-12-31
82,Mac Demarco,2020-01-14 14:37:03,39,83,2020-01-14
83,Mac Demarco,2020-01-28 14:37:03,39,84,2020-01-28
84,Mac Demarco,2020-02-11 14:37:03,39,85,2020-02-11
85,Mac Demarco,2020-02-25 14:37:03,39,86,2020-02-25
86,Mac Demarco,2020-03-10 14:37:03,39,87,2020-03-10
87,Mac Demarco,2020-03-24 14:37:03,39,88,2020-03-24
88,Mac Demarco,2020-04-07 14:37:03,39,89,2020-04-07
89,Mac DeMarco,2016-11-22 14:37:03,1,1,2016-11-22
90,Mac DeMarco,2016-12-06 14:37:03,1,2,2016-12-06
91,Mac DeMarco,2016-12-20 14:37:03,1,3,2016-12-20
92,Mac DeMarco,2017-01-03 14:37:03,1,4,2017-01-03
93,Mac DeMarco,2017-01-17 14:37:03,1,5,2017-01-17
94,Mac DeMarco,2017-01-31 14:37:03,1,6,2017-01-31
95,Mac DeMarco,2017-02-14 14:37:03,1,7,2017-02-14
96,Mac DeMarco,2017-02-28 14:37:03,1,8,2017-02-28
97,Mac DeMarco,2017-03-14 14:37:03,1,9,2017-03-14
