,artist,endTime,sum,week,date
0,Ross From Friends,2019-10-11 02:24:31,1,1,2019-10-11
1,Ross From Friends,2019-10-25 02:24:31,1,2,2019-10-25
2,Ross From Friends,2019-11-08 02:24:31,1,3,2019-11-08
3,Ross From Friends,2019-11-22 02:24:31,1,4,2019-11-22
4,Ross From Friends,2019-12-06 02:24:31,1,5,2019-12-06
5,Ross From Friends,2019-12-20 02:24:31,1,6,2019-12-20
6,Ross From Friends,2020-01-03 02:24:31,1,7,2020-01-03
7,Ross From Friends,2020-01-17 02:24:31,1,8,2020-01-17
8,Ross From Friends,2020-01-31 02:24:31,1,9,2020-01-31
9,Ross From Friends,2020-02-14 02:24:31,1,10,2020-02-14
10,Ross From Friends,2020-02-28 02:24:31,1,11,2020-02-28
11,Ross From Friends,2020-03-13 02:24:31,1,12,2020-03-13
12,Ross From Friends,2020-03-27 02:24:31,1,13,2020-03-27
13,Ross From Friends,2020-04-10 02:24:31,1,14,2020-04-10
14,Peggy Gou,2019-10-11 02:24:31,0,1,2019-10-11
15,Peggy Gou,2019-10-25 02:24:31,2,2,2019-10-25
16,Peggy Gou,2019-11-08 02:24:31,2,3,2019-11-08
17,Peggy Gou,2019-11-22 02:24:31,2,4,2019-11-22
18,Peggy Gou,2019-12-06 02:24:31,2,5,2019-12-06
19,Peggy Gou,2019-12-20 02:24:31,2,6,2019-12-20
20,Peggy Gou,2020-01-03 02:24:31,2,7,2020-01-03
21,Peggy Gou,2020-01-17 02:24:31,2,8,2020-01-17
22,Peggy Gou,2020-01-31 02:24:31,2,9,2020-01-31
23,Peggy Gou,2020-02-14 02:24:31,2,10,2020-02-14
24,Peggy Gou,2020-02-28 02:24:31,2,11,2020-02-28
25,Peggy Gou,2020-03-13 02:24:31,2,12,2020-03-13
26,Peggy Gou,2020-03-27 02:24:31,2,13,2020-03-27
27,Peggy Gou,2020-04-10 02:24:31,2,14,2020-04-10
28,Mr. Fingers,2019-10-11 02:24:31,0,1,2019-10-11
29,Mr. Fingers,2019-10-25 02:24:31,0,2,2019-10-25
30,Mr. Fingers,2019-11-08 02:24:31,0,3,2019-11-08
31,Mr. Fingers,2019-11-22 02:24:31,0,4,2019-11-22
32,Mr. Fingers,2019-12-06 02:24:31,0,5,2019-12-06
33,Mr. Fingers,2019-12-20 02:24:31,0,6,2019-12-20
34,Mr. Fingers,2020-01-03 02:24:31,0,7,2020-01-03
35,Mr. Fingers,2020-01-17 02:24:31,0,8,2020-01-17
36,Mr. Fingers,2020-01-31 02:24:31,0,9,2020-01-31
37,Mr. Fingers,2020-02-14 02:24:31,0,10,2020-02-14
38,Mr. Fingers,2020-02-28 02:24:31,0,11,2020-02-28
39,Mr. Fingers,2020-03-13 02:24:31,0,12,2020-03-13
40,Mr. Fingers,2020-03-27 02:24:31,0,13,2020-03-27
41,Mr. Fingers,2020-04-10 02:24:31,2,14,2020-04-10
42,HNNY,2019-10-11 02:24:31,0,1,2019-10-11
43,HNNY,2019-10-25 02:24:31,0,2,2019-10-25
44,HNNY,2019-11-08 02:24:31,0,3,2019-11-08
45,HNNY,2019-11-22 02:24:31,0,4,2019-11-22
46,HNNY,2019-12-06 02:24:31,0,5,2019-12-06
47,HNNY,2019-12-20 02:24:31,0,6,2019-12-20
48,HNNY,2020-01-03 02:24:31,0,7,2020-01-03
49,HNNY,2020-01-17 02:24:31,0,8,2020-01-17
50,HNNY,2020-01-31 02:24:31,0,9,2020-01-31
51,HNNY,2020-02-14 02:24:31,0,10,2020-02-14
52,HNNY,2020-02-28 02:24:31,0,11,2020-02-28
53,HNNY,2020-03-13 02:24:31,0,12,2020-03-13
54,HNNY,2020-03-27 02:24:31,0,13,2020-03-27
55,HNNY,2020-04-10 02:24:31,0,14,2020-04-10
