,artist,endTime,sum,week,date
0,Kimya Dawson,2016-11-30 21:02:30,2,1,2016-11-30
1,Kimya Dawson,2016-12-14 21:02:30,2,2,2016-12-14
2,Kimya Dawson,2016-12-28 21:02:30,2,3,2016-12-28
3,Kimya Dawson,2017-01-11 21:02:30,2,4,2017-01-11
4,Kimya Dawson,2017-01-25 21:02:30,2,5,2017-01-25
5,Kimya Dawson,2017-02-08 21:02:30,2,6,2017-02-08
6,Kimya Dawson,2017-02-22 21:02:30,2,7,2017-02-22
7,Kimya Dawson,2017-03-08 21:02:30,2,8,2017-03-08
8,Kimya Dawson,2017-03-22 21:02:30,2,9,2017-03-22
9,Kimya Dawson,2017-04-05 21:02:30,2,10,2017-04-05
10,Kimya Dawson,2017-04-19 21:02:30,2,11,2017-04-19
11,Kimya Dawson,2017-05-03 21:02:30,2,12,2017-05-03
12,Kimya Dawson,2017-05-17 21:02:30,2,13,2017-05-17
13,Kimya Dawson,2017-05-31 21:02:30,2,14,2017-05-31
14,Kimya Dawson,2017-06-14 21:02:30,2,15,2017-06-14
15,Kimya Dawson,2017-06-28 21:02:30,2,16,2017-06-28
16,Kimya Dawson,2017-07-12 21:02:30,2,17,2017-07-12
17,Kimya Dawson,2017-07-26 21:02:30,2,18,2017-07-26
18,Kimya Dawson,2017-08-09 21:02:30,2,19,2017-08-09
19,Kimya Dawson,2017-08-23 21:02:30,2,20,2017-08-23
20,Kimya Dawson,2017-09-06 21:02:30,2,21,2017-09-06
21,Kimya Dawson,2017-09-20 21:02:30,2,22,2017-09-20
22,Kimya Dawson,2017-10-04 21:02:30,2,23,2017-10-04
23,Kimya Dawson,2017-10-18 21:02:30,2,24,2017-10-18
24,Kimya Dawson,2017-11-01 21:02:30,2,25,2017-11-01
25,Kimya Dawson,2017-11-15 21:02:30,2,26,2017-11-15
26,Kimya Dawson,2017-11-29 21:02:30,2,27,2017-11-29
27,Kimya Dawson,2017-12-13 21:02:30,2,28,2017-12-13
28,Kimya Dawson,2017-12-27 21:02:30,2,29,2017-12-27
29,Kimya Dawson,2018-01-10 21:02:30,2,30,2018-01-10
30,Kimya Dawson,2018-01-24 21:02:30,2,31,2018-01-24
31,Kimya Dawson,2018-02-07 21:02:30,2,32,2018-02-07
32,Kimya Dawson,2018-02-21 21:02:30,2,33,2018-02-21
33,Kimya Dawson,2018-03-07 21:02:30,2,34,2018-03-07
34,Kimya Dawson,2018-03-21 21:02:30,2,35,2018-03-21
35,Kimya Dawson,2018-04-04 21:02:30,2,36,2018-04-04
36,Kimya Dawson,2018-04-18 21:02:30,2,37,2018-04-18
37,Kimya Dawson,2018-05-02 21:02:30,2,38,2018-05-02
38,Kimya Dawson,2018-05-16 21:02:30,2,39,2018-05-16
39,Kimya Dawson,2018-05-30 21:02:30,2,40,2018-05-30
40,Kimya Dawson,2018-06-13 21:02:30,2,41,2018-06-13
41,Kimya Dawson,2018-06-27 21:02:30,2,42,2018-06-27
42,Kimya Dawson,2018-07-11 21:02:30,2,43,2018-07-11
43,Kimya Dawson,2018-07-25 21:02:30,2,44,2018-07-25
44,Kimya Dawson,2018-08-08 21:02:30,2,45,2018-08-08
45,Kimya Dawson,2018-08-22 21:02:30,2,46,2018-08-22
46,Kimya Dawson,2018-09-05 21:02:30,2,47,2018-09-05
47,Kimya Dawson,2018-09-19 21:02:30,2,48,2018-09-19
48,Kimya Dawson,2018-10-03 21:02:30,2,49,2018-10-03
49,Kimya Dawson,2018-10-17 21:02:30,2,50,2018-10-17
50,Kimya Dawson,2018-10-31 21:02:30,2,51,2018-10-31
51,Kimya Dawson,2018-11-14 21:02:30,2,52,2018-11-14
52,Kimya Dawson,2018-11-28 21:02:30,2,53,2018-11-28
53,Kimya Dawson,2018-12-12 21:02:30,2,54,2018-12-12
54,Kimya Dawson,2018-12-26 21:02:30,2,55,2018-12-26
55,Kimya Dawson,2019-01-09 21:02:30,2,56,2019-01-09
56,Kimya Dawson,2019-01-23 21:02:30,2,57,2019-01-23
57,Kimya Dawson,2019-02-06 21:02:30,2,58,2019-02-06
