,artist,endTime,sum,week,date
0,Charles Lloyd,2016-11-24 19:53:30,1,1,2016-11-24
1,Charles Lloyd,2016-12-08 19:53:30,1,2,2016-12-08
2,Charles Lloyd,2016-12-22 19:53:30,1,3,2016-12-22
3,Charles Lloyd,2017-01-05 19:53:30,1,4,2017-01-05
4,Charles Lloyd,2017-01-19 19:53:30,1,5,2017-01-19
5,Charles Lloyd,2017-02-02 19:53:30,1,6,2017-02-02
6,Charles Lloyd,2017-02-16 19:53:30,1,7,2017-02-16
7,Charles Lloyd,2017-03-02 19:53:30,1,8,2017-03-02
8,Charles Lloyd,2017-03-16 19:53:30,1,9,2017-03-16
9,Charles Lloyd,2017-03-30 19:53:30,1,10,2017-03-30
10,Charles Lloyd,2017-04-13 19:53:30,1,11,2017-04-13
11,Charles Lloyd,2017-04-27 19:53:30,1,12,2017-04-27
12,Charles Lloyd,2017-05-11 19:53:30,1,13,2017-05-11
13,Charles Lloyd,2017-05-25 19:53:30,1,14,2017-05-25
14,Charles Lloyd,2017-06-08 19:53:30,1,15,2017-06-08
15,Charles Lloyd,2017-06-22 19:53:30,1,16,2017-06-22
16,Charles Lloyd,2017-07-06 19:53:30,1,17,2017-07-06
17,Charles Lloyd,2017-07-20 19:53:30,1,18,2017-07-20
18,Charles Lloyd,2017-08-03 19:53:30,1,19,2017-08-03
19,Charles Lloyd,2017-08-17 19:53:30,1,20,2017-08-17
20,Charles Lloyd,2017-08-31 19:53:30,1,21,2017-08-31
21,Charles Lloyd,2017-09-14 19:53:30,1,22,2017-09-14
22,Charles Lloyd,2017-09-28 19:53:30,1,23,2017-09-28
23,Charles Lloyd,2017-10-12 19:53:30,1,24,2017-10-12
24,Charles Lloyd,2017-10-26 19:53:30,1,25,2017-10-26
25,Charles Lloyd,2017-11-09 19:53:30,1,26,2017-11-09
26,Charles Lloyd,2017-11-23 19:53:30,1,27,2017-11-23
27,Charles Lloyd,2017-12-07 19:53:30,1,28,2017-12-07
28,Charles Lloyd,2017-12-21 19:53:30,1,29,2017-12-21
29,Charles Lloyd,2018-01-04 19:53:30,1,30,2018-01-04
30,Charles Lloyd,2018-01-18 19:53:30,1,31,2018-01-18
31,Charles Lloyd,2018-02-01 19:53:30,1,32,2018-02-01
32,Charles Lloyd,2018-02-15 19:53:30,1,33,2018-02-15
33,Charles Lloyd,2018-03-01 19:53:30,1,34,2018-03-01
34,Charles Lloyd,2018-03-15 19:53:30,1,35,2018-03-15
35,Charles Lloyd,2018-03-29 19:53:30,1,36,2018-03-29
36,Charles Lloyd,2018-04-12 19:53:30,1,37,2018-04-12
37,Charles Lloyd,2018-04-26 19:53:30,1,38,2018-04-26
38,Charles Lloyd,2018-05-10 19:53:30,1,39,2018-05-10
39,Charles Lloyd,2018-05-24 19:53:30,1,40,2018-05-24
40,Charles Lloyd,2018-06-07 19:53:30,1,41,2018-06-07
41,Charles Lloyd,2018-06-21 19:53:30,1,42,2018-06-21
42,Charles Lloyd,2018-07-05 19:53:30,1,43,2018-07-05
43,Charles Lloyd,2018-07-19 19:53:30,1,44,2018-07-19
44,Charles Lloyd,2018-08-02 19:53:30,1,45,2018-08-02
45,Charles Lloyd,2018-08-16 19:53:30,1,46,2018-08-16
46,Charles Lloyd,2018-08-30 19:53:30,1,47,2018-08-30
47,Charles Lloyd,2018-09-13 19:53:30,1,48,2018-09-13
48,Charles Lloyd,2018-09-27 19:53:30,1,49,2018-09-27
49,Charles Lloyd,2018-10-11 19:53:30,1,50,2018-10-11
50,Charles Lloyd,2018-10-25 19:53:30,1,51,2018-10-25
51,Charles Lloyd,2018-11-08 19:53:30,1,52,2018-11-08
52,Charles Lloyd,2018-11-22 19:53:30,1,53,2018-11-22
53,Charles Lloyd,2018-12-06 19:53:30,1,54,2018-12-06
54,Charles Lloyd,2018-12-20 19:53:30,1,55,2018-12-20
55,Charles Lloyd,2019-01-03 19:53:30,1,56,2019-01-03
56,Charles Lloyd,2019-01-17 19:53:30,1,57,2019-01-17
57,Charles Lloyd,2019-01-31 19:53:30,1,58,2019-01-31
58,Charles Lloyd,2019-02-14 19:53:30,1,59,2019-02-14
59,Charles Lloyd,2019-02-28 19:53:30,1,60,2019-02-28
60,Charles Lloyd,2019-03-14 19:53:30,1,61,2019-03-14
61,Charles Lloyd,2019-03-28 19:53:30,1,62,2019-03-28
62,Charles Lloyd,2019-04-11 19:53:30,1,63,2019-04-11
63,Charles Lloyd,2019-04-25 19:53:30,1,64,2019-04-25
64,Charles Lloyd,2019-05-09 19:53:30,1,65,2019-05-09
65,Charles Lloyd,2019-05-23 19:53:30,1,66,2019-05-23
66,Charles Lloyd,2019-06-06 19:53:30,1,67,2019-06-06
67,Charles Mingus,2016-11-24 19:53:30,0,1,2016-11-24
68,Charles Mingus,2016-12-08 19:53:30,0,2,2016-12-08
69,Charles Mingus,2016-12-22 19:53:30,0,3,2016-12-22
70,Charles Mingus,2017-01-05 19:53:30,0,4,2017-01-05
71,Charles Mingus,2017-01-19 19:53:30,0,5,2017-01-19
72,Charles Mingus,2017-02-02 19:53:30,0,6,2017-02-02
73,Charles Mingus,2017-02-16 19:53:30,0,7,2017-02-16
74,Charles Mingus,2017-03-02 19:53:30,0,8,2017-03-02
75,Charles Mingus,2017-03-16 19:53:30,0,9,2017-03-16
76,Charles Mingus,2017-03-30 19:53:30,1,10,2017-03-30
77,Charles Mingus,2017-04-13 19:53:30,2,11,2017-04-13
78,Charles Mingus,2017-04-27 19:53:30,2,12,2017-04-27
79,Charles Mingus,2017-05-11 19:53:30,2,13,2017-05-11
80,Charles Mingus,2017-05-25 19:53:30,2,14,2017-05-25
81,Charles Mingus,2017-06-08 19:53:30,2,15,2017-06-08
82,Charles Mingus,2017-06-22 19:53:30,2,16,2017-06-22
83,Charles Mingus,2017-07-06 19:53:30,2,17,2017-07-06
84,Charles Mingus,2017-07-20 19:53:30,2,18,2017-07-20
85,Charles Mingus,2017-08-03 19:53:30,2,19,2017-08-03
86,Charles Mingus,2017-08-17 19:53:30,2,20,2017-08-17
87,Charles Mingus,2017-08-31 19:53:30,2,21,2017-08-31
88,Charles Mingus,2017-09-14 19:53:30,2,22,2017-09-14
89,Charles Mingus,2017-09-28 19:53:30,2,23,2017-09-28
90,Charles Mingus,2017-10-12 19:53:30,2,24,2017-10-12
91,Charles Mingus,2017-10-26 19:53:30,2,25,2017-10-26
92,Charles Mingus,2017-11-09 19:53:30,2,26,2017-11-09
93,Charles Mingus,2017-11-23 19:53:30,2,27,2017-11-23
94,Charles Mingus,2017-12-07 19:53:30,2,28,2017-12-07
95,Charles Mingus,2017-12-21 19:53:30,2,29,2017-12-21
96,Charles Mingus,2018-01-04 19:53:30,2,30,2018-01-04
97,Charles Mingus,2018-01-18 19:53:30,2,31,2018-01-18
98,Charles Mingus,2018-02-01 19:53:30,2,32,2018-02-01
99,Charles Mingus,2018-02-15 19:53:30,2,33,2018-02-15
100,Charles Mingus,2018-03-01 19:53:30,2,34,2018-03-01
101,Charles Mingus,2018-03-15 19:53:30,2,35,2018-03-15
102,Charles Mingus,2018-03-29 19:53:30,2,36,2018-03-29
103,Charles Mingus,2018-04-12 19:53:30,2,37,2018-04-12
104,Charles Mingus,2018-04-26 19:53:30,2,38,2018-04-26
105,Charles Mingus,2018-05-10 19:53:30,2,39,2018-05-10
106,Charles Mingus,2018-05-24 19:53:30,2,40,2018-05-24
107,Charles Mingus,2018-06-07 19:53:30,2,41,2018-06-07
108,Charles Mingus,2018-06-21 19:53:30,2,42,2018-06-21
109,Charles Mingus,2018-07-05 19:53:30,2,43,2018-07-05
110,Charles Mingus,2018-07-19 19:53:30,2,44,2018-07-19
111,Charles Mingus,2018-08-02 19:53:30,2,45,2018-08-02
112,Charles Mingus,2018-08-16 19:53:30,2,46,2018-08-16
