,artist,endTime,sum,week,date
0,Lilly Wood & The Prick,2018-02-03 03:19:24,1,1,2018-02-03
1,Lilly Wood & The Prick,2018-02-17 03:19:24,1,2,2018-02-17
2,Lilly Wood & The Prick,2018-03-03 03:19:24,1,3,2018-03-03
3,Lilly Wood & The Prick,2018-03-17 03:19:24,1,4,2018-03-17
4,Lilly Wood & The Prick,2018-03-31 03:19:24,1,5,2018-03-31
5,Lilly Wood & The Prick,2018-04-14 03:19:24,1,6,2018-04-14
6,Lilly Wood & The Prick,2018-04-28 03:19:24,1,7,2018-04-28
7,Lilly Wood & The Prick,2018-05-12 03:19:24,1,8,2018-05-12
8,Lilly Wood & The Prick,2018-05-26 03:19:24,1,9,2018-05-26
9,Lilly Wood & The Prick,2018-06-09 03:19:24,1,10,2018-06-09
10,Lilly Wood & The Prick,2018-06-23 03:19:24,1,11,2018-06-23
11,Lilly Wood & The Prick,2018-07-07 03:19:24,1,12,2018-07-07
12,Lilly Wood & The Prick,2018-07-21 03:19:24,1,13,2018-07-21
13,Lilly Wood & The Prick,2018-08-04 03:19:24,1,14,2018-08-04
14,Lilly Wood & The Prick,2018-08-18 03:19:24,1,15,2018-08-18
15,Lilly Wood & The Prick,2018-09-01 03:19:24,1,16,2018-09-01
16,Lilly Wood & The Prick,2018-09-15 03:19:24,1,17,2018-09-15
17,Lilly Wood & The Prick,2018-09-29 03:19:24,1,18,2018-09-29
18,Lilly Wood & The Prick,2018-10-13 03:19:24,1,19,2018-10-13
19,Lilly Wood & The Prick,2018-10-27 03:19:24,1,20,2018-10-27
20,Lilly Wood & The Prick,2018-11-10 03:19:24,1,21,2018-11-10
21,Lilly Wood & The Prick,2018-11-24 03:19:24,1,22,2018-11-24
22,Lilly Wood & The Prick,2018-12-08 03:19:24,1,23,2018-12-08
23,Lilly Wood & The Prick,2018-12-22 03:19:24,1,24,2018-12-22
24,Lilly Wood & The Prick,2019-01-05 03:19:24,1,25,2019-01-05
25,Lilly Wood & The Prick,2019-01-19 03:19:24,1,26,2019-01-19
26,Lilly Wood & The Prick,2019-02-02 03:19:24,1,27,2019-02-02
27,Lilly Wood & The Prick,2019-02-16 03:19:24,1,28,2019-02-16
28,Lilly Wood & The Prick,2019-03-02 03:19:24,1,29,2019-03-02
29,Lilly Wood & The Prick,2019-03-16 03:19:24,1,30,2019-03-16
30,Lilly Wood & The Prick,2019-03-30 03:19:24,1,31,2019-03-30
31,Lilly Wood & The Prick,2019-04-13 03:19:24,1,32,2019-04-13
32,Lilly Wood & The Prick,2019-04-27 03:19:24,1,33,2019-04-27
33,Lilly Wood & The Prick,2019-05-11 03:19:24,1,34,2019-05-11
34,Lilly Wood & The Prick,2019-05-25 03:19:24,1,35,2019-05-25
35,Lilly Wood & The Prick,2019-06-08 03:19:24,1,36,2019-06-08
36,Lilly Wood & The Prick,2019-06-22 03:19:24,1,37,2019-06-22
37,Lilly Wood & The Prick,2019-07-06 03:19:24,1,38,2019-07-06
38,Lilly Wood & The Prick,2019-07-20 03:19:24,1,39,2019-07-20
39,Lilly Wood & The Prick,2019-08-03 03:19:24,1,40,2019-08-03
40,Lilly Wood & The Prick,2019-08-17 03:19:24,1,41,2019-08-17
41,Lilly Wood & The Prick,2019-08-31 03:19:24,1,42,2019-08-31
42,Lilly Wood & The Prick,2019-09-14 03:19:24,1,43,2019-09-14
43,Lilly Wood & The Prick,2019-09-28 03:19:24,1,44,2019-09-28
44,Lilly Wood & The Prick,2019-10-12 03:19:24,1,45,2019-10-12
45,Lilly Wood & The Prick,2019-10-26 03:19:24,1,46,2019-10-26
46,Lilly Wood & The Prick,2019-11-09 03:19:24,1,47,2019-11-09
47,Lilly Wood & The Prick,2019-11-23 03:19:24,1,48,2019-11-23
48,Lilly Wood & The Prick,2019-12-07 03:19:24,1,49,2019-12-07
49,Lilly Wood & The Prick,2019-12-21 03:19:24,1,50,2019-12-21
50,Lilly Wood & The Prick,2020-01-04 03:19:24,1,51,2020-01-04
51,Lilly Wood & The Prick,2020-01-18 03:19:24,1,52,2020-01-18
52,Lilly Wood & The Prick,2020-02-01 03:19:24,1,53,2020-02-01
