,artist,endTime,sum,week,date
0,Møme,2019-05-01 14:21:34,1,1,2019-05-01
1,Møme,2019-05-15 14:21:34,1,2,2019-05-15
2,Møme,2019-05-29 14:21:34,1,3,2019-05-29
3,Møme,2019-06-12 14:21:34,1,4,2019-06-12
4,Møme,2019-06-26 14:21:34,1,5,2019-06-26
5,Møme,2019-07-10 14:21:34,1,6,2019-07-10
6,Møme,2019-07-24 14:21:34,1,7,2019-07-24
7,Møme,2019-08-07 14:21:34,1,8,2019-08-07
8,Møme,2019-08-21 14:21:34,1,9,2019-08-21
9,Møme,2019-09-04 14:21:34,1,10,2019-09-04
10,Møme,2019-09-18 14:21:34,1,11,2019-09-18
11,Møme,2019-10-02 14:21:34,1,12,2019-10-02
12,Møme,2019-10-16 14:21:34,1,13,2019-10-16
13,Møme,2019-10-30 14:21:34,1,14,2019-10-30
14,Møme,2019-11-13 14:21:34,1,15,2019-11-13
15,Møme,2019-11-27 14:21:34,1,16,2019-11-27
16,Møme,2019-12-11 14:21:34,1,17,2019-12-11
17,Møme,2019-12-25 14:21:34,1,18,2019-12-25
18,Møme,2020-01-08 14:21:34,1,19,2020-01-08
19,Møme,2020-01-22 14:21:34,1,20,2020-01-22
20,Møme,2020-02-05 14:21:34,1,21,2020-02-05
21,Polo & Pan,2019-05-01 14:21:34,0,1,2019-05-01
22,Polo & Pan,2019-05-15 14:21:34,0,2,2019-05-15
23,Polo & Pan,2019-05-29 14:21:34,0,3,2019-05-29
24,Polo & Pan,2019-06-12 14:21:34,0,4,2019-06-12
25,Polo & Pan,2019-06-26 14:21:34,0,5,2019-06-26
26,Polo & Pan,2019-07-10 14:21:34,0,6,2019-07-10
27,Polo & Pan,2019-07-24 14:21:34,9,7,2019-07-24
28,Polo & Pan,2019-08-07 14:21:34,10,8,2019-08-07
29,Polo & Pan,2019-08-21 14:21:34,12,9,2019-08-21
30,Polo & Pan,2019-09-04 14:21:34,12,10,2019-09-04
31,Polo & Pan,2019-09-18 14:21:34,15,11,2019-09-18
32,Polo & Pan,2019-10-02 14:21:34,21,12,2019-10-02
