,artist,endTime,sum,week,date
0,Limp Bizkit,2017-02-05 21:44:31,1,1,2017-02-05
1,Limp Bizkit,2017-02-19 21:44:31,1,2,2017-02-19
2,Limp Bizkit,2017-03-05 21:44:31,1,3,2017-03-05
3,Limp Bizkit,2017-03-19 21:44:31,1,4,2017-03-19
4,Limp Bizkit,2017-04-02 21:44:31,1,5,2017-04-02
5,Limp Bizkit,2017-04-16 21:44:31,1,6,2017-04-16
6,Limp Bizkit,2017-04-30 21:44:31,1,7,2017-04-30
7,Limp Bizkit,2017-05-14 21:44:31,1,8,2017-05-14
8,Limp Bizkit,2017-05-28 21:44:31,1,9,2017-05-28
9,Limp Bizkit,2017-06-11 21:44:31,1,10,2017-06-11
10,Limp Bizkit,2017-06-25 21:44:31,1,11,2017-06-25
11,Limp Bizkit,2017-07-09 21:44:31,1,12,2017-07-09
12,Limp Bizkit,2017-07-23 21:44:31,1,13,2017-07-23
13,Limp Bizkit,2017-08-06 21:44:31,1,14,2017-08-06
14,Limp Bizkit,2017-08-20 21:44:31,1,15,2017-08-20
15,Limp Bizkit,2017-09-03 21:44:31,1,16,2017-09-03
16,Limp Bizkit,2017-09-17 21:44:31,1,17,2017-09-17
17,Limp Bizkit,2017-10-01 21:44:31,1,18,2017-10-01
18,Limp Bizkit,2017-10-15 21:44:31,1,19,2017-10-15
19,Limp Bizkit,2017-10-29 21:44:31,1,20,2017-10-29
20,Limp Bizkit,2017-11-12 21:44:31,1,21,2017-11-12
21,Limp Bizkit,2017-11-26 21:44:31,1,22,2017-11-26
22,Limp Bizkit,2017-12-10 21:44:31,1,23,2017-12-10
23,Limp Bizkit,2017-12-24 21:44:31,1,24,2017-12-24
24,Limp Bizkit,2018-01-07 21:44:31,1,25,2018-01-07
25,Limp Bizkit,2018-01-21 21:44:31,1,26,2018-01-21
26,Limp Bizkit,2018-02-04 21:44:31,1,27,2018-02-04
27,Limp Bizkit,2018-02-18 21:44:31,1,28,2018-02-18
28,Limp Bizkit,2018-03-04 21:44:31,1,29,2018-03-04
29,Limp Bizkit,2018-03-18 21:44:31,1,30,2018-03-18
30,Limp Bizkit,2018-04-01 21:44:31,1,31,2018-04-01
31,Limp Bizkit,2018-04-15 21:44:31,1,32,2018-04-15
32,Limp Bizkit,2018-04-29 21:44:31,1,33,2018-04-29
33,Limp Bizkit,2018-05-13 21:44:31,1,34,2018-05-13
34,Limp Bizkit,2018-05-27 21:44:31,1,35,2018-05-27
35,Limp Bizkit,2018-06-10 21:44:31,1,36,2018-06-10
36,Limp Bizkit,2018-06-24 21:44:31,1,37,2018-06-24
37,Limp Bizkit,2018-07-08 21:44:31,1,38,2018-07-08
38,Limp Bizkit,2018-07-22 21:44:31,1,39,2018-07-22
39,Limp Bizkit,2018-08-05 21:44:31,1,40,2018-08-05
40,Limp Bizkit,2018-08-19 21:44:31,1,41,2018-08-19
41,Limp Bizkit,2018-09-02 21:44:31,1,42,2018-09-02
42,Limp Bizkit,2018-09-16 21:44:31,1,43,2018-09-16
43,Limp Bizkit,2018-09-30 21:44:31,1,44,2018-09-30
44,Limp Bizkit,2018-10-14 21:44:31,1,45,2018-10-14
45,Limp Bizkit,2018-10-28 21:44:31,1,46,2018-10-28
46,Limp Bizkit,2018-11-11 21:44:31,1,47,2018-11-11
47,Limp Bizkit,2018-11-25 21:44:31,1,48,2018-11-25
48,Limp Bizkit,2018-12-09 21:44:31,1,49,2018-12-09
49,Limp Bizkit,2018-12-23 21:44:31,1,50,2018-12-23
50,Limp Bizkit,2019-01-06 21:44:31,1,51,2019-01-06
51,Limp Bizkit,2019-01-20 21:44:31,1,52,2019-01-20
52,Limp Bizkit,2019-02-03 21:44:31,1,53,2019-02-03
53,Limp Bizkit,2019-02-17 21:44:31,1,54,2019-02-17
54,Limp Bizkit,2019-03-03 21:44:31,1,55,2019-03-03
55,Limp Bizkit,2019-03-17 21:44:31,1,56,2019-03-17
56,Limp Bizkit,2019-03-31 21:44:31,1,57,2019-03-31
57,Limp Bizkit,2019-04-14 21:44:31,1,58,2019-04-14
58,Limp Bizkit,2019-04-28 21:44:31,1,59,2019-04-28
59,Limp Bizkit,2019-05-12 21:44:31,1,60,2019-05-12
60,Limp Bizkit,2019-05-26 21:44:31,1,61,2019-05-26
61,Limp Bizkit,2019-06-09 21:44:31,1,62,2019-06-09
62,Limp Bizkit,2019-06-23 21:44:31,1,63,2019-06-23
63,Limp Bizkit,2019-07-07 21:44:31,1,64,2019-07-07
64,Limp Bizkit,2019-07-21 21:44:31,1,65,2019-07-21
65,Limp Bizkit,2019-08-04 21:44:31,1,66,2019-08-04
66,Limp Bizkit,2019-08-18 21:44:31,1,67,2019-08-18
67,Limp Bizkit,2019-09-01 21:44:31,1,68,2019-09-01
68,Limp Bizkit,2019-09-15 21:44:31,1,69,2019-09-15
69,Limp Bizkit,2019-09-29 21:44:31,1,70,2019-09-29
70,Limp Bizkit,2019-10-13 21:44:31,1,71,2019-10-13
71,Limp Bizkit,2019-10-27 21:44:31,1,72,2019-10-27
72,Limp Bizkit,2019-11-10 21:44:31,1,73,2019-11-10
73,Limp Bizkit,2019-11-24 21:44:31,1,74,2019-11-24
74,Limp Bizkit,2019-12-08 21:44:31,1,75,2019-12-08
75,Limp Bizkit,2019-12-22 21:44:31,1,76,2019-12-22
76,Limp Bizkit,2020-01-05 21:44:31,1,77,2020-01-05
77,Limp Bizkit,2020-01-19 21:44:31,1,78,2020-01-19
78,Limp Bizkit,2020-02-02 21:44:31,1,79,2020-02-02
79,Limp Bizkit,2020-02-16 21:44:31,1,80,2020-02-16
80,Red Hot Chili Peppers,2017-02-05 21:44:31,0,1,2017-02-05
81,Red Hot Chili Peppers,2017-02-19 21:44:31,0,2,2017-02-19
82,Red Hot Chili Peppers,2017-03-05 21:44:31,0,3,2017-03-05
83,Red Hot Chili Peppers,2017-03-19 21:44:31,0,4,2017-03-19
84,Red Hot Chili Peppers,2017-04-02 21:44:31,0,5,2017-04-02
85,Red Hot Chili Peppers,2017-04-16 21:44:31,0,6,2017-04-16
86,Red Hot Chili Peppers,2017-04-30 21:44:31,0,7,2017-04-30
87,Red Hot Chili Peppers,2017-05-14 21:44:31,0,8,2017-05-14
88,Red Hot Chili Peppers,2017-05-28 21:44:31,0,9,2017-05-28
89,Red Hot Chili Peppers,2017-06-11 21:44:31,0,10,2017-06-11
90,Red Hot Chili Peppers,2017-06-25 21:44:31,0,11,2017-06-25
91,Red Hot Chili Peppers,2017-07-09 21:44:31,0,12,2017-07-09
92,Red Hot Chili Peppers,2017-07-23 21:44:31,0,13,2017-07-23
93,Red Hot Chili Peppers,2017-08-06 21:44:31,0,14,2017-08-06
94,Red Hot Chili Peppers,2017-08-20 21:44:31,0,15,2017-08-20
95,Red Hot Chili Peppers,2017-09-03 21:44:31,0,16,2017-09-03
96,Red Hot Chili Peppers,2017-09-17 21:44:31,0,17,2017-09-17
97,Red Hot Chili Peppers,2017-10-01 21:44:31,0,18,2017-10-01
98,Red Hot Chili Peppers,2017-10-15 21:44:31,0,19,2017-10-15
99,Red Hot Chili Peppers,2017-10-29 21:44:31,0,20,2017-10-29
