,artist,endTime,sum,week,date
0,Flamingosis,2017-12-24 02:13:03,1,1,2017-12-24
1,Flamingosis,2018-01-07 02:13:03,1,2,2018-01-07
2,Flamingosis,2018-01-21 02:13:03,1,3,2018-01-21
3,Flamingosis,2018-02-04 02:13:03,1,4,2018-02-04
4,Flamingosis,2018-02-18 02:13:03,1,5,2018-02-18
5,Flamingosis,2018-03-04 02:13:03,1,6,2018-03-04
6,Flamingosis,2018-03-18 02:13:03,1,7,2018-03-18
7,Flamingosis,2018-04-01 02:13:03,1,8,2018-04-01
8,Flamingosis,2018-04-15 02:13:03,1,9,2018-04-15
9,Flamingosis,2018-04-29 02:13:03,1,10,2018-04-29
10,Flamingosis,2018-05-13 02:13:03,1,11,2018-05-13
11,Flamingosis,2018-05-27 02:13:03,1,12,2018-05-27
12,Flamingosis,2018-06-10 02:13:03,1,13,2018-06-10
13,Flamingosis,2018-06-24 02:13:03,1,14,2018-06-24
14,Flamingosis,2018-07-08 02:13:03,1,15,2018-07-08
15,Flamingosis,2018-07-22 02:13:03,1,16,2018-07-22
16,Flamingosis,2018-08-05 02:13:03,1,17,2018-08-05
17,Flamingosis,2018-08-19 02:13:03,1,18,2018-08-19
18,Yung Bae,2017-12-24 02:13:03,0,1,2017-12-24
19,Yung Bae,2018-01-07 02:13:03,0,2,2018-01-07
20,Yung Bae,2018-01-21 02:13:03,0,3,2018-01-21
21,Yung Bae,2018-02-04 02:13:03,0,4,2018-02-04
22,Yung Bae,2018-02-18 02:13:03,0,5,2018-02-18
23,Yung Bae,2018-03-04 02:13:03,0,6,2018-03-04
24,Yung Bae,2018-03-18 02:13:03,0,7,2018-03-18
25,Yung Bae,2018-04-01 02:13:03,0,8,2018-04-01
26,Yung Bae,2018-04-15 02:13:03,0,9,2018-04-15
27,Yung Bae,2018-04-29 02:13:03,0,10,2018-04-29
28,Yung Bae,2018-05-13 02:13:03,0,11,2018-05-13
29,Yung Bae,2018-05-27 02:13:03,0,12,2018-05-27
30,Yung Bae,2018-06-10 02:13:03,0,13,2018-06-10
31,Yung Bae,2018-06-24 02:13:03,0,14,2018-06-24
32,Yung Bae,2018-07-08 02:13:03,0,15,2018-07-08
33,Yung Bae,2018-07-22 02:13:03,0,16,2018-07-22
34,Yung Bae,2018-08-05 02:13:03,0,17,2018-08-05
35,Yung Bae,2018-08-19 02:13:03,0,18,2018-08-19
