,artist,endTime,sum,week,date
0,Warren G,2016-01-29 03:59:38,2,1,2016-01-29
1,Warren G,2016-02-12 03:59:38,2,2,2016-02-12
2,Warren G,2016-02-26 03:59:38,2,3,2016-02-26
3,Warren G,2016-03-11 03:59:38,2,4,2016-03-11
4,Warren G,2016-03-25 03:59:38,2,5,2016-03-25
5,Warren G,2016-04-08 03:59:38,2,6,2016-04-08
6,Warren G,2016-04-22 03:59:38,2,7,2016-04-22
7,Warren G,2016-05-06 03:59:38,2,8,2016-05-06
8,Warren G,2016-05-20 03:59:38,2,9,2016-05-20
9,Warren G,2016-06-03 03:59:38,2,10,2016-06-03
10,Warren G,2016-06-17 03:59:38,2,11,2016-06-17
11,Warren G,2016-07-01 03:59:38,2,12,2016-07-01
12,Warren G,2016-07-15 03:59:38,2,13,2016-07-15
13,Warren G,2016-07-29 03:59:38,2,14,2016-07-29
14,Warren G,2016-08-12 03:59:38,2,15,2016-08-12
15,Warren G,2016-08-26 03:59:38,2,16,2016-08-26
16,Warren G,2016-09-09 03:59:38,2,17,2016-09-09
17,Warren G,2016-09-23 03:59:38,2,18,2016-09-23
18,Warren G,2016-10-07 03:59:38,2,19,2016-10-07
19,Warren G,2016-10-21 03:59:38,2,20,2016-10-21
20,Warren G,2016-11-04 03:59:38,2,21,2016-11-04
21,Warren G,2016-11-18 03:59:38,2,22,2016-11-18
22,Warren G,2016-12-02 03:59:38,2,23,2016-12-02
23,Warren G,2016-12-16 03:59:38,2,24,2016-12-16
24,Warren G,2016-12-30 03:59:38,2,25,2016-12-30
25,Warren G,2017-01-13 03:59:38,2,26,2017-01-13
26,Warren G,2017-01-27 03:59:38,2,27,2017-01-27
27,Warren G,2017-02-10 03:59:38,2,28,2017-02-10
28,Warren G,2017-02-24 03:59:38,2,29,2017-02-24
29,Warren G,2017-03-10 03:59:38,2,30,2017-03-10
30,Warren G,2017-03-24 03:59:38,2,31,2017-03-24
31,Warren G,2017-04-07 03:59:38,2,32,2017-04-07
32,Warren G,2017-04-21 03:59:38,2,33,2017-04-21
33,Warren G,2017-05-05 03:59:38,2,34,2017-05-05
34,Warren G,2017-05-19 03:59:38,2,35,2017-05-19
35,Warren G,2017-06-02 03:59:38,2,36,2017-06-02
36,Warren G,2017-06-16 03:59:38,2,37,2017-06-16
37,Warren G,2017-06-30 03:59:38,2,38,2017-06-30
38,Warren G,2017-07-14 03:59:38,2,39,2017-07-14
39,Warren G,2017-07-28 03:59:38,2,40,2017-07-28
40,Warren G,2017-08-11 03:59:38,2,41,2017-08-11
41,Warren G,2017-08-25 03:59:38,2,42,2017-08-25
42,Warren G,2017-09-08 03:59:38,2,43,2017-09-08
43,Warren G,2017-09-22 03:59:38,2,44,2017-09-22
44,Warren G,2017-10-06 03:59:38,2,45,2017-10-06
45,Warren G,2017-10-20 03:59:38,2,46,2017-10-20
46,Warren G,2017-11-03 03:59:38,2,47,2017-11-03
47,Warren G,2017-11-17 03:59:38,2,48,2017-11-17
48,Warren G,2017-12-01 03:59:38,2,49,2017-12-01
49,Warren G,2017-12-15 03:59:38,2,50,2017-12-15
50,Warren G,2017-12-29 03:59:38,2,51,2017-12-29
51,Warren G,2018-01-12 03:59:38,2,52,2018-01-12
52,Warren G,2018-01-26 03:59:38,2,53,2018-01-26
53,Warren G,2018-02-09 03:59:38,2,54,2018-02-09
54,Warren G,2018-02-23 03:59:38,2,55,2018-02-23
55,Warren G,2018-03-09 03:59:38,2,56,2018-03-09
56,Warren G,2018-03-23 03:59:38,2,57,2018-03-23
57,Warren G,2018-04-06 03:59:38,2,58,2018-04-06
58,Warren G,2018-04-20 03:59:38,2,59,2018-04-20
59,Warren G,2018-05-04 03:59:38,2,60,2018-05-04
60,Warren G,2018-05-18 03:59:38,2,61,2018-05-18
61,Warren G,2018-06-01 03:59:38,2,62,2018-06-01
62,Warren G,2018-06-15 03:59:38,2,63,2018-06-15
63,Warren G,2018-06-29 03:59:38,2,64,2018-06-29
64,Warren G,2018-07-13 03:59:38,2,65,2018-07-13
65,Warren G,2018-07-27 03:59:38,2,66,2018-07-27
66,Warren G,2018-08-10 03:59:38,2,67,2018-08-10
67,Warren G,2018-08-24 03:59:38,2,68,2018-08-24
68,Warren G,2018-09-07 03:59:38,2,69,2018-09-07
69,Warren G,2018-09-21 03:59:38,2,70,2018-09-21
70,Warren G,2018-10-05 03:59:38,2,71,2018-10-05
71,Warren G,2018-10-19 03:59:38,2,72,2018-10-19
72,Warren G,2018-11-02 03:59:38,2,73,2018-11-02
73,Warren G,2018-11-16 03:59:38,2,74,2018-11-16
74,Warren G,2018-11-30 03:59:38,2,75,2018-11-30
75,Warren G,2018-12-14 03:59:38,2,76,2018-12-14
76,Warren G,2018-12-28 03:59:38,2,77,2018-12-28
77,Warren G,2019-01-11 03:59:38,2,78,2019-01-11
