,artist,endTime,sum,week,date
0,Tom Petty and the Heartbreakers,2016-08-27 16:26:25,8,1,2016-08-27
1,Tom Petty and the Heartbreakers,2016-09-10 16:26:25,10,2,2016-09-10
2,Tom Petty and the Heartbreakers,2016-09-24 16:26:25,10,3,2016-09-24
3,Tom Petty and the Heartbreakers,2016-10-08 16:26:25,10,4,2016-10-08
4,Tom Petty and the Heartbreakers,2016-10-22 16:26:25,10,5,2016-10-22
5,Tom Petty and the Heartbreakers,2016-11-05 16:26:25,10,6,2016-11-05
6,Tom Petty and the Heartbreakers,2016-11-19 16:26:25,11,7,2016-11-19
7,Tom Petty and the Heartbreakers,2016-12-03 16:26:25,11,8,2016-12-03
8,Tom Petty and the Heartbreakers,2016-12-17 16:26:25,11,9,2016-12-17
9,Tom Petty and the Heartbreakers,2016-12-31 16:26:25,11,10,2016-12-31
10,Tom Petty and the Heartbreakers,2017-01-14 16:26:25,11,11,2017-01-14
11,Tom Petty and the Heartbreakers,2017-01-28 16:26:25,11,12,2017-01-28
12,Tom Petty and the Heartbreakers,2017-02-11 16:26:25,11,13,2017-02-11
13,Tom Petty and the Heartbreakers,2017-02-25 16:26:25,11,14,2017-02-25
14,Tom Petty and the Heartbreakers,2017-03-11 16:26:25,11,15,2017-03-11
15,Tom Petty and the Heartbreakers,2017-03-25 16:26:25,11,16,2017-03-25
16,Tom Petty and the Heartbreakers,2017-04-08 16:26:25,11,17,2017-04-08
17,Tom Petty and the Heartbreakers,2017-04-22 16:26:25,11,18,2017-04-22
18,Tom Petty and the Heartbreakers,2017-05-06 16:26:25,11,19,2017-05-06
19,Tom Petty and the Heartbreakers,2017-05-20 16:26:25,11,20,2017-05-20
20,Tom Petty and the Heartbreakers,2017-06-03 16:26:25,12,21,2017-06-03
21,Tom Petty and the Heartbreakers,2017-06-17 16:26:25,12,22,2017-06-17
22,Tom Petty and the Heartbreakers,2017-07-01 16:26:25,12,23,2017-07-01
23,Tom Petty and the Heartbreakers,2017-07-15 16:26:25,12,24,2017-07-15
24,Tom Petty and the Heartbreakers,2017-07-29 16:26:25,12,25,2017-07-29
25,Tom Petty and the Heartbreakers,2017-08-12 16:26:25,12,26,2017-08-12
26,Tom Petty and the Heartbreakers,2017-08-26 16:26:25,12,27,2017-08-26
27,Tom Petty and the Heartbreakers,2017-09-09 16:26:25,12,28,2017-09-09
28,Tom Petty and the Heartbreakers,2017-09-23 16:26:25,12,29,2017-09-23
29,Tom Petty and the Heartbreakers,2017-10-07 16:26:25,12,30,2017-10-07
30,Tom Petty and the Heartbreakers,2017-10-21 16:26:25,12,31,2017-10-21
31,Tom Petty and the Heartbreakers,2017-11-04 16:26:25,12,32,2017-11-04
32,Tom Petty and the Heartbreakers,2017-11-18 16:26:25,12,33,2017-11-18
33,Tom Petty and the Heartbreakers,2017-12-02 16:26:25,12,34,2017-12-02
34,Tom Petty and the Heartbreakers,2017-12-16 16:26:25,12,35,2017-12-16
35,Tom Petty and the Heartbreakers,2017-12-30 16:26:25,12,36,2017-12-30
36,Tom Petty and the Heartbreakers,2018-01-13 16:26:25,12,37,2018-01-13
37,Tom Petty and the Heartbreakers,2018-01-27 16:26:25,12,38,2018-01-27
38,Tom Petty and the Heartbreakers,2018-02-10 16:26:25,12,39,2018-02-10
39,Tom Petty and the Heartbreakers,2018-02-24 16:26:25,12,40,2018-02-24
40,Tom Petty and the Heartbreakers,2018-03-10 16:26:25,12,41,2018-03-10
41,Tom Petty and the Heartbreakers,2018-03-24 16:26:25,12,42,2018-03-24
42,Tom Petty and the Heartbreakers,2018-04-07 16:26:25,12,43,2018-04-07
43,Tom Petty and the Heartbreakers,2018-04-21 16:26:25,12,44,2018-04-21
44,Tom Petty and the Heartbreakers,2018-05-05 16:26:25,12,45,2018-05-05
45,Tom Petty and the Heartbreakers,2018-05-19 16:26:25,12,46,2018-05-19
46,Tom Petty and the Heartbreakers,2018-06-02 16:26:25,12,47,2018-06-02
47,Tom Petty and the Heartbreakers,2018-06-16 16:26:25,12,48,2018-06-16
48,Tom Petty and the Heartbreakers,2018-06-30 16:26:25,12,49,2018-06-30
49,Tom Petty and the Heartbreakers,2018-07-14 16:26:25,12,50,2018-07-14
50,Tom Petty and the Heartbreakers,2018-07-28 16:26:25,12,51,2018-07-28
51,Tom Petty and the Heartbreakers,2018-08-11 16:26:25,12,52,2018-08-11
52,Tom Petty and the Heartbreakers,2018-08-25 16:26:25,12,53,2018-08-25
53,Tom Petty and the Heartbreakers,2018-09-08 16:26:25,12,54,2018-09-08
54,Tom Petty and the Heartbreakers,2018-09-22 16:26:25,12,55,2018-09-22
55,Tom Petty and the Heartbreakers,2018-10-06 16:26:25,12,56,2018-10-06
56,Tom Petty and the Heartbreakers,2018-10-20 16:26:25,12,57,2018-10-20
57,Tom Petty and the Heartbreakers,2018-11-03 16:26:25,12,58,2018-11-03
58,Tom Petty and the Heartbreakers,2018-11-17 16:26:25,12,59,2018-11-17
59,Tom Petty and the Heartbreakers,2018-12-01 16:26:25,12,60,2018-12-01
60,Tom Petty and the Heartbreakers,2018-12-15 16:26:25,12,61,2018-12-15
61,Tom Petty and the Heartbreakers,2018-12-29 16:26:25,12,62,2018-12-29
62,Tom Petty and the Heartbreakers,2019-01-12 16:26:25,12,63,2019-01-12
63,Tom Petty and the Heartbreakers,2019-01-26 16:26:25,12,64,2019-01-26
64,Tom Petty and the Heartbreakers,2019-02-09 16:26:25,12,65,2019-02-09
65,Tom Petty and the Heartbreakers,2019-02-23 16:26:25,12,66,2019-02-23
66,Tom Petty and the Heartbreakers,2019-03-09 16:26:25,12,67,2019-03-09
67,Tom Petty and the Heartbreakers,2019-03-23 16:26:25,12,68,2019-03-23
68,Tom Petty and the Heartbreakers,2019-04-06 16:26:25,12,69,2019-04-06
69,Tom Petty and the Heartbreakers,2019-04-20 16:26:25,12,70,2019-04-20
70,Tom Petty and the Heartbreakers,2019-05-04 16:26:25,12,71,2019-05-04
71,Tom Petty and the Heartbreakers,2019-05-18 16:26:25,12,72,2019-05-18
72,Tom Petty and the Heartbreakers,2019-06-01 16:26:25,12,73,2019-06-01
73,Tom Petty and the Heartbreakers,2019-06-15 16:26:25,12,74,2019-06-15
74,Tom Petty and the Heartbreakers,2019-06-29 16:26:25,12,75,2019-06-29
75,Tom Petty and the Heartbreakers,2019-07-13 16:26:25,12,76,2019-07-13
76,Tom Petty and the Heartbreakers,2019-07-27 16:26:25,12,77,2019-07-27
77,Tom Petty and the Heartbreakers,2019-08-10 16:26:25,12,78,2019-08-10
78,Tom Petty and the Heartbreakers,2019-08-24 16:26:25,12,79,2019-08-24
79,Tom Petty and the Heartbreakers,2019-09-07 16:26:25,12,80,2019-09-07
80,Tom Petty and the Heartbreakers,2019-09-21 16:26:25,12,81,2019-09-21
81,Tom Petty and the Heartbreakers,2019-10-05 16:26:25,12,82,2019-10-05
82,Tom Petty and the Heartbreakers,2019-10-19 16:26:25,12,83,2019-10-19
83,Tom Petty and the Heartbreakers,2019-11-02 16:26:25,12,84,2019-11-02
84,Tom Petty and the Heartbreakers,2019-11-16 16:26:25,12,85,2019-11-16
85,Tom Petty and the Heartbreakers,2019-11-30 16:26:25,12,86,2019-11-30
86,Tom Petty and the Heartbreakers,2019-12-14 16:26:25,12,87,2019-12-14
87,Tom Petty and the Heartbreakers,2019-12-28 16:26:25,12,88,2019-12-28
