,artist,endTime,sum,week,date
0,Big Walter Horton,2016-11-05 00:35:35,2,1,2016-11-05
1,Big Walter Horton,2016-11-19 00:35:35,2,2,2016-11-19
2,Big Walter Horton,2016-12-03 00:35:35,2,3,2016-12-03
3,Big Walter Horton,2016-12-17 00:35:35,2,4,2016-12-17
4,Big Walter Horton,2016-12-31 00:35:35,2,5,2016-12-31
5,Big Walter Horton,2017-01-14 00:35:35,2,6,2017-01-14
6,Big Walter Horton,2017-01-28 00:35:35,2,7,2017-01-28
7,Big Walter Horton,2017-02-11 00:35:35,2,8,2017-02-11
8,Big Walter Horton,2017-02-25 00:35:35,2,9,2017-02-25
9,Big Walter Horton,2017-03-11 00:35:35,2,10,2017-03-11
10,Big Walter Horton,2017-03-25 00:35:35,2,11,2017-03-25
11,Big Walter Horton,2017-04-08 00:35:35,2,12,2017-04-08
12,Big Walter Horton,2017-04-22 00:35:35,2,13,2017-04-22
13,Big Walter Horton,2017-05-06 00:35:35,2,14,2017-05-06
14,Big Walter Horton,2017-05-20 00:35:35,2,15,2017-05-20
15,Big Walter Horton,2017-06-03 00:35:35,2,16,2017-06-03
16,Big Walter Horton,2017-06-17 00:35:35,2,17,2017-06-17
17,Big Walter Horton,2017-07-01 00:35:35,2,18,2017-07-01
18,Big Walter Horton,2017-07-15 00:35:35,2,19,2017-07-15
19,Big Walter Horton,2017-07-29 00:35:35,2,20,2017-07-29
20,Big Walter Horton,2017-08-12 00:35:35,2,21,2017-08-12
21,Big Walter Horton,2017-08-26 00:35:35,2,22,2017-08-26
22,Big Walter Horton,2017-09-09 00:35:35,2,23,2017-09-09
23,Big Walter Horton,2017-09-23 00:35:35,2,24,2017-09-23
24,Big Walter Horton,2017-10-07 00:35:35,2,25,2017-10-07
25,Big Walter Horton,2017-10-21 00:35:35,2,26,2017-10-21
26,Big Walter Horton,2017-11-04 00:35:35,2,27,2017-11-04
27,Big Walter Horton,2017-11-18 00:35:35,2,28,2017-11-18
28,Big Walter Horton,2017-12-02 00:35:35,2,29,2017-12-02
29,Big Walter Horton,2017-12-16 00:35:35,2,30,2017-12-16
30,Big Walter Horton,2017-12-30 00:35:35,2,31,2017-12-30
31,Big Walter Horton,2018-01-13 00:35:35,2,32,2018-01-13
32,Big Walter Horton,2018-01-27 00:35:35,2,33,2018-01-27
33,Big Walter Horton,2018-02-10 00:35:35,2,34,2018-02-10
34,Big Walter Horton,2018-02-24 00:35:35,2,35,2018-02-24
35,Big Walter Horton,2018-03-10 00:35:35,2,36,2018-03-10
36,Big Walter Horton,2018-03-24 00:35:35,2,37,2018-03-24
37,Big Walter Horton,2018-04-07 00:35:35,2,38,2018-04-07
38,Big Walter Horton,2018-04-21 00:35:35,2,39,2018-04-21
39,Big Walter Horton,2018-05-05 00:35:35,2,40,2018-05-05
40,Big Walter Horton,2018-05-19 00:35:35,2,41,2018-05-19
41,Big Walter Horton,2018-06-02 00:35:35,2,42,2018-06-02
42,Big Walter Horton,2018-06-16 00:35:35,2,43,2018-06-16
43,Big Walter Horton,2018-06-30 00:35:35,2,44,2018-06-30
44,Big Walter Horton,2018-07-14 00:35:35,2,45,2018-07-14
45,Big Walter Horton,2018-07-28 00:35:35,2,46,2018-07-28
46,Big Walter Horton,2018-08-11 00:35:35,2,47,2018-08-11
47,Big Walter Horton,2018-08-25 00:35:35,2,48,2018-08-25
48,Big Walter Horton,2018-09-08 00:35:35,2,49,2018-09-08
49,Big Walter Horton,2018-09-22 00:35:35,2,50,2018-09-22
50,Big Walter Horton,2018-10-06 00:35:35,2,51,2018-10-06
51,Big Walter Horton,2018-10-20 00:35:35,2,52,2018-10-20
52,Big Walter Horton,2018-11-03 00:35:35,2,53,2018-11-03
53,Big Walter Horton,2018-11-17 00:35:35,2,54,2018-11-17
54,Big Walter Horton,2018-12-01 00:35:35,2,55,2018-12-01
55,Big Walter Horton,2018-12-15 00:35:35,2,56,2018-12-15
56,Big Walter Horton,2018-12-29 00:35:35,2,57,2018-12-29
57,Big Walter Horton,2019-01-12 00:35:35,2,58,2019-01-12
58,Big Walter Horton,2019-01-26 00:35:35,2,59,2019-01-26
59,Big Walter Horton,2019-02-09 00:35:35,2,60,2019-02-09
60,Big Walter Horton,2019-02-23 00:35:35,2,61,2019-02-23
61,Big Walter Horton,2019-03-09 00:35:35,2,62,2019-03-09
62,Big Walter Horton,2019-03-23 00:35:35,2,63,2019-03-23
63,Big Walter Horton,2019-04-06 00:35:35,2,64,2019-04-06
64,Big Walter Horton,2019-04-20 00:35:35,2,65,2019-04-20
65,Big Walter Horton,2019-05-04 00:35:35,2,66,2019-05-04
66,Big Walter Horton,2019-05-18 00:35:35,2,67,2019-05-18
67,Big Walter Horton,2019-06-01 00:35:35,2,68,2019-06-01
