,artist,endTime,sum,week,date
0,Calvin Harris,2016-05-30 04:49:16,1,1,2016-05-30
1,Calvin Harris,2016-06-13 04:49:16,1,2,2016-06-13
2,Calvin Harris,2016-06-27 04:49:16,1,3,2016-06-27
3,Calvin Harris,2016-07-11 04:49:16,1,4,2016-07-11
4,Calvin Harris,2016-07-25 04:49:16,1,5,2016-07-25
5,Calvin Harris,2016-08-08 04:49:16,1,6,2016-08-08
6,Calvin Harris,2016-08-22 04:49:16,2,7,2016-08-22
7,Calvin Harris,2016-09-05 04:49:16,2,8,2016-09-05
8,Calvin Harris,2016-09-19 04:49:16,2,9,2016-09-19
9,Calvin Harris,2016-10-03 04:49:16,2,10,2016-10-03
10,Calvin Harris,2016-10-17 04:49:16,2,11,2016-10-17
11,Calvin Harris,2016-10-31 04:49:16,2,12,2016-10-31
12,Calvin Harris,2016-11-14 04:49:16,2,13,2016-11-14
13,Calvin Harris,2016-11-28 04:49:16,2,14,2016-11-28
14,Calvin Harris,2016-12-12 04:49:16,2,15,2016-12-12
15,Calvin Harris,2016-12-26 04:49:16,2,16,2016-12-26
16,Calvin Harris,2017-01-09 04:49:16,2,17,2017-01-09
17,Calvin Harris,2017-01-23 04:49:16,2,18,2017-01-23
18,Calvin Harris,2017-02-06 04:49:16,2,19,2017-02-06
19,Calvin Harris,2017-02-20 04:49:16,2,20,2017-02-20
20,Calvin Harris,2017-03-06 04:49:16,2,21,2017-03-06
21,Calvin Harris,2017-03-20 04:49:16,8,22,2017-03-20
22,Calvin Harris,2017-04-03 04:49:16,8,23,2017-04-03
23,Calvin Harris,2017-04-17 04:49:16,8,24,2017-04-17
24,Calvin Harris,2017-05-01 04:49:16,8,25,2017-05-01
25,Calvin Harris,2017-05-15 04:49:16,8,26,2017-05-15
26,Calvin Harris,2017-05-29 04:49:16,8,27,2017-05-29
27,Calvin Harris,2017-06-12 04:49:16,9,28,2017-06-12
28,Calvin Harris,2017-06-26 04:49:16,9,29,2017-06-26
29,Calvin Harris,2017-07-10 04:49:16,9,30,2017-07-10
30,Calvin Harris,2017-07-24 04:49:16,9,31,2017-07-24
31,Calvin Harris,2017-08-07 04:49:16,9,32,2017-08-07
32,Calvin Harris,2017-08-21 04:49:16,9,33,2017-08-21
33,Calvin Harris,2017-09-04 04:49:16,9,34,2017-09-04
34,Calvin Harris,2017-09-18 04:49:16,9,35,2017-09-18
35,Calvin Harris,2017-10-02 04:49:16,9,36,2017-10-02
36,Calvin Harris,2017-10-16 04:49:16,9,37,2017-10-16
37,Calvin Harris,2017-10-30 04:49:16,9,38,2017-10-30
38,Calvin Harris,2017-11-13 04:49:16,9,39,2017-11-13
39,Calvin Harris,2017-11-27 04:49:16,9,40,2017-11-27
40,Calvin Harris,2017-12-11 04:49:16,9,41,2017-12-11
41,Calvin Harris,2017-12-25 04:49:16,9,42,2017-12-25
42,Calvin Harris,2018-01-08 04:49:16,9,43,2018-01-08
43,Calvin Harris,2018-01-22 04:49:16,9,44,2018-01-22
44,Calvin Harris,2018-02-05 04:49:16,9,45,2018-02-05
45,Calvin Harris,2018-02-19 04:49:16,9,46,2018-02-19
46,Calvin Harris,2018-03-05 04:49:16,10,47,2018-03-05
47,Calvin Harris,2018-03-19 04:49:16,11,48,2018-03-19
48,Calvin Harris,2018-04-02 04:49:16,12,49,2018-04-02
49,Calvin Harris,2018-04-16 04:49:16,12,50,2018-04-16
50,Calvin Harris,2018-04-30 04:49:16,12,51,2018-04-30
