,artist,endTime,sum,week,date
0,Dancing Years,2016-02-20 16:13:42,1,1,2016-02-20
1,Dancing Years,2016-03-05 16:13:42,1,2,2016-03-05
2,Dancing Years,2016-03-19 16:13:42,1,3,2016-03-19
3,Dancing Years,2016-04-02 16:13:42,1,4,2016-04-02
4,Dancing Years,2016-04-16 16:13:42,1,5,2016-04-16
5,Dancing Years,2016-04-30 16:13:42,1,6,2016-04-30
6,Dancing Years,2016-05-14 16:13:42,1,7,2016-05-14
7,Dancing Years,2016-05-28 16:13:42,1,8,2016-05-28
8,Dancing Years,2016-06-11 16:13:42,1,9,2016-06-11
9,Dancing Years,2016-06-25 16:13:42,1,10,2016-06-25
10,Dancing Years,2016-07-09 16:13:42,1,11,2016-07-09
11,Dancing Years,2016-07-23 16:13:42,1,12,2016-07-23
12,Dancing Years,2016-08-06 16:13:42,1,13,2016-08-06
13,Dancing Years,2016-08-20 16:13:42,1,14,2016-08-20
14,Dancing Years,2016-09-03 16:13:42,1,15,2016-09-03
15,Dancing Years,2016-09-17 16:13:42,1,16,2016-09-17
16,Dancing Years,2016-10-01 16:13:42,1,17,2016-10-01
17,Dancing Years,2016-10-15 16:13:42,1,18,2016-10-15
18,Dancing Years,2016-10-29 16:13:42,1,19,2016-10-29
19,Dancing Years,2016-11-12 16:13:42,1,20,2016-11-12
20,Dancing Years,2016-11-26 16:13:42,1,21,2016-11-26
21,Dancing Years,2016-12-10 16:13:42,1,22,2016-12-10
22,Dancing Years,2016-12-24 16:13:42,1,23,2016-12-24
23,Dancing Years,2017-01-07 16:13:42,1,24,2017-01-07
24,Dancing Years,2017-01-21 16:13:42,1,25,2017-01-21
25,Dancing Years,2017-02-04 16:13:42,1,26,2017-02-04
26,Dancing Years,2017-02-18 16:13:42,1,27,2017-02-18
27,Dancing Years,2017-03-04 16:13:42,1,28,2017-03-04
28,Dancing Years,2017-03-18 16:13:42,1,29,2017-03-18
29,Dancing Years,2017-04-01 16:13:42,1,30,2017-04-01
30,Dancing Years,2017-04-15 16:13:42,1,31,2017-04-15
31,Dancing Years,2017-04-29 16:13:42,1,32,2017-04-29
32,Dancing Years,2017-05-13 16:13:42,1,33,2017-05-13
33,Dancing Years,2017-05-27 16:13:42,1,34,2017-05-27
34,Dancing Years,2017-06-10 16:13:42,1,35,2017-06-10
35,Dancing Years,2017-06-24 16:13:42,1,36,2017-06-24
36,Dancing Years,2017-07-08 16:13:42,1,37,2017-07-08
37,Dancing Years,2017-07-22 16:13:42,1,38,2017-07-22
38,Dancing Years,2017-08-05 16:13:42,1,39,2017-08-05
39,Dancing Years,2017-08-19 16:13:42,1,40,2017-08-19
40,Dancing Years,2017-09-02 16:13:42,1,41,2017-09-02
41,Dancing Years,2017-09-16 16:13:42,1,42,2017-09-16
42,Dancing Years,2017-09-30 16:13:42,1,43,2017-09-30
43,Dancing Years,2017-10-14 16:13:42,1,44,2017-10-14
44,Dancing Years,2017-10-28 16:13:42,1,45,2017-10-28
45,Dancing Years,2017-11-11 16:13:42,1,46,2017-11-11
46,Dancing Years,2017-11-25 16:13:42,1,47,2017-11-25
47,Dancing Years,2017-12-09 16:13:42,1,48,2017-12-09
48,Dancing Years,2017-12-23 16:13:42,1,49,2017-12-23
49,Dancing Years,2018-01-06 16:13:42,1,50,2018-01-06
50,Dancing Years,2018-01-20 16:13:42,1,51,2018-01-20
51,Dancing Years,2018-02-03 16:13:42,1,52,2018-02-03
52,Dancing Years,2018-02-17 16:13:42,1,53,2018-02-17
53,Dancing Years,2018-03-03 16:13:42,1,54,2018-03-03
54,Dancing Years,2018-03-17 16:13:42,1,55,2018-03-17
55,Dancing Years,2018-03-31 16:13:42,1,56,2018-03-31
56,Dancing Years,2018-04-14 16:13:42,1,57,2018-04-14
57,Dancing Years,2018-04-28 16:13:42,1,58,2018-04-28
58,Dancing Years,2018-05-12 16:13:42,1,59,2018-05-12
59,Dancing Years,2018-05-26 16:13:42,1,60,2018-05-26
60,Dancing Years,2018-06-09 16:13:42,1,61,2018-06-09
61,Dancing Years,2018-06-23 16:13:42,1,62,2018-06-23
62,Dancing Years,2018-07-07 16:13:42,1,63,2018-07-07
63,Dancing Years,2018-07-21 16:13:42,1,64,2018-07-21
64,Dancing Years,2018-08-04 16:13:42,1,65,2018-08-04
65,Dancing Years,2018-08-18 16:13:42,1,66,2018-08-18
66,Dancing Years,2018-09-01 16:13:42,1,67,2018-09-01
67,Dancing Years,2018-09-15 16:13:42,1,68,2018-09-15
68,Dancing Years,2018-09-29 16:13:42,1,69,2018-09-29
69,Dancing Years,2018-10-13 16:13:42,1,70,2018-10-13
70,Dancing Years,2018-10-27 16:13:42,1,71,2018-10-27
71,Dancing Years,2018-11-10 16:13:42,1,72,2018-11-10
72,Dancing Years,2018-11-24 16:13:42,1,73,2018-11-24
73,Dancing Years,2018-12-08 16:13:42,1,74,2018-12-08
74,Dancing Years,2018-12-22 16:13:42,1,75,2018-12-22
75,Dancing Years,2019-01-05 16:13:42,1,76,2019-01-05
76,Dancing Years,2019-01-19 16:13:42,1,77,2019-01-19
