,artist,endTime,sum,week,date
0,Monster Rally,2017-01-16 06:40:22,1,1,2017-01-16
1,Monster Rally,2017-01-30 06:40:22,1,2,2017-01-30
2,Monster Rally,2017-02-13 06:40:22,1,3,2017-02-13
3,Monster Rally,2017-02-27 06:40:22,1,4,2017-02-27
4,Monster Rally,2017-03-13 06:40:22,1,5,2017-03-13
5,Monster Rally,2017-03-27 06:40:22,1,6,2017-03-27
6,Monster Rally,2017-04-10 06:40:22,1,7,2017-04-10
7,Monster Rally,2017-04-24 06:40:22,1,8,2017-04-24
8,Monster Rally,2017-05-08 06:40:22,1,9,2017-05-08
9,Monster Rally,2017-05-22 06:40:22,1,10,2017-05-22
10,Monster Rally,2017-06-05 06:40:22,1,11,2017-06-05
11,Monster Rally,2017-06-19 06:40:22,1,12,2017-06-19
12,Monster Rally,2017-07-03 06:40:22,1,13,2017-07-03
13,Monster Rally,2017-07-17 06:40:22,1,14,2017-07-17
14,Monster Rally,2017-07-31 06:40:22,1,15,2017-07-31
15,Monster Rally,2017-08-14 06:40:22,1,16,2017-08-14
16,Monster Rally,2017-08-28 06:40:22,1,17,2017-08-28
17,Monster Rally,2017-09-11 06:40:22,1,18,2017-09-11
18,Monster Rally,2017-09-25 06:40:22,1,19,2017-09-25
19,Monster Rally,2017-10-09 06:40:22,1,20,2017-10-09
20,Monster Rally,2017-10-23 06:40:22,1,21,2017-10-23
21,Monster Rally,2017-11-06 06:40:22,1,22,2017-11-06
22,Monster Rally,2017-11-20 06:40:22,1,23,2017-11-20
23,Monster Rally,2017-12-04 06:40:22,1,24,2017-12-04
24,Monster Rally,2017-12-18 06:40:22,1,25,2017-12-18
25,Monster Rally,2018-01-01 06:40:22,1,26,2018-01-01
26,Monster Rally,2018-01-15 06:40:22,1,27,2018-01-15
27,Monster Rally,2018-01-29 06:40:22,1,28,2018-01-29
28,Monster Rally,2018-02-12 06:40:22,1,29,2018-02-12
29,Monster Rally,2018-02-26 06:40:22,1,30,2018-02-26
30,Monster Rally,2018-03-12 06:40:22,1,31,2018-03-12
31,Monster Rally,2018-03-26 06:40:22,1,32,2018-03-26
32,Monster Rally,2018-04-09 06:40:22,1,33,2018-04-09
33,Monster Rally,2018-04-23 06:40:22,1,34,2018-04-23
34,Monster Rally,2018-05-07 06:40:22,1,35,2018-05-07
35,Monster Rally,2018-05-21 06:40:22,1,36,2018-05-21
36,Monster Rally,2018-06-04 06:40:22,1,37,2018-06-04
37,Monster Rally,2018-06-18 06:40:22,1,38,2018-06-18
38,Monster Rally,2018-07-02 06:40:22,1,39,2018-07-02
39,Monster Rally,2018-07-16 06:40:22,2,40,2018-07-16
40,Monster Rally,2018-07-30 06:40:22,2,41,2018-07-30
41,Monster Rally,2018-08-13 06:40:22,2,42,2018-08-13
42,Monster Rally,2018-08-27 06:40:22,2,43,2018-08-27
43,Monster Rally,2018-09-10 06:40:22,2,44,2018-09-10
44,Monster Rally,2018-09-24 06:40:22,2,45,2018-09-24
45,Monster Rally,2018-10-08 06:40:22,2,46,2018-10-08
46,Monster Rally,2018-10-22 06:40:22,2,47,2018-10-22
47,Monster Rally,2018-11-05 06:40:22,2,48,2018-11-05
48,Monster Rally,2018-11-19 06:40:22,2,49,2018-11-19
49,Monster Rally,2018-12-03 06:40:22,2,50,2018-12-03
50,Monster Rally,2018-12-17 06:40:22,2,51,2018-12-17
51,Monster Rally,2018-12-31 06:40:22,2,52,2018-12-31
52,Monster Rally,2019-01-14 06:40:22,2,53,2019-01-14
53,Monster Rally,2019-01-28 06:40:22,2,54,2019-01-28
54,Monster Rally,2019-02-11 06:40:22,2,55,2019-02-11
55,Monster Rally,2019-02-25 06:40:22,2,56,2019-02-25
56,Monster Rally,2019-03-11 06:40:22,2,57,2019-03-11
57,Monster Rally,2019-03-25 06:40:22,2,58,2019-03-25
58,Monster Rally,2019-04-08 06:40:22,2,59,2019-04-08
59,Monster Rally,2019-04-22 06:40:22,2,60,2019-04-22
60,Monster Rally,2019-05-06 06:40:22,2,61,2019-05-06
61,Monster Rally,2019-05-20 06:40:22,2,62,2019-05-20
62,Monster Rally,2019-06-03 06:40:22,2,63,2019-06-03
63,Monster Rally,2019-06-17 06:40:22,2,64,2019-06-17
64,Monster Rally,2019-07-01 06:40:22,2,65,2019-07-01
65,Monster Rally,2019-07-15 06:40:22,2,66,2019-07-15
66,Monster Rally,2019-07-29 06:40:22,2,67,2019-07-29
67,Monster Rally,2019-08-12 06:40:22,2,68,2019-08-12
68,Monster Rally,2019-08-26 06:40:22,2,69,2019-08-26
69,Monster Rally,2019-09-09 06:40:22,2,70,2019-09-09
70,Monster Rally,2019-09-23 06:40:22,2,71,2019-09-23
71,Monster Rally,2019-10-07 06:40:22,2,72,2019-10-07
72,Monster Rally,2019-10-21 06:40:22,2,73,2019-10-21
73,Monster Rally,2019-11-04 06:40:22,2,74,2019-11-04
74,Monster Rally,2019-11-18 06:40:22,2,75,2019-11-18
75,Monster Rally,2019-12-02 06:40:22,2,76,2019-12-02
76,Monster Rally,2019-12-16 06:40:22,2,77,2019-12-16
77,Monster Rally,2019-12-30 06:40:22,2,78,2019-12-30
78,Monster Rally,2020-01-13 06:40:22,2,79,2020-01-13
79,Cosmos Midnight,2017-01-16 06:40:22,0,1,2017-01-16
80,Cosmos Midnight,2017-01-30 06:40:22,0,2,2017-01-30
81,Cosmos Midnight,2017-02-13 06:40:22,0,3,2017-02-13
82,Cosmos Midnight,2017-02-27 06:40:22,0,4,2017-02-27
83,Cosmos Midnight,2017-03-13 06:40:22,0,5,2017-03-13
84,Cosmos Midnight,2017-03-27 06:40:22,0,6,2017-03-27
85,Cosmos Midnight,2017-04-10 06:40:22,0,7,2017-04-10
86,Cosmos Midnight,2017-04-24 06:40:22,0,8,2017-04-24
87,Cosmos Midnight,2017-05-08 06:40:22,0,9,2017-05-08
88,Cosmos Midnight,2017-05-22 06:40:22,0,10,2017-05-22
89,Cosmos Midnight,2017-06-05 06:40:22,0,11,2017-06-05
90,Cosmos Midnight,2017-06-19 06:40:22,0,12,2017-06-19
