,artist,endTime,sum,week,date
0,Bleached,2016-03-23 21:54:00,1,1,2016-03-23
1,Bleached,2016-04-06 21:54:00,1,2,2016-04-06
2,Bleached,2016-04-20 21:54:00,1,3,2016-04-20
3,Bleached,2016-05-04 21:54:00,1,4,2016-05-04
4,Bleached,2016-05-18 21:54:00,1,5,2016-05-18
5,Bleached,2016-06-01 21:54:00,1,6,2016-06-01
6,Bleached,2016-06-15 21:54:00,1,7,2016-06-15
7,Bleached,2016-06-29 21:54:00,1,8,2016-06-29
8,Bleached,2016-07-13 21:54:00,1,9,2016-07-13
9,Bleached,2016-07-27 21:54:00,1,10,2016-07-27
10,Bleached,2016-08-10 21:54:00,1,11,2016-08-10
11,Bleached,2016-08-24 21:54:00,1,12,2016-08-24
12,Bleached,2016-09-07 21:54:00,1,13,2016-09-07
13,Bleached,2016-09-21 21:54:00,1,14,2016-09-21
14,Bleached,2016-10-05 21:54:00,1,15,2016-10-05
15,Bleached,2016-10-19 21:54:00,1,16,2016-10-19
16,Bleached,2016-11-02 21:54:00,1,17,2016-11-02
17,Bleached,2016-11-16 21:54:00,1,18,2016-11-16
18,Bleached,2016-11-30 21:54:00,1,19,2016-11-30
19,Bleached,2016-12-14 21:54:00,1,20,2016-12-14
20,Bleached,2016-12-28 21:54:00,1,21,2016-12-28
21,Bleached,2017-01-11 21:54:00,1,22,2017-01-11
22,Bleached,2017-01-25 21:54:00,1,23,2017-01-25
23,Bleached,2017-02-08 21:54:00,1,24,2017-02-08
24,Bleached,2017-02-22 21:54:00,1,25,2017-02-22
25,Bleached,2017-03-08 21:54:00,1,26,2017-03-08
26,Bleached,2017-03-22 21:54:00,1,27,2017-03-22
27,Bleached,2017-04-05 21:54:00,1,28,2017-04-05
28,Bleached,2017-04-19 21:54:00,1,29,2017-04-19
29,Bleached,2017-05-03 21:54:00,1,30,2017-05-03
30,Bleached,2017-05-17 21:54:00,1,31,2017-05-17
31,Bleached,2017-05-31 21:54:00,1,32,2017-05-31
32,Bleached,2017-06-14 21:54:00,1,33,2017-06-14
33,Bleached,2017-06-28 21:54:00,1,34,2017-06-28
34,Bleached,2017-07-12 21:54:00,1,35,2017-07-12
35,Bleached,2017-07-26 21:54:00,1,36,2017-07-26
36,Bleached,2017-08-09 21:54:00,1,37,2017-08-09
37,Bleached,2017-08-23 21:54:00,1,38,2017-08-23
38,Bleached,2017-09-06 21:54:00,1,39,2017-09-06
39,Bleached,2017-09-20 21:54:00,1,40,2017-09-20
40,Bleached,2017-10-04 21:54:00,1,41,2017-10-04
41,Bleached,2017-10-18 21:54:00,1,42,2017-10-18
42,Bleached,2017-11-01 21:54:00,1,43,2017-11-01
43,Bleached,2017-11-15 21:54:00,1,44,2017-11-15
44,Bleached,2017-11-29 21:54:00,1,45,2017-11-29
45,Bleached,2017-12-13 21:54:00,1,46,2017-12-13
46,Bleached,2017-12-27 21:54:00,1,47,2017-12-27
47,Bleached,2018-01-10 21:54:00,1,48,2018-01-10
48,Bleached,2018-01-24 21:54:00,1,49,2018-01-24
49,Bleached,2018-02-07 21:54:00,1,50,2018-02-07
50,Bleached,2018-02-21 21:54:00,1,51,2018-02-21
51,Bleached,2018-03-07 21:54:00,1,52,2018-03-07
52,Bleached,2018-03-21 21:54:00,1,53,2018-03-21
53,Bleached,2018-04-04 21:54:00,1,54,2018-04-04
54,Bleached,2018-04-18 21:54:00,1,55,2018-04-18
55,Bleached,2018-05-02 21:54:00,1,56,2018-05-02
56,Bleached,2018-05-16 21:54:00,1,57,2018-05-16
57,Bleached,2018-05-30 21:54:00,1,58,2018-05-30
58,Bleached,2018-06-13 21:54:00,1,59,2018-06-13
59,Bleached,2018-06-27 21:54:00,1,60,2018-06-27
60,Bleached,2018-07-11 21:54:00,1,61,2018-07-11
61,Bleached,2018-07-25 21:54:00,1,62,2018-07-25
62,Bleached,2018-08-08 21:54:00,1,63,2018-08-08
63,Bleached,2018-08-22 21:54:00,1,64,2018-08-22
64,Bleached,2018-09-05 21:54:00,1,65,2018-09-05
65,Bleached,2018-09-19 21:54:00,1,66,2018-09-19
66,Bleached,2018-10-03 21:54:00,1,67,2018-10-03
67,Bleached,2018-10-17 21:54:00,1,68,2018-10-17
68,Bleached,2018-10-31 21:54:00,1,69,2018-10-31
69,Bleached,2018-11-14 21:54:00,1,70,2018-11-14
70,Bleached,2018-11-28 21:54:00,1,71,2018-11-28
71,Bleached,2018-12-12 21:54:00,1,72,2018-12-12
72,Bleached,2018-12-26 21:54:00,1,73,2018-12-26
73,Bleached,2019-01-09 21:54:00,1,74,2019-01-09
74,Bleached,2019-01-23 21:54:00,1,75,2019-01-23
75,Bleached,2019-02-06 21:54:00,1,76,2019-02-06
76,Bleached,2019-02-20 21:54:00,1,77,2019-02-20
77,Bleached,2019-03-06 21:54:00,1,78,2019-03-06
78,Bleached,2019-03-20 21:54:00,1,79,2019-03-20
79,Bleached,2019-04-03 21:54:00,1,80,2019-04-03
80,Bleached,2019-04-17 21:54:00,1,81,2019-04-17
81,Bleached,2019-05-01 21:54:00,1,82,2019-05-01
82,Bleached,2019-05-15 21:54:00,1,83,2019-05-15
83,Bleached,2019-05-29 21:54:00,1,84,2019-05-29
84,Bleached,2019-06-12 21:54:00,1,85,2019-06-12
85,Bleached,2019-06-26 21:54:00,1,86,2019-06-26
86,Bleached,2019-07-10 21:54:00,1,87,2019-07-10
87,Bleached,2019-07-24 21:54:00,1,88,2019-07-24
88,Bleached,2019-08-07 21:54:00,1,89,2019-08-07
89,Bleached,2019-08-21 21:54:00,1,90,2019-08-21
90,Bleached,2019-09-04 21:54:00,1,91,2019-09-04
91,Bleached,2019-09-18 21:54:00,1,92,2019-09-18
92,Bleached,2019-10-02 21:54:00,1,93,2019-10-02
93,Bleached,2019-10-16 21:54:00,1,94,2019-10-16
94,Bleached,2019-10-30 21:54:00,1,95,2019-10-30
95,Bleached,2019-11-13 21:54:00,1,96,2019-11-13
96,Bleached,2019-11-27 21:54:00,1,97,2019-11-27
97,Bleached,2019-12-11 21:54:00,1,98,2019-12-11
98,Bleached,2019-12-25 21:54:00,1,99,2019-12-25
99,Bleached,2020-01-08 21:54:00,1,100,2020-01-08
100,Bleached,2020-01-22 21:54:00,1,101,2020-01-22
101,Bleached,2020-02-05 21:54:00,1,102,2020-02-05
102,Bleached,2020-02-19 21:54:00,1,103,2020-02-19
103,Bleached,2020-03-04 21:54:00,1,104,2020-03-04
104,Bleached,2020-03-18 21:54:00,1,105,2020-03-18
105,Bleached,2020-04-01 21:54:00,1,106,2020-04-01
106,Bleached,2020-04-15 21:54:00,1,107,2020-04-15
107,Thee Oh Sees,2016-03-23 21:54:00,0,1,2016-03-23
108,Thee Oh Sees,2016-04-06 21:54:00,0,2,2016-04-06
109,Thee Oh Sees,2016-04-20 21:54:00,0,3,2016-04-20
110,Thee Oh Sees,2016-05-04 21:54:00,0,4,2016-05-04
111,Thee Oh Sees,2016-05-18 21:54:00,0,5,2016-05-18
112,Thee Oh Sees,2016-06-01 21:54:00,0,6,2016-06-01
113,Thee Oh Sees,2016-06-15 21:54:00,0,7,2016-06-15
114,Thee Oh Sees,2016-06-29 21:54:00,0,8,2016-06-29
115,Thee Oh Sees,2016-07-13 21:54:00,0,9,2016-07-13
116,Thee Oh Sees,2016-07-27 21:54:00,0,10,2016-07-27
117,Thee Oh Sees,2016-08-10 21:54:00,0,11,2016-08-10
118,Thee Oh Sees,2016-08-24 21:54:00,0,12,2016-08-24
119,Thee Oh Sees,2016-09-07 21:54:00,0,13,2016-09-07
120,Thee Oh Sees,2016-09-21 21:54:00,0,14,2016-09-21
121,Thee Oh Sees,2016-10-05 21:54:00,0,15,2016-10-05
122,Thee Oh Sees,2016-10-19 21:54:00,0,16,2016-10-19
123,Thee Oh Sees,2016-11-02 21:54:00,0,17,2016-11-02
124,Thee Oh Sees,2016-11-16 21:54:00,2,18,2016-11-16
125,Thee Oh Sees,2016-11-30 21:54:00,2,19,2016-11-30
126,Thee Oh Sees,2016-12-14 21:54:00,2,20,2016-12-14
127,Thee Oh Sees,2016-12-28 21:54:00,2,21,2016-12-28
128,Thee Oh Sees,2017-01-11 21:54:00,2,22,2017-01-11
129,Thee Oh Sees,2017-01-25 21:54:00,2,23,2017-01-25
130,Thee Oh Sees,2017-02-08 21:54:00,2,24,2017-02-08
131,Thee Oh Sees,2017-02-22 21:54:00,2,25,2017-02-22
132,Thee Oh Sees,2017-03-08 21:54:00,2,26,2017-03-08
133,Thee Oh Sees,2017-03-22 21:54:00,2,27,2017-03-22
134,Thee Oh Sees,2017-04-05 21:54:00,2,28,2017-04-05
135,Thee Oh Sees,2017-04-19 21:54:00,2,29,2017-04-19
136,Thee Oh Sees,2017-05-03 21:54:00,2,30,2017-05-03
137,Thee Oh Sees,2017-05-17 21:54:00,2,31,2017-05-17
