,artist,endTime,sum,week,date
0,AudioDamn!,2016-03-23 21:49:22,1,1,2016-03-23
1,AudioDamn!,2016-04-06 21:49:22,1,2,2016-04-06
2,AudioDamn!,2016-04-20 21:49:22,1,3,2016-04-20
3,AudioDamn!,2016-05-04 21:49:22,1,4,2016-05-04
4,AudioDamn!,2016-05-18 21:49:22,1,5,2016-05-18
5,AudioDamn!,2016-06-01 21:49:22,1,6,2016-06-01
6,AudioDamn!,2016-06-15 21:49:22,1,7,2016-06-15
7,AudioDamn!,2016-06-29 21:49:22,1,8,2016-06-29
8,AudioDamn!,2016-07-13 21:49:22,1,9,2016-07-13
9,AudioDamn!,2016-07-27 21:49:22,1,10,2016-07-27
10,AudioDamn!,2016-08-10 21:49:22,1,11,2016-08-10
11,AudioDamn!,2016-08-24 21:49:22,1,12,2016-08-24
12,AudioDamn!,2016-09-07 21:49:22,1,13,2016-09-07
13,AudioDamn!,2016-09-21 21:49:22,1,14,2016-09-21
14,AudioDamn!,2016-10-05 21:49:22,1,15,2016-10-05
15,AudioDamn!,2016-10-19 21:49:22,1,16,2016-10-19
16,AudioDamn!,2016-11-02 21:49:22,1,17,2016-11-02
17,AudioDamn!,2016-11-16 21:49:22,1,18,2016-11-16
18,AudioDamn!,2016-11-30 21:49:22,1,19,2016-11-30
19,AudioDamn!,2016-12-14 21:49:22,1,20,2016-12-14
20,AudioDamn!,2016-12-28 21:49:22,1,21,2016-12-28
21,AudioDamn!,2017-01-11 21:49:22,1,22,2017-01-11
22,AudioDamn!,2017-01-25 21:49:22,1,23,2017-01-25
23,AudioDamn!,2017-02-08 21:49:22,1,24,2017-02-08
24,AudioDamn!,2017-02-22 21:49:22,1,25,2017-02-22
25,AudioDamn!,2017-03-08 21:49:22,1,26,2017-03-08
26,AudioDamn!,2017-03-22 21:49:22,1,27,2017-03-22
27,AudioDamn!,2017-04-05 21:49:22,1,28,2017-04-05
28,AudioDamn!,2017-04-19 21:49:22,1,29,2017-04-19
29,AudioDamn!,2017-05-03 21:49:22,1,30,2017-05-03
30,AudioDamn!,2017-05-17 21:49:22,1,31,2017-05-17
31,AudioDamn!,2017-05-31 21:49:22,1,32,2017-05-31
32,AudioDamn!,2017-06-14 21:49:22,1,33,2017-06-14
33,AudioDamn!,2017-06-28 21:49:22,1,34,2017-06-28
34,AudioDamn!,2017-07-12 21:49:22,1,35,2017-07-12
35,AudioDamn!,2017-07-26 21:49:22,1,36,2017-07-26
36,AudioDamn!,2017-08-09 21:49:22,1,37,2017-08-09
37,AudioDamn!,2017-08-23 21:49:22,1,38,2017-08-23
38,AudioDamn!,2017-09-06 21:49:22,1,39,2017-09-06
39,AudioDamn!,2017-09-20 21:49:22,1,40,2017-09-20
40,AudioDamn!,2017-10-04 21:49:22,1,41,2017-10-04
41,AudioDamn!,2017-10-18 21:49:22,1,42,2017-10-18
42,AudioDamn!,2017-11-01 21:49:22,1,43,2017-11-01
43,AudioDamn!,2017-11-15 21:49:22,1,44,2017-11-15
44,AudioDamn!,2017-11-29 21:49:22,1,45,2017-11-29
45,AudioDamn!,2017-12-13 21:49:22,1,46,2017-12-13
46,AudioDamn!,2017-12-27 21:49:22,1,47,2017-12-27
47,AudioDamn!,2018-01-10 21:49:22,1,48,2018-01-10
48,AudioDamn!,2018-01-24 21:49:22,1,49,2018-01-24
49,AudioDamn!,2018-02-07 21:49:22,1,50,2018-02-07
50,AudioDamn!,2018-02-21 21:49:22,1,51,2018-02-21
51,AudioDamn!,2018-03-07 21:49:22,1,52,2018-03-07
52,AudioDamn!,2018-03-21 21:49:22,1,53,2018-03-21
53,AudioDamn!,2018-04-04 21:49:22,1,54,2018-04-04
54,AudioDamn!,2018-04-18 21:49:22,1,55,2018-04-18
55,AudioDamn!,2018-05-02 21:49:22,1,56,2018-05-02
56,AudioDamn!,2018-05-16 21:49:22,1,57,2018-05-16
57,AudioDamn!,2018-05-30 21:49:22,1,58,2018-05-30
58,AudioDamn!,2018-06-13 21:49:22,1,59,2018-06-13
59,AudioDamn!,2018-06-27 21:49:22,1,60,2018-06-27
