,artist,endTime,sum,week,date
0,Loyle Carner,2016-03-20 17:52:51,1,1,2016-03-20
1,Loyle Carner,2016-04-03 17:52:51,1,2,2016-04-03
2,Loyle Carner,2016-04-17 17:52:51,1,3,2016-04-17
3,Loyle Carner,2016-05-01 17:52:51,1,4,2016-05-01
4,Loyle Carner,2016-05-15 17:52:51,1,5,2016-05-15
5,Loyle Carner,2016-05-29 17:52:51,1,6,2016-05-29
6,Loyle Carner,2016-06-12 17:52:51,1,7,2016-06-12
7,Loyle Carner,2016-06-26 17:52:51,1,8,2016-06-26
8,Loyle Carner,2016-07-10 17:52:51,1,9,2016-07-10
9,Loyle Carner,2016-07-24 17:52:51,1,10,2016-07-24
10,Loyle Carner,2016-08-07 17:52:51,1,11,2016-08-07
11,Loyle Carner,2016-08-21 17:52:51,1,12,2016-08-21
12,Loyle Carner,2016-09-04 17:52:51,1,13,2016-09-04
13,Loyle Carner,2016-09-18 17:52:51,1,14,2016-09-18
14,Loyle Carner,2016-10-02 17:52:51,1,15,2016-10-02
15,Loyle Carner,2016-10-16 17:52:51,1,16,2016-10-16
16,Loyle Carner,2016-10-30 17:52:51,1,17,2016-10-30
17,Loyle Carner,2016-11-13 17:52:51,1,18,2016-11-13
18,Loyle Carner,2016-11-27 17:52:51,1,19,2016-11-27
19,Loyle Carner,2016-12-11 17:52:51,1,20,2016-12-11
20,Loyle Carner,2016-12-25 17:52:51,1,21,2016-12-25
21,Loyle Carner,2017-01-08 17:52:51,1,22,2017-01-08
22,Loyle Carner,2017-01-22 17:52:51,1,23,2017-01-22
23,Loyle Carner,2017-02-05 17:52:51,1,24,2017-02-05
24,Loyle Carner,2017-02-19 17:52:51,1,25,2017-02-19
25,Loyle Carner,2017-03-05 17:52:51,1,26,2017-03-05
26,Loyle Carner,2017-03-19 17:52:51,1,27,2017-03-19
27,Loyle Carner,2017-04-02 17:52:51,1,28,2017-04-02
28,Loyle Carner,2017-04-16 17:52:51,1,29,2017-04-16
29,Loyle Carner,2017-04-30 17:52:51,1,30,2017-04-30
30,Loyle Carner,2017-05-14 17:52:51,1,31,2017-05-14
31,Loyle Carner,2017-05-28 17:52:51,1,32,2017-05-28
32,Loyle Carner,2017-06-11 17:52:51,1,33,2017-06-11
33,Loyle Carner,2017-06-25 17:52:51,1,34,2017-06-25
34,Loyle Carner,2017-07-09 17:52:51,1,35,2017-07-09
35,Loyle Carner,2017-07-23 17:52:51,1,36,2017-07-23
36,Loyle Carner,2017-08-06 17:52:51,1,37,2017-08-06
37,Loyle Carner,2017-08-20 17:52:51,1,38,2017-08-20
38,Loyle Carner,2017-09-03 17:52:51,1,39,2017-09-03
39,Loyle Carner,2017-09-17 17:52:51,1,40,2017-09-17
40,Loyle Carner,2017-10-01 17:52:51,1,41,2017-10-01
41,Loyle Carner,2017-10-15 17:52:51,1,42,2017-10-15
42,Loyle Carner,2017-10-29 17:52:51,1,43,2017-10-29
43,Loyle Carner,2017-11-12 17:52:51,1,44,2017-11-12
44,Loyle Carner,2017-11-26 17:52:51,1,45,2017-11-26
45,Loyle Carner,2017-12-10 17:52:51,1,46,2017-12-10
46,Loyle Carner,2017-12-24 17:52:51,1,47,2017-12-24
