,artist,endTime,sum,week,date
0,The National,2016-02-20 16:17:48,1,1,2016-02-20
1,The National,2016-03-05 16:17:48,1,2,2016-03-05
2,The National,2016-03-19 16:17:48,1,3,2016-03-19
3,The National,2016-04-02 16:17:48,1,4,2016-04-02
4,The National,2016-04-16 16:17:48,1,5,2016-04-16
5,The National,2016-04-30 16:17:48,1,6,2016-04-30
6,The National,2016-05-14 16:17:48,2,7,2016-05-14
7,The National,2016-05-28 16:17:48,4,8,2016-05-28
8,The National,2016-06-11 16:17:48,4,9,2016-06-11
9,The National,2016-06-25 16:17:48,4,10,2016-06-25
10,The National,2016-07-09 16:17:48,5,11,2016-07-09
11,The National,2016-07-23 16:17:48,5,12,2016-07-23
12,The National,2016-08-06 16:17:48,5,13,2016-08-06
13,The National,2016-08-20 16:17:48,5,14,2016-08-20
14,The National,2016-09-03 16:17:48,9,15,2016-09-03
15,The National,2016-09-17 16:17:48,9,16,2016-09-17
16,The National,2016-10-01 16:17:48,9,17,2016-10-01
17,The National,2016-10-15 16:17:48,9,18,2016-10-15
18,The National,2016-10-29 16:17:48,9,19,2016-10-29
19,The National,2016-11-12 16:17:48,9,20,2016-11-12
20,The National,2016-11-26 16:17:48,9,21,2016-11-26
21,The National,2016-12-10 16:17:48,9,22,2016-12-10
22,The National,2016-12-24 16:17:48,9,23,2016-12-24
23,The National,2017-01-07 16:17:48,9,24,2017-01-07
24,The National,2017-01-21 16:17:48,9,25,2017-01-21
25,The National,2017-02-04 16:17:48,9,26,2017-02-04
26,The National,2017-02-18 16:17:48,9,27,2017-02-18
27,The National,2017-03-04 16:17:48,9,28,2017-03-04
28,The National,2017-03-18 16:17:48,9,29,2017-03-18
29,The National,2017-04-01 16:17:48,9,30,2017-04-01
30,The National,2017-04-15 16:17:48,9,31,2017-04-15
31,The National,2017-04-29 16:17:48,9,32,2017-04-29
32,The National,2017-05-13 16:17:48,9,33,2017-05-13
33,The National,2017-05-27 16:17:48,9,34,2017-05-27
34,The National,2017-06-10 16:17:48,10,35,2017-06-10
35,The National,2017-06-24 16:17:48,10,36,2017-06-24
36,The National,2017-07-08 16:17:48,10,37,2017-07-08
37,The National,2017-07-22 16:17:48,10,38,2017-07-22
38,The National,2017-08-05 16:17:48,10,39,2017-08-05
39,The National,2017-08-19 16:17:48,10,40,2017-08-19
40,The National,2017-09-02 16:17:48,10,41,2017-09-02
41,The National,2017-09-16 16:17:48,10,42,2017-09-16
42,The National,2017-09-30 16:17:48,10,43,2017-09-30
43,The National,2017-10-14 16:17:48,10,44,2017-10-14
44,The National,2017-10-28 16:17:48,10,45,2017-10-28
45,The National,2017-11-11 16:17:48,10,46,2017-11-11
46,The National,2017-11-25 16:17:48,10,47,2017-11-25
47,The National,2017-12-09 16:17:48,10,48,2017-12-09
48,The National,2017-12-23 16:17:48,10,49,2017-12-23
49,The National,2018-01-06 16:17:48,10,50,2018-01-06
50,The National,2018-01-20 16:17:48,10,51,2018-01-20
51,The National,2018-02-03 16:17:48,10,52,2018-02-03
52,The National,2018-02-17 16:17:48,10,53,2018-02-17
53,The National,2018-03-03 16:17:48,10,54,2018-03-03
54,The National,2018-03-17 16:17:48,10,55,2018-03-17
55,The National,2018-03-31 16:17:48,10,56,2018-03-31
56,The National,2018-04-14 16:17:48,10,57,2018-04-14
57,The National,2018-04-28 16:17:48,10,58,2018-04-28
58,The National,2018-05-12 16:17:48,10,59,2018-05-12
59,The National,2018-05-26 16:17:48,10,60,2018-05-26
60,The National,2018-06-09 16:17:48,10,61,2018-06-09
61,The National,2018-06-23 16:17:48,10,62,2018-06-23
62,The National,2018-07-07 16:17:48,10,63,2018-07-07
63,The National,2018-07-21 16:17:48,10,64,2018-07-21
64,The National,2018-08-04 16:17:48,10,65,2018-08-04
65,The National,2018-08-18 16:17:48,10,66,2018-08-18
66,The National,2018-09-01 16:17:48,10,67,2018-09-01
67,The National,2018-09-15 16:17:48,10,68,2018-09-15
68,The National,2018-09-29 16:17:48,10,69,2018-09-29
69,The National,2018-10-13 16:17:48,10,70,2018-10-13
70,The National,2018-10-27 16:17:48,10,71,2018-10-27
71,The National,2018-11-10 16:17:48,10,72,2018-11-10
72,The National,2018-11-24 16:17:48,10,73,2018-11-24
73,The National,2018-12-08 16:17:48,10,74,2018-12-08
74,The National,2018-12-22 16:17:48,10,75,2018-12-22
75,The National,2019-01-05 16:17:48,10,76,2019-01-05
76,The National,2019-01-19 16:17:48,10,77,2019-01-19
77,The National,2019-02-02 16:17:48,10,78,2019-02-02
78,The National,2019-02-16 16:17:48,10,79,2019-02-16
79,The National,2019-03-02 16:17:48,10,80,2019-03-02
