,artist,endTime,sum,week,date
0,Jamie xx,2016-03-20 18:33:15,1,1,2016-03-20
1,Jamie xx,2016-04-03 18:33:15,1,2,2016-04-03
2,Jamie xx,2016-04-17 18:33:15,1,3,2016-04-17
3,Jamie xx,2016-05-01 18:33:15,1,4,2016-05-01
4,Jamie xx,2016-05-15 18:33:15,1,5,2016-05-15
5,Jamie xx,2016-05-29 18:33:15,3,6,2016-05-29
6,Jamie xx,2016-06-12 18:33:15,3,7,2016-06-12
7,Jamie xx,2016-06-26 18:33:15,3,8,2016-06-26
8,Jamie xx,2016-07-10 18:33:15,3,9,2016-07-10
9,Jamie xx,2016-07-24 18:33:15,3,10,2016-07-24
10,Jamie xx,2016-08-07 18:33:15,3,11,2016-08-07
11,Jamie xx,2016-08-21 18:33:15,3,12,2016-08-21
12,Jamie xx,2016-09-04 18:33:15,7,13,2016-09-04
13,Jamie xx,2016-09-18 18:33:15,7,14,2016-09-18
14,Jamie xx,2016-10-02 18:33:15,7,15,2016-10-02
15,Jamie xx,2016-10-16 18:33:15,7,16,2016-10-16
16,Jamie xx,2016-10-30 18:33:15,7,17,2016-10-30
17,Jamie xx,2016-11-13 18:33:15,7,18,2016-11-13
18,Jamie xx,2016-11-27 18:33:15,7,19,2016-11-27
19,Jamie xx,2016-12-11 18:33:15,7,20,2016-12-11
20,Jamie xx,2016-12-25 18:33:15,7,21,2016-12-25
21,Jamie xx,2017-01-08 18:33:15,7,22,2017-01-08
22,Jamie xx,2017-01-22 18:33:15,7,23,2017-01-22
23,Jamie xx,2017-02-05 18:33:15,7,24,2017-02-05
24,Jamie xx,2017-02-19 18:33:15,7,25,2017-02-19
25,Jamie xx,2017-03-05 18:33:15,7,26,2017-03-05
26,Jamie xx,2017-03-19 18:33:15,7,27,2017-03-19
27,Jamie xx,2017-04-02 18:33:15,7,28,2017-04-02
28,Jamie xx,2017-04-16 18:33:15,7,29,2017-04-16
29,Jamie xx,2017-04-30 18:33:15,7,30,2017-04-30
30,Jamie xx,2017-05-14 18:33:15,7,31,2017-05-14
31,Jamie xx,2017-05-28 18:33:15,7,32,2017-05-28
32,Jamie xx,2017-06-11 18:33:15,7,33,2017-06-11
33,Jamie xx,2017-06-25 18:33:15,7,34,2017-06-25
34,Jamie xx,2017-07-09 18:33:15,7,35,2017-07-09
35,Jamie xx,2017-07-23 18:33:15,7,36,2017-07-23
36,Jamie xx,2017-08-06 18:33:15,7,37,2017-08-06
37,Jamie xx,2017-08-20 18:33:15,7,38,2017-08-20
38,Jamie xx,2017-09-03 18:33:15,7,39,2017-09-03
39,Jamie xx,2017-09-17 18:33:15,7,40,2017-09-17
40,Jamie xx,2017-10-01 18:33:15,7,41,2017-10-01
41,Jamie xx,2017-10-15 18:33:15,7,42,2017-10-15
42,Jamie xx,2017-10-29 18:33:15,7,43,2017-10-29
43,Jamie xx,2017-11-12 18:33:15,7,44,2017-11-12
44,Jamie xx,2017-11-26 18:33:15,8,45,2017-11-26
45,Jamie xx,2017-12-10 18:33:15,8,46,2017-12-10
46,Jamie xx,2017-12-24 18:33:15,8,47,2017-12-24
47,Jamie xx,2018-01-07 18:33:15,8,48,2018-01-07
48,Jamie xx,2018-01-21 18:33:15,8,49,2018-01-21
