,artist,endTime,sum,week,date
0,Vulfpeck,2016-11-09 14:36:28,45,1,2016-11-09
1,Vulfpeck,2016-11-23 14:36:28,72,2,2016-11-23
2,Vulfpeck,2016-12-07 14:36:28,75,3,2016-12-07
3,Vulfpeck,2016-12-21 14:36:28,78,4,2016-12-21
4,Vulfpeck,2017-01-04 14:36:28,78,5,2017-01-04
5,Vulfpeck,2017-01-18 14:36:28,84,6,2017-01-18
6,Vulfpeck,2017-02-01 14:36:28,84,7,2017-02-01
7,Vulfpeck,2017-02-15 14:36:28,84,8,2017-02-15
8,Vulfpeck,2017-03-01 14:36:28,84,9,2017-03-01
9,Vulfpeck,2017-03-15 14:36:28,84,10,2017-03-15
10,Vulfpeck,2017-03-29 14:36:28,84,11,2017-03-29
11,Vulfpeck,2017-04-12 14:36:28,87,12,2017-04-12
12,Vulfpeck,2017-04-26 14:36:28,88,13,2017-04-26
13,Vulfpeck,2017-05-10 14:36:28,92,14,2017-05-10
14,Vulfpeck,2017-05-24 14:36:28,94,15,2017-05-24
15,Vulfpeck,2017-06-07 14:36:28,113,16,2017-06-07
16,Vulfpeck,2017-06-21 14:36:28,113,17,2017-06-21
17,Vulfpeck,2017-07-05 14:36:28,113,18,2017-07-05
18,Vulfpeck,2017-07-19 14:36:28,113,19,2017-07-19
19,Vulfpeck,2017-08-02 14:36:28,113,20,2017-08-02
20,Vulfpeck,2017-08-16 14:36:28,113,21,2017-08-16
21,Vulfpeck,2017-08-30 14:36:28,129,22,2017-08-30
22,Vulfpeck,2017-09-13 14:36:28,134,23,2017-09-13
23,Vulfpeck,2017-09-27 14:36:28,134,24,2017-09-27
24,Vulfpeck,2017-10-11 14:36:28,139,25,2017-10-11
25,Vulfpeck,2017-10-25 14:36:28,139,26,2017-10-25
26,Vulfpeck,2017-11-08 14:36:28,140,27,2017-11-08
27,Vulfpeck,2017-11-22 14:36:28,180,28,2017-11-22
28,Vulfpeck,2017-12-06 14:36:28,202,29,2017-12-06
29,Vulfpeck,2017-12-20 14:36:28,203,30,2017-12-20
30,Vulfpeck,2018-01-03 14:36:28,212,31,2018-01-03
31,Vulfpeck,2018-01-17 14:36:28,214,32,2018-01-17
32,Vulfpeck,2018-01-31 14:36:28,214,33,2018-01-31
33,Vulfpeck,2018-02-14 14:36:28,215,34,2018-02-14
34,Vulfpeck,2018-02-28 14:36:28,215,35,2018-02-28
35,Vulfpeck,2018-03-14 14:36:28,215,36,2018-03-14
36,Vulfpeck,2018-03-28 14:36:28,216,37,2018-03-28
37,Vulfpeck,2018-04-11 14:36:28,224,38,2018-04-11
38,Vulfpeck,2018-04-25 14:36:28,224,39,2018-04-25
39,Vulfpeck,2018-05-09 14:36:28,224,40,2018-05-09
40,Vulfpeck,2018-05-23 14:36:28,224,41,2018-05-23
41,Vulfpeck,2018-06-06 14:36:28,224,42,2018-06-06
42,Vulfpeck,2018-06-20 14:36:28,224,43,2018-06-20
43,Vulfpeck,2018-07-04 14:36:28,229,44,2018-07-04
44,Vulfpeck,2018-07-18 14:36:28,229,45,2018-07-18
45,Vulfpeck,2018-08-01 14:36:28,236,46,2018-08-01
46,Vulfpeck,2018-08-15 14:36:28,243,47,2018-08-15
47,Vulfpeck,2018-08-29 14:36:28,244,48,2018-08-29
48,Vulfpeck,2018-09-12 14:36:28,250,49,2018-09-12
49,Vulfpeck,2018-09-26 14:36:28,250,50,2018-09-26
50,Vulfpeck,2018-10-10 14:36:28,250,51,2018-10-10
51,Vulfpeck,2018-10-24 14:36:28,259,52,2018-10-24
52,Vulfpeck,2018-11-07 14:36:28,259,53,2018-11-07
53,Vulfpeck,2018-11-21 14:36:28,270,54,2018-11-21
54,Vulfpeck,2018-12-05 14:36:28,276,55,2018-12-05
