,artist,endTime,sum,week,date
0,Jelly-Roll Morton,2016-05-18 21:51:10,1,1,2016-05-18
1,Jelly-Roll Morton,2016-06-01 21:51:10,1,2,2016-06-01
2,Jelly-Roll Morton,2016-06-15 21:51:10,1,3,2016-06-15
3,Jelly-Roll Morton,2016-06-29 21:51:10,1,4,2016-06-29
4,Jelly-Roll Morton,2016-07-13 21:51:10,1,5,2016-07-13
5,Jelly-Roll Morton,2016-07-27 21:51:10,1,6,2016-07-27
6,Jelly-Roll Morton,2016-08-10 21:51:10,1,7,2016-08-10
7,Jelly-Roll Morton,2016-08-24 21:51:10,1,8,2016-08-24
8,Jelly-Roll Morton,2016-09-07 21:51:10,1,9,2016-09-07
9,Jelly-Roll Morton,2016-09-21 21:51:10,1,10,2016-09-21
10,Jelly-Roll Morton,2016-10-05 21:51:10,1,11,2016-10-05
11,Jelly-Roll Morton,2016-10-19 21:51:10,1,12,2016-10-19
12,Jelly-Roll Morton,2016-11-02 21:51:10,1,13,2016-11-02
13,Jelly-Roll Morton,2016-11-16 21:51:10,1,14,2016-11-16
14,Jelly-Roll Morton,2016-11-30 21:51:10,1,15,2016-11-30
15,Jelly-Roll Morton,2016-12-14 21:51:10,1,16,2016-12-14
16,Jelly-Roll Morton,2016-12-28 21:51:10,1,17,2016-12-28
17,Jelly-Roll Morton,2017-01-11 21:51:10,1,18,2017-01-11
18,Jelly-Roll Morton,2017-01-25 21:51:10,1,19,2017-01-25
19,Jelly-Roll Morton,2017-02-08 21:51:10,1,20,2017-02-08
20,Jelly-Roll Morton,2017-02-22 21:51:10,1,21,2017-02-22
21,Jelly-Roll Morton,2017-03-08 21:51:10,1,22,2017-03-08
22,Jelly-Roll Morton,2017-03-22 21:51:10,1,23,2017-03-22
23,Jelly-Roll Morton,2017-04-05 21:51:10,1,24,2017-04-05
24,Jelly-Roll Morton,2017-04-19 21:51:10,1,25,2017-04-19
25,Jelly-Roll Morton,2017-05-03 21:51:10,1,26,2017-05-03
26,Jelly-Roll Morton,2017-05-17 21:51:10,1,27,2017-05-17
27,Jelly-Roll Morton,2017-05-31 21:51:10,1,28,2017-05-31
28,Jelly-Roll Morton,2017-06-14 21:51:10,1,29,2017-06-14
29,Jelly-Roll Morton,2017-06-28 21:51:10,1,30,2017-06-28
30,Jelly-Roll Morton,2017-07-12 21:51:10,1,31,2017-07-12
31,Jelly-Roll Morton,2017-07-26 21:51:10,1,32,2017-07-26
32,Jelly-Roll Morton,2017-08-09 21:51:10,1,33,2017-08-09
33,Jelly-Roll Morton,2017-08-23 21:51:10,1,34,2017-08-23
34,Jelly-Roll Morton,2017-09-06 21:51:10,1,35,2017-09-06
35,Jelly-Roll Morton,2017-09-20 21:51:10,1,36,2017-09-20
36,Jelly-Roll Morton,2017-10-04 21:51:10,1,37,2017-10-04
37,Jelly-Roll Morton,2017-10-18 21:51:10,1,38,2017-10-18
38,Jelly-Roll Morton,2017-11-01 21:51:10,1,39,2017-11-01
39,Jelly-Roll Morton,2017-11-15 21:51:10,1,40,2017-11-15
40,Jelly-Roll Morton,2017-11-29 21:51:10,1,41,2017-11-29
41,Jelly-Roll Morton,2017-12-13 21:51:10,1,42,2017-12-13
42,Jelly-Roll Morton,2017-12-27 21:51:10,1,43,2017-12-27
43,Jelly-Roll Morton,2018-01-10 21:51:10,1,44,2018-01-10
44,Jelly-Roll Morton,2018-01-24 21:51:10,1,45,2018-01-24
45,Jelly-Roll Morton,2018-02-07 21:51:10,1,46,2018-02-07
46,Jelly-Roll Morton,2018-02-21 21:51:10,1,47,2018-02-21
47,Jelly-Roll Morton,2018-03-07 21:51:10,1,48,2018-03-07
48,Jelly-Roll Morton,2018-03-21 21:51:10,1,49,2018-03-21
49,Jelly-Roll Morton,2018-04-04 21:51:10,1,50,2018-04-04
50,Jelly-Roll Morton,2018-04-18 21:51:10,1,51,2018-04-18
51,Jelly-Roll Morton,2018-05-02 21:51:10,1,52,2018-05-02
52,Jelly-Roll Morton,2018-05-16 21:51:10,1,53,2018-05-16
53,Jelly-Roll Morton,2018-05-30 21:51:10,1,54,2018-05-30
54,Jelly-Roll Morton,2018-06-13 21:51:10,1,55,2018-06-13
55,Jelly-Roll Morton,2018-06-27 21:51:10,1,56,2018-06-27
56,Jelly-Roll Morton,2018-07-11 21:51:10,1,57,2018-07-11
57,Jelly-Roll Morton,2018-07-25 21:51:10,1,58,2018-07-25
58,Jelly-Roll Morton,2018-08-08 21:51:10,1,59,2018-08-08
