,artist,endTime,sum,week,date
0,Pete Rock & C.L. Smooth,2016-01-21 22:22:20,2,1,2016-01-21
1,Pete Rock & C.L. Smooth,2016-02-04 22:22:20,2,2,2016-02-04
2,Pete Rock & C.L. Smooth,2016-02-18 22:22:20,2,3,2016-02-18
3,Pete Rock & C.L. Smooth,2016-03-03 22:22:20,2,4,2016-03-03
4,Pete Rock & C.L. Smooth,2016-03-17 22:22:20,2,5,2016-03-17
5,Pete Rock & C.L. Smooth,2016-03-31 22:22:20,2,6,2016-03-31
6,Pete Rock & C.L. Smooth,2016-04-14 22:22:20,2,7,2016-04-14
7,Pete Rock & C.L. Smooth,2016-04-28 22:22:20,2,8,2016-04-28
8,Pete Rock & C.L. Smooth,2016-05-12 22:22:20,2,9,2016-05-12
9,Pete Rock & C.L. Smooth,2016-05-26 22:22:20,2,10,2016-05-26
10,Pete Rock & C.L. Smooth,2016-06-09 22:22:20,2,11,2016-06-09
11,Pete Rock & C.L. Smooth,2016-06-23 22:22:20,2,12,2016-06-23
12,Pete Rock & C.L. Smooth,2016-07-07 22:22:20,2,13,2016-07-07
13,Pete Rock & C.L. Smooth,2016-07-21 22:22:20,2,14,2016-07-21
14,Pete Rock & C.L. Smooth,2016-08-04 22:22:20,2,15,2016-08-04
15,Pete Rock & C.L. Smooth,2016-08-18 22:22:20,2,16,2016-08-18
16,Pete Rock & C.L. Smooth,2016-09-01 22:22:20,2,17,2016-09-01
17,Pete Rock & C.L. Smooth,2016-09-15 22:22:20,2,18,2016-09-15
18,Pete Rock & C.L. Smooth,2016-09-29 22:22:20,2,19,2016-09-29
19,Pete Rock & C.L. Smooth,2016-10-13 22:22:20,2,20,2016-10-13
20,Pete Rock & C.L. Smooth,2016-10-27 22:22:20,2,21,2016-10-27
21,Pete Rock & C.L. Smooth,2016-11-10 22:22:20,2,22,2016-11-10
22,Pete Rock & C.L. Smooth,2016-11-24 22:22:20,2,23,2016-11-24
23,Pete Rock & C.L. Smooth,2016-12-08 22:22:20,2,24,2016-12-08
24,Pete Rock & C.L. Smooth,2016-12-22 22:22:20,2,25,2016-12-22
25,Pete Rock & C.L. Smooth,2017-01-05 22:22:20,2,26,2017-01-05
26,Pete Rock & C.L. Smooth,2017-01-19 22:22:20,2,27,2017-01-19
27,Pete Rock & C.L. Smooth,2017-02-02 22:22:20,2,28,2017-02-02
28,Pete Rock & C.L. Smooth,2017-02-16 22:22:20,2,29,2017-02-16
29,Pete Rock & C.L. Smooth,2017-03-02 22:22:20,2,30,2017-03-02
30,Pete Rock & C.L. Smooth,2017-03-16 22:22:20,2,31,2017-03-16
31,Pete Rock & C.L. Smooth,2017-03-30 22:22:20,2,32,2017-03-30
32,Pete Rock & C.L. Smooth,2017-04-13 22:22:20,2,33,2017-04-13
