,artist,endTime,sum,week,date
0,Gene Ammons,2016-11-05 00:19:32,1,1,2016-11-05
1,Gene Ammons,2016-11-19 00:19:32,1,2,2016-11-19
2,Gene Ammons,2016-12-03 00:19:32,1,3,2016-12-03
3,Gene Ammons,2016-12-17 00:19:32,1,4,2016-12-17
4,Gene Ammons,2016-12-31 00:19:32,1,5,2016-12-31
5,Gene Ammons,2017-01-14 00:19:32,1,6,2017-01-14
6,Gene Ammons,2017-01-28 00:19:32,1,7,2017-01-28
7,Gene Ammons,2017-02-11 00:19:32,1,8,2017-02-11
8,Gene Ammons,2017-02-25 00:19:32,1,9,2017-02-25
9,Gene Ammons,2017-03-11 00:19:32,1,10,2017-03-11
10,Gene Ammons,2017-03-25 00:19:32,1,11,2017-03-25
11,Gene Ammons,2017-04-08 00:19:32,1,12,2017-04-08
12,Gene Ammons,2017-04-22 00:19:32,1,13,2017-04-22
13,Gene Ammons,2017-05-06 00:19:32,1,14,2017-05-06
14,Gene Ammons,2017-05-20 00:19:32,1,15,2017-05-20
15,Gene Ammons,2017-06-03 00:19:32,1,16,2017-06-03
16,Gene Ammons,2017-06-17 00:19:32,1,17,2017-06-17
17,Gene Ammons,2017-07-01 00:19:32,1,18,2017-07-01
18,Gene Ammons,2017-07-15 00:19:32,1,19,2017-07-15
19,Gene Ammons,2017-07-29 00:19:32,1,20,2017-07-29
20,Gene Ammons,2017-08-12 00:19:32,1,21,2017-08-12
21,Gene Ammons,2017-08-26 00:19:32,1,22,2017-08-26
22,Gene Ammons,2017-09-09 00:19:32,1,23,2017-09-09
23,Gene Ammons,2017-09-23 00:19:32,1,24,2017-09-23
24,Gene Ammons,2017-10-07 00:19:32,1,25,2017-10-07
25,Gene Ammons,2017-10-21 00:19:32,1,26,2017-10-21
26,Gene Ammons,2017-11-04 00:19:32,1,27,2017-11-04
27,Gene Ammons,2017-11-18 00:19:32,1,28,2017-11-18
28,Gene Ammons,2017-12-02 00:19:32,1,29,2017-12-02
29,Gene Ammons,2017-12-16 00:19:32,1,30,2017-12-16
30,Gene Ammons,2017-12-30 00:19:32,1,31,2017-12-30
