,artist,endTime,sum,week,date
0,Vince Guaraldi Trio,2017-01-01 04:51:43,4,1,2017-01-01
1,Vince Guaraldi Trio,2017-01-15 04:51:43,5,2,2017-01-15
2,Vince Guaraldi Trio,2017-01-29 04:51:43,5,3,2017-01-29
3,Vince Guaraldi Trio,2017-02-12 04:51:43,5,4,2017-02-12
4,Vince Guaraldi Trio,2017-02-26 04:51:43,5,5,2017-02-26
5,Vince Guaraldi Trio,2017-03-12 04:51:43,5,6,2017-03-12
6,Vince Guaraldi Trio,2017-03-26 04:51:43,5,7,2017-03-26
7,Vince Guaraldi Trio,2017-04-09 04:51:43,6,8,2017-04-09
8,Vince Guaraldi Trio,2017-04-23 04:51:43,6,9,2017-04-23
9,Vince Guaraldi Trio,2017-05-07 04:51:43,6,10,2017-05-07
10,Vince Guaraldi Trio,2017-05-21 04:51:43,6,11,2017-05-21
11,Vince Guaraldi Trio,2017-06-04 04:51:43,6,12,2017-06-04
12,Vince Guaraldi Trio,2017-06-18 04:51:43,6,13,2017-06-18
13,Vince Guaraldi Trio,2017-07-02 04:51:43,6,14,2017-07-02
14,Vince Guaraldi Trio,2017-07-16 04:51:43,6,15,2017-07-16
15,Vince Guaraldi Trio,2017-07-30 04:51:43,6,16,2017-07-30
16,Vince Guaraldi Trio,2017-08-13 04:51:43,6,17,2017-08-13
17,Vince Guaraldi Trio,2017-08-27 04:51:43,6,18,2017-08-27
18,Vince Guaraldi Trio,2017-09-10 04:51:43,6,19,2017-09-10
19,Vince Guaraldi Trio,2017-09-24 04:51:43,6,20,2017-09-24
20,Vince Guaraldi Trio,2017-10-08 04:51:43,6,21,2017-10-08
21,Vince Guaraldi Trio,2017-10-22 04:51:43,6,22,2017-10-22
22,Vince Guaraldi Trio,2017-11-05 04:51:43,6,23,2017-11-05
23,Vince Guaraldi Trio,2017-11-19 04:51:43,6,24,2017-11-19
24,Vince Guaraldi Trio,2017-12-03 04:51:43,6,25,2017-12-03
25,Vince Guaraldi Trio,2017-12-17 04:51:43,6,26,2017-12-17
26,Vince Guaraldi Trio,2017-12-31 04:51:43,7,27,2017-12-31
27,Vince Guaraldi Trio,2018-01-14 04:51:43,7,28,2018-01-14
28,Vince Guaraldi Trio,2018-01-28 04:51:43,7,29,2018-01-28
29,Vince Guaraldi Trio,2018-02-11 04:51:43,7,30,2018-02-11
30,Vince Guaraldi Trio,2018-02-25 04:51:43,7,31,2018-02-25
31,Vince Guaraldi Trio,2018-03-11 04:51:43,7,32,2018-03-11
32,Vince Guaraldi Trio,2018-03-25 04:51:43,7,33,2018-03-25
33,Vince Guaraldi Trio,2018-04-08 04:51:43,7,34,2018-04-08
34,Vince Guaraldi Trio,2018-04-22 04:51:43,7,35,2018-04-22
35,Vince Guaraldi Trio,2018-05-06 04:51:43,7,36,2018-05-06
36,Vince Guaraldi Trio,2018-05-20 04:51:43,7,37,2018-05-20
37,Vince Guaraldi Trio,2018-06-03 04:51:43,7,38,2018-06-03
38,Vince Guaraldi Trio,2018-06-17 04:51:43,7,39,2018-06-17
39,Vince Guaraldi Trio,2018-07-01 04:51:43,8,40,2018-07-01
40,Vince Guaraldi Trio,2018-07-15 04:51:43,8,41,2018-07-15
41,Vince Guaraldi Trio,2018-07-29 04:51:43,8,42,2018-07-29
42,Vince Guaraldi Trio,2018-08-12 04:51:43,8,43,2018-08-12
43,Vince Guaraldi Trio,2018-08-26 04:51:43,8,44,2018-08-26
44,Vince Guaraldi Trio,2018-09-09 04:51:43,8,45,2018-09-09
45,Vince Guaraldi Trio,2018-09-23 04:51:43,8,46,2018-09-23
46,Vince Guaraldi Trio,2018-10-07 04:51:43,8,47,2018-10-07
47,Vince Guaraldi Trio,2018-10-21 04:51:43,8,48,2018-10-21
48,Vince Guaraldi Trio,2018-11-04 04:51:43,8,49,2018-11-04
49,Vince Guaraldi Trio,2018-11-18 04:51:43,8,50,2018-11-18
50,Vince Guaraldi Trio,2018-12-02 04:51:43,8,51,2018-12-02
51,Vince Guaraldi Trio,2018-12-16 04:51:43,9,52,2018-12-16
52,Vince Guaraldi Trio,2018-12-30 04:51:43,9,53,2018-12-30
53,Vince Guaraldi Trio,2019-01-13 04:51:43,9,54,2019-01-13
54,Vince Guaraldi Trio,2019-01-27 04:51:43,9,55,2019-01-27
55,Vince Guaraldi Trio,2019-02-10 04:51:43,9,56,2019-02-10
56,Vince Guaraldi Trio,2019-02-24 04:51:43,9,57,2019-02-24
57,Keith Jarrett,2017-01-01 04:51:43,0,1,2017-01-01
58,Keith Jarrett,2017-01-15 04:51:43,0,2,2017-01-15
59,Keith Jarrett,2017-01-29 04:51:43,0,3,2017-01-29
60,Keith Jarrett,2017-02-12 04:51:43,0,4,2017-02-12
61,Keith Jarrett,2017-02-26 04:51:43,0,5,2017-02-26
62,Keith Jarrett,2017-03-12 04:51:43,0,6,2017-03-12
63,Keith Jarrett,2017-03-26 04:51:43,0,7,2017-03-26
64,Keith Jarrett,2017-04-09 04:51:43,0,8,2017-04-09
65,Keith Jarrett,2017-04-23 04:51:43,0,9,2017-04-23
66,Keith Jarrett,2017-05-07 04:51:43,0,10,2017-05-07
67,Keith Jarrett,2017-05-21 04:51:43,0,11,2017-05-21
68,Keith Jarrett,2017-06-04 04:51:43,0,12,2017-06-04
69,Keith Jarrett,2017-06-18 04:51:43,0,13,2017-06-18
70,Keith Jarrett,2017-07-02 04:51:43,0,14,2017-07-02
71,Keith Jarrett,2017-07-16 04:51:43,0,15,2017-07-16
72,Keith Jarrett,2017-07-30 04:51:43,0,16,2017-07-30
73,Keith Jarrett,2017-08-13 04:51:43,0,17,2017-08-13
74,Keith Jarrett,2017-08-27 04:51:43,0,18,2017-08-27
75,Keith Jarrett,2017-09-10 04:51:43,0,19,2017-09-10
76,Keith Jarrett,2017-09-24 04:51:43,0,20,2017-09-24
77,Keith Jarrett,2017-10-08 04:51:43,1,21,2017-10-08
78,Keith Jarrett,2017-10-22 04:51:43,1,22,2017-10-22
79,Keith Jarrett,2017-11-05 04:51:43,1,23,2017-11-05
80,Keith Jarrett,2017-11-19 04:51:43,1,24,2017-11-19
81,Keith Jarrett,2017-12-03 04:51:43,1,25,2017-12-03
82,Keith Jarrett,2017-12-17 04:51:43,1,26,2017-12-17
83,Keith Jarrett,2017-12-31 04:51:43,1,27,2017-12-31
84,Keith Jarrett,2018-01-14 04:51:43,1,28,2018-01-14
85,Keith Jarrett,2018-01-28 04:51:43,1,29,2018-01-28
86,Keith Jarrett,2018-02-11 04:51:43,1,30,2018-02-11
87,Keith Jarrett,2018-02-25 04:51:43,1,31,2018-02-25
88,Keith Jarrett,2018-03-11 04:51:43,1,32,2018-03-11
89,Keith Jarrett,2018-03-25 04:51:43,1,33,2018-03-25
90,Keith Jarrett,2018-04-08 04:51:43,1,34,2018-04-08
91,Keith Jarrett,2018-04-22 04:51:43,1,35,2018-04-22
92,Keith Jarrett,2018-05-06 04:51:43,1,36,2018-05-06
93,Keith Jarrett,2018-05-20 04:51:43,1,37,2018-05-20
94,Keith Jarrett,2018-06-03 04:51:43,1,38,2018-06-03
95,Keith Jarrett,2018-06-17 04:51:43,1,39,2018-06-17
96,Keith Jarrett,2018-07-01 04:51:43,1,40,2018-07-01
97,Keith Jarrett,2018-07-15 04:51:43,1,41,2018-07-15
98,Keith Jarrett,2018-07-29 04:51:43,1,42,2018-07-29
99,Keith Jarrett,2018-08-12 04:51:43,1,43,2018-08-12
100,Keith Jarrett,2018-08-26 04:51:43,1,44,2018-08-26
101,Keith Jarrett,2018-09-09 04:51:43,1,45,2018-09-09
102,Keith Jarrett,2018-09-23 04:51:43,1,46,2018-09-23
103,Keith Jarrett,2018-10-07 04:51:43,1,47,2018-10-07
104,Keith Jarrett,2018-10-21 04:51:43,1,48,2018-10-21
105,Keith Jarrett,2018-11-04 04:51:43,1,49,2018-11-04
106,Keith Jarrett,2018-11-18 04:51:43,1,50,2018-11-18
107,Keith Jarrett,2018-12-02 04:51:43,1,51,2018-12-02
108,Keith Jarrett,2018-12-16 04:51:43,1,52,2018-12-16
109,Keith Jarrett,2018-12-30 04:51:43,1,53,2018-12-30
110,Keith Jarrett,2019-01-13 04:51:43,1,54,2019-01-13
111,Keith Jarrett,2019-01-27 04:51:43,1,55,2019-01-27
112,Keith Jarrett,2019-02-10 04:51:43,1,56,2019-02-10
113,Keith Jarrett,2019-02-24 04:51:43,1,57,2019-02-24
114,"Medeski, Martin & Wood",2017-01-01 04:51:43,0,1,2017-01-01
115,"Medeski, Martin & Wood",2017-01-15 04:51:43,0,2,2017-01-15
116,"Medeski, Martin & Wood",2017-01-29 04:51:43,0,3,2017-01-29
117,"Medeski, Martin & Wood",2017-02-12 04:51:43,0,4,2017-02-12
118,"Medeski, Martin & Wood",2017-02-26 04:51:43,0,5,2017-02-26
119,"Medeski, Martin & Wood",2017-03-12 04:51:43,0,6,2017-03-12
120,"Medeski, Martin & Wood",2017-03-26 04:51:43,0,7,2017-03-26
121,"Medeski, Martin & Wood",2017-04-09 04:51:43,0,8,2017-04-09
122,"Medeski, Martin & Wood",2017-04-23 04:51:43,0,9,2017-04-23
123,"Medeski, Martin & Wood",2017-05-07 04:51:43,0,10,2017-05-07
124,"Medeski, Martin & Wood",2017-05-21 04:51:43,0,11,2017-05-21
125,"Medeski, Martin & Wood",2017-06-04 04:51:43,0,12,2017-06-04
126,"Medeski, Martin & Wood",2017-06-18 04:51:43,0,13,2017-06-18
127,"Medeski, Martin & Wood",2017-07-02 04:51:43,0,14,2017-07-02
128,"Medeski, Martin & Wood",2017-07-16 04:51:43,0,15,2017-07-16
129,"Medeski, Martin & Wood",2017-07-30 04:51:43,0,16,2017-07-30
130,"Medeski, Martin & Wood",2017-08-13 04:51:43,0,17,2017-08-13
131,"Medeski, Martin & Wood",2017-08-27 04:51:43,0,18,2017-08-27
132,"Medeski, Martin & Wood",2017-09-10 04:51:43,0,19,2017-09-10
133,"Medeski, Martin & Wood",2017-09-24 04:51:43,0,20,2017-09-24
134,"Medeski, Martin & Wood",2017-10-08 04:51:43,0,21,2017-10-08
135,"Medeski, Martin & Wood",2017-10-22 04:51:43,1,22,2017-10-22
136,"Medeski, Martin & Wood",2017-11-05 04:51:43,1,23,2017-11-05
137,"Medeski, Martin & Wood",2017-11-19 04:51:43,1,24,2017-11-19
138,"Medeski, Martin & Wood",2017-12-03 04:51:43,1,25,2017-12-03
139,"Medeski, Martin & Wood",2017-12-17 04:51:43,2,26,2017-12-17
140,"Medeski, Martin & Wood",2017-12-31 04:51:43,2,27,2017-12-31
