,artist,endTime,sum,week,date
0,Fats Waller,2016-05-18 21:59:19,5,1,2016-05-18
1,Fats Waller,2016-06-01 21:59:19,5,2,2016-06-01
2,Fats Waller,2016-06-15 21:59:19,5,3,2016-06-15
3,Fats Waller,2016-06-29 21:59:19,5,4,2016-06-29
4,Fats Waller,2016-07-13 21:59:19,5,5,2016-07-13
5,Fats Waller,2016-07-27 21:59:19,5,6,2016-07-27
6,Fats Waller,2016-08-10 21:59:19,5,7,2016-08-10
7,Fats Waller,2016-08-24 21:59:19,5,8,2016-08-24
8,Fats Waller,2016-09-07 21:59:19,5,9,2016-09-07
9,Fats Waller,2016-09-21 21:59:19,5,10,2016-09-21
10,Fats Waller,2016-10-05 21:59:19,5,11,2016-10-05
11,Fats Waller,2016-10-19 21:59:19,5,12,2016-10-19
12,Fats Waller,2016-11-02 21:59:19,5,13,2016-11-02
13,Fats Waller,2016-11-16 21:59:19,5,14,2016-11-16
14,Fats Waller,2016-11-30 21:59:19,5,15,2016-11-30
15,Fats Waller,2016-12-14 21:59:19,5,16,2016-12-14
16,Fats Waller,2016-12-28 21:59:19,5,17,2016-12-28
17,Fats Waller,2017-01-11 21:59:19,5,18,2017-01-11
18,Fats Waller,2017-01-25 21:59:19,5,19,2017-01-25
19,Fats Waller,2017-02-08 21:59:19,5,20,2017-02-08
20,Fats Waller,2017-02-22 21:59:19,5,21,2017-02-22
21,Fats Waller,2017-03-08 21:59:19,5,22,2017-03-08
22,Fats Waller,2017-03-22 21:59:19,5,23,2017-03-22
23,Fats Waller,2017-04-05 21:59:19,5,24,2017-04-05
24,Fats Waller,2017-04-19 21:59:19,5,25,2017-04-19
25,Fats Waller,2017-05-03 21:59:19,5,26,2017-05-03
26,Fats Waller,2017-05-17 21:59:19,5,27,2017-05-17
27,Fats Waller,2017-05-31 21:59:19,5,28,2017-05-31
28,Fats Waller,2017-06-14 21:59:19,5,29,2017-06-14
29,Fats Waller,2017-06-28 21:59:19,5,30,2017-06-28
30,Fats Waller,2017-07-12 21:59:19,5,31,2017-07-12
31,Fats Waller,2017-07-26 21:59:19,5,32,2017-07-26
32,Fats Waller,2017-08-09 21:59:19,5,33,2017-08-09
33,Fats Waller,2017-08-23 21:59:19,5,34,2017-08-23
34,Fats Waller,2017-09-06 21:59:19,5,35,2017-09-06
35,Fats Waller,2017-09-20 21:59:19,5,36,2017-09-20
36,Fats Waller,2017-10-04 21:59:19,5,37,2017-10-04
37,Fats Waller,2017-10-18 21:59:19,5,38,2017-10-18
38,Fats Waller,2017-11-01 21:59:19,5,39,2017-11-01
39,Fats Waller,2017-11-15 21:59:19,5,40,2017-11-15
40,Fats Waller,2017-11-29 21:59:19,5,41,2017-11-29
41,Fats Waller,2017-12-13 21:59:19,5,42,2017-12-13
42,Fats Waller,2017-12-27 21:59:19,5,43,2017-12-27
43,Fats Waller,2018-01-10 21:59:19,5,44,2018-01-10
44,Fats Waller,2018-01-24 21:59:19,5,45,2018-01-24
45,Fats Waller,2018-02-07 21:59:19,5,46,2018-02-07
46,Fats Waller,2018-02-21 21:59:19,5,47,2018-02-21
47,Fats Waller,2018-03-07 21:59:19,5,48,2018-03-07
48,Fats Waller,2018-03-21 21:59:19,5,49,2018-03-21
49,Fats Waller,2018-04-04 21:59:19,5,50,2018-04-04
50,Fats Waller,2018-04-18 21:59:19,5,51,2018-04-18
51,Fats Waller,2018-05-02 21:59:19,5,52,2018-05-02
52,Fats Waller,2018-05-16 21:59:19,5,53,2018-05-16
53,Fats Waller,2018-05-30 21:59:19,5,54,2018-05-30
54,Fats Waller,2018-06-13 21:59:19,5,55,2018-06-13
55,Fats Waller,2018-06-27 21:59:19,5,56,2018-06-27
56,Fats Waller,2018-07-11 21:59:19,5,57,2018-07-11
57,Fats Waller,2018-07-25 21:59:19,5,58,2018-07-25
58,Fats Waller,2018-08-08 21:59:19,5,59,2018-08-08
59,Fats Waller,2018-08-22 21:59:19,5,60,2018-08-22
60,Fats Waller,2018-09-05 21:59:19,5,61,2018-09-05
61,Fats Waller,2018-09-19 21:59:19,5,62,2018-09-19
62,Fats Waller,2018-10-03 21:59:19,5,63,2018-10-03
63,Fats Waller,2018-10-17 21:59:19,5,64,2018-10-17
64,Fats Waller,2018-10-31 21:59:19,5,65,2018-10-31
65,Fats Waller,2018-11-14 21:59:19,5,66,2018-11-14
66,Fats Waller,2018-11-28 21:59:19,5,67,2018-11-28
67,Fats Waller,2018-12-12 21:59:19,5,68,2018-12-12
68,Fats Waller,2018-12-26 21:59:19,5,69,2018-12-26
69,Fats Waller,2019-01-09 21:59:19,5,70,2019-01-09
70,Fats Waller,2019-01-23 21:59:19,5,71,2019-01-23
71,Fats Waller,2019-02-06 21:59:19,5,72,2019-02-06
72,Fats Waller,2019-02-20 21:59:19,5,73,2019-02-20
73,Fats Waller,2019-03-06 21:59:19,5,74,2019-03-06
74,Fats Waller,2019-03-20 21:59:19,5,75,2019-03-20
75,Fats Waller,2019-04-03 21:59:19,5,76,2019-04-03
76,Fats Waller,2019-04-17 21:59:19,5,77,2019-04-17
77,Fats Waller,2019-05-01 21:59:19,5,78,2019-05-01
78,Fats Waller,2019-05-15 21:59:19,5,79,2019-05-15
79,Fats Waller,2019-05-29 21:59:19,5,80,2019-05-29
80,Fats Waller,2019-06-12 21:59:19,5,81,2019-06-12
81,Fats Waller,2019-06-26 21:59:19,5,82,2019-06-26
82,Fats Waller,2019-07-10 21:59:19,5,83,2019-07-10
83,Fats Waller,2019-07-24 21:59:19,5,84,2019-07-24
84,Fats Waller,2019-08-07 21:59:19,5,85,2019-08-07
85,Fats Waller,2019-08-21 21:59:19,5,86,2019-08-21
86,Fats Waller,2019-09-04 21:59:19,5,87,2019-09-04
87,Fats Waller,2019-09-18 21:59:19,5,88,2019-09-18
88,Fats Waller,2019-10-02 21:59:19,5,89,2019-10-02
89,Fats Waller,2019-10-16 21:59:19,5,90,2019-10-16
90,Fats Waller,2019-10-30 21:59:19,5,91,2019-10-30
91,Fats Waller,2019-11-13 21:59:19,5,92,2019-11-13
92,Fats Waller,2019-11-27 21:59:19,5,93,2019-11-27
93,Fats Waller,2019-12-11 21:59:19,5,94,2019-12-11
94,Fats Waller,2019-12-25 21:59:19,5,95,2019-12-25
