,artist,endTime,sum,week,date
0,Post Malone,2016-01-29 20:40:58,1,1,2016-01-29
1,Post Malone,2016-02-12 20:40:58,1,2,2016-02-12
2,Post Malone,2016-02-26 20:40:58,1,3,2016-02-26
3,Post Malone,2016-03-11 20:40:58,1,4,2016-03-11
4,Post Malone,2016-03-25 20:40:58,1,5,2016-03-25
5,Post Malone,2016-04-08 20:40:58,1,6,2016-04-08
6,Post Malone,2016-04-22 20:40:58,1,7,2016-04-22
7,Post Malone,2016-05-06 20:40:58,1,8,2016-05-06
8,Post Malone,2016-05-20 20:40:58,1,9,2016-05-20
9,Post Malone,2016-06-03 20:40:58,1,10,2016-06-03
10,Post Malone,2016-06-17 20:40:58,1,11,2016-06-17
11,Post Malone,2016-07-01 20:40:58,1,12,2016-07-01
12,Post Malone,2016-07-15 20:40:58,1,13,2016-07-15
13,Post Malone,2016-07-29 20:40:58,1,14,2016-07-29
14,Post Malone,2016-08-12 20:40:58,1,15,2016-08-12
15,Post Malone,2016-08-26 20:40:58,2,16,2016-08-26
16,Post Malone,2016-09-09 20:40:58,2,17,2016-09-09
17,Post Malone,2016-09-23 20:40:58,2,18,2016-09-23
18,Post Malone,2016-10-07 20:40:58,2,19,2016-10-07
19,Post Malone,2016-10-21 20:40:58,2,20,2016-10-21
20,Post Malone,2016-11-04 20:40:58,2,21,2016-11-04
21,Post Malone,2016-11-18 20:40:58,2,22,2016-11-18
22,Post Malone,2016-12-02 20:40:58,2,23,2016-12-02
23,Post Malone,2016-12-16 20:40:58,2,24,2016-12-16
24,Post Malone,2016-12-30 20:40:58,2,25,2016-12-30
25,Post Malone,2017-01-13 20:40:58,2,26,2017-01-13
26,Post Malone,2017-01-27 20:40:58,2,27,2017-01-27
27,Post Malone,2017-02-10 20:40:58,2,28,2017-02-10
28,Post Malone,2017-02-24 20:40:58,2,29,2017-02-24
29,Post Malone,2017-03-10 20:40:58,2,30,2017-03-10
30,Post Malone,2017-03-24 20:40:58,3,31,2017-03-24
31,Post Malone,2017-04-07 20:40:58,3,32,2017-04-07
32,Post Malone,2017-04-21 20:40:58,3,33,2017-04-21
33,Post Malone,2017-05-05 20:40:58,3,34,2017-05-05
34,Post Malone,2017-05-19 20:40:58,5,35,2017-05-19
35,Post Malone,2017-06-02 20:40:58,5,36,2017-06-02
36,Post Malone,2017-06-16 20:40:58,5,37,2017-06-16
37,Post Malone,2017-06-30 20:40:58,5,38,2017-06-30
38,Post Malone,2017-07-14 20:40:58,5,39,2017-07-14
39,Post Malone,2017-07-28 20:40:58,5,40,2017-07-28
40,Post Malone,2017-08-11 20:40:58,5,41,2017-08-11
41,Post Malone,2017-08-25 20:40:58,5,42,2017-08-25
42,Post Malone,2017-09-08 20:40:58,5,43,2017-09-08
43,Post Malone,2017-09-22 20:40:58,5,44,2017-09-22
44,Post Malone,2017-10-06 20:40:58,5,45,2017-10-06
45,Post Malone,2017-10-20 20:40:58,5,46,2017-10-20
46,Post Malone,2017-11-03 20:40:58,5,47,2017-11-03
47,Post Malone,2017-11-17 20:40:58,6,48,2017-11-17
48,Post Malone,2017-12-01 20:40:58,6,49,2017-12-01
49,Post Malone,2017-12-15 20:40:58,6,50,2017-12-15
50,Post Malone,2017-12-29 20:40:58,6,51,2017-12-29
51,Post Malone,2018-01-12 20:40:58,6,52,2018-01-12
52,Post Malone,2018-01-26 20:40:58,9,53,2018-01-26
53,Post Malone,2018-02-09 20:40:58,9,54,2018-02-09
54,Post Malone,2018-02-23 20:40:58,9,55,2018-02-23
55,Post Malone,2018-03-09 20:40:58,9,56,2018-03-09
56,Post Malone,2018-03-23 20:40:58,9,57,2018-03-23
57,Post Malone,2018-04-06 20:40:58,10,58,2018-04-06
58,Post Malone,2018-04-20 20:40:58,10,59,2018-04-20
59,Post Malone,2018-05-04 20:40:58,10,60,2018-05-04
60,Post Malone,2018-05-18 20:40:58,10,61,2018-05-18
61,Post Malone,2018-06-01 20:40:58,10,62,2018-06-01
62,Post Malone,2018-06-15 20:40:58,16,63,2018-06-15
63,Post Malone,2018-06-29 20:40:58,16,64,2018-06-29
64,Post Malone,2018-07-13 20:40:58,16,65,2018-07-13
65,Post Malone,2018-07-27 20:40:58,16,66,2018-07-27
66,Post Malone,2018-08-10 20:40:58,18,67,2018-08-10
67,Post Malone,2018-08-24 20:40:58,19,68,2018-08-24
68,Post Malone,2018-09-07 20:40:58,19,69,2018-09-07
69,Post Malone,2018-09-21 20:40:58,19,70,2018-09-21
70,Post Malone,2018-10-05 20:40:58,19,71,2018-10-05
71,Post Malone,2018-10-19 20:40:58,19,72,2018-10-19
72,Post Malone,2018-11-02 20:40:58,19,73,2018-11-02
73,Post Malone,2018-11-16 20:40:58,19,74,2018-11-16
74,Post Malone,2018-11-30 20:40:58,19,75,2018-11-30
75,Post Malone,2018-12-14 20:40:58,19,76,2018-12-14
76,Post Malone,2018-12-28 20:40:58,19,77,2018-12-28
77,Post Malone,2019-01-11 20:40:58,19,78,2019-01-11
78,Post Malone,2019-01-25 20:40:58,20,79,2019-01-25
79,Post Malone,2019-02-08 20:40:58,20,80,2019-02-08
80,Post Malone,2019-02-22 20:40:58,20,81,2019-02-22
