,artist,endTime,sum,week,date
0,John Lee Hooker,2016-03-20 22:34:39,1,1,2016-03-20
1,John Lee Hooker,2016-04-03 22:34:39,1,2,2016-04-03
2,John Lee Hooker,2016-04-17 22:34:39,1,3,2016-04-17
3,John Lee Hooker,2016-05-01 22:34:39,1,4,2016-05-01
4,John Lee Hooker,2016-05-15 22:34:39,1,5,2016-05-15
5,John Lee Hooker,2016-05-29 22:34:39,1,6,2016-05-29
6,John Lee Hooker,2016-06-12 22:34:39,1,7,2016-06-12
7,John Lee Hooker,2016-06-26 22:34:39,1,8,2016-06-26
8,John Lee Hooker,2016-07-10 22:34:39,1,9,2016-07-10
9,John Lee Hooker,2016-07-24 22:34:39,1,10,2016-07-24
10,John Lee Hooker,2016-08-07 22:34:39,1,11,2016-08-07
11,John Lee Hooker,2016-08-21 22:34:39,1,12,2016-08-21
12,John Lee Hooker,2016-09-04 22:34:39,1,13,2016-09-04
13,John Lee Hooker,2016-09-18 22:34:39,1,14,2016-09-18
14,John Lee Hooker,2016-10-02 22:34:39,1,15,2016-10-02
15,John Lee Hooker,2016-10-16 22:34:39,1,16,2016-10-16
16,Big Walter Horton,2016-03-20 22:34:39,0,1,2016-03-20
17,Big Walter Horton,2016-04-03 22:34:39,0,2,2016-04-03
18,Big Walter Horton,2016-04-17 22:34:39,0,3,2016-04-17
19,Big Walter Horton,2016-05-01 22:34:39,0,4,2016-05-01
20,Big Walter Horton,2016-05-15 22:34:39,0,5,2016-05-15
21,Big Walter Horton,2016-05-29 22:34:39,0,6,2016-05-29
22,Big Walter Horton,2016-06-12 22:34:39,0,7,2016-06-12
23,Big Walter Horton,2016-06-26 22:34:39,0,8,2016-06-26
24,Big Walter Horton,2016-07-10 22:34:39,0,9,2016-07-10
25,Big Walter Horton,2016-07-24 22:34:39,0,10,2016-07-24
26,Big Walter Horton,2016-08-07 22:34:39,0,11,2016-08-07
27,Big Walter Horton,2016-08-21 22:34:39,0,12,2016-08-21
28,Big Walter Horton,2016-09-04 22:34:39,0,13,2016-09-04
29,Big Walter Horton,2016-09-18 22:34:39,0,14,2016-09-18
30,Big Walter Horton,2016-10-02 22:34:39,0,15,2016-10-02
31,Big Walter Horton,2016-10-16 22:34:39,0,16,2016-10-16
