,artist,endTime,sum,week,date
0,Denzel Curry,2016-08-22 22:14:14,1,1,2016-08-22
1,Denzel Curry,2016-09-05 22:14:14,1,2,2016-09-05
2,Denzel Curry,2016-09-19 22:14:14,1,3,2016-09-19
3,Denzel Curry,2016-10-03 22:14:14,1,4,2016-10-03
4,Denzel Curry,2016-10-17 22:14:14,1,5,2016-10-17
5,Denzel Curry,2016-10-31 22:14:14,1,6,2016-10-31
6,Denzel Curry,2016-11-14 22:14:14,1,7,2016-11-14
7,Denzel Curry,2016-11-28 22:14:14,1,8,2016-11-28
8,Denzel Curry,2016-12-12 22:14:14,1,9,2016-12-12
9,Denzel Curry,2016-12-26 22:14:14,1,10,2016-12-26
10,Denzel Curry,2017-01-09 22:14:14,1,11,2017-01-09
11,Denzel Curry,2017-01-23 22:14:14,1,12,2017-01-23
12,Denzel Curry,2017-02-06 22:14:14,1,13,2017-02-06
13,Denzel Curry,2017-02-20 22:14:14,1,14,2017-02-20
14,Denzel Curry,2017-03-06 22:14:14,1,15,2017-03-06
15,Denzel Curry,2017-03-20 22:14:14,1,16,2017-03-20
16,Denzel Curry,2017-04-03 22:14:14,1,17,2017-04-03
17,Denzel Curry,2017-04-17 22:14:14,1,18,2017-04-17
18,Denzel Curry,2017-05-01 22:14:14,1,19,2017-05-01
19,Denzel Curry,2017-05-15 22:14:14,1,20,2017-05-15
20,Denzel Curry,2017-05-29 22:14:14,1,21,2017-05-29
21,Denzel Curry,2017-06-12 22:14:14,1,22,2017-06-12
22,Denzel Curry,2017-06-26 22:14:14,1,23,2017-06-26
23,Denzel Curry,2017-07-10 22:14:14,1,24,2017-07-10
24,Denzel Curry,2017-07-24 22:14:14,1,25,2017-07-24
25,Denzel Curry,2017-08-07 22:14:14,1,26,2017-08-07
26,Denzel Curry,2017-08-21 22:14:14,1,27,2017-08-21
27,Denzel Curry,2017-09-04 22:14:14,1,28,2017-09-04
28,Denzel Curry,2017-09-18 22:14:14,1,29,2017-09-18
29,Denzel Curry,2017-10-02 22:14:14,1,30,2017-10-02
30,Denzel Curry,2017-10-16 22:14:14,1,31,2017-10-16
31,Denzel Curry,2017-10-30 22:14:14,1,32,2017-10-30
32,Denzel Curry,2017-11-13 22:14:14,1,33,2017-11-13
33,Denzel Curry,2017-11-27 22:14:14,1,34,2017-11-27
34,Denzel Curry,2017-12-11 22:14:14,1,35,2017-12-11
35,Denzel Curry,2017-12-25 22:14:14,1,36,2017-12-25
36,Denzel Curry,2018-01-08 22:14:14,1,37,2018-01-08
37,Denzel Curry,2018-01-22 22:14:14,1,38,2018-01-22
38,Denzel Curry,2018-02-05 22:14:14,1,39,2018-02-05
39,Denzel Curry,2018-02-19 22:14:14,1,40,2018-02-19
40,Denzel Curry,2018-03-05 22:14:14,1,41,2018-03-05
41,Denzel Curry,2018-03-19 22:14:14,1,42,2018-03-19
42,Denzel Curry,2018-04-02 22:14:14,1,43,2018-04-02
43,Denzel Curry,2018-04-16 22:14:14,1,44,2018-04-16
44,Denzel Curry,2018-04-30 22:14:14,1,45,2018-04-30
45,Denzel Curry,2018-05-14 22:14:14,1,46,2018-05-14
46,Denzel Curry,2018-05-28 22:14:14,1,47,2018-05-28
47,Denzel Curry,2018-06-11 22:14:14,1,48,2018-06-11
48,Denzel Curry,2018-06-25 22:14:14,1,49,2018-06-25
49,Denzel Curry,2018-07-09 22:14:14,1,50,2018-07-09
50,Denzel Curry,2018-07-23 22:14:14,1,51,2018-07-23
51,Denzel Curry,2018-08-06 22:14:14,1,52,2018-08-06
52,Denzel Curry,2018-08-20 22:14:14,1,53,2018-08-20
53,Denzel Curry,2018-09-03 22:14:14,1,54,2018-09-03
54,Denzel Curry,2018-09-17 22:14:14,1,55,2018-09-17
55,Denzel Curry,2018-10-01 22:14:14,1,56,2018-10-01
56,Denzel Curry,2018-10-15 22:14:14,1,57,2018-10-15
57,Denzel Curry,2018-10-29 22:14:14,1,58,2018-10-29
58,Denzel Curry,2018-11-12 22:14:14,1,59,2018-11-12
59,Denzel Curry,2018-11-26 22:14:14,1,60,2018-11-26
60,Denzel Curry,2018-12-10 22:14:14,1,61,2018-12-10
61,Denzel Curry,2018-12-24 22:14:14,1,62,2018-12-24
62,Denzel Curry,2019-01-07 22:14:14,1,63,2019-01-07
63,Denzel Curry,2019-01-21 22:14:14,1,64,2019-01-21
64,Denzel Curry,2019-02-04 22:14:14,1,65,2019-02-04
65,Denzel Curry,2019-02-18 22:14:14,1,66,2019-02-18
66,Denzel Curry,2019-03-04 22:14:14,1,67,2019-03-04
67,Denzel Curry,2019-03-18 22:14:14,1,68,2019-03-18
68,Denzel Curry,2019-04-01 22:14:14,1,69,2019-04-01
69,Denzel Curry,2019-04-15 22:14:14,1,70,2019-04-15
70,Denzel Curry,2019-04-29 22:14:14,1,71,2019-04-29
71,Denzel Curry,2019-05-13 22:14:14,1,72,2019-05-13
72,Denzel Curry,2019-05-27 22:14:14,1,73,2019-05-27
73,Denzel Curry,2019-06-10 22:14:14,1,74,2019-06-10
74,Denzel Curry,2019-06-24 22:14:14,1,75,2019-06-24
75,Denzel Curry,2019-07-08 22:14:14,1,76,2019-07-08
76,Denzel Curry,2019-07-22 22:14:14,1,77,2019-07-22
77,Denzel Curry,2019-08-05 22:14:14,1,78,2019-08-05
78,Denzel Curry,2019-08-19 22:14:14,1,79,2019-08-19
79,Denzel Curry,2019-09-02 22:14:14,1,80,2019-09-02
80,Denzel Curry,2019-09-16 22:14:14,1,81,2019-09-16
81,Denzel Curry,2019-09-30 22:14:14,1,82,2019-09-30
82,Denzel Curry,2019-10-14 22:14:14,1,83,2019-10-14
83,Denzel Curry,2019-10-28 22:14:14,1,84,2019-10-28
84,Denzel Curry,2019-11-11 22:14:14,1,85,2019-11-11
85,Denzel Curry,2019-11-25 22:14:14,1,86,2019-11-25
86,Denzel Curry,2019-12-09 22:14:14,1,87,2019-12-09
87,Denzel Curry,2019-12-23 22:14:14,1,88,2019-12-23
88,Denzel Curry,2020-01-06 22:14:14,1,89,2020-01-06
89,Denzel Curry,2020-01-20 22:14:14,1,90,2020-01-20
90,Denzel Curry,2020-02-03 22:14:14,1,91,2020-02-03
91,Denzel Curry,2020-02-17 22:14:14,1,92,2020-02-17
92,LunchMoney Lewis,2016-08-22 22:14:14,5,1,2016-08-22
93,LunchMoney Lewis,2016-09-05 22:14:14,15,2,2016-09-05
94,LunchMoney Lewis,2016-09-19 22:14:14,15,3,2016-09-19
95,LunchMoney Lewis,2016-10-03 22:14:14,15,4,2016-10-03
96,LunchMoney Lewis,2016-10-17 22:14:14,15,5,2016-10-17
97,LunchMoney Lewis,2016-10-31 22:14:14,16,6,2016-10-31
98,LunchMoney Lewis,2016-11-14 22:14:14,16,7,2016-11-14
99,LunchMoney Lewis,2016-11-28 22:14:14,16,8,2016-11-28
100,LunchMoney Lewis,2016-12-12 22:14:14,16,9,2016-12-12
101,LunchMoney Lewis,2016-12-26 22:14:14,16,10,2016-12-26
102,LunchMoney Lewis,2017-01-09 22:14:14,16,11,2017-01-09
103,LunchMoney Lewis,2017-01-23 22:14:14,16,12,2017-01-23
104,LunchMoney Lewis,2017-02-06 22:14:14,16,13,2017-02-06
105,LunchMoney Lewis,2017-02-20 22:14:14,16,14,2017-02-20
106,LunchMoney Lewis,2017-03-06 22:14:14,16,15,2017-03-06
107,LunchMoney Lewis,2017-03-20 22:14:14,16,16,2017-03-20
108,LunchMoney Lewis,2017-04-03 22:14:14,16,17,2017-04-03
109,LunchMoney Lewis,2017-04-17 22:14:14,16,18,2017-04-17
110,LunchMoney Lewis,2017-05-01 22:14:14,16,19,2017-05-01
111,LunchMoney Lewis,2017-05-15 22:14:14,16,20,2017-05-15
112,LunchMoney Lewis,2017-05-29 22:14:14,16,21,2017-05-29
113,LunchMoney Lewis,2017-06-12 22:14:14,17,22,2017-06-12
114,LunchMoney Lewis,2017-06-26 22:14:14,17,23,2017-06-26
115,LunchMoney Lewis,2017-07-10 22:14:14,17,24,2017-07-10
116,LunchMoney Lewis,2017-07-24 22:14:14,17,25,2017-07-24
117,LunchMoney Lewis,2017-08-07 22:14:14,17,26,2017-08-07
118,LunchMoney Lewis,2017-08-21 22:14:14,17,27,2017-08-21
119,LunchMoney Lewis,2017-09-04 22:14:14,17,28,2017-09-04
120,LunchMoney Lewis,2017-09-18 22:14:14,17,29,2017-09-18
121,LunchMoney Lewis,2017-10-02 22:14:14,17,30,2017-10-02
122,LunchMoney Lewis,2017-10-16 22:14:14,17,31,2017-10-16
123,LunchMoney Lewis,2017-10-30 22:14:14,17,32,2017-10-30
124,LunchMoney Lewis,2017-11-13 22:14:14,17,33,2017-11-13
125,LunchMoney Lewis,2017-11-27 22:14:14,17,34,2017-11-27
126,LunchMoney Lewis,2017-12-11 22:14:14,17,35,2017-12-11
127,LunchMoney Lewis,2017-12-25 22:14:14,17,36,2017-12-25
128,LunchMoney Lewis,2018-01-08 22:14:14,17,37,2018-01-08
129,LunchMoney Lewis,2018-01-22 22:14:14,17,38,2018-01-22
130,LunchMoney Lewis,2018-02-05 22:14:14,18,39,2018-02-05
131,LunchMoney Lewis,2018-02-19 22:14:14,18,40,2018-02-19
132,LunchMoney Lewis,2018-03-05 22:14:14,18,41,2018-03-05
133,LunchMoney Lewis,2018-03-19 22:14:14,18,42,2018-03-19
134,LunchMoney Lewis,2018-04-02 22:14:14,18,43,2018-04-02
135,LunchMoney Lewis,2018-04-16 22:14:14,18,44,2018-04-16
136,LunchMoney Lewis,2018-04-30 22:14:14,18,45,2018-04-30
137,LunchMoney Lewis,2018-05-14 22:14:14,18,46,2018-05-14
138,LunchMoney Lewis,2018-05-28 22:14:14,18,47,2018-05-28
139,LunchMoney Lewis,2018-06-11 22:14:14,18,48,2018-06-11
140,LunchMoney Lewis,2018-06-25 22:14:14,18,49,2018-06-25
141,LunchMoney Lewis,2018-07-09 22:14:14,18,50,2018-07-09
142,LunchMoney Lewis,2018-07-23 22:14:14,18,51,2018-07-23
143,LunchMoney Lewis,2018-08-06 22:14:14,18,52,2018-08-06
144,LunchMoney Lewis,2018-08-20 22:14:14,18,53,2018-08-20
145,LunchMoney Lewis,2018-09-03 22:14:14,18,54,2018-09-03
146,LunchMoney Lewis,2018-09-17 22:14:14,18,55,2018-09-17
147,LunchMoney Lewis,2018-10-01 22:14:14,18,56,2018-10-01
148,LunchMoney Lewis,2018-10-15 22:14:14,18,57,2018-10-15
149,LunchMoney Lewis,2018-10-29 22:14:14,18,58,2018-10-29
150,LunchMoney Lewis,2018-11-12 22:14:14,18,59,2018-11-12
151,LunchMoney Lewis,2018-11-26 22:14:14,18,60,2018-11-26
152,LunchMoney Lewis,2018-12-10 22:14:14,18,61,2018-12-10
153,LunchMoney Lewis,2018-12-24 22:14:14,18,62,2018-12-24
154,LunchMoney Lewis,2019-01-07 22:14:14,18,63,2019-01-07
155,LunchMoney Lewis,2019-01-21 22:14:14,18,64,2019-01-21
156,LunchMoney Lewis,2019-02-04 22:14:14,18,65,2019-02-04
157,LunchMoney Lewis,2019-02-18 22:14:14,18,66,2019-02-18
158,LunchMoney Lewis,2019-03-04 22:14:14,18,67,2019-03-04
159,LunchMoney Lewis,2019-03-18 22:14:14,18,68,2019-03-18
160,LunchMoney Lewis,2019-04-01 22:14:14,18,69,2019-04-01
161,LunchMoney Lewis,2019-04-15 22:14:14,18,70,2019-04-15
162,LunchMoney Lewis,2019-04-29 22:14:14,18,71,2019-04-29
163,LunchMoney Lewis,2019-05-13 22:14:14,18,72,2019-05-13
164,LunchMoney Lewis,2019-05-27 22:14:14,18,73,2019-05-27
165,LunchMoney Lewis,2019-06-10 22:14:14,18,74,2019-06-10
166,LunchMoney Lewis,2019-06-24 22:14:14,18,75,2019-06-24
167,LunchMoney Lewis,2019-07-08 22:14:14,18,76,2019-07-08
168,LunchMoney Lewis,2019-07-22 22:14:14,18,77,2019-07-22
169,LunchMoney Lewis,2019-08-05 22:14:14,18,78,2019-08-05
170,LunchMoney Lewis,2019-08-19 22:14:14,18,79,2019-08-19
171,LunchMoney Lewis,2019-09-02 22:14:14,18,80,2019-09-02
172,LunchMoney Lewis,2019-09-16 22:14:14,18,81,2019-09-16
173,LunchMoney Lewis,2019-09-30 22:14:14,18,82,2019-09-30
174,LunchMoney Lewis,2019-10-14 22:14:14,18,83,2019-10-14
175,LunchMoney Lewis,2019-10-28 22:14:14,18,84,2019-10-28
176,LunchMoney Lewis,2019-11-11 22:14:14,18,85,2019-11-11
177,LunchMoney Lewis,2019-11-25 22:14:14,18,86,2019-11-25
178,LunchMoney Lewis,2019-12-09 22:14:14,18,87,2019-12-09
179,LunchMoney Lewis,2019-12-23 22:14:14,18,88,2019-12-23
180,LunchMoney Lewis,2020-01-06 22:14:14,18,89,2020-01-06
181,LunchMoney Lewis,2020-01-20 22:14:14,18,90,2020-01-20
182,LunchMoney Lewis,2020-02-03 22:14:14,18,91,2020-02-03
183,LunchMoney Lewis,2020-02-17 22:14:14,18,92,2020-02-17
184,DJ Khaled,2016-08-22 22:14:14,2,1,2016-08-22
185,DJ Khaled,2016-09-05 22:14:14,2,2,2016-09-05
186,DJ Khaled,2016-09-19 22:14:14,2,3,2016-09-19
187,DJ Khaled,2016-10-03 22:14:14,2,4,2016-10-03
188,DJ Khaled,2016-10-17 22:14:14,2,5,2016-10-17
189,DJ Khaled,2016-10-31 22:14:14,2,6,2016-10-31
190,DJ Khaled,2016-11-14 22:14:14,2,7,2016-11-14
191,DJ Khaled,2016-11-28 22:14:14,2,8,2016-11-28
192,DJ Khaled,2016-12-12 22:14:14,2,9,2016-12-12
193,DJ Khaled,2016-12-26 22:14:14,2,10,2016-12-26
194,DJ Khaled,2017-01-09 22:14:14,4,11,2017-01-09
195,DJ Khaled,2017-01-23 22:14:14,4,12,2017-01-23
196,DJ Khaled,2017-02-06 22:14:14,4,13,2017-02-06
197,DJ Khaled,2017-02-20 22:14:14,4,14,2017-02-20
198,DJ Khaled,2017-03-06 22:14:14,4,15,2017-03-06
199,DJ Khaled,2017-03-20 22:14:14,4,16,2017-03-20
200,DJ Khaled,2017-04-03 22:14:14,4,17,2017-04-03
201,DJ Khaled,2017-04-17 22:14:14,4,18,2017-04-17
202,DJ Khaled,2017-05-01 22:14:14,4,19,2017-05-01
203,DJ Khaled,2017-05-15 22:14:14,4,20,2017-05-15
204,DJ Khaled,2017-05-29 22:14:14,4,21,2017-05-29
205,DJ Khaled,2017-06-12 22:14:14,4,22,2017-06-12
206,DJ Khaled,2017-06-26 22:14:14,4,23,2017-06-26
207,DJ Khaled,2017-07-10 22:14:14,4,24,2017-07-10
208,DJ Khaled,2017-07-24 22:14:14,4,25,2017-07-24
209,DJ Khaled,2017-08-07 22:14:14,4,26,2017-08-07
210,DJ Khaled,2017-08-21 22:14:14,4,27,2017-08-21
211,DJ Khaled,2017-09-04 22:14:14,4,28,2017-09-04
212,DJ Khaled,2017-09-18 22:14:14,4,29,2017-09-18
213,DJ Khaled,2017-10-02 22:14:14,4,30,2017-10-02
214,DJ Khaled,2017-10-16 22:14:14,4,31,2017-10-16
215,DJ Khaled,2017-10-30 22:14:14,4,32,2017-10-30
216,DJ Khaled,2017-11-13 22:14:14,4,33,2017-11-13
217,DJ Khaled,2017-11-27 22:14:14,4,34,2017-11-27
218,DJ Khaled,2017-12-11 22:14:14,4,35,2017-12-11
219,DJ Khaled,2017-12-25 22:14:14,4,36,2017-12-25
220,DJ Khaled,2018-01-08 22:14:14,4,37,2018-01-08
221,DJ Khaled,2018-01-22 22:14:14,4,38,2018-01-22
222,DJ Khaled,2018-02-05 22:14:14,4,39,2018-02-05
223,DJ Khaled,2018-02-19 22:14:14,5,40,2018-02-19
224,DJ Khaled,2018-03-05 22:14:14,5,41,2018-03-05
225,DJ Khaled,2018-03-19 22:14:14,6,42,2018-03-19
226,DJ Khaled,2018-04-02 22:14:14,6,43,2018-04-02
227,DJ Khaled,2018-04-16 22:14:14,6,44,2018-04-16
228,DJ Khaled,2018-04-30 22:14:14,6,45,2018-04-30
229,DJ Khaled,2018-05-14 22:14:14,6,46,2018-05-14
230,DJ Khaled,2018-05-28 22:14:14,6,47,2018-05-28
231,DJ Khaled,2018-06-11 22:14:14,6,48,2018-06-11
232,DJ Khaled,2018-06-25 22:14:14,6,49,2018-06-25
233,DJ Khaled,2018-07-09 22:14:14,6,50,2018-07-09
234,DJ Khaled,2018-07-23 22:14:14,6,51,2018-07-23
235,DJ Khaled,2018-08-06 22:14:14,7,52,2018-08-06
236,DJ Khaled,2018-08-20 22:14:14,7,53,2018-08-20
237,DJ Khaled,2018-09-03 22:14:14,7,54,2018-09-03
238,DJ Khaled,2018-09-17 22:14:14,7,55,2018-09-17
239,DJ Khaled,2018-10-01 22:14:14,7,56,2018-10-01
240,DJ Khaled,2018-10-15 22:14:14,7,57,2018-10-15
241,DJ Khaled,2018-10-29 22:14:14,7,58,2018-10-29
242,DJ Khaled,2018-11-12 22:14:14,7,59,2018-11-12
243,DJ Khaled,2018-11-26 22:14:14,7,60,2018-11-26
244,DJ Khaled,2018-12-10 22:14:14,7,61,2018-12-10
245,DJ Khaled,2018-12-24 22:14:14,7,62,2018-12-24
246,DJ Khaled,2019-01-07 22:14:14,7,63,2019-01-07
247,DJ Khaled,2019-01-21 22:14:14,7,64,2019-01-21
248,DJ Khaled,2019-02-04 22:14:14,7,65,2019-02-04
249,DJ Khaled,2019-02-18 22:14:14,7,66,2019-02-18
250,DJ Khaled,2019-03-04 22:14:14,7,67,2019-03-04
251,DJ Khaled,2019-03-18 22:14:14,7,68,2019-03-18
252,DJ Khaled,2019-04-01 22:14:14,7,69,2019-04-01
253,DJ Khaled,2019-04-15 22:14:14,7,70,2019-04-15
254,DJ Khaled,2019-04-29 22:14:14,7,71,2019-04-29
255,DJ Khaled,2019-05-13 22:14:14,7,72,2019-05-13
256,DJ Khaled,2019-05-27 22:14:14,7,73,2019-05-27
257,DJ Khaled,2019-06-10 22:14:14,7,74,2019-06-10
258,DJ Khaled,2019-06-24 22:14:14,7,75,2019-06-24
259,DJ Khaled,2019-07-08 22:14:14,7,76,2019-07-08
260,DJ Khaled,2019-07-22 22:14:14,7,77,2019-07-22
261,DJ Khaled,2019-08-05 22:14:14,7,78,2019-08-05
262,DJ Khaled,2019-08-19 22:14:14,7,79,2019-08-19
263,DJ Khaled,2019-09-02 22:14:14,7,80,2019-09-02
264,DJ Khaled,2019-09-16 22:14:14,7,81,2019-09-16
