,artist,endTime,sum,week,date
0,The Revivalists,2016-02-17 19:37:01,1,1,2016-02-17
1,The Revivalists,2016-03-02 19:37:01,1,2,2016-03-02
2,The Revivalists,2016-03-16 19:37:01,1,3,2016-03-16
3,The Revivalists,2016-03-30 19:37:01,1,4,2016-03-30
4,The Revivalists,2016-04-13 19:37:01,1,5,2016-04-13
5,The Revivalists,2016-04-27 19:37:01,1,6,2016-04-27
6,The Revivalists,2016-05-11 19:37:01,1,7,2016-05-11
7,The Revivalists,2016-05-25 19:37:01,1,8,2016-05-25
8,The Revivalists,2016-06-08 19:37:01,1,9,2016-06-08
9,The Revivalists,2016-06-22 19:37:01,1,10,2016-06-22
10,The Revivalists,2016-07-06 19:37:01,1,11,2016-07-06
11,The Revivalists,2016-07-20 19:37:01,1,12,2016-07-20
12,The Revivalists,2016-08-03 19:37:01,1,13,2016-08-03
13,The Revivalists,2016-08-17 19:37:01,1,14,2016-08-17
14,The Revivalists,2016-08-31 19:37:01,1,15,2016-08-31
15,The Revivalists,2016-09-14 19:37:01,1,16,2016-09-14
16,The Revivalists,2016-09-28 19:37:01,1,17,2016-09-28
17,The Revivalists,2016-10-12 19:37:01,1,18,2016-10-12
18,The Revivalists,2016-10-26 19:37:01,1,19,2016-10-26
19,The Revivalists,2016-11-09 19:37:01,1,20,2016-11-09
20,The Revivalists,2016-11-23 19:37:01,1,21,2016-11-23
21,The Revivalists,2016-12-07 19:37:01,1,22,2016-12-07
22,The Revivalists,2016-12-21 19:37:01,1,23,2016-12-21
23,The Revivalists,2017-01-04 19:37:01,1,24,2017-01-04
24,The Revivalists,2017-01-18 19:37:01,1,25,2017-01-18
25,The Revivalists,2017-02-01 19:37:01,1,26,2017-02-01
26,The Revivalists,2017-02-15 19:37:01,1,27,2017-02-15
27,The Revivalists,2017-03-01 19:37:01,1,28,2017-03-01
28,The Revivalists,2017-03-15 19:37:01,1,29,2017-03-15
29,The Revivalists,2017-03-29 19:37:01,1,30,2017-03-29
30,The Revivalists,2017-04-12 19:37:01,1,31,2017-04-12
31,The Revivalists,2017-04-26 19:37:01,1,32,2017-04-26
32,The Revivalists,2017-05-10 19:37:01,1,33,2017-05-10
33,The Revivalists,2017-05-24 19:37:01,1,34,2017-05-24
34,The Revivalists,2017-06-07 19:37:01,1,35,2017-06-07
35,The Revivalists,2017-06-21 19:37:01,1,36,2017-06-21
36,The Revivalists,2017-07-05 19:37:01,1,37,2017-07-05
37,The Revivalists,2017-07-19 19:37:01,1,38,2017-07-19
38,The Revivalists,2017-08-02 19:37:01,1,39,2017-08-02
39,The Revivalists,2017-08-16 19:37:01,1,40,2017-08-16
40,The Revivalists,2017-08-30 19:37:01,1,41,2017-08-30
41,The Revivalists,2017-09-13 19:37:01,1,42,2017-09-13
42,The Revivalists,2017-09-27 19:37:01,1,43,2017-09-27
