,artist,endTime,sum,week,date
0,Zac Brown Band,2016-08-27 16:22:35,5,1,2016-08-27
1,Zac Brown Band,2016-09-10 16:22:35,15,2,2016-09-10
2,Zac Brown Band,2016-09-24 16:22:35,15,3,2016-09-24
3,Zac Brown Band,2016-10-08 16:22:35,15,4,2016-10-08
4,Zac Brown Band,2016-10-22 16:22:35,15,5,2016-10-22
5,Zac Brown Band,2016-11-05 16:22:35,15,6,2016-11-05
6,Zac Brown Band,2016-11-19 16:22:35,15,7,2016-11-19
7,Zac Brown Band,2016-12-03 16:22:35,15,8,2016-12-03
8,Zac Brown Band,2016-12-17 16:22:35,15,9,2016-12-17
9,Zac Brown Band,2016-12-31 16:22:35,15,10,2016-12-31
10,Zac Brown Band,2017-01-14 16:22:35,15,11,2017-01-14
11,Zac Brown Band,2017-01-28 16:22:35,15,12,2017-01-28
12,Zac Brown Band,2017-02-11 16:22:35,15,13,2017-02-11
13,Zac Brown Band,2017-02-25 16:22:35,15,14,2017-02-25
14,Zac Brown Band,2017-03-11 16:22:35,15,15,2017-03-11
15,Zac Brown Band,2017-03-25 16:22:35,15,16,2017-03-25
16,Zac Brown Band,2017-04-08 16:22:35,15,17,2017-04-08
17,Zac Brown Band,2017-04-22 16:22:35,15,18,2017-04-22
18,Zac Brown Band,2017-05-06 16:22:35,15,19,2017-05-06
19,Zac Brown Band,2017-05-20 16:22:35,15,20,2017-05-20
20,Zac Brown Band,2017-06-03 16:22:35,15,21,2017-06-03
21,Zac Brown Band,2017-06-17 16:22:35,15,22,2017-06-17
22,Zac Brown Band,2017-07-01 16:22:35,15,23,2017-07-01
23,Zac Brown Band,2017-07-15 16:22:35,15,24,2017-07-15
24,Zac Brown Band,2017-07-29 16:22:35,15,25,2017-07-29
25,Zac Brown Band,2017-08-12 16:22:35,15,26,2017-08-12
26,Zac Brown Band,2017-08-26 16:22:35,15,27,2017-08-26
27,Zac Brown Band,2017-09-09 16:22:35,15,28,2017-09-09
28,Zac Brown Band,2017-09-23 16:22:35,15,29,2017-09-23
29,Zac Brown Band,2017-10-07 16:22:35,15,30,2017-10-07
30,Zac Brown Band,2017-10-21 16:22:35,15,31,2017-10-21
31,Zac Brown Band,2017-11-04 16:22:35,15,32,2017-11-04
32,Zac Brown Band,2017-11-18 16:22:35,15,33,2017-11-18
33,Zac Brown Band,2017-12-02 16:22:35,15,34,2017-12-02
34,Zac Brown Band,2017-12-16 16:22:35,15,35,2017-12-16
35,Zac Brown Band,2017-12-30 16:22:35,15,36,2017-12-30
36,Zac Brown Band,2018-01-13 16:22:35,15,37,2018-01-13
37,Zac Brown Band,2018-01-27 16:22:35,15,38,2018-01-27
38,Zac Brown Band,2018-02-10 16:22:35,15,39,2018-02-10
39,Zac Brown Band,2018-02-24 16:22:35,15,40,2018-02-24
40,Zac Brown Band,2018-03-10 16:22:35,15,41,2018-03-10
41,Zac Brown Band,2018-03-24 16:22:35,21,42,2018-03-24
42,Zac Brown Band,2018-04-07 16:22:35,21,43,2018-04-07
43,Zac Brown Band,2018-04-21 16:22:35,21,44,2018-04-21
44,Zac Brown Band,2018-05-05 16:22:35,21,45,2018-05-05
45,Zac Brown Band,2018-05-19 16:22:35,21,46,2018-05-19
46,Zac Brown Band,2018-06-02 16:22:35,21,47,2018-06-02
47,Zac Brown Band,2018-06-16 16:22:35,21,48,2018-06-16
48,Zac Brown Band,2018-06-30 16:22:35,21,49,2018-06-30
49,Zac Brown Band,2018-07-14 16:22:35,21,50,2018-07-14
50,Zac Brown Band,2018-07-28 16:22:35,21,51,2018-07-28
51,Zac Brown Band,2018-08-11 16:22:35,21,52,2018-08-11
52,Zac Brown Band,2018-08-25 16:22:35,21,53,2018-08-25
53,Zac Brown Band,2018-09-08 16:22:35,21,54,2018-09-08
54,Zac Brown Band,2018-09-22 16:22:35,21,55,2018-09-22
55,Zac Brown Band,2018-10-06 16:22:35,21,56,2018-10-06
56,Zac Brown Band,2018-10-20 16:22:35,21,57,2018-10-20
57,Zac Brown Band,2018-11-03 16:22:35,21,58,2018-11-03
58,Zac Brown Band,2018-11-17 16:22:35,21,59,2018-11-17
59,Zac Brown Band,2018-12-01 16:22:35,21,60,2018-12-01
60,Zac Brown Band,2018-12-15 16:22:35,21,61,2018-12-15
61,Zac Brown Band,2018-12-29 16:22:35,21,62,2018-12-29
62,Zac Brown Band,2019-01-12 16:22:35,21,63,2019-01-12
63,Zac Brown Band,2019-01-26 16:22:35,21,64,2019-01-26
64,Zac Brown Band,2019-02-09 16:22:35,21,65,2019-02-09
65,Zac Brown Band,2019-02-23 16:22:35,21,66,2019-02-23
66,Zac Brown Band,2019-03-09 16:22:35,21,67,2019-03-09
67,Zac Brown Band,2019-03-23 16:22:35,21,68,2019-03-23
68,Zac Brown Band,2019-04-06 16:22:35,23,69,2019-04-06
69,Zac Brown Band,2019-04-20 16:22:35,23,70,2019-04-20
70,Zac Brown Band,2019-05-04 16:22:35,23,71,2019-05-04
71,Zac Brown Band,2019-05-18 16:22:35,23,72,2019-05-18
72,Zac Brown Band,2019-06-01 16:22:35,23,73,2019-06-01
73,Zac Brown Band,2019-06-15 16:22:35,23,74,2019-06-15
74,Zac Brown Band,2019-06-29 16:22:35,23,75,2019-06-29
75,Zac Brown Band,2019-07-13 16:22:35,23,76,2019-07-13
76,Zac Brown Band,2019-07-27 16:22:35,23,77,2019-07-27
77,Zac Brown Band,2019-08-10 16:22:35,23,78,2019-08-10
78,Zac Brown Band,2019-08-24 16:22:35,23,79,2019-08-24
79,Zac Brown Band,2019-09-07 16:22:35,23,80,2019-09-07
80,Zac Brown Band,2019-09-21 16:22:35,23,81,2019-09-21
81,Zac Brown Band,2019-10-05 16:22:35,23,82,2019-10-05
82,Zac Brown Band,2019-10-19 16:22:35,23,83,2019-10-19
83,Zac Brown Band,2019-11-02 16:22:35,23,84,2019-11-02
84,Zac Brown Band,2019-11-16 16:22:35,23,85,2019-11-16
85,Zac Brown Band,2019-11-30 16:22:35,23,86,2019-11-30
86,Zac Brown Band,2019-12-14 16:22:35,23,87,2019-12-14
87,Darius Rucker,2016-08-27 16:22:35,6,1,2016-08-27
88,Darius Rucker,2016-09-10 16:22:35,6,2,2016-09-10
89,Darius Rucker,2016-09-24 16:22:35,6,3,2016-09-24
90,Darius Rucker,2016-10-08 16:22:35,6,4,2016-10-08
91,Darius Rucker,2016-10-22 16:22:35,6,5,2016-10-22
92,Darius Rucker,2016-11-05 16:22:35,6,6,2016-11-05
93,Darius Rucker,2016-11-19 16:22:35,6,7,2016-11-19
94,Darius Rucker,2016-12-03 16:22:35,6,8,2016-12-03
95,Darius Rucker,2016-12-17 16:22:35,6,9,2016-12-17
96,Darius Rucker,2016-12-31 16:22:35,6,10,2016-12-31
97,Darius Rucker,2017-01-14 16:22:35,6,11,2017-01-14
98,Darius Rucker,2017-01-28 16:22:35,6,12,2017-01-28
99,Darius Rucker,2017-02-11 16:22:35,6,13,2017-02-11
100,Darius Rucker,2017-02-25 16:22:35,6,14,2017-02-25
101,Darius Rucker,2017-03-11 16:22:35,6,15,2017-03-11
102,Darius Rucker,2017-03-25 16:22:35,6,16,2017-03-25
103,Darius Rucker,2017-04-08 16:22:35,6,17,2017-04-08
104,Darius Rucker,2017-04-22 16:22:35,6,18,2017-04-22
105,Darius Rucker,2017-05-06 16:22:35,6,19,2017-05-06
106,Darius Rucker,2017-05-20 16:22:35,6,20,2017-05-20
107,Darius Rucker,2017-06-03 16:22:35,6,21,2017-06-03
108,Darius Rucker,2017-06-17 16:22:35,6,22,2017-06-17
109,Darius Rucker,2017-07-01 16:22:35,6,23,2017-07-01
110,Darius Rucker,2017-07-15 16:22:35,6,24,2017-07-15
111,Darius Rucker,2017-07-29 16:22:35,6,25,2017-07-29
112,Darius Rucker,2017-08-12 16:22:35,6,26,2017-08-12
113,Darius Rucker,2017-08-26 16:22:35,6,27,2017-08-26
114,Darius Rucker,2017-09-09 16:22:35,6,28,2017-09-09
115,Darius Rucker,2017-09-23 16:22:35,6,29,2017-09-23
116,Darius Rucker,2017-10-07 16:22:35,6,30,2017-10-07
117,Darius Rucker,2017-10-21 16:22:35,6,31,2017-10-21
118,Darius Rucker,2017-11-04 16:22:35,6,32,2017-11-04
119,Darius Rucker,2017-11-18 16:22:35,6,33,2017-11-18
120,Darius Rucker,2017-12-02 16:22:35,6,34,2017-12-02
121,Darius Rucker,2017-12-16 16:22:35,6,35,2017-12-16
122,Darius Rucker,2017-12-30 16:22:35,6,36,2017-12-30
123,Darius Rucker,2018-01-13 16:22:35,6,37,2018-01-13
124,Darius Rucker,2018-01-27 16:22:35,6,38,2018-01-27
